# Time          2.2500E+00
# Units: Volume % (m^3 mineral/m^3 porous medium)
    Distance        Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02    2.9999987E+01    2.0269525E+01    1.6424422E+01    4.0754051E+00    8.6988612E+00    7.0930846E-01
    1.5000000E-01    2.9999989E+01    2.0282592E+01    1.6475469E+01    4.0907139E+00    8.6622876E+00    7.0628211E-01
    2.5000000E-01    2.9999990E+01    2.0295682E+01    1.6526677E+01    4.1060772E+00    8.6260139E+00    7.0328570E-01
    3.5000000E-01    2.9999992E+01    2.0308796E+01    1.6578039E+01    4.1214932E+00    8.5896627E+00    7.0028745E-01
    4.5000000E-01    2.9999993E+01    2.0321931E+01    1.6629551E+01    4.1369605E+00    8.5532339E+00    6.9728688E-01
    5.5000000E-01    2.9999994E+01    2.0335088E+01    1.6681208E+01    4.1524777E+00    8.5167279E+00    6.9428358E-01
    6.5000000E-01    2.9999995E+01    2.0348264E+01    1.6733004E+01    4.1680435E+00    8.4801453E+00    6.9127721E-01
    7.5000000E-01    2.9999996E+01    2.0361459E+01    1.6784938E+01    4.1836569E+00    8.4434866E+00    6.8826748E-01
    8.5000000E-01    2.9999997E+01    2.0374673E+01    1.6837004E+01    4.1993168E+00    8.4067524E+00    6.8525415E-01
    9.5000000E-01    2.9999998E+01    2.0387904E+01    1.6889201E+01    4.2150224E+00    8.3699434E+00    6.8223698E-01
    1.0500000E+00    2.9999998E+01    2.0401152E+01    1.6941524E+01    4.2307729E+00    8.3330601E+00    6.7921579E-01
    1.1500000E+00    2.9999999E+01    2.0414417E+01    1.6993973E+01    4.2465677E+00    8.2961030E+00    6.7619040E-01
    1.2500000E+00    2.9999999E+01    2.0427697E+01    1.7046545E+01    4.2624061E+00    8.2590726E+00    6.7316067E-01
    1.3500000E+00    3.0000000E+01    2.0440993E+01    1.7099238E+01    4.2782875E+00    8.2219693E+00    6.7012646E-01
    1.4500000E+00    3.0000000E+01    2.0454304E+01    1.7152050E+01    4.2942117E+00    8.1847934E+00    6.6708765E-01
