# Time series at grid cell: 140   1   1
  Time(day)                  Na+                    K+                     Ca++                   Mg++                   Al+++                  Fe+++                  Fe++                   SiO2(aq)               CO2(aq)                pH                     Li7+                   Li6+                  
  1.00000E-02                8.44679993760034E-05   3.32022417024149E-05   4.10270912307416E-05   3.85305753108527E-05   4.45459011338207E-10   1.00000313914699E-16   1.18152876555295E-05   1.73016812779323E-04   6.70700700808790E-04   6.16611202310362E+00   1.17364615794842E-07   9.28402256522930E-09
  2.00000E-02                8.44680098766224E-05   3.32022451429736E-05   4.10270924014705E-05   3.85305811324112E-05   4.45458812546584E-10   1.00000313914699E-16   1.18152905663088E-05   1.73016840738754E-04   6.70700700808790E-04   6.16611212173281E+00   1.17364663745060E-07   9.28402641619802E-09
  3.00000E-02                8.44680203772046E-05   3.32022485835160E-05   4.10270935721953E-05   3.85305869539457E-05   4.45458613757379E-10   1.00000313914699E-16   1.18152934770760E-05   1.73016868698078E-04   6.70700700808790E-04   6.16611222036157E+00   1.17364711695068E-07   9.28403026714066E-09
  4.00000E-02                8.44680308777497E-05   3.32022520240421E-05   4.10270947429160E-05   3.85305927754560E-05   4.45458414969092E-10   1.00000313914699E-16   1.18152963878312E-05   1.73016896657296E-04   6.70700700808790E-04   6.16611231898994E+00   1.17364759644867E-07   9.28403411805727E-09
  5.00000E-02                8.44680413782581E-05   3.32022554645518E-05   4.10270959136327E-05   3.85305985969422E-05   4.45458216181715E-10   1.00000313914699E-16   1.18152992985743E-05   1.73016924616407E-04   6.70700700808790E-04   6.16611241761791E+00   1.17364807594455E-07   9.28403796894782E-09
  5.00011E-02                8.44680413794313E-05   3.32022554649362E-05   4.10270959137635E-05   3.85305985975927E-05   4.45458216231423E-10   1.00000313914699E-16   1.18152992988995E-05   1.73016924619531E-04   6.70700700808790E-04   6.16611241711133E+00   1.17364807599813E-07   9.28403796937816E-09
  5.00034E-02                8.44680413817779E-05   3.32022554657051E-05   4.10270959140251E-05   3.85305985988936E-05   4.45458216320788E-10   1.00000313914699E-16   1.18152992995500E-05   1.73016924625779E-04   6.70700700808789E-04   6.16611241713341E+00   1.17364807610530E-07   9.28403797023880E-09
  5.00078E-02                8.44680413864711E-05   3.32022554672428E-05   4.10270959145484E-05   3.85305986014956E-05   4.45458216464536E-10   1.00000313914699E-16   1.18152993008510E-05   1.73016924638276E-04   6.70700700808790E-04   6.16611241717761E+00   1.17364807631962E-07   9.28403797196008E-09
  5.00168E-02                8.44680413958575E-05   3.32022554703182E-05   4.10270959155948E-05   3.85305986066994E-05   4.45458216644429E-10   1.00000313914699E-16   1.18152993034529E-05   1.73016924663268E-04   6.70700700808790E-04   6.16611241726600E+00   1.17364807674827E-07   9.28403797540257E-09
  5.00346E-02                8.44680414146302E-05   3.32022554764691E-05   4.10270959176878E-05   3.85305986171070E-05   4.45458216735258E-10   1.00000313914699E-16   1.18152993086567E-05   1.73016924713254E-04   6.70700700808789E-04   6.16611241744279E+00   1.17364807760553E-07   9.28403798228739E-09
