# Time series at grid cell:   8   1   1
  Time(day)                  Na+                    K+                     Ca++                   Mg++                   Al+++                  Fe+++                  Fe++                   SiO2(aq)               CO2(aq)                pH                     Li7+                   Li6+                  
  1.00000E-02                2.93382674102249E-05   8.14852534890692E-06   2.98202844069138E-05   1.32033069823613E-05   4.71653925985412E-08   8.39914902392970E-17   3.44307111170257E-07   2.24108556600136E-05   5.63329745279770E-04   5.54308864344772E+00   3.29025215644069E-08   2.62462867272916E-09
  2.00000E-02                2.93256992344039E-05   8.14523679548724E-06   2.98066747284959E-05   1.31976495769045E-05   4.71717964959905E-08   8.39528676061663E-17   3.44355785577518E-07   2.24033467203494E-05   5.63070703821861E-04   5.54312344934611E+00   3.28886817564011E-08   2.62351511990622E-09
  3.00000E-02                2.93131199647743E-05   8.14194541159877E-06   2.97930527485621E-05   1.31919871759240E-05   4.71782019490349E-08   8.39142099688774E-17   3.44404570024564E-07   2.23958318667256E-05   5.62811427591556E-04   5.54315832186178E+00   3.28748296817237E-08   2.62240058057363E-09
  4.00000E-02                2.93005296426308E-05   8.13865120830894E-06   2.97794185107410E-05   1.31863197980071E-05   4.71846088116201E-08   8.38755174508894E-17   3.44453464607333E-07   2.23883111263775E-05   5.62551917416890E-04   5.54319326073275E+00   3.28609653851076E-08   2.62128505833208E-09
  5.00000E-02                2.92879283093836E-05   8.13535419671555E-06   2.97657720587863E-05   1.31806474617931E-05   4.71910170233659E-08   8.38367901760152E-17   3.44502469421409E-07   2.23807845266957E-05   5.62292174128278E-04   5.54322826599122E+00   3.28470889119914E-08   2.62016855684002E-09
  5.00011E-02                2.92879269013516E-05   8.13535382831817E-06   2.97657705339760E-05   1.31806468279846E-05   4.71910169433947E-08   8.38367858487546E-17   3.44502474897048E-07   2.23807836848983E-05   5.62292145106376E-04   5.54322949236879E+00   3.28470873561042E-08   2.62016843164396E-09
  5.00034E-02                2.92879240852870E-05   8.13535309152332E-06   2.97657674843551E-05   1.31806455603676E-05   4.71910167805518E-08   8.38367771942336E-17   3.44502485848333E-07   2.23807820013054E-05   5.62292087059653E-04   5.54322950032422E+00   3.28470842443430E-08   2.62016818125294E-09
  5.00078E-02                2.92879184531561E-05   8.13535161793315E-06   2.97657613851111E-05   1.31806430251327E-05   4.71910164677672E-08   8.38367598851852E-17   3.44502507750925E-07   2.23807786341281E-05   5.62291970968108E-04   5.54322951564499E+00   3.28470780208831E-08   2.62016768047605E-09
  5.00168E-02                2.92879071888861E-05   8.13534867075074E-06   2.97657491866144E-05   1.31806379546592E-05   4.71910158804503E-08   8.38367252670635E-17   3.44502551556197E-07   2.23807718998075E-05   5.62291738784851E-04   5.54322954628715E+00   3.28470655742124E-08   2.62016667894272E-09
  5.00346E-02                2.92878846603143E-05   8.13534277637777E-06   2.97657247895856E-05   1.31806278136978E-05   4.71910148571314E-08   8.38366560307195E-17   3.44502639167098E-07   2.23807584313008E-05   5.62291274417661E-04   5.54322960757443E+00   3.28470406818551E-08   2.62016467595707E-09
  5.00704E-02                2.92878396030429E-05   8.13533098759912E-06   2.97656759953869E-05   1.31806075317174E-05   4.71910134024764E-08   8.38365175576292E-17   3.44502814390326E-07   2.23807314948119E-05   5.62290345680593E-04   5.54322973016063E+00   3.28469909009883E-08   2.62016067030226E-09
  5.01419E-02                2.92877494879889E-05   8.13530740991104E-06   2.97655784064248E-05   1.31805669675266E-05   4.71910127594534E-08   8.38362406098432E-17   3.44503164842486E-07   2.23806776238307E-05   5.62288488195686E-04   5.54322997537767E+00   3.28468913539601E-08   2.62015266020237E-09
