 TITLE = "Isotope ratios" 
    Distance        Kaolinite_Li7   
    5.0000000E-02    5.3929009E+00
    1.5000000E-01    5.3300971E+00
    2.5000000E-01    5.2745975E+00
    3.5000000E-01    5.2250705E+00
    4.5000000E-01    5.1808854E+00
    5.5000000E-01    5.1414830E+00
    6.5000000E-01    5.1063668E+00
    7.5000000E-01    5.0750952E+00
    8.5000000E-01    5.0472755E+00
    9.5000000E-01    5.0225574E+00
    1.0500000E+00    5.0006289E+00
    1.1500000E+00    4.9812112E+00
    1.2500000E+00    4.9640555E+00
    1.3500000E+00    4.9489391E+00
    1.4500000E+00    4.9356628E+00
    1.5500000E+00    4.9240481E+00
    1.6500000E+00    4.9139350E+00
    1.7500000E+00    4.9051801E+00
    1.8500000E+00    4.8976544E+00
    1.9500000E+00    4.8912422E+00
    2.0500000E+00    4.8858392E+00
    2.1500000E+00    4.8813518E+00
    2.2500000E+00    4.8776956E+00
    2.3500000E+00    4.8747944E+00
    2.4500000E+00    4.8725796E+00
    2.5500000E+00    4.8709893E+00
    2.6500000E+00    4.8699675E+00
    2.7500000E+00    4.8694636E+00
    2.8500000E+00    4.8694318E+00
    2.9500000E+00    4.8698308E+00
    3.0500000E+00    4.8706231E+00
    3.1500000E+00    4.8717746E+00
    3.2500000E+00    4.8732544E+00
    3.3500000E+00    4.8750347E+00
    3.4500000E+00    4.8770899E+00
    3.5500000E+00    4.8793970E+00
    3.6500000E+00    4.8819350E+00
    3.7500000E+00    4.8846847E+00
    3.8500000E+00    4.8876288E+00
    3.9500000E+00    4.8907513E+00
    4.0500000E+00    4.8940379E+00
    4.1500000E+00    4.8974754E+00
    4.2500000E+00    4.9010517E+00
    4.3500000E+00    4.9047558E+00
    4.4500000E+00    4.9085778E+00
    4.5500000E+00    4.9125084E+00
    4.6500000E+00    4.9165393E+00
    4.7500000E+00    4.9206628E+00
    4.8500000E+00    4.9248719E+00
    4.9500000E+00    4.9291601E+00
    5.0500000E+00    4.9335215E+00
    5.1500000E+00    4.9379508E+00
    5.2500000E+00    4.9424430E+00
    5.3500000E+00    4.9469936E+00
    5.4500000E+00    4.9515983E+00
    5.5500000E+00    4.9562534E+00
    5.6500000E+00    4.9609553E+00
    5.7500000E+00    4.9657008E+00
    5.8500000E+00    4.9704870E+00
    5.9500000E+00    4.9753112E+00
    6.0500000E+00    4.9801707E+00
    6.1500000E+00    4.9850634E+00
    6.2500000E+00    4.9899871E+00
    6.3500000E+00    4.9949399E+00
    6.4500000E+00    4.9999200E+00
    6.5500000E+00    5.0049257E+00
    6.6500000E+00    5.0099556E+00
    6.7500000E+00    5.0150082E+00
    6.8500000E+00    5.0200822E+00
    6.9500000E+00    5.0251766E+00
    7.0500000E+00    5.0302903E+00
    7.1500000E+00    5.0354222E+00
    7.2500000E+00    5.0405714E+00
    7.3500000E+00    5.0457372E+00
    7.4500000E+00    5.0509188E+00
    7.5500000E+00    5.0561155E+00
    7.6500000E+00    5.0613266E+00
    7.7500000E+00    5.0665515E+00
    7.8500000E+00    5.0717899E+00
    7.9500000E+00    5.0770411E+00
    8.0500000E+00    5.0823048E+00
    8.1500000E+00    5.0875805E+00
    8.2500000E+00    5.0928680E+00
    8.3500000E+00    5.0981668E+00
    8.4500000E+00    5.1034768E+00
    8.5500000E+00    5.1087976E+00
    8.6500000E+00    5.1141290E+00
    8.7500000E+00    5.1194709E+00
    8.8500000E+00    5.1248230E+00
    8.9500000E+00    5.1301853E+00
    9.0500000E+00    5.1355575E+00
    9.1500000E+00    5.1409396E+00
    9.2500000E+00    5.1463316E+00
    9.3500000E+00    5.1517332E+00
    9.4500000E+00    5.1571445E+00
    9.5500000E+00    5.1625654E+00
    9.6500000E+00    5.1679959E+00
    9.7500000E+00    5.1734360E+00
    9.8500000E+00    5.1788857E+00
    9.9500000E+00    5.1843450E+00
    1.0050000E+01    5.1898139E+00
    1.0150000E+01    5.1952924E+00
    1.0250000E+01    5.2007807E+00
    1.0350000E+01    5.2062786E+00
    1.0450000E+01    5.2117864E+00
    1.0550000E+01    5.2173039E+00
    1.0650000E+01    5.2228315E+00
    1.0750000E+01    5.2283690E+00
    1.0850000E+01    5.2339166E+00
    1.0950000E+01    5.2394744E+00
    1.1050000E+01    5.2450424E+00
    1.1150000E+01    5.2506208E+00
    1.1250000E+01    5.2562096E+00
    1.1350000E+01    5.2618090E+00
    1.1450000E+01    5.2674190E+00
    1.1550000E+01    5.2730398E+00
    1.1650000E+01    5.2786715E+00
    1.1750000E+01    5.2843142E+00
    1.1850000E+01    5.2899680E+00
    1.1950000E+01    5.2956329E+00
    1.2050000E+01    5.3013092E+00
    1.2150000E+01    5.3069969E+00
    1.2250000E+01    5.3126962E+00
    1.2350000E+01    5.3184071E+00
    1.2450000E+01    5.3241298E+00
    1.2550000E+01    5.3298643E+00
    1.2650000E+01    5.3356107E+00
    1.2750000E+01    5.3413693E+00
    1.2850000E+01    5.3471399E+00
    1.2950000E+01    5.3529228E+00
    1.3050000E+01    5.3587180E+00
    1.3150000E+01    5.3645256E+00
    1.3250000E+01    5.3703457E+00
    1.3350000E+01    5.3761782E+00
    1.3450000E+01    5.3820233E+00
    1.3550000E+01    5.3878811E+00
    1.3650000E+01    5.3937514E+00
    1.3750000E+01    5.3996344E+00
    1.3850000E+01    5.4055300E+00
    1.3950000E+01    5.4114382E+00
    1.4050000E+01    5.4173590E+00
    1.4150000E+01    5.4232924E+00
    1.4250000E+01    5.4292382E+00
    1.4350000E+01    5.4351964E+00
    1.4450000E+01    5.4411668E+00
    1.4550000E+01    5.4471493E+00
    1.4650000E+01    5.4531437E+00
    1.4750000E+01    5.4591497E+00
    1.4850000E+01    5.4651672E+00
    1.4950000E+01    5.4711958E+00
    1.5050000E+01    5.4772352E+00
    1.5150000E+01    5.4832848E+00
    1.5250000E+01    5.4893444E+00
    1.5350000E+01    5.4954134E+00
    1.5450000E+01    5.5014910E+00
    1.5550000E+01    5.5075768E+00
    1.5650000E+01    5.5136698E+00
    1.5750000E+01    5.5197692E+00
    1.5850000E+01    5.5258739E+00
    1.5950000E+01    5.5319829E+00
    1.6050000E+01    5.5380949E+00
    1.6150000E+01    5.5442083E+00
    1.6250000E+01    5.5503216E+00
