# Time          3.5000E+00
# Units: Weight % Mineral
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02    3.7667412E+01    2.4568442E+01    2.0424884E+01    5.7684309E+00    1.0698810E+01    8.7202057E-01
    1.5000000E-01    3.7647729E+01    2.4571432E+01    2.0477659E+01    5.7870739E+00    1.0648253E+01    8.6785292E-01
    2.5000000E-01    3.7627800E+01    2.4574274E+01    2.0530432E+01    5.8057330E+00    1.0598043E+01    8.6371943E-01
    3.5000000E-01    3.7607817E+01    2.4577092E+01    2.0583300E+01    5.8244355E+00    1.0547770E+01    8.5958571E-01
    4.5000000E-01    3.7587785E+01    2.4579888E+01    2.0636259E+01    5.8431796E+00    1.0497437E+01    8.5545133E-01
    5.5000000E-01    3.7567708E+01    2.4582663E+01    2.0689305E+01    5.8619638E+00    1.0447045E+01    8.5131598E-01
    6.5000000E-01    3.7547589E+01    2.4585417E+01    2.0742432E+01    5.8807867E+00    1.0396596E+01    8.4717939E-01
    7.5000000E-01    3.7527431E+01    2.4588151E+01    2.0795639E+01    5.8996469E+00    1.0346091E+01    8.4304132E-01
    8.5000000E-01    3.7507236E+01    2.4590866E+01    2.0848920E+01    5.9185432E+00    1.0295532E+01    8.3890159E-01
    9.5000000E-01    3.7487006E+01    2.4593563E+01    2.0902274E+01    5.9374746E+00    1.0244921E+01    8.3476004E-01
    1.0500000E+00    3.7466744E+01    2.4596242E+01    2.0955698E+01    5.9564402E+00    1.0194260E+01    8.3061652E-01
    1.1500000E+00    3.7446450E+01    2.4598903E+01    2.1009188E+01    5.9754391E+00    1.0143549E+01    8.2647093E-01
    1.2500000E+00    3.7426127E+01    2.4601546E+01    2.1062744E+01    5.9944705E+00    1.0092789E+01    8.2232314E-01
    1.3500000E+00    3.7405776E+01    2.4604172E+01    2.1116362E+01    6.0135338E+00    1.0041983E+01    8.1817307E-01
    1.4500000E+00    3.7385398E+01    2.4606781E+01    2.1170042E+01    6.0326284E+00    9.9911298E+00    8.1402064E-01
    1.5500000E+00    3.7364993E+01    2.4609374E+01    2.1223782E+01    6.0517536E+00    9.9402316E+00    8.0986578E-01
    1.6500000E+00    3.7344564E+01    2.4611950E+01    2.1277580E+01    6.0709092E+00    9.8892890E+00    8.0570842E-01
    1.7500000E+00    3.7324110E+01    2.4614509E+01    2.1331435E+01    6.0900945E+00    9.8383024E+00    8.0154849E-01
    1.8500000E+00    3.7303633E+01    2.4617052E+01    2.1385347E+01    6.1093094E+00    9.7872726E+00    7.9738595E-01
    1.9500000E+00    3.7283134E+01    2.4619578E+01    2.1439314E+01    6.1285535E+00    9.7362001E+00    7.9322075E-01
    2.0500000E+00    3.7262611E+01    2.4622088E+01    2.1493336E+01    6.1478264E+00    9.6850854E+00    7.8905284E-01
    2.1500000E+00    3.7242068E+01    2.4624582E+01    2.1547411E+01    6.1671280E+00    9.6339288E+00    7.8488219E-01
    2.2500000E+00    3.7221503E+01    2.4627060E+01    2.1601540E+01    6.1864580E+00    9.5827308E+00    7.8070875E-01
    2.3500000E+00    3.7200917E+01    2.4629521E+01    2.1655721E+01    6.2058163E+00    9.5314916E+00    7.7653249E-01
    2.4500000E+00    3.7180311E+01    2.4631967E+01    2.1709955E+01    6.2252026E+00    9.4802117E+00    7.7235338E-01
    2.5500000E+00    3.7159684E+01    2.4634396E+01    2.1764240E+01    6.2446169E+00    9.4288911E+00    7.6817140E-01
    2.6500000E+00    3.7139038E+01    2.4636809E+01    2.1818577E+01    6.2640590E+00    9.3775302E+00    7.6398652E-01
    2.7500000E+00    3.7118372E+01    2.4639206E+01    2.1872965E+01    6.2835288E+00    9.3261291E+00    7.5979871E-01
    2.8500000E+00    3.7097687E+01    2.4641587E+01    2.1927404E+01    6.3030262E+00    9.2746882E+00    7.5560796E-01
    2.9500000E+00    3.7076983E+01    2.4643951E+01    2.1981894E+01    6.3225511E+00    9.2232074E+00    7.5141426E-01
    3.0500000E+00    3.7056259E+01    2.4646299E+01    2.2036433E+01    6.3421034E+00    9.1716870E+00    7.4721757E-01
    3.1500000E+00    3.7035518E+01    2.4648631E+01    2.2091023E+01    6.3616830E+00    9.1201272E+00    7.4301789E-01
    3.2500000E+00    3.7014757E+01    2.4650947E+01    2.2145663E+01    6.3812899E+00    9.0685281E+00    7.3881522E-01
    3.3500000E+00    3.6993979E+01    2.4653246E+01    2.2200352E+01    6.4009240E+00    9.0168898E+00    7.3460953E-01
    3.4500000E+00    3.6973182E+01    2.4655528E+01    2.2255091E+01    6.4205852E+00    8.9652126E+00    7.3040082E-01
    3.5500000E+00    3.6952367E+01    2.4657795E+01    2.2309880E+01    6.4402735E+00    8.9134964E+00    7.2618909E-01
    3.6500000E+00    3.6931534E+01    2.4660044E+01    2.2364717E+01    6.4599889E+00    8.8617415E+00    7.2197433E-01
    3.7500000E+00    3.6910683E+01    2.4662278E+01    2.2419604E+01    6.4797312E+00    8.8099480E+00    7.1775653E-01
    3.8500000E+00    3.6889815E+01    2.4664494E+01    2.2474539E+01    6.4995005E+00    8.7581160E+00    7.1353570E-01
    3.9500000E+00    3.6868929E+01    2.4666694E+01    2.2529523E+01    6.5192966E+00    8.7062457E+00    7.0931183E-01
    4.0500000E+00    3.6848026E+01    2.4668877E+01    2.2584556E+01    6.5391196E+00    8.6543372E+00    7.0508493E-01
    4.1500000E+00    3.6827105E+01    2.4671043E+01    2.2639637E+01    6.5589693E+00    8.6023907E+00    7.0085499E-01
    4.2500000E+00    3.6806167E+01    2.4673192E+01    2.2694767E+01    6.5788458E+00    8.5504062E+00    6.9662202E-01
    4.3500000E+00    3.6785212E+01    2.4675324E+01    2.2749944E+01    6.5987490E+00    8.4983840E+00    6.9238602E-01
    4.4500000E+00    3.6764241E+01    2.4677439E+01    2.2805170E+01    6.6186788E+00    8.4463241E+00    6.8814700E-01
    4.5500000E+00    3.6743252E+01    2.4679537E+01    2.2860444E+01    6.6386352E+00    8.3942268E+00    6.8390496E-01
    4.6500000E+00    3.6722246E+01    2.4681618E+01    2.2915765E+01    6.6586181E+00    8.3420922E+00    6.7965991E-01
    4.7500000E+00    3.6701224E+01    2.4683682E+01    2.2971134E+01    6.6786276E+00    8.2899204E+00    6.7541186E-01
