# Time          3.5000E+00
# Units: Bars
    Distance        CO2(g)           O2(g)           
    5.0000000E-02    2.1459753E-02    3.8576373E-01
    1.5000000E-01    1.0238975E-02    1.8516154E-01
    2.5000000E-01    9.9419304E-03    1.8012354E-01
    3.5000000E-01    9.9194331E-03    1.8000324E-01
    4.5000000E-01    9.9034260E-03    1.8000038E-01
    5.5000000E-01    9.8875133E-03    1.8000036E-01
    6.5000000E-01    9.8715414E-03    1.8000041E-01
    7.5000000E-01    9.8555081E-03    1.8000046E-01
    8.5000000E-01    9.8394149E-03    1.8000051E-01
    9.5000000E-01    9.8232629E-03    1.8000056E-01
    1.0500000E+00    9.8070533E-03    1.8000061E-01
    1.1500000E+00    9.7907871E-03    1.8000067E-01
    1.2500000E+00    9.7744654E-03    1.8000072E-01
    1.3500000E+00    9.7580889E-03    1.8000077E-01
    1.4500000E+00    9.7416585E-03    1.8000082E-01
    1.5500000E+00    9.7251749E-03    1.8000087E-01
    1.6500000E+00    9.7086389E-03    1.8000093E-01
    1.7500000E+00    9.6920510E-03    1.8000098E-01
    1.8500000E+00    9.6754119E-03    1.8000103E-01
    1.9500000E+00    9.6587221E-03    1.8000109E-01
    2.0500000E+00    9.6419822E-03    1.8000114E-01
    2.1500000E+00    9.6251926E-03    1.8000119E-01
    2.2500000E+00    9.6083537E-03    1.8000125E-01
    2.3500000E+00    9.5914661E-03    1.8000130E-01
    2.4500000E+00    9.5745301E-03    1.8000135E-01
    2.5500000E+00    9.5575461E-03    1.8000141E-01
    2.6500000E+00    9.5405144E-03    1.8000146E-01
    2.7500000E+00    9.5234354E-03    1.8000152E-01
    2.8500000E+00    9.5063094E-03    1.8000157E-01
    2.9500000E+00    9.4891366E-03    1.8000163E-01
    3.0500000E+00    9.4719175E-03    1.8000168E-01
    3.1500000E+00    9.4546522E-03    1.8000174E-01
    3.2500000E+00    9.4373410E-03    1.8000179E-01
    3.3500000E+00    9.4199841E-03    1.8000185E-01
    3.4500000E+00    9.4025819E-03    1.8000190E-01
    3.5500000E+00    9.3851343E-03    1.8000196E-01
    3.6500000E+00    9.3676418E-03    1.8000201E-01
    3.7500000E+00    9.3501044E-03    1.8000207E-01
    3.8500000E+00    9.3325225E-03    1.8000212E-01
    3.9500000E+00    9.3148960E-03    1.8000218E-01
    4.0500000E+00    9.2972253E-03    1.8000224E-01
    4.1500000E+00    9.2795104E-03    1.8000229E-01
    4.2500000E+00    9.2617515E-03    1.8000235E-01
    4.3500000E+00    9.2439488E-03    1.8000241E-01
    4.4500000E+00    9.2261024E-03    1.8000246E-01
    4.5500000E+00    9.2082125E-03    1.8000252E-01
    4.6500000E+00    9.1902791E-03    1.8000258E-01
    4.7500000E+00    9.1723023E-03    1.8000263E-01
    4.8500000E+00    9.1542824E-03    1.8000269E-01
    4.9500000E+00    9.1362193E-03    1.8000275E-01
    5.0500000E+00    9.1181133E-03    1.8000281E-01
    5.1500000E+00    9.0999643E-03    1.8000286E-01
    5.2500000E+00    9.0817726E-03    1.8000292E-01
    5.3500000E+00    9.0635381E-03    1.8000298E-01
    5.4500000E+00    9.0452610E-03    1.8000304E-01
    5.5500000E+00    9.0269413E-03    1.8000310E-01
    5.6500000E+00    9.0085792E-03    1.8000316E-01
    5.7500000E+00    8.9901746E-03    1.8000321E-01
    5.8500000E+00    8.9717278E-03    1.8000327E-01
    5.9500000E+00    8.9532386E-03    1.8000333E-01
    6.0500000E+00    8.9347073E-03    1.8000339E-01
    6.1500000E+00    8.9161338E-03    1.8000345E-01
    6.2500000E+00    8.8975183E-03    1.8000351E-01
    6.3500000E+00    8.8788607E-03    1.8000357E-01
    6.4500000E+00    8.8601612E-03    1.8000363E-01
    6.5500000E+00    8.8414198E-03    1.8000369E-01
    6.6500000E+00    8.8226365E-03    1.8000375E-01
    6.7500000E+00    8.8038113E-03    1.8000381E-01
    6.8500000E+00    8.7849444E-03    1.8000387E-01
    6.9500000E+00    8.7660358E-03    1.8000393E-01
    7.0500000E+00    8.7470855E-03    1.8000399E-01
    7.1500000E+00    8.7280935E-03    1.8000405E-01
    7.2500000E+00    8.7090599E-03    1.8000411E-01
    7.3500000E+00    8.6899847E-03    1.8000417E-01
    7.4500000E+00    8.6708680E-03    1.8000423E-01
    7.5500000E+00    8.6517097E-03    1.8000429E-01
    7.6500000E+00    8.6325100E-03    1.8000435E-01
    7.7500000E+00    8.6132688E-03    1.8000441E-01
    7.8500000E+00    8.5939861E-03    1.8000448E-01
    7.9500000E+00    8.5746621E-03    1.8000454E-01
    8.0500000E+00    8.5552967E-03    1.8000460E-01
    8.1500000E+00    8.5358899E-03    1.8000466E-01
    8.2500000E+00    8.5164418E-03    1.8000472E-01
    8.3500000E+00    8.4969524E-03    1.8000478E-01
    8.4500000E+00    8.4774217E-03    1.8000485E-01
    8.5500000E+00    8.4578497E-03    1.8000491E-01
    8.6500000E+00    8.4382365E-03    1.8000497E-01
    8.7500000E+00    8.4185820E-03    1.8000503E-01
    8.8500000E+00    8.3988864E-03    1.8000510E-01
    8.9500000E+00    8.3791495E-03    1.8000516E-01
    9.0500000E+00    8.3593714E-03    1.8000522E-01
    9.1500000E+00    8.3395522E-03    1.8000529E-01
    9.2500000E+00    8.3196918E-03    1.8000535E-01
    9.3500000E+00    8.2997903E-03    1.8000541E-01
    9.4500000E+00    8.2798477E-03    1.8000548E-01
    9.5500000E+00    8.2598639E-03    1.8000554E-01
    9.6500000E+00    8.2398391E-03    1.8000560E-01
    9.7500000E+00    8.2197731E-03    1.8000567E-01
    9.8500000E+00    8.1996661E-03    1.8000573E-01
    9.9500000E+00    8.1795181E-03    1.8000580E-01
    1.0050000E+01    8.1593289E-03    1.8000586E-01
    1.0150000E+01    8.1390987E-03    1.8000592E-01
    1.0250000E+01    8.1188275E-03    1.8000599E-01
    1.0350000E+01    8.0985153E-03    1.8000605E-01
    1.0450000E+01    8.0781621E-03    1.8000612E-01
    1.0550000E+01    8.0577678E-03    1.8000618E-01
    1.0650000E+01    8.0373326E-03    1.8000625E-01
    1.0750000E+01    8.0168564E-03    1.8000631E-01
    1.0850000E+01    7.9963392E-03    1.8000638E-01
    1.0950000E+01    7.9757810E-03    1.8000644E-01
    1.1050000E+01    7.9551819E-03    1.8000651E-01
    1.1150000E+01    7.9345419E-03    1.8000658E-01
