# Time series at grid cell: 176   1   1
  Time(day)                  Na+                    K+                     Ca++                   Mg++                   Al+++                  Fe+++                  Fe++                   SiO2(aq)               CO2(aq)                pH                     Li7+                   Li6+                  
  1.00000E-02                1.01964049238266E-04   4.09064175390366E-05   4.29777506871365E-05   4.68194926494110E-05   2.41842737784571E-10   1.00000313914711E-16   1.59597463248079E-05   2.23530768280750E-04   6.70700697236061E-04   6.31589049747935E+00   1.54011836850133E-07   1.22154574762720E-08
  2.00000E-02                1.01964100673964E-04   4.09064395478788E-05   4.29777564217789E-05   4.68195171623142E-05   2.41842350359761E-10   1.00000313914711E-16   1.59597585812610E-05   2.23530915506709E-04   6.70700700808929E-04   6.31589092172804E+00   1.54011951994222E-07   1.22154666257656E-08
  3.00000E-02                1.01964202027126E-04   4.09064829159526E-05   4.29777677217839E-05   4.68195654645078E-05   2.41841616073522E-10   1.00000313914711E-16   1.59597827323622E-05   2.23531205612112E-04   6.70700700809149E-04   6.31589175550126E+00   1.54012178882690E-07   1.22154846546059E-08
  4.00000E-02                1.01964351824210E-04   4.09065470127576E-05   4.29777844228688E-05   4.68196368537383E-05   2.41840532428961E-10   1.00000313914711E-16   1.59598184269842E-05   2.23531634379689E-04   6.70700700809499E-04   6.31589298670984E+00   1.54012514216460E-07   1.22155113006429E-08
  5.00000E-02                1.01964548635232E-04   4.09066312264149E-05   4.29778063656027E-05   4.68197306484932E-05   2.41839109746427E-10   1.00000313914711E-16   1.59598653243709E-05   2.23532197716357E-04   6.70700700809967E-04   6.31589460362133E+00   1.54012954793962E-07   1.22155463094746E-08
  6.00000E-02                1.01964791072433E-04   4.09067349631040E-05   4.29778333952625E-05   4.68198461873867E-05   2.41837358043813E-10   1.00000313914711E-16   1.59599230938291E-05   2.23532891649881E-04   6.70700700810540E-04   6.31589659484957E+00   1.54013497508277E-07   1.22155894342202E-08
  7.00000E-02                1.01965077788631E-04   4.09068576463456E-05   4.29778653616824E-05   4.68199828283661E-05   2.41835287047466E-10   1.00000313914711E-16   1.59599914142855E-05   2.23533712323795E-04   6.70700700808853E-04   6.31589894934444E+00   1.54014139342998E-07   1.22156404351908E-08
  8.00000E-02                1.01965407477490E-04   4.09069987171612E-05   4.29779021191617E-05   4.68201399488665E-05   2.41832906192775E-10   1.00000313914711E-16   1.59600699745356E-05   2.23534655999481E-04   6.70700700808853E-04   6.31590165638194E+00   1.54014877374421E-07   1.22156990800649E-08
  9.00000E-02                1.01965778870307E-04   4.09071576326387E-05   4.29779435262746E-05   4.68203169442412E-05   2.41830224643421E-10   1.00000313914711E-16   1.59601584722230E-05   2.23535719045170E-04   6.70700700808854E-04   6.31590470555455E+00   1.54015708762136E-07   1.22157651431386E-08
  1.00000E-01                1.01966190736118E-04   4.09073338660167E-05   4.29779894457789E-05   4.68205132278369E-05   2.41827251292702E-10   1.00000313914711E-16   1.59602566140208E-05   2.23536897937363E-04   6.70700700808853E-04   6.31590808676195E+00   1.54016630750611E-07   1.22158384054532E-08
  1.00000E-01                1.01966190736118E-04   4.09073338660167E-05   4.29779894457789E-05   4.68205132278369E-05   2.41827251292708E-10   1.00000313914711E-16   1.59602566140208E-05   2.23536897937362E-04   6.70700700808854E-04   6.31590806914341E+00   1.54016630750611E-07   1.22158384054532E-08
  1.00000E-01                1.01966190736118E-04   4.09073338660167E-05   4.29779894457789E-05   4.68205132278369E-05   2.41827251291432E-10   1.00000313914711E-16   1.59602566140208E-05   2.23536897937362E-04   6.70700700809450E-04   6.31590806914292E+00   1.54016630750611E-07   1.22158384054532E-08
  1.00000E-01                1.01966190736118E-04   4.09073338660167E-05   4.29779894457789E-05   4.68205132278369E-05   2.41827251292703E-10   1.00000313914711E-16   1.59602566140208E-05   2.23536897937362E-04   6.70700700808853E-04   6.31590806914292E+00   1.54016630750611E-07   1.22158384054532E-08
  1.00000E-01                1.01966190736118E-04   4.09073338660167E-05   4.29779894457789E-05   4.68205132278369E-05   2.41827251292703E-10   1.00000313914711E-16   1.59602566140208E-05   2.23536897937362E-04   6.70700700808853E-04   6.31590806914292E+00   1.54016630750611E-07   1.22158384054532E-08
