# Time series at grid cell:   4   1   1
  Time(day)                  Na+                    K+                     Ca++                   Mg++                   Al+++                  Fe+++                  Fe++                   SiO2(aq)               CO2(aq)                pH                     Li7+                   Li6+                  
  1.00000E-02                3.44089190412414E-05   9.44279084403203E-06   3.54459332435374E-05   1.54859320949963E-05   4.59346811363775E-08   1.00000313914751E-16   2.92966047597599E-07   2.51086529824721E-05   6.70700700395456E-04   5.52779982776158E+00   3.84786291147995E-08   3.07719679611147E-09
  2.00000E-02                3.44089560404150E-05   9.44280927336819E-06   3.54459373688189E-05   1.54859486671116E-05   4.59342757568596E-08   1.00000313915361E-16   2.92974333722578E-07   2.51087636661595E-05   6.70700700813304E-04   5.52780060258570E+00   3.84786695874486E-08   3.07719964214484E-09
  3.00000E-02                3.44090289647530E-05   9.44284560216614E-06   3.54459455001424E-05   1.54859813317205E-05   4.59334964356302E-08   1.00000313918180E-16   2.92990666142236E-07   2.51089818489868E-05   6.70700700832486E-04   5.52780212750576E+00   3.84787494821727E-08   3.07720526180028E-09
  4.00000E-02                3.44091367488746E-05   9.44289929772379E-06   3.54459575196116E-05   1.54860296110917E-05   4.59323471879784E-08   1.00000313926005E-16   2.93014805763655E-07   2.51093043306575E-05   6.70700700885404E-04   5.52780438036982E+00   3.84788675845476E-08   3.07721356914803E-09
  5.00000E-02                3.44092783651383E-05   9.44296984779283E-06   3.54459733139392E-05   1.54860930448962E-05   4.59308389502622E-08   1.00000313942903E-16   2.93046522101742E-07   2.51097280333030E-05   6.70700700999322E-04   5.52780733967936E+00   3.84790227676586E-08   3.07722448496470E-09
  6.00000E-02                3.44094528167046E-05   9.44305675536982E-06   3.54459927736670E-05   1.54861711866055E-05   4.59289823637074E-08   1.00000313974191E-16   2.93085591479788E-07   2.51102499702630E-05   6.70700701209884E-04   5.52781098456818E+00   3.84792139386129E-08   3.07723793243713E-09
  7.00000E-02                3.44096591359891E-05   9.44315953768191E-06   3.54460157930261E-05   1.54862636028000E-05   4.59267877751724E-08   1.00000314026343E-16   2.93131793185915E-07   2.51108672358372E-05   6.70700701557561E-04   5.52781529478361E+00   3.84794400371541E-08   3.07725383707265E-09
  8.00000E-02                3.44098963860212E-05   9.44327772779797E-06   3.54460422698195E-05   1.54863698737720E-05   4.59242652146009E-08   1.00000314106857E-16   2.93184922673591E-07   2.51115770303239E-05   6.70700702097569E-04   5.52782025066855E+00   3.84797000355548E-08   3.07727212665121E-09
  9.00000E-02                3.44101636564093E-05   9.44341087135895E-06   3.54460721052313E-05   1.54864895917248E-05   4.59214244425427E-08   1.00000314224089E-16   2.93244772916257E-07   2.51123766193230E-05   6.70700702883845E-04   5.52782583314407E+00   3.84799929363439E-08   3.07729273111708E-09
  1.00000E-01                3.44104600643797E-05   9.44355852788952E-06   3.54461052036953E-05   1.54866223612345E-05   4.59182749337580E-08   1.00000314387072E-16   2.93311145528879E-07   2.51132633545987E-05   6.70700703976971E-04   5.52783202369252E+00   3.84803177721103E-08   3.07731558253086E-09
  1.00000E-01                3.44104600643797E-05   9.44355852788952E-06   3.54461052036953E-05   1.54866223612345E-05   4.59182749337587E-08   1.00000314387072E-16   2.93311145528879E-07   2.51132633545987E-05   6.70700703976971E-04   5.52783200700967E+00   3.84803177721103E-08   3.07731558253086E-09
  1.00000E-01                3.44104600643797E-05   9.44355852788952E-06   3.54461052036953E-05   1.54866223612345E-05   4.59182749327594E-08   1.00000314387072E-16   2.93311145528879E-07   2.51132633545987E-05   6.70700703978241E-04   5.52783200700583E+00   3.84803177721103E-08   3.07731558253086E-09
  1.00000E-01                3.44104600643796E-05   9.44355852788952E-06   3.54461052036953E-05   1.54866223612345E-05   4.59182749337581E-08   1.00000314387072E-16   2.93311145528879E-07   2.51132633545987E-05   6.70700703976971E-04   5.52783200700583E+00   3.84803177721103E-08   3.07731558253086E-09
  1.00000E-01                3.44104600643796E-05   9.44355852788952E-06   3.54461052036953E-05   1.54866223612345E-05   4.59182749337582E-08   1.00000314387072E-16   2.93311145528879E-07   2.51132633545987E-05   6.70700703976971E-04   5.52783200700583E+00   3.84803177721103E-08   3.07731558253086E-09
  1.00000E-01                3.44104600643796E-05   9.44355852788952E-06   3.54461052036953E-05   1.54866223612345E-05   4.59182749337582E-08   1.00000314387072E-16   2.93311145528879E-07   2.51132633545987E-05   6.70700703976971E-04   5.52783200700583E+00   3.84803177721103E-08   3.07731558253086E-09
