# Time          3.5000E+00
    Distance         pH
  5.0000E-02    5.4907E+00
  1.5000E-01    5.5209E+00
  2.5000E-01    5.5291E+00
  3.5000E-01    5.5360E+00
  4.5000E-01    5.5428E+00
  5.5000E-01    5.5496E+00
  6.5000E-01    5.5563E+00
  7.5000E-01    5.5629E+00
  8.5000E-01    5.5695E+00
  9.5000E-01    5.5760E+00
  1.0500E+00    5.5825E+00
  1.1500E+00    5.5889E+00
  1.2500E+00    5.5952E+00
  1.3500E+00    5.6016E+00
  1.4500E+00    5.6078E+00
  1.5500E+00    5.6140E+00
  1.6500E+00    5.6202E+00
  1.7500E+00    5.6263E+00
  1.8500E+00    5.6324E+00
  1.9500E+00    5.6384E+00
  2.0500E+00    5.6444E+00
  2.1500E+00    5.6503E+00
  2.2500E+00    5.6562E+00
  2.3500E+00    5.6621E+00
  2.4500E+00    5.6679E+00
  2.5500E+00    5.6737E+00
  2.6500E+00    5.6794E+00
  2.7500E+00    5.6851E+00
  2.8500E+00    5.6908E+00
  2.9500E+00    5.6964E+00
  3.0500E+00    5.7020E+00
  3.1500E+00    5.7075E+00
  3.2500E+00    5.7130E+00
  3.3500E+00    5.7185E+00
  3.4500E+00    5.7239E+00
  3.5500E+00    5.7293E+00
  3.6500E+00    5.7347E+00
  3.7500E+00    5.7400E+00
  3.8500E+00    5.7453E+00
  3.9500E+00    5.7506E+00
  4.0500E+00    5.7559E+00
  4.1500E+00    5.7611E+00
  4.2500E+00    5.7663E+00
  4.3500E+00    5.7714E+00
  4.4500E+00    5.7765E+00
  4.5500E+00    5.7816E+00
  4.6500E+00    5.7867E+00
  4.7500E+00    5.7917E+00
  4.8500E+00    5.7968E+00
  4.9500E+00    5.8017E+00
  5.0500E+00    5.8067E+00
  5.1500E+00    5.8116E+00
  5.2500E+00    5.8166E+00
  5.3500E+00    5.8214E+00
  5.4500E+00    5.8263E+00
  5.5500E+00    5.8312E+00
  5.6500E+00    5.8360E+00
  5.7500E+00    5.8408E+00
  5.8500E+00    5.8455E+00
  5.9500E+00    5.8503E+00
  6.0500E+00    5.8550E+00
  6.1500E+00    5.8597E+00
  6.2500E+00    5.8644E+00
  6.3500E+00    5.8691E+00
  6.4500E+00    5.8737E+00
  6.5500E+00    5.8783E+00
  6.6500E+00    5.8830E+00
  6.7500E+00    5.8875E+00
  6.8500E+00    5.8921E+00
  6.9500E+00    5.8967E+00
  7.0500E+00    5.9012E+00
  7.1500E+00    5.9057E+00
  7.2500E+00    5.9102E+00
  7.3500E+00    5.9147E+00
  7.4500E+00    5.9191E+00
  7.5500E+00    5.9236E+00
  7.6500E+00    5.9280E+00
  7.7500E+00    5.9324E+00
  7.8500E+00    5.9368E+00
  7.9500E+00    5.9412E+00
  8.0500E+00    5.9456E+00
  8.1500E+00    5.9499E+00
  8.2500E+00    5.9543E+00
  8.3500E+00    5.9586E+00
  8.4500E+00    5.9629E+00
  8.5500E+00    5.9672E+00
  8.6500E+00    5.9715E+00
  8.7500E+00    5.9757E+00
  8.8500E+00    5.9800E+00
  8.9500E+00    5.9842E+00
  9.0500E+00    5.9885E+00
  9.1500E+00    5.9927E+00
  9.2500E+00    5.9969E+00
  9.3500E+00    6.0011E+00
  9.4500E+00    6.0053E+00
  9.5500E+00    6.0094E+00
  9.6500E+00    6.0136E+00
  9.7500E+00    6.0177E+00
  9.8500E+00    6.0219E+00
  9.9500E+00    6.0260E+00
  1.0050E+01    6.0301E+00
  1.0150E+01    6.0342E+00
  1.0250E+01    6.0383E+00
  1.0350E+01    6.0424E+00
  1.0450E+01    6.0464E+00
  1.0550E+01    6.0505E+00
  1.0650E+01    6.0546E+00
  1.0750E+01    6.0586E+00
  1.0850E+01    6.0626E+00
  1.0950E+01    6.0667E+00
  1.1050E+01    6.0707E+00
  1.1150E+01    6.0747E+00
  1.1250E+01    6.0787E+00
  1.1350E+01    6.0827E+00
  1.1450E+01    6.0867E+00
  1.1550E+01    6.0906E+00
  1.1650E+01    6.0946E+00
  1.1750E+01    6.0986E+00
  1.1850E+01    6.1025E+00
  1.1950E+01    6.1065E+00
  1.2050E+01    6.1104E+00
  1.2150E+01    6.1143E+00
  1.2250E+01    6.1183E+00
  1.2350E+01    6.1222E+00
  1.2450E+01    6.1261E+00
  1.2550E+01    6.1300E+00
  1.2650E+01    6.1339E+00
  1.2750E+01    6.1378E+00
  1.2850E+01    6.1417E+00
  1.2950E+01    6.1456E+00
  1.3050E+01    6.1495E+00
  1.3150E+01    6.1533E+00
  1.3250E+01    6.1572E+00
  1.3350E+01    6.1611E+00
  1.3450E+01    6.1649E+00
  1.3550E+01    6.1688E+00
  1.3650E+01    6.1726E+00
  1.3750E+01    6.1765E+00
  1.3850E+01    6.1803E+00
  1.3950E+01    6.1841E+00
  1.4050E+01    6.1880E+00
  1.4150E+01    6.1918E+00
  1.4250E+01    6.1956E+00
  1.4350E+01    6.1994E+00
