# Time          1.0000E-01
# Units: Mol/m**3 Porous Medium/s
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02   -2.1485570E-14   -4.0115301E-11   -1.6226741E-10   -3.2554253E-11    1.2243709E-10    1.0102129E-11
    1.5000000E-01   -2.0240636E-14   -4.0132370E-11   -1.6260342E-10   -3.2635719E-11    1.1719580E-10    9.6557265E-12
    2.5000000E-01   -1.8859274E-14   -4.0149431E-11   -1.6294015E-10   -3.2717373E-11    1.1734455E-10    9.6556007E-12
    3.5000000E-01   -1.7473208E-14   -4.0166500E-11   -1.6327754E-10   -3.2799205E-11    1.1748990E-10    9.6565296E-12
    4.5000000E-01   -1.6084079E-14   -4.0183575E-11   -1.6361556E-10   -3.2881206E-11    1.1764439E-10    9.6593926E-12
    5.5000000E-01   -1.4691958E-14   -4.0200654E-11   -1.6395418E-10   -3.2963370E-11    1.1780687E-10    9.6639589E-12
    6.5000000E-01   -1.3296892E-14   -4.0217734E-11   -1.6429337E-10   -3.3045688E-11    1.1797621E-10    9.6700172E-12
    7.5000000E-01   -1.1898920E-14   -4.0234813E-11   -1.6463310E-10   -3.3128154E-11    1.1815146E-10    9.6773859E-12
    8.5000000E-01   -1.0498078E-14   -4.0251888E-11   -1.6497335E-10   -3.3210763E-11    1.1833185E-10    9.6859085E-12
    9.5000000E-01   -9.0943938E-15   -4.0268958E-11   -1.6531410E-10   -3.3293510E-11    1.1851672E-10    9.6954498E-12
    1.0500000E+00   -7.6878931E-15   -4.0286021E-11   -1.6565533E-10   -3.3376391E-11    1.1870550E-10    9.7058922E-12
    1.1500000E+00   -6.2785977E-15   -4.0303073E-11   -1.6599702E-10   -3.3459401E-11    1.1889773E-10    9.7171338E-12
    1.2500000E+00   -4.8665265E-15   -4.0320114E-11   -1.6633916E-10   -3.3542536E-11    1.1909301E-10    9.7290854E-12
    1.3500000E+00   -3.4516956E-15   -4.0337141E-11   -1.6668173E-10   -3.3625795E-11    1.1929099E-10    9.7416691E-12
    1.4500000E+00   -2.0341193E-15   -4.0354152E-11   -1.6702472E-10   -3.3709174E-11    1.1949138E-10    9.7548167E-12
    1.5500000E+00   -6.1380971E-16   -4.0371145E-11   -1.6736813E-10   -3.3792670E-11    1.1969392E-10    9.7684682E-12
    1.6500000E+00    0.0000000E+00   -4.0388119E-11   -1.6771195E-10   -3.3876282E-11    1.1989840E-10    9.7825709E-12
    1.7500000E+00    0.0000000E+00   -4.0405070E-11   -1.6805616E-10   -3.3960009E-11    1.2010462E-10    9.7970783E-12
    1.8500000E+00    0.0000000E+00   -4.0421998E-11   -1.6840076E-10   -3.4043847E-11    1.2031241E-10    9.8119493E-12
