# Time          1.0000E-01
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02   -2.2718996E-01   -4.4351917E+00   -8.6055470E+00   -3.1804919E+01    6.1709631E-03   -9.7669211E-03
    1.5000000E-01   -2.1023031E-01   -4.3883809E+00   -8.5654654E+00   -3.1404774E+01    5.9057910E-03   -1.0041216E-02
    2.5000000E-01   -1.9215617E-01   -4.3376513E+00   -8.5215814E+00   -3.1125493E+01    5.9316424E-03   -1.0023462E-02
    3.5000000E-01   -1.7474634E-01   -4.2884122E+00   -8.4789634E+00   -3.0899799E+01    5.9575118E-03   -1.0004807E-02
    4.5000000E-01   -1.5797134E-01   -4.2406197E+00   -8.4375773E+00   -3.0704220E+01    5.9840861E-03   -9.9846636E-03
    5.5000000E-01   -1.4178612E-01   -4.1941797E+00   -8.3973413E+00   -3.0528246E+01    6.0113089E-03   -9.9631754E-03
    6.5000000E-01   -1.2615005E-01   -4.1490066E+00   -8.3581813E+00   -3.0366246E+01    6.0391252E-03   -9.9404754E-03
    7.5000000E-01   -1.1102654E-01   -4.1050232E+00   -8.3200305E+00   -3.0214833E+01    6.0674896E-03   -9.9166777E-03
    8.5000000E-01   -9.6382485E-02   -4.0621593E+00   -8.2828282E+00   -3.0071803E+01    6.0963646E-03   -9.8918803E-03
    9.5000000E-01   -8.2187881E-02   -4.0203508E+00   -8.2465193E+00   -2.9935635E+01    6.1257194E-03   -9.8661681E-03
    1.0500000E+00   -6.8415425E-02   -3.9795394E+00   -8.2110533E+00   -2.9805229E+01    6.1555285E-03   -9.8396142E-03
    1.1500000E+00   -5.5040213E-02   -3.9396715E+00   -8.1763844E+00   -2.9679762E+01    6.1857709E-03   -9.8122820E-03
    1.2500000E+00   -4.2039469E-02   -3.9006980E+00   -8.1424701E+00   -2.9558597E+01    6.2164291E-03   -9.7842264E-03
    1.3500000E+00   -2.9392309E-02   -3.8625735E+00   -8.1092718E+00   -2.9441234E+01    6.2474887E-03   -9.7554949E-03
    1.4500000E+00   -1.7079539E-02   -3.8252564E+00   -8.0767536E+00   -2.9327266E+01    6.2789382E-03   -9.7261289E-03
