# Time          1.0000E-01
# Units: Mol/kgw
    Distance           H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-          
    5.0000000E-02   -6.0962471E-05    3.3575506E-05    8.9917167E-06    3.5498834E-05    1.5113147E-05    5.8079171E-08    1.0046163E-16    7.2205542E-08    3.7583455E-08    3.0172372E-09    2.2256628E-05    6.7379473E-04    3.2997789E-04    8.3187963E-05
    1.5000000E-01   -6.1685283E-05    3.3753196E-05    9.1155737E-06    3.5374561E-05    1.5192279E-05    5.3697215E-08    1.0000580E-16    1.4573054E-07    3.7766969E-08    3.0275957E-09    2.3142972E-05    6.7073752E-04    3.2848068E-04    8.2810513E-05
    2.5000000E-01   -6.2679073E-05    3.4080597E-05    9.2792184E-06    3.5409345E-05    1.5338866E-05    4.9606409E-08    1.0000037E-16    2.1942877E-07    3.8120006E-08    3.0519834E-09    2.4126443E-05    6.7070107E-04    3.2846283E-04    8.2806013E-05
    3.5000000E-01   -6.3679440E-05    3.4410460E-05    9.4435585E-06    3.5446105E-05    1.5486622E-05    4.5918275E-08    1.0000031E-16    2.9331115E-07    3.8480318E-08    3.0773156E-09    2.5113263E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    4.5000000E-01   -6.4683076E-05    3.4741024E-05    9.6081264E-06    3.5482960E-05    1.5634756E-05    4.2585172E-08    1.0000031E-16    3.6737817E-07    3.8845674E-08    3.1033737E-09    2.6102264E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    5.5000000E-01   -6.5689826E-05    3.5072271E-05    9.7729179E-06    3.5519891E-05    1.5783260E-05    3.9564823E-08    1.0000031E-16    4.4163022E-07    3.9215808E-08    3.1301017E-09    2.7093395E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    6.5000000E-01   -6.6699584E-05    3.5404204E-05    9.9379331E-06    3.5556899E-05    1.5932135E-05    3.6820966E-08    1.0000031E-16    5.1606765E-07    3.9590512E-08    3.1574520E-09    2.8086623E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    7.5000000E-01   -6.7712261E-05    3.5736823E-05    1.0103173E-05    3.5593983E-05    1.6081382E-05    3.4322369E-08    1.0000031E-16    5.9069080E-07    3.9969606E-08    3.1853830E-09    2.9081919E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    8.5000000E-01   -6.8727779E-05    3.6070130E-05    1.0268636E-05    3.5631144E-05    1.6231000E-05    3.2042018E-08    1.0000031E-16    6.6550000E-07    4.0352936E-08    3.2138580E-09    3.0079259E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    9.5000000E-01   -6.9746070E-05    3.6404124E-05    1.0434325E-05    3.5668382E-05    1.6380991E-05    2.9956449E-08    1.0000031E-16    7.4049555E-07    4.0740371E-08    3.2428449E-09    3.1078623E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
