# Time          1.0000E-01
# Units: Mole component in mineral/m^3 porous medium
    Distance           H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-          
    5.0000000E-02   -2.3015268E+04    1.4646309E+03    2.1326855E+03    1.6329379E+02    5.4219427E+02    5.8110891E+03    0.0000000E+00    2.7109713E+02    2.9144325E+01    2.3699543E+00    2.6247795E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.5000000E-01   -2.3028709E+04    1.4691831E+03    2.1349039E+03    1.6380131E+02    5.4423099E+02    5.8109357E+03    0.0000000E+00    2.7211550E+02    2.9148903E+01    2.3702522E+00    2.6261211E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    2.5000000E-01   -2.3042464E+04    1.4737496E+03    2.1371281E+03    1.6431043E+02    5.4627495E+02    5.8108719E+03    0.0000000E+00    2.7313748E+02    2.9154120E+01    2.3706091E+00    2.6274757E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    3.5000000E-01   -2.3056282E+04    1.4783298E+03    2.1393580E+03    1.6482109E+02    5.4832594E+02    5.8108146E+03    0.0000000E+00    2.7416297E+02    2.9159419E+01    2.3709783E+00    2.6288349E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    4.5000000E-01   -2.3070159E+04    1.4829234E+03    2.1415933E+03    1.6533323E+02    5.5038373E+02    5.8107630E+03    0.0000000E+00    2.7519187E+02    2.9164793E+01    2.3713586E+00    2.6301984E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    5.5000000E-01   -2.3084093E+04    1.4875298E+03    2.1438338E+03    1.6584681E+02    5.5244817E+02    5.8107163E+03    0.0000000E+00    2.7622408E+02    2.9170238E+01    2.3717492E+00    2.6315660E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    6.5000000E-01   -2.3098079E+04    1.4921488E+03    2.1460794E+03    1.6636179E+02    5.5451907E+02    5.8106741E+03    0.0000000E+00    2.7725954E+02    2.9175749E+01    2.3721492E+00    2.6329376E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    7.5000000E-01   -2.3112116E+04    1.4967799E+03    2.1483299E+03    1.6687812E+02    5.5659630E+02    5.8106357E+03    0.0000000E+00    2.7829815E+02    2.9181324E+01    2.3725578E+00    2.6343130E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    8.5000000E-01   -2.3126201E+04    1.5014229E+03    2.1505852E+03    1.6739577E+02    5.5867972E+02    5.8106007E+03    0.0000000E+00    2.7933986E+02    2.9186959E+01    2.3729745E+00    2.6356921E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    9.5000000E-01   -2.3140332E+04    1.5060775E+03    2.1528451E+03    1.6791472E+02    5.6076922E+02    5.8105688E+03    0.0000000E+00    2.8038461E+02    2.9192651E+01    2.3733988E+00    2.6370747E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.0500000E+00   -2.3154508E+04    1.5107435E+03    2.1551096E+03    1.6843494E+02    5.6286469E+02    5.8105397E+03    0.0000000E+00    2.8143235E+02    2.9198399E+01    2.3738301E+00    2.6384608E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.1500000E+00   -2.3168727E+04    1.5154206E+03    2.1573785E+03    1.6895639E+02    5.6496604E+02    5.8105130E+03    0.0000000E+00    2.8248302E+02    2.9204201E+01    2.3742681E+00    2.6398503E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.2500000E+00   -2.3182988E+04    1.5201086E+03    2.1596518E+03    1.6947907E+02    5.6707320E+02    5.8104885E+03    0.0000000E+00    2.8353660E+02    2.9210054E+01    2.3747123E+00    2.6412430E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.3500000E+00   -2.3197290E+04    1.5248074E+03    2.1619294E+03    1.7000295E+02    5.6918609E+02    5.8104659E+03    0.0000000E+00    2.8459304E+02    2.9215958E+01    2.3751624E+00    2.6426390E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.4500000E+00   -2.3211631E+04    1.5295169E+03    2.1642112E+03    1.7052802E+02    5.7130465E+02    5.8104451E+03    0.0000000E+00    2.8565232E+02    2.9221912E+01    2.3756182E+00    2.6440381E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.5500000E+00   -2.3226011E+04    1.5342369E+03    2.1664971E+03    1.7105426E+02    5.7342883E+02    5.8104260E+03    0.0000000E+00    2.8671441E+02    2.9227913E+01    2.3760793E+00    2.6454403E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.6500000E+00   -2.3240429E+04    1.5389674E+03    2.1687872E+03    1.7158166E+02    5.7555858E+02    5.8104083E+03    0.0000000E+00    2.8777929E+02    2.9233962E+01    2.3765456E+00    2.6468456E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.7500000E+00   -2.3254884E+04    1.5437081E+03    2.1710814E+03    1.7211021E+02    5.7769388E+02    5.8103919E+03    0.0000000E+00    2.8884694E+02    2.9240057E+01    2.3770168E+00    2.6482539E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
