# Time          1.0000E-01
# Units: Log10 mol/kgw
    Distance      pH               H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-              Al(OH)2+         AlO2-            AlOH++           HCO3-            H2SiO4--         HAlO2(aq)        HCl(aq)          HSiO3-           KCl(aq)          KOH(aq)          NaAlO2(aq)       NaCl(aq)         NaHSiO3(aq)      NaOH(aq)         OH-              CO3--            NaCO3-           NaHCO3(aq)   
    5.0000000E-02    5.4841009E+00   -5.4723143E+00   -3.9524922E+00   -4.5244178E+00   -3.9281841E+00   -4.2989716E+00   -7.9805037E+00   -1.5476406E+01   -6.6115287E+00   -6.9073707E+00   -8.0028739E+00   -4.1316045E+00   -2.6916847E+00   -2.9599218E+00   -3.5583599E+00   -8.7915953E+00   -1.1060826E+01   -8.0565581E+00   -3.6872609E+00   -1.6074214E+01   -9.6764319E+00   -8.3786930E+00   -8.8519350E+00   -9.7588501E+00   -1.3512744E+01   -1.5868046E+01   -8.3575055E+00   -1.1006289E+01   -1.3876597E+01   -9.1496389E+00   -8.6883216E+00   -1.1963410E+01   -7.3557689E+00
    1.5000000E-01    5.5265361E+00   -5.5194607E+00   -4.4218703E+00   -4.9828540E+00   -4.4094567E+00   -4.7685444E+00   -7.7213312E+00   -1.5959088E+01   -6.4764780E+00   -7.3738882E+00   -8.4710677E+00   -4.5568631E+00   -3.1779280E+00   -3.4426039E+00   -4.0410368E+00   -8.4100371E+00   -1.0594397E+01   -7.7324116E+00   -4.1361303E+00   -1.6434769E+01   -9.2473772E+00   -8.8986787E+00   -9.2398197E+00   -1.0689753E+01   -1.3923618E+01   -1.5860916E+01   -9.2994157E+00   -1.1853472E+01   -1.4298479E+01   -9.1122545E+00   -9.1097324E+00   -1.2834204E+01   -8.2639367E+00
    2.5000000E-01    5.5382993E+00   -5.5314940E+00   -4.4556466E+00   -5.0119943E+00   -4.4483868E+00   -4.8023510E+00   -7.7425345E+00   -1.5998649E+01   -6.3888183E+00   -7.4072114E+00   -8.5049895E+00   -4.5731756E+00   -3.2186401E+00   -3.4821641E+00   -4.0805966E+00   -8.4055609E+00   -1.0566395E+01   -7.7405438E+00   -4.1653638E+00   -1.6428690E+01   -9.2308533E+00   -8.9497145E+00   -9.2446535E+00   -1.0757881E+01   -1.3940708E+01   -1.5866122E+01   -9.3721819E+00   -1.1891515E+01   -1.4320207E+01   -9.1007754E+00   -9.1280478E+00   -1.2885168E+01   -8.3263792E+00
    3.5000000E-01    5.5452649E+00   -5.5384494E+00   -4.4527872E+00   -5.0058623E+00   -4.4492405E+00   -4.7995058E+00   -7.7782692E+00   -1.5999962E+01   -6.3161799E+00   -7.4043142E+00   -8.5024638E+00   -4.5583400E+00   -3.2206671E+00   -3.4834773E+00   -4.0819098E+00   -8.4274457E+00   -1.0574348E+01   -7.7693623E+00   -4.1604145E+00   -1.6399880E+01   -9.2457832E+00   -8.9580041E+00   -9.2228416E+00   -1.0753083E+01   -1.3927621E+01   -1.5871238E+01   -9.3706571E+00   -1.1866865E+01   -1.4310393E+01   -9.0937991E+00   -9.1161011E+00   -1.2870404E+01   -8.3185918E+00
    4.5000000E-01    5.5519925E+00   -5.5451577E+00   -4.4487472E+00   -4.9986843E+00   -4.4488234E+00   -4.7954776E+00   -7.8136991E+00   -1.5999997E+01   -6.2538331E+00   -7.4002115E+00   -8.4986864E+00   -4.5430211E+00   -3.2214031E+00   -3.4835130E+00   -4.0819454E+00   -8.4495744E+00   -1.0583022E+01   -7.7981582E+00   -4.1544025E+00   -1.6371025E+01   -9.2612045E+00   -8.9647879E+00   -9.2007747E+00   -1.0745982E+01   -1.3913736E+01   -1.5875912E+01   -9.3666936E+00   -1.1840799E+01   -1.4299646E+01   -9.0870511E+00   -9.1033009E+00   -1.2853645E+01   -8.3085804E+00
    5.5000000E-01    5.5586589E+00   -5.5518045E+00   -4.4447042E+00   -4.9915835E+00   -4.4483713E+00   -4.7914443E+00   -7.8484739E+00   -1.5999998E+01   -6.1991958E+00   -7.3960690E+00   -8.4948341E+00   -4.5281694E+00   -3.2221077E+00   -3.4835139E+00   -4.0819463E+00   -8.4711727E+00   -1.0591287E+01   -7.8263616E+00   -4.1484200E+00   -1.6342758E+01   -9.2761572E+00   -8.9714759E+00   -9.1792360E+00   -1.0738924E+01   -1.3899990E+01   -1.5880176E+01   -9.3626926E+00   -1.1815258E+01   -1.4288957E+01   -9.0803642E+00   -9.0905909E+00   -1.2836973E+01   -8.2985961E+00
    6.5000000E-01    5.5652699E+00   -5.5583959E+00   -4.4406893E+00   -4.9845868E+00   -4.4479179E+00   -4.7874374E+00   -7.8826192E+00   -1.5999998E+01   -6.1505560E+00   -7.3919203E+00   -8.4909446E+00   -4.5137794E+00   -3.2228152E+00   -3.4835140E+00   -4.0819462E+00   -8.4922523E+00   -1.0599145E+01   -7.8539909E+00   -4.1424959E+00   -1.6315064E+01   -9.2906464E+00   -8.9781077E+00   -9.1582144E+00   -1.0731968E+01   -1.3886403E+01   -1.5884059E+01   -9.3587191E+00   -1.1790263E+01   -1.4278352E+01   -9.0737326E+00   -9.0779944E+00   -1.2820444E+01   -8.2886982E+00
    7.5000000E-01    5.5718265E+00   -5.5649328E+00   -4.4367031E+00   -4.9776917E+00   -4.4474640E+00   -4.7834572E+00   -7.9161654E+00   -1.5999998E+01   -6.1067156E+00   -7.3877679E+00   -8.4870238E+00   -4.4998233E+00   -3.2235264E+00   -3.4835140E+00   -4.0819462E+00   -8.5128418E+00   -1.0606621E+01   -7.8810756E+00   -4.1366299E+00   -1.6287912E+01   -9.3047000E+00   -8.9846850E+00   -9.1376810E+00   -1.0725115E+01   -1.3872972E+01   -1.5887591E+01   -9.3547742E+00   -1.1765784E+01   -1.4267830E+01   -9.0671554E+00   -9.0655105E+00   -1.2804056E+01   -8.2788872E+00
    8.5000000E-01    5.5783294E+00   -5.5714161E+00   -4.4327451E+00   -4.9708952E+00   -4.4470097E+00   -4.7795034E+00   -7.9491411E+00   -1.5999998E+01   -6.0668032E+00   -7.3836134E+00   -8.4830765E+00   -4.4862752E+00   -3.2242414E+00   -3.4835140E+00   -4.0819461E+00   -8.5329682E+00   -1.0613742E+01   -7.9076434E+00   -4.1308213E+00   -1.6261276E+01   -9.3183441E+00   -8.9912088E+00   -9.1176094E+00   -1.0718360E+01   -1.3859694E+01   -1.5890795E+01   -9.3508575E+00   -1.1741796E+01   -1.4257389E+01   -9.0606318E+00   -9.0531376E+00   -1.2787807E+01   -8.2691618E+00
    9.5000000E-01    5.5847795E+00   -5.5778466E+00   -4.4288147E+00   -4.9641944E+00   -4.4465549E+00   -4.7755757E+00   -7.9815724E+00   -1.5999998E+01   -6.0301648E+00   -7.3794584E+00   -8.4791067E+00   -4.4731114E+00   -3.2249601E+00   -3.4835140E+00   -4.0819460E+00   -8.5526558E+00   -1.0620529E+01   -7.9337197E+00   -4.1250692E+00   -1.6235129E+01   -9.3316024E+00   -8.9976797E+00   -9.0979748E+00   -1.0711701E+01   -1.3846564E+01   -1.5893693E+01   -9.3469685E+00   -1.1718272E+01   -1.4247029E+01   -9.0541611E+00   -9.0408740E+00   -1.2771695E+01   -8.2595206E+00
