# Time          3.5000E+00
# Units: Log10 mol/kgw
    Distance      pH               H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-              Al(OH)2+         AlO2-            AlOH++           HCO3-            H2SiO4--         HAlO2(aq)        HCl(aq)          HSiO3-           KCl(aq)          KOH(aq)          NaAlO2(aq)       NaCl(aq)         NaHSiO3(aq)      NaOH(aq)         OH-              CO3--            NaCO3-           NaHCO3(aq)   
    5.0000000E-02    5.5130606E+00   -5.5069712E+00   -4.5656181E+00   -5.1376840E+00   -4.5414466E+00   -4.9122368E+00   -7.5022046E+00   -1.6089668E+01   -7.2251036E+00   -7.5145213E+00   -8.6098551E+00   -4.7433482E+00   -3.3070892E+00   -3.5731840E+00   -4.1716164E+00   -8.2099996E+00   -1.0421311E+01   -7.5219775E+00   -4.2798030E+00   -1.6652338E+01   -9.0597792E+00   -9.0147377E+00   -9.4408162E+00   -1.0973079E+01   -1.4090879E+01   -1.5829511E+01   -9.5716680E+00   -1.2196151E+01   -1.4454666E+01   -9.1267645E+00   -9.2699593E+00   -1.3134070E+01   -8.5492912E+00
    1.5000000E-01    5.5040159E+00   -5.4962491E+00   -4.3407099E+00   -4.9104658E+00   -4.3188838E+00   -4.6873126E+00   -7.6946561E+00   -1.5867387E+01   -6.7913852E+00   -7.2935998E+00   -8.3894094E+00   -4.5101785E+00   -3.0841138E+00   -3.3509023E+00   -3.9493359E+00   -8.4339136E+00   -1.0663314E+01   -7.7315975E+00   -4.0641051E+00   -1.6430208E+01   -9.2945051E+00   -8.7851962E+00   -9.2149240E+00   -1.0527137E+01   -1.3874489E+01   -1.5850130E+01   -9.1280195E+00   -1.1748874E+01   -1.4240570E+01   -9.1340445E+00   -9.0580569E+00   -1.2704265E+01   -8.1122088E+00
    2.5000000E-01    5.5069315E+00   -5.4985977E+00   -4.2737672E+00   -4.8405980E+00   -4.2550046E+00   -4.6203753E+00   -7.7774805E+00   -1.5803874E+01   -6.5509126E+00   -7.2272063E+00   -8.3234612E+00   -4.4317568E+00   -3.0209364E+00   -3.2873895E+00   -3.8858236E+00   -8.5154247E+00   -1.0738994E+01   -7.8142374E+00   -3.9974096E+00   -1.6343553E+01   -9.3737032E+00   -8.7252085E+00   -9.1329842E+00   -1.0394970E+01   -1.3802315E+01   -1.5860068E+01   -8.9987719E+00   -1.1601192E+01   -1.4171314E+01   -9.1305275E+00   -8.9866591E+00   -1.2568309E+01   -7.9797715E+00
    3.5000000E-01    5.5172641E+00   -5.5092008E+00   -4.3019191E+00   -4.8644749E+00   -4.2877657E+00   -4.6485584E+00   -7.7993301E+00   -1.5837189E+01   -6.4062650E+00   -7.2550563E+00   -8.3519019E+00   -4.4431899E+00   -3.0552204E+00   -3.3207044E+00   -3.9191381E+00   -8.5144542E+00   -1.0717358E+01   -7.8244526E+00   -4.0216486E+00   -1.6335468E+01   -9.3621123E+00   -8.7685647E+00   -9.1343724E+00   -1.0451582E+01   -1.3815568E+01   -1.5866011E+01   -9.0596617E+00   -1.1630159E+01   -1.4188845E+01   -9.1204821E+00   -9.0014186E+00   -1.2610082E+01   -8.0315890E+00
    4.5000000E-01    5.5315851E+00   -5.5240308E+00   -4.3595400E+00   -4.9167028E+00   -4.3513532E+00   -4.7062202E+00   -7.8093542E+00   -1.5901503E+01   -6.3116879E+00   -7.3120777E+00   -8.4096207E+00   -4.4803056E+00   -3.1208970E+00   -3.3850183E+00   -3.9834514E+00   -8.4917793E+00   -1.0666042E+01   -7.8177006E+00   -4.0735443E+00   -1.6346095E+01   -9.3245765E+00   -8.8466533E+00   -9.1577072E+00   -1.0567035E+01   -1.3852929E+01   -1.5871239E+01   -9.1805139E+00   -1.1710038E+01   -1.4231605E+01   -9.1067002E+00   -9.0405952E+00   -1.2704741E+01   -8.1400292E+00
    5.5000000E-01    5.5457545E+00   -5.5385838E+00   -4.4051619E+00   -4.9568935E+00   -4.4031498E+00   -4.7518774E+00   -7.8293573E+00   -1.5954063E+01   -6.2426970E+00   -7.3571297E+00   -8.4553234E+00   -4.5059667E+00   -3.1748581E+00   -3.4375788E+00   -4.0360115E+00   -8.4803864E+00   -1.0626310E+01   -7.8216806E+00   -4.1137413E+00   -1.6345034E+01   -9.2986087E+00   -8.9129733E+00   -9.1696043E+00   -1.0658970E+01   -1.3878541E+01   -1.5876321E+01   -9.2778836E+00   -1.1766749E+01   -1.4262652E+01   -9.0929356E+00   -9.0678262E+00   -1.2775988E+01   -8.2250400E+00
    6.5000000E-01    5.5571376E+00   -5.5501566E+00   -4.4278763E+00   -4.9750399E+00   -4.4311949E+00   -4.7746150E+00   -7.8586765E+00   -1.5982778E+01   -6.1870015E+00   -7.3794516E+00   -8.4781385E+00   -4.5123959E+00   -3.2047407E+00   -3.4662936E+00   -4.0647260E+00   -8.4854270E+00   -1.0608584E+01   -7.8386985E+00   -4.1324410E+00   -1.6329495E+01   -9.2920661E+00   -8.9528689E+00   -9.1648505E+00   -1.0705428E+01   -1.3885102E+01   -1.5880910E+01   -9.3289116E+00   -1.1784310E+01   -1.4273784E+01   -9.0817524E+00   -9.0757372E+00   -1.2805820E+01   -8.2660549E+00
    7.5000000E-01    5.5658943E+00   -5.5589774E+00   -4.4347286E+00   -4.9782133E+00   -4.4424393E+00   -4.7814807E+00   -7.8914959E+00   -1.5994582E+01   -6.1389515E+00   -7.3860433E+00   -8.4850776E+00   -4.5064386E+00   -3.2174703E+00   -3.4780971E+00   -4.0765294E+00   -8.5002224E+00   -1.0605866E+01   -7.8624511E+00   -4.1364814E+00   -1.6306294E+01   -9.2980373E+00   -8.9733609E+00   -9.1502039E+00   -1.0720269E+01   -1.3879451E+01   -1.5884910E+01   -9.3474321E+00   -1.1776382E+01   -1.4271812E+01   -9.0730630E+00   -9.0712212E+00   -1.2807889E+01   -8.2768131E+00
    8.5000000E-01    5.5732154E+00   -5.5663063E+00   -4.4343341E+00   -4.9746664E+00   -4.4458829E+00   -4.7810939E+00   -7.9247733E+00   -1.5998519E+01   -6.0960210E+00   -7.3854349E+00   -8.4847285E+00   -4.4952652E+00   -3.2222003E+00   -3.4820346E+00   -4.0804668E+00   -8.5187949E+00   -1.0609797E+01   -7.8883693E+00   -4.1338986E+00   -1.6280511E+01   -9.3092805E+00   -8.9846110E+00   -9.1317178E+00   -1.0720643E+01   -1.3868574E+01   -1.5888430E+01   -9.3509584E+00   -1.1757485E+01   -1.4264088E+01   -9.0657502E+00   -9.0613420E+00   -1.2797583E+01   -8.2738193E+00
    9.5000000E-01    5.5799405E+00   -5.5730195E+00   -4.4313935E+00   -4.9688252E+00   -4.4465362E+00   -4.7781576E+00   -7.9576385E+00   -1.5999639E+01   -6.0569757E+00   -7.3822785E+00   -8.4817840E+00   -4.4825562E+00   -3.2240614E+00   -3.4831550E+00   -4.0815871E+00   -8.5383045E+00   -1.0615856E+01   -7.9145668E+00   -4.1290221E+00   -1.6254302E+01   -9.3220774E+00   -8.9924691E+00   -9.1122712E+00   -1.0715947E+01   -1.3856021E+01   -1.5891573E+01   -9.3491632E+00   -1.1735122E+01   -1.4254435E+01   -9.0590127E+00   -9.0497033E+00   -1.2783053E+01   -8.2660271E+00
