# Time          1.0000E-01
# Units: Bars
    Distance        CO2(g)           O2(g)           
    5.0000000E-02    3.3465518E-02    6.0104926E-01
    1.5000000E-01    1.0922231E-02    1.9778119E-01
    2.5000000E-01    9.9448322E-03    1.8056064E-01
    3.5000000E-01    9.8985255E-03    1.8001551E-01
    4.5000000E-01    9.8817672E-03    1.8000076E-01
    5.5000000E-01    9.8657521E-03    1.8000044E-01
    6.5000000E-01    9.8496965E-03    1.8000048E-01
    7.5000000E-01    9.8335818E-03    1.8000053E-01
    8.5000000E-01    9.8174087E-03    1.8000058E-01
    9.5000000E-01    9.8011785E-03    1.8000063E-01
    1.0500000E+00    9.7848920E-03    1.8000068E-01
    1.1500000E+00    9.7685503E-03    1.8000074E-01
    1.2500000E+00    9.7521541E-03    1.8000079E-01
    1.3500000E+00    9.7357043E-03    1.8000084E-01
    1.4500000E+00    9.7192016E-03    1.8000089E-01
    1.5500000E+00    9.7026466E-03    1.8000095E-01
    1.6500000E+00    9.6860401E-03    1.8000100E-01
    1.7500000E+00    9.6693825E-03    1.8000105E-01
    1.8500000E+00    9.6526744E-03    1.8000111E-01
    1.9500000E+00    9.6359163E-03    1.8000116E-01
    2.0500000E+00    9.6191087E-03    1.8000121E-01
    2.1500000E+00    9.6022521E-03    1.8000127E-01
    2.2500000E+00    9.5853468E-03    1.8000132E-01
    2.3500000E+00    9.5683933E-03    1.8000137E-01
    2.4500000E+00    9.5513918E-03    1.8000143E-01
    2.5500000E+00    9.5343429E-03    1.8000148E-01
    2.6500000E+00    9.5172467E-03    1.8000154E-01
    2.7500000E+00    9.5001037E-03    1.8000159E-01
    2.8500000E+00    9.4829140E-03    1.8000165E-01
    2.9500000E+00    9.4656781E-03    1.8000170E-01
    3.0500000E+00    9.4483960E-03    1.8000176E-01
    3.1500000E+00    9.4310682E-03    1.8000181E-01
    3.2500000E+00    9.4136947E-03    1.8000187E-01
    3.3500000E+00    9.3962759E-03    1.8000192E-01
    3.4500000E+00    9.3788120E-03    1.8000198E-01
    3.5500000E+00    9.3613031E-03    1.8000203E-01
    3.6500000E+00    9.3437495E-03    1.8000209E-01
    3.7500000E+00    9.3261512E-03    1.8000215E-01
    3.8500000E+00    9.3085086E-03    1.8000220E-01
    3.9500000E+00    9.2908218E-03    1.8000226E-01
    4.0500000E+00    9.2730909E-03    1.8000231E-01
    4.1500000E+00    9.2553160E-03    1.8000237E-01
    4.2500000E+00    9.2374974E-03    1.8000243E-01
    4.3500000E+00    9.2196351E-03    1.8000248E-01
    4.4500000E+00    9.2017293E-03    1.8000254E-01
    4.5500000E+00    9.1837801E-03    1.8000260E-01
    4.6500000E+00    9.1657876E-03    1.8000266E-01
    4.7500000E+00    9.1477519E-03    1.8000271E-01
    4.8500000E+00    9.1296731E-03    1.8000277E-01
    4.9500000E+00    9.1115514E-03    1.8000283E-01
    5.0500000E+00    9.0933869E-03    1.8000289E-01
    5.1500000E+00    9.0751795E-03    1.8000294E-01
    5.2500000E+00    9.0569295E-03    1.8000300E-01
    5.3500000E+00    9.0386368E-03    1.8000306E-01
    5.4500000E+00    9.0203017E-03    1.8000312E-01
    5.5500000E+00    9.0019241E-03    1.8000318E-01
    5.6500000E+00    8.9835041E-03    1.8000324E-01
    5.7500000E+00    8.9650418E-03    1.8000329E-01
    5.8500000E+00    8.9465373E-03    1.8000335E-01
    5.9500000E+00    8.9279906E-03    1.8000341E-01
    6.0500000E+00    8.9094017E-03    1.8000347E-01
    6.1500000E+00    8.8907709E-03    1.8000353E-01
    6.2500000E+00    8.8720980E-03    1.8000359E-01
    6.3500000E+00    8.8533832E-03    1.8000365E-01
    6.4500000E+00    8.8346265E-03    1.8000371E-01
    6.5500000E+00    8.8158279E-03    1.8000377E-01
    6.6500000E+00    8.7969875E-03    1.8000383E-01
    6.7500000E+00    8.7781054E-03    1.8000389E-01
    6.8500000E+00    8.7591815E-03    1.8000395E-01
    6.9500000E+00    8.7402160E-03    1.8000401E-01
    7.0500000E+00    8.7212088E-03    1.8000407E-01
    7.1500000E+00    8.7021600E-03    1.8000413E-01
    7.2500000E+00    8.6830697E-03    1.8000419E-01
    7.3500000E+00    8.6639378E-03    1.8000425E-01
    7.4500000E+00    8.6447644E-03    1.8000431E-01
    7.5500000E+00    8.6255495E-03    1.8000437E-01
    7.6500000E+00    8.6062932E-03    1.8000444E-01
    7.7500000E+00    8.5869954E-03    1.8000450E-01
    7.8500000E+00    8.5676563E-03    1.8000456E-01
    7.9500000E+00    8.5482758E-03    1.8000462E-01
    8.0500000E+00    8.5288539E-03    1.8000468E-01
    8.1500000E+00    8.5093907E-03    1.8000474E-01
    8.2500000E+00    8.4898862E-03    1.8000481E-01
    8.3500000E+00    8.4703405E-03    1.8000487E-01
    8.4500000E+00    8.4507534E-03    1.8000493E-01
    8.5500000E+00    8.4311251E-03    1.8000499E-01
    8.6500000E+00    8.4114556E-03    1.8000506E-01
    8.7500000E+00    8.3917449E-03    1.8000512E-01
    8.8500000E+00    8.3719930E-03    1.8000518E-01
    8.9500000E+00    8.3521999E-03    1.8000525E-01
    9.0500000E+00    8.3323657E-03    1.8000531E-01
    9.1500000E+00    8.3124903E-03    1.8000537E-01
    9.2500000E+00    8.2925737E-03    1.8000544E-01
    9.3500000E+00    8.2726161E-03    1.8000550E-01
    9.4500000E+00    8.2526173E-03    1.8000556E-01
    9.5500000E+00    8.2325774E-03    1.8000563E-01
    9.6500000E+00    8.2124965E-03    1.8000569E-01
    9.7500000E+00    8.1923745E-03    1.8000575E-01
    9.8500000E+00    8.1722114E-03    1.8000582E-01
    9.9500000E+00    8.1520073E-03    1.8000588E-01
    1.0050000E+01    8.1317621E-03    1.8000595E-01
    1.0150000E+01    8.1114759E-03    1.8000601E-01
    1.0250000E+01    8.0911487E-03    1.8000608E-01
    1.0350000E+01    8.0707805E-03    1.8000614E-01
    1.0450000E+01    8.0503713E-03    1.8000621E-01
    1.0550000E+01    8.0299211E-03    1.8000627E-01
    1.0650000E+01    8.0094299E-03    1.8000634E-01
    1.0750000E+01    7.9888977E-03    1.8000640E-01
    1.0850000E+01    7.9683246E-03    1.8000647E-01
    1.0950000E+01    7.9477105E-03    1.8000653E-01
    1.1050000E+01    7.9270555E-03    1.8000660E-01
    1.1150000E+01    7.9063596E-03    1.8000667E-01
    1.1250000E+01    7.8856227E-03    1.8000673E-01
    1.1350000E+01    7.8648449E-03    1.8000680E-01
    1.1450000E+01    7.8440263E-03    1.8000686E-01
    1.1550000E+01    7.8231667E-03    1.8000693E-01
    1.1650000E+01    7.8022663E-03    1.8000700E-01
    1.1750000E+01    7.7813249E-03    1.8000706E-01
    1.1850000E+01    7.7603428E-03    1.8000713E-01
    1.1950000E+01    7.7393197E-03    1.8000720E-01
    1.2050000E+01    7.7182559E-03    1.8000727E-01
    1.2150000E+01    7.6971512E-03    1.8000733E-01
    1.2250000E+01    7.6760057E-03    1.8000740E-01
    1.2350000E+01    7.6548194E-03    1.8000747E-01
    1.2450000E+01    7.6335923E-03    1.8000754E-01
    1.2550000E+01    7.6123245E-03    1.8000760E-01
    1.2650000E+01    7.5910158E-03    1.8000767E-01
    1.2750000E+01    7.5696665E-03    1.8000774E-01
