# Time series at grid cell:  27   1   1
  Time(day)                  Na+                    K+                     Ca++                   Mg++                   Al+++                  Fe+++                  Fe++                   SiO2(aq)               CO2(aq)                pH                     Li7+                   Li6+                  
  1.00000E-02                4.30636118721329E-05   1.37148368327820E-05   3.64108572432790E-05   1.93843302846072E-05   9.99708800610739E-09   1.00000313914745E-16   2.24216514240342E-06   5.09800338467377E-05   6.70700700809082E-04   5.68696899222622E+00   4.90180228221305E-08   3.88479469571235E-09
  2.00000E-02                4.30649264890989E-05   1.37154813240652E-05   3.64110038117923E-05   1.93849248505137E-05   9.99527198993397E-09   1.00000313914745E-16   2.24246242535667E-06   5.09839584280336E-05   6.70700700809082E-04   5.68699037592583E+00   4.90197263527887E-08   3.88492872626511E-09
  3.00000E-02                4.30662411059626E-05   1.37161258152765E-05   3.64111503802941E-05   1.93855194163647E-05   9.99345641438615E-09   1.00000313914745E-16   2.24275970828215E-06   5.09878830094223E-05   6.70700700809082E-04   5.68701175889620E+00   4.90214298859424E-08   3.88506275733264E-09
  4.00000E-02                4.30675557227239E-05   1.37167703064160E-05   3.64112969487845E-05   1.93861139821600E-05   9.99164127772958E-09   1.00000313914745E-16   2.24305699117985E-06   5.09918075909020E-05   6.70700700809082E-04   5.68703314114827E+00   4.90231334215804E-08   3.88519678891387E-09
  5.00000E-02                4.30688703393830E-05   1.37174147974836E-05   3.64114435172635E-05   1.93867085478999E-05   9.98982657977647E-09   1.00000313914745E-16   2.24335427404978E-06   5.09957321724725E-05   6.70700700809082E-04   5.68705452268211E+00   4.90248369597015E-08   3.88533082100860E-09
  5.00010E-02                4.30688704706253E-05   1.37174148618251E-05   3.64114435318959E-05   1.93867086072573E-05   9.98982643338044E-09   1.00000313914745E-16   2.24335430372845E-06   5.09957325643105E-05   6.70700700809088E-04   5.68705445060621E+00   4.90248371300054E-08   3.88533083440854E-09
  5.00030E-02                4.30688707331098E-05   1.37174149905081E-05   3.64114435611607E-05   1.93867087259720E-05   9.98982614020349E-09   1.00000313914745E-16   2.24335436308578E-06   5.09957333479860E-05   6.70700700809082E-04   5.68705445487261E+00   4.90248374706108E-08   3.88533086120821E-09
  5.00070E-02                4.30688712580787E-05   1.37174152478743E-05   3.64114436196902E-05   1.93867089634013E-05   9.98982555230703E-09   1.00000313914745E-16   2.24335448180045E-06   5.09957349153355E-05   6.70700700809082E-04   5.68705446342717E+00   4.90248381518109E-08   3.88533091480669E-09
  5.00150E-02                4.30688723080167E-05   1.37174157626066E-05   3.64114437367493E-05   1.93867094382600E-05   9.98982437046583E-09   1.00000313914745E-16   2.24335471922979E-06   5.09957380500285E-05   6.70700700809082E-04   5.68705448053623E+00   4.90248395141705E-08   3.88533102200031E-09
  5.00309E-02                4.30688744078926E-05   1.37174167920711E-05   3.64114439708674E-05   1.93867103879773E-05   9.98982198361997E-09   1.00000313914745E-16   2.24335519408850E-06   5.09957443193913E-05   6.70700700809082E-04   5.68705451475408E+00   4.90248422387335E-08   3.88533123637485E-09
  5.00629E-02                4.30688786076444E-05   1.37174188510003E-05   3.64114444391037E-05   1.93867122874120E-05   9.98981712483359E-09   1.00000313914745E-16   2.24335614380598E-06   5.09957568580324E-05   6.70700700809084E-04   5.68705458318882E+00   4.90248476872859E-08   3.88533166507719E-09
  5.01268E-02                4.30688870071483E-05   1.37174229688589E-05   3.64114453755763E-05   1.93867160862817E-05   9.98980711823734E-09   1.00000313914745E-16   2.24335804324125E-06   5.09957819350270E-05   6.70700700809087E-04   5.68705472005499E+00   4.90248585824421E-08   3.88533252232317E-09
  5.02546E-02                4.30689038061574E-05   1.37174312045769E-05   3.64114472485215E-05   1.93867236840215E-05   9.98978625207440E-09   1.00000313914745E-16   2.24336184211300E-06   5.09958320881703E-05   6.70700700809098E-04   5.68705499377757E+00   4.90248803670039E-08   3.88533423634681E-09
  5.05101E-02                4.30689374041806E-05   1.37174476760168E-05   3.64114509944118E-05   1.93867388795032E-05   9.98974252540376E-09   1.00000313914745E-16   2.24336943986130E-06   5.09959323924947E-05   6.70700700809145E-04   5.68705554119976E+00   4.90249239226857E-08   3.88533766329941E-09
  5.10213E-02                4.30690046002462E-05   1.37174806189110E-05   3.64114584861928E-05   1.93867692704755E-05   9.98965177802865E-09   1.00000313914745E-16   2.24338463537712E-06   5.09961329979880E-05   6.70700700809335E-04   5.68705663600543E+00   4.90250110118625E-08   3.88534451539822E-09
  5.20436E-02                4.30691389924549E-05   1.37175465047580E-05   3.64114734697559E-05   1.93868300524554E-05   9.98946685694501E-09   1.00000313914745E-16   2.24341502648568E-06   5.09965342061276E-05   6.70700700810091E-04   5.68705882557235E+00   4.90251851672171E-08   3.88535821772538E-09
  5.40882E-02                4.30694077771829E-05   1.37176782766865E-05   3.64115034368862E-05   1.93869516165555E-05   9.98909497596876E-09   1.00000313914745E-16   2.24347580901039E-06   5.09973366227131E-05   6.70700700813113E-04   5.68706320466053E+00   4.90255334646039E-08   3.88538562130599E-09
  5.81773E-02                4.30699453445241E-05   1.37179418189491E-05   3.64115633711139E-05   1.93871947437938E-05   9.98835060787363E-09   1.00000313914745E-16   2.24359737199667E-06   5.09989414394537E-05   6.70700700809083E-04   5.68707196273930E+00   4.90262300522391E-08   3.88544042794820E-09
  6.63557E-02                4.30710204808162E-05   1.37184689046921E-05   3.64116832395866E-05   1.93876809989954E-05   9.98686197998583E-09   1.00000313914745E-16   2.24384049959747E-06   5.10021510854217E-05   6.70700700809083E-04   5.68708947853497E+00   4.90276232302994E-08   3.88555004165965E-09
  7.63557E-02                4.30723350972058E-05   1.37191133955702E-05   3.64118298080356E-05   1.93882755645888E-05   9.98504601275510E-09   1.00000313914745E-16   2.24413778239420E-06   5.10060756648002E-05   6.70700700809083E-04   5.68711087167337E+00   4.90293267586093E-08   3.88568407377499E-09
  8.63557E-02                4.30736497134930E-05   1.37197578863765E-05   3.64119763764732E-05   1.93888701301267E-05   9.98323282413734E-09   1.00000313914745E-16   2.24443506516314E-06   5.10100002466149E-05   6.70700700809083E-04   5.68713225059759E+00   4.90310303051819E-08   3.88581810768866E-09
  9.63557E-02                4.30749643296780E-05   1.37204023771109E-05   3.64121229448993E-05   1.93894646956090E-05   9.98142015515629E-09   1.00000313914745E-16   2.24473234790432E-06   5.10139248286016E-05   6.70700700809083E-04   5.68715362880265E+00   4.90327338547841E-08   3.88595214215977E-09
  1.00000E-01                4.30754434211944E-05   1.37206372517784E-05   3.64121763594931E-05   1.93896813757931E-05   9.98076692011106E-09   1.00000313914745E-16   2.24484068799633E-06   5.10153550891245E-05   6.70700700809083E-04   5.68716137249330E+00   4.90333547366770E-08   3.88600099303003E-09
  1.07289E-01                4.30764016041728E-05   1.37211070010753E-05   3.64122831886748E-05   1.93901147361316E-05   9.97944244336006E-09   1.00000313914745E-16   2.24505736816561E-06   5.10182155919342E-05   6.70700700809082E-04   5.68717698076077E+00   4.90345963787842E-08   3.88609868502464E-09
  1.17289E-01                4.30777162201436E-05   1.37217514916591E-05   3.64124297570770E-05   1.93907093014977E-05   9.97762723713934E-09   1.00000313914745E-16   2.24535465084864E-06   5.10221401706468E-05   6.70700700809083E-04   5.68719837755037E+00   4.90362999102839E-08   3.88623271867126E-09
  1.27289E-01                4.30790308360123E-05   1.37223959821711E-05   3.64125763254679E-05   1.93913038668082E-05   9.97581580503405E-09   1.00000313914745E-16   2.24565193350390E-06   5.10260647527935E-05   6.70700700809083E-04   5.68721975353661E+00   4.90380034667600E-08   3.88636675466252E-09
  1.37289E-01                4.30803454517786E-05   1.37230404726110E-05   3.64127228938474E-05   1.93918984320632E-05   9.97400492666793E-09   1.00000313914745E-16   2.24594921613138E-06   5.10299893351465E-05   6.70700700809083E-04   5.68724112880327E+00   4.90397070264963E-08   3.88650079122952E-09
  1.47289E-01                4.30816600674426E-05   1.37236849629791E-05   3.64128694622156E-05   1.93924929972626E-05   9.97219448974838E-09   1.00000313914745E-16   2.24624649873109E-06   5.10339139175927E-05   6.70700700809083E-04   5.68726250335226E+00   4.90414105887357E-08   3.88663482831046E-09
  1.57289E-01                4.30829746830044E-05   1.37243294532752E-05   3.64130160305722E-05   1.93930875624065E-05   9.97038449025455E-09   1.00000313914745E-16   2.24654378130302E-06   5.10378385001284E-05   6.70700700809083E-04   5.68728387718360E+00   4.90431141534512E-08   3.88676886590303E-09
