# Time          3.5000E+00
# Units: Mol/m**3 Porous Medium/s
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02   -2.7383645E-14   -4.0115975E-11   -1.6226741E-10   -3.2554253E-11    1.0001925E-10    8.2534768E-12
    1.5000000E-01   -9.3573848E-15   -4.0130177E-11   -1.6260342E-10   -3.2635719E-11    1.2052223E-10    9.9344695E-12
    2.5000000E-01   -7.6996245E-16   -4.0144788E-11   -1.6294015E-10   -3.2717373E-11    1.1739180E-10    9.6665171E-12
    3.5000000E-01   -2.1206793E-15   -4.0162593E-11   -1.6327754E-10   -3.2799205E-11    1.1706934E-10    9.6268602E-12
    4.5000000E-01   -6.2679649E-15   -4.0181258E-11   -1.6361556E-10   -3.2881206E-11    1.1728163E-10    9.6288435E-12
    5.5000000E-01   -8.9349670E-15   -4.0199345E-11   -1.6395418E-10   -3.2963370E-11    1.1755340E-10    9.6367050E-12
    6.5000000E-01   -9.5788898E-15   -4.0216875E-11   -1.6429337E-10   -3.3045688E-11    1.1783562E-10    9.6488785E-12
    7.5000000E-01   -8.9827066E-15   -4.0234105E-11   -1.6463310E-10   -3.3128154E-11    1.1807686E-10    9.6609013E-12
    8.5000000E-01   -7.8421519E-15   -4.0251201E-11   -1.6497335E-10   -3.3210763E-11    1.1828449E-10    9.6721121E-12
    9.5000000E-01   -6.5086597E-15   -4.0268242E-11   -1.6531410E-10   -3.3293510E-11    1.1848022E-10    9.6833920E-12
    1.0500000E+00   -5.1159330E-15   -4.0285259E-11   -1.6565533E-10   -3.3376391E-11    1.1867449E-10    9.6951807E-12
    1.1500000E+00   -3.7058234E-15   -4.0302260E-11   -1.6599702E-10   -3.3459401E-11    1.1887050E-10    9.7075682E-12
    1.2500000E+00   -2.2895944E-15   -4.0319245E-11   -1.6633916E-10   -3.3542536E-11    1.1906885E-10    9.7205272E-12
    1.3500000E+00   -8.6992682E-16   -4.0336213E-11   -1.6668173E-10   -3.3625795E-11    1.1926948E-10    9.7340049E-12
    1.4500000E+00    0.0000000E+00   -4.0353162E-11   -1.6702472E-10   -3.3709174E-11    1.1947220E-10    9.7479485E-12
    1.5500000E+00    0.0000000E+00   -4.0370091E-11   -1.6736813E-10   -3.3792670E-11    1.1967680E-10    9.7623097E-12
    1.6500000E+00    0.0000000E+00   -4.0386998E-11   -1.6771195E-10   -3.3876282E-11    1.1988309E-10    9.7770459E-12
    1.7500000E+00    0.0000000E+00   -4.0403879E-11   -1.6805616E-10   -3.3960009E-11    1.2009093E-10    9.7921195E-12
    1.8500000E+00    0.0000000E+00   -4.0420733E-11   -1.6840076E-10   -3.4043847E-11    1.2030016E-10    9.8074970E-12
