# Time          3.0000E+00
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02   -2.1315187E-01   -4.3953666E+00   -8.5688530E+00   -3.1718338E+01    3.8346541E-03   -1.2103408E-02
    1.5000000E-01   -4.8901465E-03   -3.7851953E+00   -8.0041387E+00   -3.0333169E+01    6.2847347E-03   -9.6598449E-03
    2.5000000E-01    1.3709911E-02   -3.7331472E+00   -7.9591895E+00   -3.0016619E+01    5.9130933E-03   -1.0039421E-02
    3.5000000E-01   -3.4534759E-02   -3.8776380E+00   -8.0982427E+00   -3.0086390E+01    5.8608353E-03   -1.0102226E-02
    4.5000000E-01   -7.7655222E-02   -4.0062099E+00   -8.2229422E+00   -3.0165021E+01    5.9007004E-03   -1.0073282E-02
    5.5000000E-01   -9.3620314E-02   -4.0539156E+00   -8.2716876E+00   -3.0139538E+01    5.9683192E-03   -1.0014159E-02
    6.5000000E-01   -9.0620934E-02   -4.0452838E+00   -8.2670631E+00   -3.0042713E+01    6.0235955E-03   -9.9646541E-03
    7.5000000E-01   -7.9868839E-02   -4.0135522E+00   -8.2403718E+00   -2.9920081E+01    6.0629562E-03   -9.9294405E-03
    8.5000000E-01   -6.6968409E-02   -3.9752716E+00   -8.2073216E+00   -2.9793232E+01    6.0951965E-03   -9.9005395E-03
    9.5000000E-01   -5.3805883E-02   -3.9360058E+00   -8.1732215E+00   -2.9668801E+01    6.1254684E-03   -9.8731494E-03
    1.0500000E+00   -4.0871609E-02   -3.8972092E+00   -8.1394681E+00   -2.9548101E+01    6.1555507E-03   -9.8456198E-03
    1.1500000E+00   -2.8261194E-02   -3.8591766E+00   -8.1063489E+00   -2.9431067E+01    6.1859120E-03   -9.8175374E-03
    1.2500000E+00   -1.5978656E-02   -3.8219336E+00   -8.0738932E+00   -2.9317382E+01    6.2166479E-03   -9.7888400E-03
    1.3500000E+00   -4.0105230E-03   -3.7854536E+00   -8.0420794E+00   -2.9206731E+01    6.2477684E-03   -9.7595443E-03
    1.4500000E+00    7.6587688E-03   -3.7497029E+00   -8.0108790E+00   -2.9098844E+01    6.2792673E-03   -9.7296791E-03
    1.5500000E+00    1.9044121E-02   -3.7146486E+00   -7.9802641E+00   -2.8993490E+01    6.3111374E-03   -9.6992720E-03
    1.6500000E+00    3.0159422E-02   -3.6802600E+00   -7.9502083E+00   -2.8890471E+01    6.3433724E-03   -9.6683473E-03
    1.7500000E+00    4.1017577E-02   -3.6465084E+00   -7.9206873E+00   -2.8789617E+01    6.3759673E-03   -9.6369259E-03
    1.8500000E+00    5.1630588E-02   -3.6133669E+00   -7.8916782E+00   -2.8690778E+01    6.4089185E-03   -9.6050257E-03
    1.9500000E+00    6.2009637E-02   -3.5808105E+00   -7.8631598E+00   -2.8593824E+01    6.4422231E-03   -9.5726622E-03
    2.0500000E+00    7.2165163E-02   -3.5488156E+00   -7.8351121E+00   -2.8498637E+01    6.4758794E-03   -9.5398485E-03
    2.1500000E+00    8.2106920E-02   -3.5173601E+00   -7.8075163E+00   -2.8405116E+01    6.5098863E-03   -9.5065958E-03
    2.2500000E+00    9.1844042E-02   -3.4864232E+00   -7.7803549E+00   -2.8313167E+01    6.5442436E-03   -9.4729133E-03
    2.3500000E+00    1.0138509E-01   -3.4559855E+00   -7.7536113E+00   -2.8222707E+01    6.5789516E-03   -9.4388089E-03
    2.4500000E+00    1.1073811E-01   -3.4260285E+00   -7.7272701E+00   -2.8133659E+01    6.6140110E-03   -9.4042888E-03
    2.5500000E+00    1.1991064E-01   -3.3965348E+00   -7.7013164E+00   -2.8045955E+01    6.6494233E-03   -9.3693582E-03
    2.6500000E+00    1.2890980E-01   -3.3674879E+00   -7.6757365E+00   -2.7959531E+01    6.6851904E-03   -9.3340209E-03
