 TITLE = "Isotope ratios" 
    Distance        Li7+            
    5.0000000E-02   -1.0326791E+01
    1.5000000E-01   -1.2319115E+01
    2.5000000E-01   -1.3000706E+01
    3.5000000E-01   -1.4025791E+01
    4.5000000E-01   -1.5382782E+01
    5.5000000E-01   -1.6793233E+01
    6.5000000E-01   -1.7965148E+01
    7.5000000E-01   -1.8810548E+01
    8.5000000E-01   -1.9411453E+01
    9.5000000E-01   -1.9870968E+01
    1.0500000E+00   -2.0251627E+01
    1.1500000E+00   -2.0582261E+01
    1.2500000E+00   -2.0875304E+01
    1.3500000E+00   -2.1136879E+01
    1.4500000E+00   -2.1370888E+01
    1.5500000E+00   -2.1580378E+01
    1.6500000E+00   -2.1767959E+01
    1.7500000E+00   -2.1935928E+01
    1.8500000E+00   -2.2086328E+01
    1.9500000E+00   -2.2220976E+01
    2.0500000E+00   -2.2341494E+01
    2.1500000E+00   -2.2449328E+01
    2.2500000E+00   -2.2545770E+01
    2.3500000E+00   -2.2631972E+01
    2.4500000E+00   -2.2708967E+01
    2.5500000E+00   -2.2777675E+01
    2.6500000E+00   -2.2838923E+01
    2.7500000E+00   -2.2893450E+01
    2.8500000E+00   -2.2941918E+01
    2.9500000E+00   -2.2984922E+01
    3.0500000E+00   -2.3022994E+01
    3.1500000E+00   -2.3056613E+01
    3.2500000E+00   -2.3086210E+01
    3.3500000E+00   -2.3112171E+01
    3.4500000E+00   -2.3134843E+01
    3.5500000E+00   -2.3154539E+01
    3.6500000E+00   -2.3171541E+01
    3.7500000E+00   -2.3186104E+01
    3.8500000E+00   -2.3198455E+01
    3.9500000E+00   -2.3208802E+01
    4.0500000E+00   -2.3217330E+01
    4.1500000E+00   -2.3224209E+01
    4.2500000E+00   -2.3229590E+01
    4.3500000E+00   -2.3233610E+01
    4.4500000E+00   -2.3236395E+01
    4.5500000E+00   -2.3238056E+01
    4.6500000E+00   -2.3238695E+01
    4.7500000E+00   -2.3238406E+01
    4.8500000E+00   -2.3237270E+01
    4.9500000E+00   -2.3235365E+01
    5.0500000E+00   -2.3232760E+01
    5.1500000E+00   -2.3229516E+01
    5.2500000E+00   -2.3225690E+01
    5.3500000E+00   -2.3221335E+01
    5.4500000E+00   -2.3216496E+01
    5.5500000E+00   -2.3211217E+01
