# Time          3.0000E+00
# Units: Mol/kgw
    Distance           H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-          
    5.0000000E-02   -6.2923871E-05    3.4656301E-05    9.2829348E-06    3.6634107E-05    1.5599619E-05    5.6354684E-08    1.0367197E-16    7.6272109E-08    3.8769654E-08    3.1123790E-09    2.2987768E-05    6.9532642E-04    3.4052262E-04    8.5846306E-05
    1.5000000E-01   -9.9792478E-05    5.4803242E-05    1.4761598E-05    5.7594535E-05    2.4667317E-05    3.6709957E-08    1.6287631E-16    1.9941173E-07    6.0971962E-08    4.8897061E-09    3.7131875E-05    1.0924091E-03    5.3498616E-04    1.3487088E-04
    2.5000000E-01   -1.0136978E-04    5.5293472E-05    1.5021381E-05    5.7586478E-05    2.4886618E-05    3.3730209E-08    1.6267791E-16    3.2384301E-07    6.1523563E-08    4.9277507E-09    3.8756712E-05    1.0910785E-03    5.3433449E-04    1.3470660E-04
    3.5000000E-01   -8.7375412E-05    4.7180834E-05    1.2975599E-05    4.8488810E-05    2.1233685E-05    3.4594851E-08    1.3675795E-16    4.2840731E-07    5.2574258E-08    4.2039307E-09    3.4682257E-05    9.1723366E-04    4.4919738E-04    1.1324339E-04
    4.5000000E-01   -7.6033983E-05    4.0597668E-05    1.1318153E-05    4.1094425E-05    1.8269545E-05    3.4842121E-08    1.1568703E-16    5.1611572E-07    4.5313904E-08    3.6171226E-09    3.1404446E-05    7.7591131E-04    3.7998750E-04    9.5795467E-05
    5.5000000E-01   -7.0939315E-05    3.7517406E-05    1.0581898E-05    3.7472090E-05    1.6882422E-05    3.3634001E-08    1.0531386E-16    5.9535328E-07    4.1923315E-08    3.3419773E-09    3.0271098E-05    7.0633858E-04    3.4591561E-04    8.7205888E-05
    6.5000000E-01   -6.9704243E-05    3.6594316E-05    1.0415111E-05    3.6163618E-05    1.6466460E-05    3.1743561E-08    1.0149996E-16    6.7150674E-07    4.0918365E-08    3.2588884E-09    3.0480941E-05    6.8075881E-04    3.3338841E-04    8.4047761E-05
    7.5000000E-01   -7.0051530E-05    3.6553924E-05    1.0481727E-05    3.5800117E-05    1.6447921E-05    2.9758473E-08    1.0036424E-16    7.4684850E-07    4.0892109E-08    3.2546605E-09    3.1245015E-05    6.7314153E-04    3.2965800E-04    8.3107317E-05
    8.5000000E-01   -7.0903410E-05    3.6794234E-05    1.0622658E-05    3.5736418E-05    1.6555808E-05    2.7877510E-08    1.0007796E-16    8.2211959E-07    4.1179408E-08    3.2757955E-09    3.2187056E-05    6.7122144E-04    3.2871767E-04    8.2870260E-05
    9.5000000E-01   -7.1890123E-05    3.7108937E-05    1.0783326E-05    3.5751642E-05    1.6697246E-05    2.6138354E-08    1.0001512E-16    8.9752000E-07    4.1552110E-08    3.3039367E-09    3.3177512E-05    6.7080001E-04    3.2851128E-04    8.2818229E-05
