# Time          7.0000E+00
# Units: Mol/kgw
    Distance           H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-          
    5.0000000E-02   -5.2508626E-05    1.4330440E-06    4.6628814E-07    7.7279116E-07    6.1584411E-07    6.0556253E-07    8.5413113E-17    2.3474735E-05    3.4371814E-08    2.7659944E-09    1.8113416E-06    5.5185616E-04    2.7300547E-04    9.7127175E-07
    1.5000000E-01   -4.1504185E-05    1.2745065E-06    6.2446071E-07    5.9820058E-07    5.5365116E-07    9.9095332E-07    6.3542682E-17    1.7510334E-05    2.8282020E-08    2.2777456E-09    2.8629818E-06    4.1055079E-04    2.0310113E-04    7.2257303E-07
    2.5000000E-01   -3.1878173E-05    1.1205088E-06    7.3048013E-07    4.4884400E-07    4.9194359E-07    1.2237197E-06    4.5119463E-17    1.2481513E-05    2.2671107E-08    1.8270029E-09    3.5612633E-06    2.9151793E-04    1.4421509E-04    5.1307414E-07
    3.5000000E-01   -2.6324311E-05    1.0521064E-06    8.1943110E-07    3.6473042E-07    4.6578774E-07    1.3368220E-06    3.4458545E-17    9.5761424E-06    1.9276517E-08    1.5533676E-09    4.0405204E-06    2.2263748E-04    1.1013966E-04    3.9184395E-07
    4.5000000E-01   -2.5011807E-05    1.0861079E-06    9.1594714E-07    3.4678265E-07    4.8293829E-07    1.3880500E-06    3.1426741E-17    8.7618532E-06    1.8344081E-08    1.4770008E-09    4.4457684E-06    2.0304892E-04    1.0044912E-04    3.5736791E-07
    5.5000000E-01   -2.7171216E-05    1.2132390E-06    1.0357969E-06    3.8201892E-07    5.3993500E-07    1.4258998E-06    3.4358705E-17    9.5850998E-06    1.9512341E-08    1.5692393E-09    4.8893442E-06    2.2199241E-04    1.0982054E-04    3.9070862E-07
    6.5000000E-01   -3.1751008E-05    1.4165324E-06    1.1881577E-06    4.5504593E-07    6.2990057E-07    1.4530286E-06    4.1372733E-17    1.1531970E-05    2.2092535E-08    1.7745559E-09    5.4156182E-06    2.6731021E-04    1.3223944E-04    4.7046835E-07
    7.5000000E-01   -3.7684428E-05    1.6762700E-06    1.3766983E-06    5.5094682E-07    7.4464859E-07    1.4514231E-06    5.0696391E-17    1.4117566E-05    2.5327192E-08    2.0317579E-09    6.0283681E-06    3.2755059E-04    1.6204060E-04    5.7649195E-07
    8.5000000E-01   -4.4040711E-05    1.9720389E-06    1.6005048E-06    6.5628086E-07    8.7557327E-07    1.4111821E-06    6.0773864E-17    1.6915561E-05    2.8588541E-08    2.2903160E-09    6.7223244E-06    3.9266139E-04    1.9425117E-04    6.9108753E-07
    9.5000000E-01   -5.0114148E-05    2.2852357E-06    1.8554157E-06    7.6021288E-07    1.0147394E-06    1.3360900E-06    7.0384390E-17    1.9590864E-05    3.1451763E-08    2.5162624E-09    7.4928438E-06    4.5475523E-04    2.2496924E-04    8.0037324E-07
    1.0500000E+00   -5.5462607E-05    2.6013712E-06    2.1355906E-06    8.5540788E-07    1.1558946E-06    1.2378356E-06    7.8731093E-17    2.1924218E-05    3.3694033E-08    2.6919787E-09    8.3351700E-06    5.0868347E-04    2.5164776E-04    8.9528742E-07
    1.1500000E+00   -5.9892857E-05    2.9111447E-06    2.4349031E-06    9.3816764E-07    1.2949604E-06    1.1293278E-06    8.5443272E-17    2.3813057E-05    3.5256786E-08    2.8130442E-09    9.2426135E-06    5.5205102E-04    2.7310187E-04    9.7161470E-07
    1.2500000E+00   -6.3404470E-05    3.2101190E-06    2.7478874E-06    1.0078079E-06    1.4299212E-06    1.0208096E-06    9.0494667E-17    2.5249278E-05    3.6193001E-08    2.8839370E-09    1.0206391E-05    5.8468820E-04    2.8924761E-04    1.0290564E-06
    1.3500000E+00   -6.6116481E-05    3.4974929E-06    3.0701904E-06    1.0656353E-06    1.5603214E-06    9.1875151E-07    9.4079891E-17    2.6285463E-05    3.6615002E-08    2.9138253E-09    1.1216728E-05    6.0785242E-04    3.0070704E-04    1.0698257E-06
    1.4500000E+00   -6.8199707E-05    3.7746300E-06    3.3986400E-06    1.1139206E-06    1.6866478E-06    8.2634262E-07    9.6494317E-17    2.7001994E-05    3.6652807E-08    2.9132321E-09    1.2264199E-05    6.2345209E-04    3.0842426E-04    1.0972812E-06
    1.5500000E+00   -6.9827822E-05    4.0438091E-06    3.7310891E-06    1.1551198E-06    1.8098003E-06    7.4451307E-07    9.8044804E-17    2.7482569E-05    3.6427047E-08    2.8918774E-09    1.3340651E-05    6.3346982E-04    3.1338008E-04    1.1149125E-06
    1.6500000E+00   -7.1149830E-05    4.3073907E-06    4.0661730E-06    1.1914111E-06    1.9307345E-06    6.7289350E-07    9.8998275E-17    2.7800078E-05    3.6035581E-08    2.8576207E-09    1.4439580E-05    6.3963022E-04    3.1642765E-04    1.1257549E-06
    1.7500000E+00   -7.2279931E-05    4.5673850E-06    4.4030715E-06    1.2245045E-06    2.0502737E-06    6.1050247E-07    9.9561791E-17    2.8011104E-05    3.5550220E-08    2.8162106E-09    1.5556080E-05    6.4327111E-04    3.1822881E-04    1.1321629E-06
    1.8500000E+00   -7.3298399E-05    4.8253117E-06    4.7413156E-06    1.2556279E-06    2.1690444E-06    5.5616235E-07    9.9882887E-17    2.8155982E-05    3.5019360E-08    2.7715054E-09    1.6686581E-05    6.4534572E-04    3.1925513E-04    1.1358142E-06
    1.9500000E+00   -7.4257717E-05    5.0822244E-06    5.0806483E-06    1.2856037E-06    2.2874830E-06    5.0871693E-07    1.0005978E-16    2.8261573E-05    3.4473103E-08    2.7258903E-09    1.7828531E-05    6.4648861E-04    3.1982053E-04    1.1378257E-06
    2.0500000E+00   -7.5190028E-05    5.3388064E-06    5.4209346E-06    1.3149511E-06    2.4058731E-06    4.6712672E-07    1.0015423E-16    2.8344774E-05    3.3928627E-08    2.6807116E-09    1.8980105E-05    6.4709884E-04    3.2012241E-04    1.1388997E-06
    2.1500000E+00   -7.6113800E-05    5.5954765E-06    5.7621055E-06    1.3439823E-06    2.5243894E-06    4.3049787E-07    1.0020321E-16    2.8415703E-05    3.3394706E-08    2.6366423E-09    2.0139981E-05    6.4741533E-04    3.2027897E-04    1.1394567E-06
    2.2500000E+00   -7.7038924E-05    5.8524797E-06    6.1041266E-06    1.3728767E-06    2.6431338E-06    3.9807918E-07    1.0022793E-16    2.8480164E-05    3.2875056E-08    2.5939513E-09    2.1307185E-05    6.4757508E-04    3.2035800E-04    1.1397379E-06
    2.3500000E+00   -7.7970233E-05    6.1099536E-06    6.4469807E-06    1.4017336E-06    2.7621641E-06    3.6924619E-07    1.0024010E-16    2.8541359E-05    3.2370569E-08    2.5526835E-09    2.2480973E-05    6.4765370E-04    3.2039690E-04    1.1398763E-06
    2.4500000E+00   -7.8909755E-05    6.3679727E-06    6.7906584E-06    1.4306061E-06    2.8815113E-06    3.4348174E-07    1.0024595E-16    2.8600997E-05    3.1880710E-08    2.5127720E-09    2.3660770E-05    6.4769149E-04    3.2041559E-04    1.1399428E-06
    2.5500000E+00   -7.9858051E-05    6.6265764E-06    7.1351542E-06    1.4595217E-06    3.0011920E-06    3.2035728E-07    1.0024870E-16    2.8659958E-05    3.1404319E-08    2.4741021E-09    2.4846115E-05    6.4770926E-04    3.2042438E-04    1.1399740E-06
