# Time          1.5000E+00
# Units: Weight % Component
    Distance           H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-          
    5.0000000E-02   -1.0997992E+00    1.5964059E+00    3.9533440E+00    3.1028131E-01    6.2478482E-01    7.4336746E+00    0.0000000E+00    7.1780206E-01    9.5908251E-03    7.7990543E-04    7.4771096E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.5000000E-01   -1.0998664E+00    1.6005308E+00    3.9553881E+00    3.1108303E-01    6.2680406E-01    7.4295938E+00    0.0000000E+00    7.2012191E-01    9.5873186E-03    7.7959583E-04    7.4770220E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    2.5000000E-01   -1.0999407E+00    1.6046555E+00    3.9574128E+00    3.1188472E-01    6.2882505E-01    7.4255787E+00    0.0000000E+00    7.2244378E-01    9.5839580E-03    7.7930043E-04    7.4769183E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    3.5000000E-01   -1.1000158E+00    1.6087877E+00    3.9594379E+00    3.1268786E-01    6.3085073E-01    7.4215617E+00    0.0000000E+00    7.2477105E-01    9.5806088E-03    7.7900783E-04    7.4768129E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    4.5000000E-01   -1.1000916E+00    1.6129269E+00    3.9614636E+00    3.1349238E-01    6.3288093E-01    7.4175425E+00    0.0000000E+00    7.2710350E-01    9.5772701E-03    7.7871776E-04    7.4767061E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    5.5000000E-01   -1.1001680E+00    1.6170730E+00    3.9634897E+00    3.1429822E-01    6.3491547E-01    7.4135207E+00    0.0000000E+00    7.2944094E-01    9.5739412E-03    7.7842997E-04    7.4765978E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    6.5000000E-01   -1.1002450E+00    1.6212254E+00    3.9655164E+00    3.1510530E-01    6.3695419E-01    7.4094964E+00    0.0000000E+00    7.3178318E-01    9.5706216E-03    7.7814427E-04    7.4764883E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    7.5000000E-01   -1.1003225E+00    1.6253840E+00    3.9675435E+00    3.1591357E-01    6.3899696E-01    7.4054693E+00    0.0000000E+00    7.3413008E-01    9.5673108E-03    7.7786046E-04    7.4763777E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    8.5000000E-01   -1.1004006E+00    1.6295485E+00    3.9695711E+00    3.1672299E-01    6.4104364E-01    7.4014394E+00    0.0000000E+00    7.3648147E-01    9.5640084E-03    7.7757840E-04    7.4762659E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    9.5000000E-01   -1.1004791E+00    1.6337186E+00    3.9715991E+00    3.1753351E-01    6.4309412E-01    7.3974066E+00    0.0000000E+00    7.3883723E-01    9.5607141E-03    7.7729794E-04    7.4761531E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
