# Time          7.0000E+00
# Units: M^2 mineral/m^3 porous medium
    Distance        Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02    4.9999986E+01    2.7576262E+02    6.8455931E+02    2.0412204E+02    2.3021499E+05    1.8738280E+04
    1.5000000E-01    4.9999988E+01    2.7588111E+02    6.8597687E+02    2.0463285E+02    2.2956922E+05    1.8685044E+04
    2.5000000E-01    4.9999989E+01    2.7599979E+02    6.8739741E+02    2.0514484E+02    2.2892785E+05    1.8632249E+04
    3.5000000E-01    4.9999991E+01    2.7611865E+02    6.8882076E+02    2.0565795E+02    2.2828423E+05    1.8579337E+04
    4.5000000E-01    4.9999992E+01    2.7623769E+02    6.9024678E+02    2.0617211E+02    2.2763832E+05    1.8526300E+04
    5.5000000E-01    4.9999993E+01    2.7635689E+02    6.9167532E+02    2.0668729E+02    2.2699014E+05    1.8473131E+04
    6.5000000E-01    4.9999994E+01    2.7647624E+02    6.9310626E+02    2.0720344E+02    2.2633967E+05    1.8419824E+04
    7.5000000E-01    4.9999996E+01    2.7659574E+02    6.9453949E+02    2.0772052E+02    2.2568692E+05    1.8366373E+04
    8.5000000E-01    4.9999996E+01    2.7671538E+02    6.9597491E+02    2.0823850E+02    2.2503188E+05    1.8312775E+04
    9.5000000E-01    4.9999997E+01    2.7683515E+02    6.9741243E+02    2.0875734E+02    2.2437455E+05    1.8259025E+04
    1.0500000E+00    4.9999998E+01    2.7695505E+02    6.9885197E+02    2.0927702E+02    2.2371494E+05    1.8205120E+04
    1.1500000E+00    4.9999999E+01    2.7707508E+02    7.0029346E+02    2.0979751E+02    2.2305303E+05    1.8151055E+04
    1.2500000E+00    4.9999999E+01    2.7719522E+02    7.0173684E+02    2.1031879E+02    2.2238883E+05    1.8096829E+04
    1.3500000E+00    5.0000000E+01    2.7731548E+02    7.0318206E+02    2.1084084E+02    2.2172232E+05    1.8042437E+04
    1.4500000E+00    5.0000000E+01    2.7743584E+02    7.0462906E+02    2.1136364E+02    2.2105351E+05    1.7987878E+04
    1.5500000E+00    5.0000000E+01    2.7755632E+02    7.0607780E+02    2.1188718E+02    2.2038239E+05    1.7933149E+04
    1.6500000E+00    5.0000000E+01    2.7767690E+02    7.0752825E+02    2.1241145E+02    2.1970895E+05    1.7878247E+04
    1.7500000E+00    5.0000000E+01    2.7779757E+02    7.0898037E+02    2.1293643E+02    2.1903317E+05    1.7823170E+04
    1.8500000E+00    5.0000000E+01    2.7791835E+02    7.1043415E+02    2.1346211E+02    2.1835506E+05    1.7767916E+04
    1.9500000E+00    5.0000000E+01    2.7803923E+02    7.1188954E+02    2.1398849E+02    2.1767460E+05    1.7712483E+04
    2.0500000E+00    5.0000000E+01    2.7816020E+02    7.1334654E+02    2.1451556E+02    2.1699178E+05    1.7656868E+04
    2.1500000E+00    5.0000000E+01    2.7828126E+02    7.1480512E+02    2.1504331E+02    2.1630658E+05    1.7601070E+04
    2.2500000E+00    5.0000000E+01    2.7840241E+02    7.1626528E+02    2.1557174E+02    2.1561900E+05    1.7545086E+04
    2.3500000E+00    5.0000000E+01    2.7852365E+02    7.1772699E+02    2.1610084E+02    2.1492902E+05    1.7488915E+04
    2.4500000E+00    5.0000000E+01    2.7864498E+02    7.1919025E+02    2.1663061E+02    2.1423663E+05    1.7432555E+04
    2.5500000E+00    5.0000000E+01    2.7876640E+02    7.2065504E+02    2.1716105E+02    2.1354182E+05    1.7376004E+04
