# Time          5.0000E-02
# Units: Log10 mol/kgw
    Distance      pH               H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-              Al(OH)2+         AlO2-            AlOH++           HCO3-            H2SiO4--         HAlO2(aq)        HCl(aq)          HSiO3-           KCl(aq)          KOH(aq)          NaAlO2(aq)       NaCl(aq)         NaHSiO3(aq)      NaOH(aq)         OH-              CO3--            NaCO3-           NaHCO3(aq)   
    5.0000000E-02    5.5068476E+00   -5.5001408E+00   -4.4760361E+00   -5.0481570E+00   -4.4517847E+00   -4.8226439E+00   -7.5671196E+00   -1.5999998E+01   -7.1434287E+00   -7.4269653E+00   -8.5223516E+00   -4.6545388E+00   -3.2168872E+00   -3.4835140E+00   -4.0819468E+00   -8.2922642E+00   -1.0516001E+01   -7.5961033E+00   -4.1951662E+00   -1.6573370E+01   -9.1489046E+00   -8.9195084E+00   -9.3575721E+00   -1.0795185E+01   -1.4008218E+01   -1.5835912E+01   -9.3937140E+00   -1.2024616E+01   -1.4371945E+01   -9.1323306E+00   -9.1896098E+00   -1.2966708E+01   -8.3763644E+00
    1.5000000E-01    5.5138898E+00   -5.5071636E+00   -4.4717889E+00   -5.0402762E+00   -4.4513348E+00   -4.8184200E+00   -7.6070596E+00   -1.5999998E+01   -6.8374735E+00   -7.4229296E+00   -8.5189410E+00   -4.6356974E+00   -3.2175641E+00   -3.4835140E+00   -4.0819467E+00   -8.3182745E+00   -1.0527927E+01   -7.6290951E+00   -4.1887803E+00   -1.6540362E+01   -9.1678932E+00   -8.9265712E+00   -9.3316680E+00   -1.0787345E+01   -1.3993315E+01   -1.5843631E+01   -9.3895076E+00   -1.1994506E+01   -1.4360676E+01   -9.1252679E+00   -9.1761210E+00   -1.2949053E+01   -8.3657721E+00
    2.5000000E-01    5.5208739E+00   -5.5141282E+00   -4.4675741E+00   -5.0325254E+00   -4.4508844E+00   -4.8142264E+00   -7.6460470E+00   -1.5999998E+01   -6.6593882E+00   -7.4188661E+00   -8.5154343E+00   -4.6175986E+00   -3.2182453E+00   -3.4835140E+00   -4.0819467E+00   -8.3434491E+00   -1.0539134E+01   -7.6611929E+00   -4.1824570E+00   -1.6508214E+01   -9.1861042E+00   -8.9335759E+00   -9.3065646E+00   -1.0779636E+01   -1.3978601E+01   -1.5850664E+01   -9.3853338E+00   -1.1965228E+01   -1.4349497E+01   -9.1182634E+00   -9.1627528E+00   -1.2931551E+01   -8.3552748E+00
    3.5000000E-01    5.5277998E+00   -5.5210346E+00   -4.4633912E+00   -5.0249003E+00   -4.4504335E+00   -4.8100626E+00   -7.6841715E+00   -1.5999998E+01   -6.5331826E+00   -7.4147803E+00   -8.5118446E+00   -4.6001856E+00   -3.2189307E+00   -3.4835140E+00   -4.0819466E+00   -8.3678773E+00   -1.0549710E+01   -7.6924861E+00   -4.1761960E+00   -1.6476867E+01   -9.2036269E+00   -8.9405224E+00   -9.2822051E+00   -1.0772052E+01   -1.3964071E+01   -1.5857098E+01   -9.3811919E+00   -1.1936727E+01   -1.4338409E+01   -9.1113170E+00   -9.1495049E+00   -1.2914202E+01   -8.3448719E+00
    4.5000000E-01    5.5346679E+00   -5.5278831E+00   -4.4592398E+00   -5.0173967E+00   -4.4499822E+00   -4.8059280E+00   -7.7214847E+00   -1.5999998E+01   -6.4352957E+00   -7.4106764E+00   -8.5081829E+00   -4.5834078E+00   -3.2196203E+00   -3.4835140E+00   -4.0819465E+00   -8.3916101E+00   -1.0559707E+01   -7.7230259E+00   -4.1699970E+00   -1.6446271E+01   -9.2205123E+00   -8.9474111E+00   -9.2585388E+00   -1.0764590E+01   -1.3949720E+01   -1.5862984E+01   -9.3770816E+00   -1.1908950E+01   -1.4327410E+01   -9.1044284E+00   -9.1363767E+00   -1.2897004E+01   -8.3345624E+00
    5.5000000E-01    5.5414785E+00   -5.5346742E+00   -4.4551192E+00   -5.0100107E+00   -4.4495304E+00   -4.8018223E+00   -7.7580334E+00   -1.5999998E+01   -6.3552823E+00   -7.4065579E+00   -8.5044588E+00   -4.5672201E+00   -3.2203139E+00   -3.4835140E+00   -4.0819464E+00   -8.4146935E+00   -1.0569169E+01   -7.7528587E+00   -4.1638594E+00   -1.6416380E+01   -9.2368056E+00   -8.9542424E+00   -9.2355199E+00   -1.0757245E+01   -1.3935544E+01   -1.5868367E+01   -9.3730021E+00   -1.1881852E+01   -1.4316499E+01   -9.0975973E+00   -9.1233674E+00   -1.2879956E+01   -8.3243452E+00
    6.5000000E-01    5.5482322E+00   -5.5414083E+00   -4.4510289E+00   -5.0027383E+00   -4.4490782E+00   -4.7977449E+00   -7.7938598E+00   -1.5999998E+01   -6.2875860E+00   -7.4024280E+00   -8.5006807E+00   -4.5515817E+00   -3.2210114E+00   -3.4835140E+00   -4.0819464E+00   -8.4371685E+00   -1.0578137E+01   -7.7820262E+00   -4.1577826E+00   -1.6387152E+01   -9.2525476E+00   -8.9610169E+00   -9.2131072E+00   -1.0750014E+01   -1.3921539E+01   -1.5873285E+01   -9.3689531E+00   -1.1855390E+01   -1.4305676E+01   -9.0908230E+00   -9.1104758E+00   -1.2863055E+01   -8.3142193E+00
    7.5000000E-01    5.5549296E+00   -5.5480861E+00   -4.4469685E+00   -4.9955761E+00   -4.4486255E+00   -4.7936954E+00   -7.8290026E+00   -1.5999998E+01   -6.2288961E+00   -7.3982893E+00   -8.4968560E+00   -4.5364560E+00   -3.2217129E+00   -3.4835140E+00   -4.0819463E+00   -8.4590727E+00   -1.0586646E+01   -7.8105666E+00   -4.1517661E+00   -1.6358549E+01   -9.2677750E+00   -8.9677350E+00   -9.1912634E+00   -1.0742893E+01   -1.3907700E+01   -1.5877775E+01   -9.3649339E+00   -1.1829527E+01   -1.4294939E+01   -9.0841050E+00   -9.0977005E+00   -1.2846301E+01   -8.3041834E+00
    8.5000000E-01    5.5615714E+00   -5.5547083E+00   -4.4429374E+00   -4.9885206E+00   -4.4481723E+00   -4.7896734E+00   -7.8634971E+00   -1.5999998E+01   -6.1770800E+00   -7.3941441E+00   -8.4929912E+00   -4.5218099E+00   -3.2224182E+00   -3.4835140E+00   -4.0819462E+00   -8.4804399E+00   -1.0594729E+01   -7.8385142E+00   -4.1458089E+00   -1.6330537E+01   -9.2825210E+00   -8.9743976E+00   -9.1699549E+00   -1.0735879E+01   -1.3894024E+01   -1.5881869E+01   -9.3609441E+00   -1.1804228E+01   -1.4284287E+01   -9.0774426E+00   -9.0850403E+00   -1.2829692E+01   -8.2942364E+00
    9.5000000E-01    5.5681583E+00   -5.5612756E+00   -4.4389352E+00   -4.9815686E+00   -4.4477187E+00   -4.7856783E+00   -7.8973756E+00   -1.5999998E+01   -6.1306830E+00   -7.3899942E+00   -8.4890919E+00   -4.5076134E+00   -3.2231273E+00   -3.4835140E+00   -4.0819462E+00   -8.5013009E+00   -1.0602417E+01   -7.8659008E+00   -4.1399105E+00   -1.6303085E+01   -9.2968157E+00   -8.9810053E+00   -9.1491508E+00   -1.0728968E+01   -1.3880506E+01   -1.5885595E+01   -9.3569832E+00   -1.1779463E+01   -1.4273718E+01   -9.0708351E+00   -9.0724935E+00   -1.2813225E+01   -8.2843769E+00
