# Time          5.0000E-02
# Units: Bars
    Distance        CO2(g)           O2(g)           
    5.0000000E-02    9.9850400E-03    1.8000005E-01
    1.5000000E-01    9.9694918E-03    1.8000010E-01
    2.5000000E-01    9.9538688E-03    1.8000015E-01
    3.5000000E-01    9.9381740E-03    1.8000020E-01
    4.5000000E-01    9.9224099E-03    1.8000025E-01
    5.5000000E-01    9.9065789E-03    1.8000030E-01
    6.5000000E-01    9.8906827E-03    1.8000035E-01
    7.5000000E-01    9.8747233E-03    1.8000040E-01
    8.5000000E-01    9.8587022E-03    1.8000045E-01
    9.5000000E-01    9.8426209E-03    1.8000050E-01
    1.0500000E+00    9.8264805E-03    1.8000055E-01
    1.1500000E+00    9.8102823E-03    1.8000060E-01
    1.2500000E+00    9.7940274E-03    1.8000066E-01
    1.3500000E+00    9.7777166E-03    1.8000071E-01
    1.4500000E+00    9.7613510E-03    1.8000076E-01
    1.5500000E+00    9.7449313E-03    1.8000081E-01
    1.6500000E+00    9.7284583E-03    1.8000086E-01
    1.7500000E+00    9.7119327E-03    1.8000092E-01
    1.8500000E+00    9.6953551E-03    1.8000097E-01
    1.9500000E+00    9.6787262E-03    1.8000102E-01
    2.0500000E+00    9.6620465E-03    1.8000108E-01
    2.1500000E+00    9.6453166E-03    1.8000113E-01
    2.2500000E+00    9.6285368E-03    1.8000118E-01
    2.3500000E+00    9.6117078E-03    1.8000124E-01
    2.4500000E+00    9.5948299E-03    1.8000129E-01
    2.5500000E+00    9.5779035E-03    1.8000134E-01
    2.6500000E+00    9.5609291E-03    1.8000140E-01
    2.7500000E+00    9.5439069E-03    1.8000145E-01
    2.8500000E+00    9.5268373E-03    1.8000151E-01
    2.9500000E+00    9.5097207E-03    1.8000156E-01
    3.0500000E+00    9.4925573E-03    1.8000162E-01
    3.1500000E+00    9.4753474E-03    1.8000167E-01
    3.2500000E+00    9.4580914E-03    1.8000173E-01
    3.3500000E+00    9.4407893E-03    1.8000178E-01
    3.4500000E+00    9.4234416E-03    1.8000184E-01
    3.5500000E+00    9.4060484E-03    1.8000189E-01
    3.6500000E+00    9.3886099E-03    1.8000195E-01
    3.7500000E+00    9.3711263E-03    1.8000200E-01
    3.8500000E+00    9.3535979E-03    1.8000206E-01
    3.9500000E+00    9.3360249E-03    1.8000211E-01
    4.0500000E+00    9.3184073E-03    1.8000217E-01
    4.1500000E+00    9.3007454E-03    1.8000223E-01
    4.2500000E+00    9.2830393E-03    1.8000228E-01
    4.3500000E+00    9.2652893E-03    1.8000234E-01
    4.4500000E+00    9.2474953E-03    1.8000240E-01
    4.5500000E+00    9.2296577E-03    1.8000245E-01
    4.6500000E+00    9.2117764E-03    1.8000251E-01
    4.7500000E+00    9.1938517E-03    1.8000257E-01
    4.8500000E+00    9.1758836E-03    1.8000262E-01
    4.9500000E+00    9.1578723E-03    1.8000268E-01
    5.0500000E+00    9.1398179E-03    1.8000274E-01
    5.1500000E+00    9.1217204E-03    1.8000280E-01
    5.2500000E+00    9.1035801E-03    1.8000285E-01
    5.3500000E+00    9.0853969E-03    1.8000291E-01
    5.4500000E+00    9.0671709E-03    1.8000297E-01
    5.5500000E+00    9.0489024E-03    1.8000303E-01
    5.6500000E+00    9.0305912E-03    1.8000309E-01
    5.7500000E+00    9.0122376E-03    1.8000314E-01
    5.8500000E+00    8.9938415E-03    1.8000320E-01
    5.9500000E+00    8.9754031E-03    1.8000326E-01
    6.0500000E+00    8.9569225E-03    1.8000332E-01
    6.1500000E+00    8.9383996E-03    1.8000338E-01
    6.2500000E+00    8.9198345E-03    1.8000344E-01
    6.3500000E+00    8.9012274E-03    1.8000350E-01
    6.4500000E+00    8.8825783E-03    1.8000356E-01
    6.5500000E+00    8.8638872E-03    1.8000362E-01
    6.6500000E+00    8.8451541E-03    1.8000368E-01
    6.7500000E+00    8.8263792E-03    1.8000374E-01
    6.8500000E+00    8.8075624E-03    1.8000380E-01
    6.9500000E+00    8.7887039E-03    1.8000386E-01
    7.0500000E+00    8.7698036E-03    1.8000392E-01
    7.1500000E+00    8.7508616E-03    1.8000398E-01
    7.2500000E+00    8.7318780E-03    1.8000404E-01
    7.3500000E+00    8.7128527E-03    1.8000410E-01
    7.4500000E+00    8.6937859E-03    1.8000416E-01
    7.5500000E+00    8.6746775E-03    1.8000422E-01
    7.6500000E+00    8.6555275E-03    1.8000428E-01
    7.7500000E+00    8.6363361E-03    1.8000434E-01
    7.8500000E+00    8.6171032E-03    1.8000440E-01
    7.9500000E+00    8.5978289E-03    1.8000446E-01
    8.0500000E+00    8.5785131E-03    1.8000452E-01
    8.1500000E+00    8.5591560E-03    1.8000459E-01
    8.2500000E+00    8.5397575E-03    1.8000465E-01
    8.3500000E+00    8.5203177E-03    1.8000471E-01
    8.4500000E+00    8.5008366E-03    1.8000477E-01
    8.5500000E+00    8.4813141E-03    1.8000483E-01
    8.6500000E+00    8.4617504E-03    1.8000490E-01
    8.7500000E+00    8.4421455E-03    1.8000496E-01
    8.8500000E+00    8.4224993E-03    1.8000502E-01
    8.9500000E+00    8.4028119E-03    1.8000508E-01
    9.0500000E+00    8.3830833E-03    1.8000515E-01
    9.1500000E+00    8.3633135E-03    1.8000521E-01
    9.2500000E+00    8.3435025E-03    1.8000527E-01
    9.3500000E+00    8.3236504E-03    1.8000534E-01
    9.4500000E+00    8.3037571E-03    1.8000540E-01
    9.5500000E+00    8.2838227E-03    1.8000546E-01
    9.6500000E+00    8.2638472E-03    1.8000553E-01
    9.7500000E+00    8.2438306E-03    1.8000559E-01
    9.8500000E+00    8.2237729E-03    1.8000565E-01
    9.9500000E+00    8.2036741E-03    1.8000572E-01
    1.0050000E+01    8.1835343E-03    1.8000578E-01
    1.0150000E+01    8.1633534E-03    1.8000585E-01
    1.0250000E+01    8.1431314E-03    1.8000591E-01
    1.0350000E+01    8.1228685E-03    1.8000598E-01
    1.0450000E+01    8.1025645E-03    1.8000604E-01
    1.0550000E+01    8.0822195E-03    1.8000611E-01
    1.0650000E+01    8.0618334E-03    1.8000617E-01
    1.0750000E+01    8.0414064E-03    1.8000624E-01
    1.0850000E+01    8.0209384E-03    1.8000630E-01
    1.0950000E+01    8.0004295E-03    1.8000637E-01
    1.1050000E+01    7.9798795E-03    1.8000643E-01
    1.1150000E+01    7.9592887E-03    1.8000650E-01
    1.1250000E+01    7.9386568E-03    1.8000656E-01
    1.1350000E+01    7.9179841E-03    1.8000663E-01
    1.1450000E+01    7.8972704E-03    1.8000669E-01
    1.1550000E+01    7.8765158E-03    1.8000676E-01
    1.1650000E+01    7.8557202E-03    1.8000683E-01
    1.1750000E+01    7.8348838E-03    1.8000689E-01
    1.1850000E+01    7.8140065E-03    1.8000696E-01
    1.1950000E+01    7.7930884E-03    1.8000703E-01
