# Time          1.7500E+00
# Units: Bars
    Distance        CO2(g)           O2(g)           
    5.0000000E-02    8.8096663E-03    1.5892181E-01
    1.5000000E-01    9.8246944E-03    1.7737047E-01
    2.5000000E-01    9.9418907E-03    1.7974828E-01
    3.5000000E-01    9.9391610E-03    1.7998030E-01
    4.5000000E-01    9.9244411E-03    1.7999889E-01
    5.5000000E-01    9.9086897E-03    1.8000021E-01
    6.5000000E-01    9.8928064E-03    1.8000034E-01
    7.5000000E-01    9.8768556E-03    1.8000039E-01
    8.5000000E-01    9.8608427E-03    1.8000044E-01
    9.5000000E-01    9.8447693E-03    1.8000049E-01
    1.0500000E+00    9.8286367E-03    1.8000055E-01
    1.1500000E+00    9.8124461E-03    1.8000060E-01
    1.2500000E+00    9.7961987E-03    1.8000065E-01
    1.3500000E+00    9.7798954E-03    1.8000070E-01
    1.4500000E+00    9.7635370E-03    1.8000075E-01
    1.5500000E+00    9.7471245E-03    1.8000081E-01
    1.6500000E+00    9.7306586E-03    1.8000086E-01
    1.7500000E+00    9.7141399E-03    1.8000091E-01
    1.8500000E+00    9.6975693E-03    1.8000096E-01
    1.9500000E+00    9.6809472E-03    1.8000102E-01
    2.0500000E+00    9.6642742E-03    1.8000107E-01
    2.1500000E+00    9.6475509E-03    1.8000112E-01
    2.2500000E+00    9.6307778E-03    1.8000118E-01
    2.3500000E+00    9.6139554E-03    1.8000123E-01
    2.4500000E+00    9.5970839E-03    1.8000128E-01
    2.5500000E+00    9.5801640E-03    1.8000134E-01
    2.6500000E+00    9.5631960E-03    1.8000139E-01
    2.7500000E+00    9.5461801E-03    1.8000145E-01
    2.8500000E+00    9.5291169E-03    1.8000150E-01
    2.9500000E+00    9.5120065E-03    1.8000155E-01
    3.0500000E+00    9.4948493E-03    1.8000161E-01
    3.1500000E+00    9.4776456E-03    1.8000166E-01
    3.2500000E+00    9.4603957E-03    1.8000172E-01
    3.3500000E+00    9.4430998E-03    1.8000177E-01
    3.4500000E+00    9.4257581E-03    1.8000183E-01
    3.5500000E+00    9.4083710E-03    1.8000188E-01
    3.6500000E+00    9.3909385E-03    1.8000194E-01
    3.7500000E+00    9.3734610E-03    1.8000199E-01
    3.8500000E+00    9.3559385E-03    1.8000205E-01
    3.9500000E+00    9.3383714E-03    1.8000211E-01
    4.0500000E+00    9.3207598E-03    1.8000216E-01
    4.1500000E+00    9.3031038E-03    1.8000222E-01
    4.2500000E+00    9.2854036E-03    1.8000228E-01
    4.3500000E+00    9.2676594E-03    1.8000233E-01
    4.4500000E+00    9.2498713E-03    1.8000239E-01
    4.5500000E+00    9.2320395E-03    1.8000245E-01
    4.6500000E+00    9.2141641E-03    1.8000250E-01
    4.7500000E+00    9.1962451E-03    1.8000256E-01
    4.8500000E+00    9.1782828E-03    1.8000262E-01
    4.9500000E+00    9.1602773E-03    1.8000267E-01
    5.0500000E+00    9.1422286E-03    1.8000273E-01
    5.1500000E+00    9.1241369E-03    1.8000279E-01
    5.2500000E+00    9.1060023E-03    1.8000285E-01
    5.3500000E+00    9.0878248E-03    1.8000290E-01
    5.4500000E+00    9.0696045E-03    1.8000296E-01
    5.5500000E+00    9.0513416E-03    1.8000302E-01
    5.6500000E+00    9.0330362E-03    1.8000308E-01
    5.7500000E+00    9.0146882E-03    1.8000314E-01
    5.8500000E+00    8.9962978E-03    1.8000320E-01
    5.9500000E+00    8.9778650E-03    1.8000325E-01
    6.0500000E+00    8.9593900E-03    1.8000331E-01
    6.1500000E+00    8.9408728E-03    1.8000337E-01
    6.2500000E+00    8.9223134E-03    1.8000343E-01
    6.3500000E+00    8.9037119E-03    1.8000349E-01
    6.4500000E+00    8.8850683E-03    1.8000355E-01
    6.5500000E+00    8.8663828E-03    1.8000361E-01
    6.6500000E+00    8.8476553E-03    1.8000367E-01
    6.7500000E+00    8.8288860E-03    1.8000373E-01
    6.8500000E+00    8.8100748E-03    1.8000379E-01
    6.9500000E+00    8.7912219E-03    1.8000385E-01
    7.0500000E+00    8.7723272E-03    1.8000391E-01
    7.1500000E+00    8.7533907E-03    1.8000397E-01
    7.2500000E+00    8.7344127E-03    1.8000403E-01
