# Time          2.5000E+00
    Distance         pH
  5.0000E-02    5.5494E+00
  1.5000E-01    5.5258E+00
  2.5000E-01    5.5204E+00
  3.5000E-01    5.5221E+00
  4.5000E-01    5.5269E+00
  5.5000E-01    5.5331E+00
  6.5000E-01    5.5397E+00
  7.5000E-01    5.5464E+00
  8.5000E-01    5.5531E+00
  9.5000E-01    5.5597E+00
  1.0500E+00    5.5663E+00
  1.1500E+00    5.5729E+00
  1.2500E+00    5.5794E+00
  1.3500E+00    5.5858E+00
  1.4500E+00    5.5922E+00
  1.5500E+00    5.5985E+00
  1.6500E+00    5.6048E+00
  1.7500E+00    5.6111E+00
  1.8500E+00    5.6173E+00
  1.9500E+00    5.6234E+00
  2.0500E+00    5.6295E+00
  2.1500E+00    5.6355E+00
  2.2500E+00    5.6415E+00
  2.3500E+00    5.6475E+00
  2.4500E+00    5.6534E+00
  2.5500E+00    5.6593E+00
  2.6500E+00    5.6651E+00
  2.7500E+00    5.6709E+00
  2.8500E+00    5.6767E+00
  2.9500E+00    5.6824E+00
  3.0500E+00    5.6881E+00
  3.1500E+00    5.6937E+00
  3.2500E+00    5.6993E+00
  3.3500E+00    5.7049E+00
  3.4500E+00    5.7104E+00
  3.5500E+00    5.7159E+00
  3.6500E+00    5.7213E+00
  3.7500E+00    5.7267E+00
  3.8500E+00    5.7321E+00
  3.9500E+00    5.7375E+00
  4.0500E+00    5.7428E+00
  4.1500E+00    5.7481E+00
  4.2500E+00    5.7534E+00
  4.3500E+00    5.7586E+00
  4.4500E+00    5.7638E+00
  4.5500E+00    5.7689E+00
  4.6500E+00    5.7741E+00
  4.7500E+00    5.7792E+00
  4.8500E+00    5.7843E+00
  4.9500E+00    5.7893E+00
  5.0500E+00    5.7944E+00
  5.1500E+00    5.7994E+00
  5.2500E+00    5.8043E+00
  5.3500E+00    5.8093E+00
  5.4500E+00    5.8142E+00
  5.5500E+00    5.8191E+00
  5.6500E+00    5.8240E+00
  5.7500E+00    5.8288E+00
  5.8500E+00    5.8337E+00
  5.9500E+00    5.8385E+00
  6.0500E+00    5.8433E+00
  6.1500E+00    5.8480E+00
  6.2500E+00    5.8528E+00
  6.3500E+00    5.8575E+00
  6.4500E+00    5.8622E+00
  6.5500E+00    5.8668E+00
  6.6500E+00    5.8715E+00
  6.7500E+00    5.8761E+00
  6.8500E+00    5.8807E+00
  6.9500E+00    5.8853E+00
  7.0500E+00    5.8899E+00
  7.1500E+00    5.8945E+00
  7.2500E+00    5.8990E+00
  7.3500E+00    5.9035E+00
  7.4500E+00    5.9080E+00
  7.5500E+00    5.9125E+00
  7.6500E+00    5.9170E+00
  7.7500E+00    5.9215E+00
  7.8500E+00    5.9259E+00
  7.9500E+00    5.9303E+00
  8.0500E+00    5.9347E+00
  8.1500E+00    5.9391E+00
  8.2500E+00    5.9435E+00
  8.3500E+00    5.9478E+00
  8.4500E+00    5.9522E+00
  8.5500E+00    5.9565E+00
  8.6500E+00    5.9608E+00
  8.7500E+00    5.9651E+00
  8.8500E+00    5.9694E+00
  8.9500E+00    5.9737E+00
  9.0500E+00    5.9780E+00
  9.1500E+00    5.9822E+00
  9.2500E+00    5.9864E+00
  9.3500E+00    5.9907E+00
  9.4500E+00    5.9949E+00
  9.5500E+00    5.9991E+00
  9.6500E+00    6.0032E+00
  9.7500E+00    6.0074E+00
  9.8500E+00    6.0116E+00
  9.9500E+00    6.0157E+00
  1.0050E+01    6.0199E+00
  1.0150E+01    6.0240E+00
  1.0250E+01    6.0281E+00
  1.0350E+01    6.0322E+00
  1.0450E+01    6.0363E+00
  1.0550E+01    6.0404E+00
  1.0650E+01    6.0445E+00
  1.0750E+01    6.0486E+00
  1.0850E+01    6.0526E+00
  1.0950E+01    6.0567E+00
  1.1050E+01    6.0607E+00
  1.1150E+01    6.0647E+00
  1.1250E+01    6.0688E+00
  1.1350E+01    6.0728E+00
  1.1450E+01    6.0768E+00
  1.1550E+01    6.0808E+00
  1.1650E+01    6.0848E+00
  1.1750E+01    6.0887E+00
  1.1850E+01    6.0927E+00
  1.1950E+01    6.0967E+00
  1.2050E+01    6.1006E+00
  1.2150E+01    6.1046E+00
  1.2250E+01    6.1085E+00
  1.2350E+01    6.1125E+00
  1.2450E+01    6.1164E+00
  1.2550E+01    6.1203E+00
  1.2650E+01    6.1242E+00
  1.2750E+01    6.1281E+00
  1.2850E+01    6.1320E+00
  1.2950E+01    6.1359E+00
  1.3050E+01    6.1398E+00
  1.3150E+01    6.1437E+00
  1.3250E+01    6.1476E+00
  1.3350E+01    6.1515E+00
  1.3450E+01    6.1553E+00
  1.3550E+01    6.1592E+00
  1.3650E+01    6.1631E+00
  1.3750E+01    6.1669E+00
  1.3850E+01    6.1708E+00
  1.3950E+01    6.1746E+00
  1.4050E+01    6.1785E+00
  1.4150E+01    6.1823E+00
  1.4250E+01    6.1861E+00
  1.4350E+01    6.1899E+00
  1.4450E+01    6.1938E+00
  1.4550E+01    6.1976E+00
  1.4650E+01    6.2014E+00
  1.4750E+01    6.2052E+00
  1.4850E+01    6.2090E+00
  1.4950E+01    6.2128E+00
  1.5050E+01    6.2166E+00
  1.5150E+01    6.2204E+00
  1.5250E+01    6.2242E+00
  1.5350E+01    6.2280E+00
  1.5450E+01    6.2318E+00
  1.5550E+01    6.2356E+00
  1.5650E+01    6.2394E+00
  1.5750E+01    6.2432E+00
  1.5850E+01    6.2470E+00
  1.5950E+01    6.2508E+00
  1.6050E+01    6.2545E+00
  1.6150E+01    6.2583E+00
  1.6250E+01    6.2621E+00
  1.6350E+01    6.2659E+00
  1.6450E+01    6.2696E+00
  1.6550E+01    6.2734E+00
  1.6650E+01    6.2772E+00
  1.6750E+01    6.2809E+00
  1.6850E+01    6.2847E+00
  1.6950E+01    6.2885E+00
  1.7050E+01    6.2922E+00
  1.7150E+01    6.2960E+00
