# Time          5.0000E-02
# Units: Mol/m**3 Porous Medium/s
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02   -2.1628467E-14   -4.0115321E-11   -1.6226741E-10   -3.2554253E-11    1.1831345E-10    9.7619156E-12
    1.5000000E-01   -2.0248707E-14   -4.0132371E-11   -1.6260342E-10   -3.2635719E-11    1.1722876E-10    9.6585054E-12
    2.5000000E-01   -1.8865752E-14   -4.0149432E-11   -1.6294015E-10   -3.2717373E-11    1.1736045E-10    9.6569659E-12
    3.5000000E-01   -1.7479684E-14   -4.0166501E-11   -1.6327754E-10   -3.2799205E-11    1.1750428E-10    9.6577629E-12
    4.5000000E-01   -1.6090569E-14   -4.0183577E-11   -1.6361556E-10   -3.2881206E-11    1.1765766E-10    9.6605273E-12
    5.5000000E-01   -1.4698462E-14   -4.0200655E-11   -1.6395418E-10   -3.2963370E-11    1.1781918E-10    9.6650088E-12
    6.5000000E-01   -1.3303409E-14   -4.0217736E-11   -1.6429337E-10   -3.3045688E-11    1.1798768E-10    9.6709936E-12
    7.5000000E-01   -1.1905451E-14   -4.0234814E-11   -1.6463310E-10   -3.3128154E-11    1.1816221E-10    9.6782983E-12
    8.5000000E-01   -1.0504622E-14   -4.0251890E-11   -1.6497335E-10   -3.3210763E-11    1.1834196E-10    9.6867649E-12
    9.5000000E-01   -9.1009511E-15   -4.0268960E-11   -1.6531410E-10   -3.3293510E-11    1.1852627E-10    9.6962570E-12
    1.0500000E+00   -7.6944636E-15   -4.0286023E-11   -1.6565533E-10   -3.3376391E-11    1.1871456E-10    9.7066560E-12
    1.1500000E+00   -6.2851812E-15   -4.0303075E-11   -1.6599702E-10   -3.3459401E-11    1.1890635E-10    9.7178591E-12
    1.2500000E+00   -4.8731228E-15   -4.0320116E-11   -1.6633916E-10   -3.3542536E-11    1.1910124E-10    9.7297764E-12
    1.3500000E+00   -3.4583048E-15   -4.0337143E-11   -1.6668173E-10   -3.3625795E-11    1.1929888E-10    9.7423296E-12
    1.4500000E+00   -2.0407413E-15   -4.0354155E-11   -1.6702472E-10   -3.3709174E-11    1.1949895E-10    9.7554498E-12
    1.5500000E+00   -6.2044449E-16   -4.0371148E-11   -1.6736813E-10   -3.3792670E-11    1.1970121E-10    9.7690766E-12
    1.6500000E+00    0.0000000E+00   -4.0388122E-11   -1.6771195E-10   -3.3876282E-11    1.1990544E-10    9.7831570E-12
    1.7500000E+00    0.0000000E+00   -4.0405073E-11   -1.6805616E-10   -3.3960009E-11    1.2011142E-10    9.7976443E-12
    1.8500000E+00    0.0000000E+00   -4.0422001E-11   -1.6840076E-10   -3.4043847E-11    1.2031901E-10    9.8124969E-12
    1.9500000E+00    0.0000000E+00   -4.0438903E-11   -1.6874574E-10   -3.4127796E-11    1.2052804E-10    9.8276785E-12
    2.0500000E+00    0.0000000E+00   -4.0455777E-11   -1.6909111E-10   -3.4211855E-11    1.2073839E-10    9.8431566E-12
    2.1500000E+00    0.0000000E+00   -4.0472621E-11   -1.6943685E-10   -3.4296023E-11    1.2094995E-10    9.8589025E-12
    2.2500000E+00    0.0000000E+00   -4.0489432E-11   -1.6978296E-10   -3.4380299E-11    1.2116261E-10    9.8748908E-12
    2.3500000E+00    0.0000000E+00   -4.0506210E-11   -1.7012945E-10   -3.4464683E-11    1.2137628E-10    9.8910987E-12
    2.4500000E+00    0.0000000E+00   -4.0522950E-11   -1.7047630E-10   -3.4549173E-11    1.2159090E-10    9.9075059E-12
    2.5500000E+00    0.0000000E+00   -4.0539652E-11   -1.7082351E-10   -3.4633768E-11    1.2180637E-10    9.9240946E-12
    2.6500000E+00    0.0000000E+00   -4.0556313E-11   -1.7117108E-10   -3.4718470E-11    1.2202266E-10    9.9408485E-12
    2.7500000E+00    0.0000000E+00   -4.0572930E-11   -1.7151902E-10   -3.4803277E-11    1.2223969E-10    9.9577532E-12
    2.8500000E+00    0.0000000E+00   -4.0589502E-11   -1.7186732E-10   -3.4888189E-11    1.2245742E-10    9.9747959E-12
