# Time          5.0000E-02
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02   -2.2917970E-01   -4.4411228E+00   -8.6110724E+00   -3.1816032E+01    5.9483463E-03   -9.9895230E-03
    1.5000000E-01   -2.1033815E-01   -4.3886845E+00   -8.5657322E+00   -3.1406372E+01    5.9075760E-03   -1.0039390E-02
    2.5000000E-01   -1.9223919E-01   -4.3378847E+00   -8.5217833E+00   -3.1126645E+01    5.9325055E-03   -1.0022562E-02
    3.5000000E-01   -1.7482608E-01   -4.2886381E+00   -8.4791589E+00   -3.0900771E+01    5.9582949E-03   -1.0003991E-02
    4.5000000E-01   -1.5804822E-01   -4.2408391E+00   -8.4377672E+00   -3.0705081E+01    5.9848102E-03   -9.9839097E-03
    5.5000000E-01   -1.4186035E-01   -4.1943930E+00   -8.3975260E+00   -3.0529031E+01    6.0119824E-03   -9.9624754E-03
    6.5000000E-01   -1.2622180E-01   -4.1492143E+00   -8.3583612E+00   -3.0366974E+01    6.0397548E-03   -9.9398222E-03
    7.5000000E-01   -1.1109598E-01   -4.1052255E+00   -8.3202059E+00   -3.0215518E+01    6.0680809E-03   -9.9160652E-03
    8.5000000E-01   -9.6449761E-02   -4.0623565E+00   -8.2829993E+00   -3.0072453E+01    6.0969226E-03   -9.8913035E-03
    9.5000000E-01   -8.2253125E-02   -4.0205432E+00   -8.2466863E+00   -2.9936256E+01    6.1262481E-03   -9.8656226E-03
    1.0500000E+00   -6.8478758E-02   -3.9797273E+00   -8.2112166E+00   -2.9805825E+01    6.1560314E-03   -9.8390963E-03
    1.1500000E+00   -5.5101747E-02   -3.9398552E+00   -8.1765440E+00   -2.9680336E+01    6.1862508E-03   -9.8117885E-03
    1.2500000E+00   -4.2099305E-02   -3.9008776E+00   -8.1426264E+00   -2.9559153E+01    6.2168887E-03   -9.7837547E-03
    1.3500000E+00   -2.9450541E-02   -3.8627493E+00   -8.1094248E+00   -2.9441773E+01    6.2479302E-03   -9.7550426E-03
    1.4500000E+00   -1.7136253E-02   -3.8254284E+00   -8.0769035E+00   -2.9327791E+01    6.2793634E-03   -9.7256940E-03
    1.5500000E+00   -5.1387527E-03   -3.7888764E+00   -8.0450294E+00   -2.9216873E+01    6.3111785E-03   -9.6957448E-03
    1.6500000E+00    6.5583061E-03   -3.7530572E+00   -8.0137717E+00   -2.9108742E+01    6.3433677E-03   -9.6652261E-03
    1.7500000E+00    1.7970039E-02   -3.7179376E+00   -7.9831021E+00   -2.9003164E+01    6.3759245E-03   -9.6341650E-03
    1.8500000E+00    2.9110441E-02   -3.6834865E+00   -7.9529941E+00   -2.8899939E+01    6.4088442E-03   -9.6025848E-03
