# Time          1.7500E+00
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02   -2.8298632E-01   -4.5994934E+00   -8.7582686E+00   -3.2114123E+01    3.7855570E-03   -1.2151855E-02
    1.5000000E-01   -2.1862991E-01   -4.4126779E+00   -8.5876641E+00   -3.1475895E+01    5.9442828E-03   -1.0001700E-02
    2.5000000E-01   -1.9514510E-01   -4.3461314E+00   -8.5290300E+00   -3.1162361E+01    5.9399598E-03   -1.0014059E-02
    3.5000000E-01   -1.7715172E-01   -4.2952375E+00   -8.4848797E+00   -3.0929002E+01    5.9626426E-03   -9.9986837E-03
    4.5000000E-01   -1.6025411E-01   -4.2471402E+00   -8.4432244E+00   -3.0729894E+01    5.9884688E-03   -9.9793933E-03
    5.5000000E-01   -1.4398747E-01   -4.2005116E+00   -8.4028274E+00   -3.0551610E+01    6.0152090E-03   -9.9584838E-03
    6.5000000E-01   -1.2827770E-01   -4.1551681E+00   -8.3635228E+00   -3.0387917E+01    6.0426203E-03   -9.9362742E-03
    7.5000000E-01   -1.1308545E-01   -4.1110249E+00   -8.3252365E+00   -3.0235194E+01    6.0706347E-03   -9.9129023E-03
    8.5000000E-01   -9.8377043E-02   -4.0680104E+00   -8.2879068E+00   -3.0091110E+01    6.0992056E-03   -9.8884766E-03
    9.5000000E-01   -8.4122062E-02   -4.0260599E+00   -8.2514777E+00   -2.9954068E+01    6.1282950E-03   -9.8630898E-03
    1.0500000E+00   -7.0292851E-02   -3.9851142E+00   -8.2158983E+00   -2.9822920E+01    6.1578717E-03   -9.8368218E-03
    1.1500000E+00   -5.6864190E-02   -3.9451191E+00   -8.1811220E+00   -2.9696813E+01    6.1879097E-03   -9.8097416E-03
    1.2500000E+00   -4.3813025E-02   -3.9060249E+00   -8.1471060E+00   -2.9575087E+01    6.2183877E-03   -9.7819086E-03
    1.3500000E+00   -3.1118222E-02   -3.8677858E+00   -8.1138111E+00   -2.9457225E+01    6.2492879E-03   -9.7533745E-03
    1.4500000E+00   -1.8760367E-02   -3.8303596E+00   -8.0812010E+00   -2.9342810E+01    6.2805959E-03   -9.7241837E-03
    1.5500000E+00   -6.7215772E-03   -3.7937072E+00   -8.0492424E+00   -2.9231501E+01    6.3122997E-03   -9.6943749E-03
    1.6500000E+00    5.0146635E-03   -3.7577923E+00   -8.0179042E+00   -2.9123013E+01    6.3443896E-03   -9.6639815E-03
    1.7500000E+00    1.6463629E-02   -3.7225812E+00   -7.9871578E+00   -2.9017107E+01    6.3768578E-03   -9.6330323E-03
    1.8500000E+00    2.7639455E-02   -3.6880426E+00   -7.9569764E+00   -2.8913578E+01    6.4096982E-03   -9.6015522E-03
    1.9500000E+00    3.8555263E-02   -3.6541475E+00   -7.9273351E+00   -2.8812250E+01    6.4429059E-03   -9.5695628E-03
    2.0500000E+00    4.9223254E-02   -3.6208685E+00   -7.8982110E+00   -2.8712969E+01    6.4764774E-03   -9.5370823E-03
    2.1500000E+00    5.9654793E-02   -3.5881801E+00   -7.8695821E+00   -2.8615600E+01    6.5104101E-03   -9.5041265E-03
    2.2500000E+00    6.9860482E-02   -3.5560584E+00   -7.8414285E+00   -2.8520025E+01    6.5447025E-03   -9.4707090E-03
    2.3500000E+00    7.9850231E-02   -3.5244812E+00   -7.8137309E+00   -2.8426137E+01    6.5793536E-03   -9.4368409E-03
    2.4500000E+00    8.9633309E-02   -3.4934272E+00   -7.7864716E+00   -2.8333841E+01    6.6143634E-03   -9.4025317E-03
    2.5500000E+00    9.9218406E-02   -3.4628767E+00   -7.7596339E+00   -2.8243051E+01    6.6497325E-03   -9.3677894E-03
    2.6500000E+00    1.0861367E-01   -3.4328110E+00   -7.7332019E+00   -2.8153691E+01    6.6854618E-03   -9.3326203E-03
    2.7500000E+00    1.1782678E-01   -3.4032125E+00   -7.7071608E+00   -2.8065690E+01    6.7215531E-03   -9.2970295E-03
    2.8500000E+00    1.2686492E-01   -3.3740645E+00   -7.6814965E+00   -2.7978983E+01    6.7580082E-03   -9.2610210E-03
    2.9500000E+00    1.3573489E-01   -3.3453514E+00   -7.6561959E+00   -2.7893511E+01    6.7948298E-03   -9.2245977E-03
    3.0500000E+00    1.4444309E-01   -3.3170581E+00   -7.6312462E+00   -2.7809220E+01    6.8320206E-03   -9.1877614E-03
    3.1500000E+00    1.5299556E-01   -3.2891707E+00   -7.6066357E+00   -2.7726061E+01    6.8695838E-03   -9.1505134E-03
    3.2500000E+00    1.6139802E-01   -3.2616756E+00   -7.5823530E+00   -2.7643986E+01    6.9075229E-03   -9.1128540E-03
    3.3500000E+00    1.6965587E-01   -3.2345602E+00   -7.5583875E+00   -2.7562952E+01    6.9458418E-03   -9.0747828E-03
    3.4500000E+00    1.7777422E-01   -3.2078124E+00   -7.5347290E+00   -2.7482920E+01    6.9845446E-03   -9.0362989E-03
    3.5500000E+00    1.8575793E-01   -3.1814205E+00   -7.5113678E+00   -2.7403852E+01    7.0236356E-03   -8.9974006E-03
    3.6500000E+00    1.9361160E-01   -3.1553738E+00   -7.4882948E+00   -2.7325713E+01    7.0631194E-03   -8.9580858E-03
    3.7500000E+00    2.0133959E-01   -3.1296616E+00   -7.4655012E+00   -2.7248470E+01    7.1030009E-03   -8.9183520E-03
    3.8500000E+00    2.0894606E-01   -3.1042741E+00   -7.4429786E+00   -2.7172092E+01    7.1432852E-03   -8.8781961E-03
    3.9500000E+00    2.1643497E-01   -3.0792017E+00   -7.4207190E+00   -2.7096551E+01    7.1839777E-03   -8.8376145E-03
    4.0500000E+00    2.2381007E-01   -3.0544354E+00   -7.3987148E+00   -2.7021818E+01    7.2250839E-03   -8.7966033E-03
    4.1500000E+00    2.3107494E-01   -3.0299663E+00   -7.3769588E+00   -2.6947868E+01    7.2666096E-03   -8.7551584E-03
    4.2500000E+00    2.3823301E-01   -3.0057862E+00   -7.3554440E+00   -2.6874676E+01    7.3085607E-03   -8.7132749E-03
    4.3500000E+00    2.4528754E-01   -2.9818871E+00   -7.3341637E+00   -2.6802219E+01    7.3509436E-03   -8.6709480E-03
    4.4500000E+00    2.5224163E-01   -2.9582613E+00   -7.3131115E+00   -2.6730476E+01    7.3937645E-03   -8.6281722E-03
    4.5500000E+00    2.5909826E-01   -2.9349016E+00   -7.2922813E+00   -2.6659425E+01    7.4370302E-03   -8.5849420E-03
    4.6500000E+00    2.6586028E-01   -2.9118009E+00   -7.2716672E+00   -2.6589046E+01    7.4807474E-03   -8.5412514E-03
    4.7500000E+00    2.7253041E-01   -2.8889524E+00   -7.2512636E+00   -2.6519320E+01    7.5249232E-03   -8.4970942E-03
    4.8500000E+00    2.7911125E-01   -2.8663496E+00   -7.2310651E+00   -2.6450230E+01    7.5695648E-03   -8.4524639E-03
    4.9500000E+00    2.8560530E-01   -2.8439864E+00   -7.2110665E+00   -2.6381757E+01    7.6146799E-03   -8.4073536E-03
    5.0500000E+00    2.9201495E-01   -2.8218566E+00   -7.1912627E+00   -2.6313885E+01    7.6602759E-03   -8.3617562E-03
    5.1500000E+00    2.9834251E-01   -2.7999546E+00   -7.1716489E+00   -2.6246600E+01    7.7063609E-03   -8.3156643E-03
    5.2500000E+00    3.0459016E-01   -2.7782748E+00   -7.1522206E+00   -2.6179884E+01    7.7529430E-03   -8.2690704E-03
    5.3500000E+00    3.1076003E-01   -2.7568117E+00   -7.1329732E+00   -2.6113725E+01    7.8000306E-03   -8.2219665E-03
    5.4500000E+00    3.1685415E-01   -2.7355604E+00   -7.1139024E+00   -2.6048107E+01    7.8476322E-03   -8.1743444E-03
    5.5500000E+00    3.2287446E-01   -2.7145156E+00   -7.0950042E+00   -2.5983018E+01    7.8957567E-03   -8.1261956E-03
    5.6500000E+00    3.2882286E-01   -2.6936727E+00   -7.0762744E+00   -2.5918444E+01    7.9444132E-03   -8.0775113E-03
    5.7500000E+00    3.3470114E-01   -2.6730271E+00   -7.0577092E+00   -2.5854374E+01    7.9936110E-03   -8.0282826E-03
    5.8500000E+00    3.4051104E-01   -2.6525742E+00   -7.0393049E+00   -2.5790795E+01    8.0433597E-03   -7.9785002E-03
    5.9500000E+00    3.4625425E-01   -2.6323097E+00   -7.0210579E+00   -2.5727697E+01    8.0936692E-03   -7.9281544E-03
    6.0500000E+00    3.5193237E-01   -2.6122294E+00   -7.0029647E+00   -2.5665067E+01    8.1445496E-03   -7.8772353E-03
    6.1500000E+00    3.5754697E-01   -2.5923293E+00   -6.9850219E+00   -2.5602895E+01    8.1960112E-03   -7.8257328E-03
    6.2500000E+00    3.6309953E-01   -2.5726055E+00   -6.9672263E+00   -2.5541171E+01    8.2480648E-03   -7.7736363E-03
    6.3500000E+00    3.6859152E-01   -2.5530541E+00   -6.9495747E+00   -2.5479886E+01    8.3007214E-03   -7.7209351E-03
    6.4500000E+00    3.7402433E-01   -2.5336715E+00   -6.9320640E+00   -2.5419028E+01    8.3539921E-03   -7.6676180E-03
    6.5500000E+00    3.7939930E-01   -2.5144542E+00   -6.9146913E+00   -2.5358590E+01    8.4078887E-03   -7.6136737E-03
    6.6500000E+00    3.8471774E-01   -2.4953988E+00   -6.8974537E+00   -2.5298562E+01    8.4624229E-03   -7.5590902E-03
    6.7500000E+00    3.8998092E-01   -2.4765017E+00   -6.8803485E+00   -2.5238935E+01    8.5176072E-03   -7.5038555E-03
    6.8500000E+00    3.9519005E-01   -2.4577600E+00   -6.8633729E+00   -2.5179701E+01    8.5734539E-03   -7.4479571E-03
    6.9500000E+00    4.0034630E-01   -2.4391703E+00   -6.8465243E+00   -2.5120852E+01    8.6299762E-03   -7.3913822E-03
    7.0500000E+00    4.0545082E-01   -2.4207297E+00   -6.8298002E+00   -2.5062380E+01    8.6871872E-03   -7.3341176E-03
    7.1500000E+00    4.1050471E-01   -2.4024352E+00   -6.8131981E+00   -2.5004277E+01    8.7451008E-03   -7.2761496E-03
    7.2500000E+00    4.1550904E-01   -2.3842839E+00   -6.7967156E+00   -2.4946536E+01    8.8037308E-03   -7.2174642E-03
    7.3500000E+00    4.2046484E-01   -2.3662730E+00   -6.7803505E+00   -2.4889150E+01    8.8630919E-03   -7.1580471E-03
    7.4500000E+00    4.2537311E-01   -2.3483999E+00   -6.7641004E+00   -2.4832111E+01    8.9231989E-03   -7.0978835E-03
    7.5500000E+00    4.3023483E-01   -2.3306619E+00   -6.7479631E+00   -2.4775412E+01    8.9840672E-03   -7.0369579E-03
    7.6500000E+00    4.3505093E-01   -2.3130564E+00   -6.7319365E+00   -2.4719048E+01    9.0457125E-03   -6.9752548E-03
    7.7500000E+00    4.3982233E-01   -2.2955810E+00   -6.7160185E+00   -2.4663012E+01    9.1081510E-03   -6.9127579E-03
    7.8500000E+00    4.4454991E-01   -2.2782332E+00   -6.7002072E+00   -2.4607296E+01    9.1713996E-03   -6.8494505E-03
    7.9500000E+00    4.4923453E-01   -2.2610107E+00   -6.6845005E+00   -2.4551896E+01    9.2354754E-03   -6.7853155E-03
    8.0500000E+00    4.5387703E-01   -2.2439112E+00   -6.6688964E+00   -2.4496806E+01    9.3003962E-03   -6.7203351E-03
    8.1500000E+00    4.5847822E-01   -2.2269324E+00   -6.6533933E+00   -2.4442018E+01    9.3661803E-03   -6.6544910E-03
    8.2500000E+00    4.6303887E-01   -2.2100722E+00   -6.6379891E+00   -2.4387529E+01    9.4328465E-03   -6.5877645E-03
    8.3500000E+00    4.6755976E-01   -2.1933284E+00   -6.6226823E+00   -2.4333332E+01    9.5004143E-03   -6.5201361E-03
    8.4500000E+00    4.7204162E-01   -2.1766991E+00   -6.6074709E+00   -2.4279422E+01    9.5689037E-03   -6.4515859E-03
    8.5500000E+00    4.7648518E-01   -2.1601821E+00   -6.5923534E+00   -2.4225794E+01    9.6383353E-03   -6.3820931E-03
    8.6500000E+00    4.8089114E-01   -2.1437755E+00   -6.5773281E+00   -2.4172443E+01    9.7087306E-03   -6.3116365E-03
    8.7500000E+00    4.8526017E-01   -2.1274775E+00   -6.5623933E+00   -2.4119363E+01    9.7801115E-03   -6.2401940E-03
    8.8500000E+00    4.8959295E-01   -2.1112861E+00   -6.5475476E+00   -2.4066551E+01    9.8525007E-03   -6.1677431E-03
    8.9500000E+00    4.9389011E-01   -2.0951995E+00   -6.5327894E+00   -2.4014000E+01    9.9259217E-03   -6.0942602E-03
    9.0500000E+00    4.9815229E-01   -2.0792159E+00   -6.5181172E+00   -2.3961707E+01    1.0000399E-02   -6.0197211E-03
    9.1500000E+00    5.0238009E-01   -2.0633337E+00   -6.5035296E+00   -2.3909667E+01    1.0075957E-02   -5.9441009E-03
    9.2500000E+00    5.0657411E-01   -2.0475511E+00   -6.4890251E+00   -2.3857875E+01    1.0152622E-02   -5.8673736E-03
    9.3500000E+00    5.1073493E-01   -2.0318665E+00   -6.4746023E+00   -2.3806328E+01    1.0230420E-02   -5.7895127E-03
    9.4500000E+00    5.1486311E-01   -2.0162782E+00   -6.4602599E+00   -2.3755020E+01    1.0309380E-02   -5.7104903E-03
    9.5500000E+00    5.1895920E-01   -2.0007847E+00   -6.4459965E+00   -2.3703949E+01    1.0389529E-02   -5.6302780E-03
    9.6500000E+00    5.2302374E-01   -1.9853844E+00   -6.4318109E+00   -2.3653109E+01    1.0470898E-02   -5.5488462E-03
    9.7500000E+00    5.2705725E-01   -1.9700758E+00   -6.4177018E+00   -2.3602497E+01    1.0553517E-02   -5.4661643E-03
    9.8500000E+00    5.3106023E-01   -1.9548575E+00   -6.4036679E+00   -2.3552109E+01    1.0637418E-02   -5.3822006E-03
    9.9500000E+00    5.3503319E-01   -1.9397280E+00   -6.3897080E+00   -2.3501942E+01    1.0722633E-02   -5.2969223E-03
    1.0050000E+01    5.3897660E-01   -1.9246860E+00   -6.3758209E+00   -2.3451990E+01    1.0809197E-02   -5.2102954E-03
    1.0150000E+01    5.4289095E-01   -1.9097299E+00   -6.3620055E+00   -2.3402252E+01    1.0897145E-02   -5.1222846E-03
    1.0250000E+01    5.4677668E-01   -1.8948585E+00   -6.3482606E+00   -2.3352723E+01    1.0986513E-02   -5.0328534E-03
    1.0350000E+01    5.5063425E-01   -1.8800705E+00   -6.3345851E+00   -2.3303400E+01    1.1077339E-02   -4.9419639E-03
    1.0450000E+01    5.5446409E-01   -1.8653645E+00   -6.3209778E+00   -2.3254279E+01    1.1169662E-02   -4.8495769E-03
    1.0550000E+01    5.5826664E-01   -1.8507393E+00   -6.3074378E+00   -2.3205357E+01    1.1263524E-02   -4.7556515E-03
    1.0650000E+01    5.6204232E-01   -1.8361937E+00   -6.2939640E+00   -2.3156631E+01    1.1358967E-02   -4.6601453E-03
    1.0750000E+01    5.6579151E-01   -1.8217264E+00   -6.2805552E+00   -2.3108097E+01    1.1456034E-02   -4.5630144E-03
    1.0850000E+01    5.6951464E-01   -1.8073362E+00   -6.2672106E+00   -2.3059752E+01    1.1554772E-02   -4.4642129E-03
    1.0950000E+01    5.7321209E-01   -1.7930220E+00   -6.2539291E+00   -2.3011594E+01    1.1655227E-02   -4.3636935E-03
    1.1050000E+01    5.7688422E-01   -1.7787827E+00   -6.2407097E+00   -2.2963619E+01    1.1757451E-02   -4.2614066E-03
    1.1150000E+01    5.8053143E-01   -1.7646171E+00   -6.2275516E+00   -2.2915823E+01    1.1861492E-02   -4.1573009E-03
    1.1250000E+01    5.8415407E-01   -1.7505241E+00   -6.2144536E+00   -2.2868205E+01    1.1967407E-02   -4.0513226E-03
    1.1350000E+01    5.8775249E-01   -1.7365026E+00   -6.2014150E+00   -2.2820762E+01    1.2075249E-02   -3.9434162E-03
    1.1450000E+01    5.9132705E-01   -1.7225516E+00   -6.1884347E+00   -2.2773489E+01    1.2185078E-02   -3.8335236E-03
    1.1550000E+01    5.9487807E-01   -1.7086700E+00   -6.1755120E+00   -2.2726385E+01    1.2296953E-02   -3.7215841E-03
    1.1650000E+01    5.9840590E-01   -1.6948568E+00   -6.1626459E+00   -2.2679447E+01    1.2410938E-02   -3.6075346E-03
    1.1750000E+01    6.0191085E-01   -1.6811110E+00   -6.1498355E+00   -2.2632673E+01    1.2527099E-02   -3.4913092E-03
    1.1850000E+01    6.0539324E-01   -1.6674317E+00   -6.1370801E+00   -2.2586058E+01    1.2645505E-02   -3.3728392E-03
    1.1950000E+01    6.0885339E-01   -1.6538178E+00   -6.1243787E+00   -2.2539602E+01    1.2766227E-02   -3.2520528E-03
    1.2050000E+01    6.1229160E-01   -1.6402684E+00   -6.1117306E+00   -2.2493301E+01    1.2889340E-02   -3.1288748E-03
    1.2150000E+01    6.1570816E-01   -1.6267826E+00   -6.0991349E+00   -2.2447152E+01    1.3014924E-02   -3.0032268E-03
    1.2250000E+01    6.1910336E-01   -1.6133594E+00   -6.0865908E+00   -2.2401154E+01    1.3143059E-02   -2.8750267E-03
    1.2350000E+01    6.2247749E-01   -1.5999979E+00   -6.0740976E+00   -2.2355303E+01    1.3273832E-02   -2.7441885E-03
    1.2450000E+01    6.2583083E-01   -1.5866973E+00   -6.0616545E+00   -2.2309598E+01    1.3407333E-02   -2.6106223E-03
    1.2550000E+01    6.2916364E-01   -1.5734567E+00   -6.0492606E+00   -2.2264036E+01    1.3543657E-02   -2.4742337E-03
    1.2650000E+01    6.3247621E-01   -1.5602752E+00   -6.0369153E+00   -2.2218615E+01    1.3682902E-02   -2.3349239E-03
    1.2750000E+01    6.3576877E-01   -1.5471519E+00   -6.0246178E+00   -2.2173331E+01    1.3825171E-02   -2.1925889E-03
    1.2850000E+01    6.3904161E-01   -1.5340861E+00   -6.0123674E+00   -2.2128184E+01    1.3970575E-02   -2.0471199E-03
    1.2950000E+01    6.4229495E-01   -1.5210768E+00   -6.0001633E+00   -2.2083170E+01    1.4119227E-02   -1.8984023E-03
    1.3050000E+01    6.4552905E-01   -1.5081233E+00   -5.9880048E+00   -2.2038288E+01    1.4271248E-02   -1.7463159E-03
    1.3150000E+01    6.4874416E-01   -1.4952248E+00   -5.9758912E+00   -2.1993536E+01    1.4426764E-02   -1.5907338E-03
    1.3250000E+01    6.5194049E-01   -1.4823804E+00   -5.9638217E+00   -2.1948910E+01    1.4585909E-02   -1.4315229E-03
    1.3350000E+01    6.5511829E-01   -1.4695894E+00   -5.9517958E+00   -2.1904409E+01    1.4748824E-02   -1.2685426E-03
    1.3450000E+01    6.5827779E-01   -1.4568510E+00   -5.9398126E+00   -2.1860032E+01    1.4915655E-02   -1.1016447E-03
    1.3550000E+01    6.6141919E-01   -1.4441645E+00   -5.9278716E+00   -2.1815775E+01    1.5086561E-02   -9.3067295E-04
    1.3650000E+01    6.6454273E-01   -1.4315290E+00   -5.9159719E+00   -2.1771636E+01    1.5261705E-02   -7.5546214E-04
    1.3750000E+01    6.6764861E-01   -1.4189439E+00   -5.9041130E+00   -2.1727615E+01    1.5441263E-02   -5.7583775E-04
    1.3850000E+01    6.7073704E-01   -1.4064083E+00   -5.8922942E+00   -2.1683708E+01    1.5625419E-02   -3.9161512E-04
    1.3950000E+01    6.7380822E-01   -1.3939216E+00   -5.8805147E+00   -2.1639913E+01    1.5814368E-02   -2.0259871E-04
    1.4050000E+01    6.7686236E-01   -1.3814829E+00   -5.8687740E+00   -2.1596230E+01    1.6008319E-02   -8.5812681E-06
    1.4150000E+01    6.7989966E-01   -1.3690916E+00   -5.8570713E+00   -2.1552655E+01    1.6207490E-02    1.9065707E-04
    1.4250000E+01    6.8292030E-01   -1.3567470E+00   -5.8454060E+00   -2.1509186E+01    1.6412115E-02    3.9534978E-04
    1.4350000E+01    6.8592447E-01   -1.3444483E+00   -5.8337774E+00   -2.1465823E+01    1.6622443E-02    6.0574506E-04
    1.4450000E+01    6.8891237E-01   -1.3321948E+00   -5.8221848E+00   -2.1422562E+01    1.6838737E-02    8.2210700E-04
    1.4550000E+01    6.9188416E-01   -1.3199857E+00   -5.8106277E+00   -2.1379403E+01    1.7061279E-02    1.0447169E-03
    1.4650000E+01    6.9484004E-01   -1.3078204E+00   -5.7991052E+00   -2.1336342E+01    1.7290368E-02    1.2738749E-03
    1.4750000E+01    6.9778017E-01   -1.2956981E+00   -5.7876167E+00   -2.1293379E+01    1.7526326E-02    1.5099012E-03
    1.4850000E+01    7.0070473E-01   -1.2836182E+00   -5.7761616E+00   -2.1250511E+01    1.7769495E-02    1.7531383E-03
    1.4950000E+01    7.0361388E-01   -1.2715798E+00   -5.7647392E+00   -2.1207736E+01    1.8020240E-02    2.0039526E-03
    1.5050000E+01    7.0650779E-01   -1.2595823E+00   -5.7533487E+00   -2.1165053E+01    1.8278955E-02    2.2627371E-03
    1.5150000E+01    7.0938662E-01   -1.2476249E+00   -5.7419895E+00   -2.1122460E+01    1.8546062E-02    2.5299132E-03
    1.5250000E+01    7.1225053E-01   -1.2357068E+00   -5.7306608E+00   -2.1079955E+01    1.8822013E-02    2.8059338E-03
    1.5350000E+01    7.1509968E-01   -1.2238274E+00   -5.7193619E+00   -2.1037536E+01    1.9107296E-02    3.0912865E-03
    1.5450000E+01    7.1793422E-01   -1.2119859E+00   -5.7080921E+00   -2.0995201E+01    1.9402436E-02    3.3864968E-03
    1.5550000E+01    7.2075429E-01   -1.2001815E+00   -5.6968507E+00   -2.0952948E+01    1.9708000E-02    3.6921319E-03
    1.5650000E+01    7.2356005E-01   -1.1884134E+00   -5.6856368E+00   -2.0910776E+01    2.0024603E-02    4.0088051E-03
    1.5750000E+01    7.2635164E-01   -1.1766807E+00   -5.6744496E+00   -2.0868683E+01    2.0352907E-02    4.3371809E-03
    1.5850000E+01    7.2912920E-01   -1.1649828E+00   -5.6632883E+00   -2.0826667E+01    2.0693635E-02    4.6779803E-03
    1.5950000E+01    7.3189287E-01   -1.1533187E+00   -5.6521522E+00   -2.0784725E+01    2.1047570E-02    5.0319871E-03
    1.6050000E+01    7.3464279E-01   -1.1416875E+00   -5.6410402E+00   -2.0742857E+01    2.1415566E-02    5.4000551E-03
    1.6150000E+01    7.3737909E-01   -1.1300883E+00   -5.6299514E+00   -2.0701059E+01    2.1798555E-02    5.7831163E-03
    1.6250000E+01    7.4010189E-01   -1.1185203E+00   -5.6188850E+00   -2.0659331E+01    2.2197557E-02    6.1821903E-03
    1.6350000E+01    7.4281134E-01   -1.1069823E+00   -5.6078398E+00   -2.0617670E+01    2.2613688E-02    6.5983949E-03
    1.6450000E+01    7.4550756E-01   -1.0954734E+00   -5.5968149E+00   -2.0576074E+01    2.3048179E-02    7.0329588E-03
    1.6550000E+01    7.4819066E-01   -1.0839925E+00   -5.5858090E+00   -2.0534541E+01    2.3502382E-02    7.4872356E-03
    1.6650000E+01    7.5086077E-01   -1.0725384E+00   -5.5748210E+00   -2.0493069E+01    2.3977793E-02    7.9627208E-03
    1.6750000E+01    7.5351802E-01   -1.0611099E+00   -5.5638495E+00   -2.0451655E+01    2.4476068E-02    8.4610711E-03
    1.6850000E+01    7.5616250E-01   -1.0497057E+00   -5.5528933E+00   -2.0410298E+01    2.4999050E-02    8.9841275E-03
    1.6950000E+01    7.5879435E-01   -1.0383243E+00   -5.5419507E+00   -2.0368996E+01    2.5548789E-02    9.5339420E-03
    1.7050000E+01    7.6141367E-01   -1.0269643E+00   -5.5310203E+00   -2.0327744E+01    2.6127581E-02    1.0112809E-02
    1.7150000E+01    7.6402058E-01   -1.0156239E+00   -5.5201001E+00   -2.0286542E+01    2.6738001E-02    1.0723306E-02
    1.7250000E+01    7.6661517E-01   -1.0043014E+00   -5.5091882E+00   -2.0245386E+01    2.7382951E-02    1.1368333E-02
    1.7350000E+01    7.6919755E-01   -9.9299478E-01   -5.4982825E+00   -2.0204273E+01    2.8065715E-02    1.2051174E-02
    1.7450000E+01    7.7176784E-01   -9.8170178E-01   -5.4873806E+00   -2.0163201E+01    2.8790021E-02    1.2775558E-02
    1.7550000E+01    7.7432611E-01   -9.7041994E-01   -5.4764798E+00   -2.0122165E+01    2.9560127E-02    1.3545742E-02
    1.7650000E+01    7.7687249E-01   -9.5914649E-01   -5.4655771E+00   -2.0081163E+01    3.0380917E-02    1.4366610E-02
    1.7750000E+01    7.7940706E-01   -9.4787826E-01   -5.4546690E+00   -2.0040190E+01    3.1258022E-02    1.5243794E-02
    1.7850000E+01    7.8192991E-01   -9.3661168E-01   -5.4437516E+00   -1.9999241E+01    3.2197977E-02    1.6183828E-02
    1.7950000E+01    7.8444114E-01   -9.2534260E-01   -5.4328204E+00   -1.9958312E+01    3.3208410E-02    1.7194342E-02
    1.8050000E+01    7.8694083E-01   -9.1406623E-01   -5.4218701E+00   -1.9917397E+01    3.4298291E-02    1.8284304E-02
    1.8150000E+01    7.8942908E-01   -9.0277696E-01   -5.4108946E+00   -1.9876490E+01    3.5478242E-02    1.9464336E-02
    1.8250000E+01    7.9190596E-01   -8.9146815E-01   -5.3998866E+00   -1.9835583E+01    3.6760953E-02    2.0747129E-02
    1.8350000E+01    7.9437155E-01   -8.8013186E-01   -5.3888373E+00   -1.9794668E+01    3.8161719E-02    2.2147978E-02
    1.8450000E+01    7.9682594E-01   -8.6875850E-01   -5.3777362E+00   -1.9753733E+01    3.9699167E-02    2.3685509E-02
    1.8550000E+01    7.9926919E-01   -8.5733633E-01   -5.3665704E+00   -1.9712768E+01    4.1396239E-02    2.5382664E-02
    1.8650000E+01    8.0170138E-01   -8.4585079E-01   -5.3553238E+00   -1.9671756E+01    4.3281556E-02    2.7268067E-02
    1.8750000E+01    8.0412258E-01   -8.3428351E-01   -5.3439762E+00   -1.9630679E+01    4.5391344E-02    2.9377940E-02
    1.8850000E+01    8.0653283E-01   -8.2261096E-01   -5.3325016E+00   -1.9589513E+01    4.7772217E-02    3.1758899E-02
    1.8950000E+01    8.0893220E-01   -8.1080234E-01   -5.3208661E+00   -1.9548227E+01    5.0485303E-02    3.4472072E-02
    1.9050000E+01    8.1132074E-01   -7.9881648E-01   -5.3090243E+00   -1.9506778E+01    5.3612569E-02    3.7599426E-02
    1.9150000E+01    8.1369847E-01   -7.8659678E-01   -5.2969139E+00   -1.9465112E+01    5.7266825E-02    4.1253772E-02
    1.9250000E+01    8.1606542E-01   -7.7406297E-01   -5.2844463E+00   -1.9423148E+01    6.1608292E-02    4.5595329E-02
    1.9350000E+01    8.1842159E-01   -7.6109666E-01   -5.2714911E+00   -1.9380769E+01    6.6873411E-02    5.0860539E-02
    1.9450000E+01    8.2076695E-01   -7.4751469E-01   -5.2578465E+00   -1.9337794E+01    7.3428273E-02    5.7415494E-02
    1.9550000E+01    8.2310142E-01   -7.3301537E-01   -5.2431800E+00   -1.9293926E+01    8.1875949E-02    6.5863264E-02
    1.9650000E+01    8.2542483E-01   -7.1705859E-01   -5.2268968E+00   -1.9248634E+01    9.3296218E-02    7.7283629E-02
    1.9750000E+01    8.2773687E-01   -6.9855517E-01   -5.2077972E+00   -1.9200846E+01    1.0986616E-01    9.3853674E-02
    1.9850000E+01    8.3010033E-01   -6.7467444E-01   -5.1827963E+00   -1.9147599E+01    1.3686778E-01    1.2085539E-01
    1.9950000E+01    8.8359350E-01   -4.8589881E-01   -5.0020847E+00   -1.8784799E+01    1.9060470E-01    1.7459243E-01
