 TITLE = "Isotope ratios" 
    Distance        Li7+            
    5.0000000E-02   -9.9768670E+00
    1.5000000E-01   -1.1687892E+01
    2.5000000E-01   -1.3451260E+01
    3.5000000E-01   -1.4443591E+01
    4.5000000E-01   -1.4698980E+01
    5.5000000E-01   -1.4804081E+01
    6.5000000E-01   -1.5024321E+01
    7.5000000E-01   -1.5395926E+01
    8.5000000E-01   -1.5887464E+01
    9.5000000E-01   -1.6453862E+01
    1.0500000E+00   -1.7051878E+01
    1.1500000E+00   -1.7646407E+01
    1.2500000E+00   -1.8213240E+01
    1.3500000E+00   -1.8738801E+01
    1.4500000E+00   -1.9217752E+01
    1.5500000E+00   -1.9649985E+01
    1.6500000E+00   -2.0038120E+01
    1.7500000E+00   -2.0385876E+01
    1.8500000E+00   -2.0697192E+01
    1.9500000E+00   -2.0975828E+01
    2.0500000E+00   -2.1225226E+01
    2.1500000E+00   -2.1448479E+01
    2.2500000E+00   -2.1648349E+01
    2.3500000E+00   -2.1827294E+01
    2.4500000E+00   -2.1987503E+01
    2.5500000E+00   -2.2130925E+01
    2.6500000E+00   -2.2259298E+01
    2.7500000E+00   -2.2374170E+01
    2.8500000E+00   -2.2476923E+01
    2.9500000E+00   -2.2568789E+01
    3.0500000E+00   -2.2650871E+01
    3.1500000E+00   -2.2724153E+01
    3.2500000E+00   -2.2789517E+01
    3.3500000E+00   -2.2847751E+01
    3.4500000E+00   -2.2899562E+01
    3.5500000E+00   -2.2945582E+01
    3.6500000E+00   -2.2986378E+01
    3.7500000E+00   -2.3022461E+01
    3.8500000E+00   -2.3054287E+01
    3.9500000E+00   -2.3082267E+01
    4.0500000E+00   -2.3106770E+01
    4.1500000E+00   -2.3128129E+01
    4.2500000E+00   -2.3146643E+01
    4.3500000E+00   -2.3162581E+01
    4.4500000E+00   -2.3176185E+01
    4.5500000E+00   -2.3187675E+01
    4.6500000E+00   -2.3197247E+01
    4.7500000E+00   -2.3205080E+01
    4.8500000E+00   -2.3211334E+01
    4.9500000E+00   -2.3216155E+01
    5.0500000E+00   -2.3219675E+01
    5.1500000E+00   -2.3222012E+01
    5.2500000E+00   -2.3223273E+01
    5.3500000E+00   -2.3223557E+01
    5.4500000E+00   -2.3222951E+01
    5.5500000E+00   -2.3221536E+01
    5.6500000E+00   -2.3219384E+01
    5.7500000E+00   -2.3216561E+01
    5.8500000E+00   -2.3213126E+01
    5.9500000E+00   -2.3209134E+01
    6.0500000E+00   -2.3204635E+01
    6.1500000E+00   -2.3199673E+01
    6.2500000E+00   -2.3194288E+01
    6.3500000E+00   -2.3188519E+01
    6.4500000E+00   -2.3182398E+01
    6.5500000E+00   -2.3175956E+01
    6.6500000E+00   -2.3169222E+01
    6.7500000E+00   -2.3162221E+01
    6.8500000E+00   -2.3154976E+01
    6.9500000E+00   -2.3147508E+01
    7.0500000E+00   -2.3139837E+01
    7.1500000E+00   -2.3131980E+01
    7.2500000E+00   -2.3123953E+01
    7.3500000E+00   -2.3115771E+01
    7.4500000E+00   -2.3107448E+01
    7.5500000E+00   -2.3098995E+01
    7.6500000E+00   -2.3090424E+01
    7.7500000E+00   -2.3081745E+01
    7.8500000E+00   -2.3072968E+01
    7.9500000E+00   -2.3064100E+01
    8.0500000E+00   -2.3055150E+01
    8.1500000E+00   -2.3046124E+01
    8.2500000E+00   -2.3037029E+01
    8.3500000E+00   -2.3027872E+01
    8.4500000E+00   -2.3018657E+01
    8.5500000E+00   -2.3009389E+01
    8.6500000E+00   -2.3000073E+01
    8.7500000E+00   -2.2990713E+01
    8.8500000E+00   -2.2981313E+01
    8.9500000E+00   -2.2971876E+01
    9.0500000E+00   -2.2962405E+01
    9.1500000E+00   -2.2952902E+01
    9.2500000E+00   -2.2943371E+01
    9.3500000E+00   -2.2933814E+01
    9.4500000E+00   -2.2924233E+01
    9.5500000E+00   -2.2914629E+01
    9.6500000E+00   -2.2905005E+01
    9.7500000E+00   -2.2895361E+01
    9.8500000E+00   -2.2885700E+01
    9.9500000E+00   -2.2876022E+01
    1.0050000E+01   -2.2866329E+01
    1.0150000E+01   -2.2856621E+01
    1.0250000E+01   -2.2846899E+01
    1.0350000E+01   -2.2837164E+01
    1.0450000E+01   -2.2827417E+01
    1.0550000E+01   -2.2817658E+01
    1.0650000E+01   -2.2807887E+01
    1.0750000E+01   -2.2798105E+01
    1.0850000E+01   -2.2788313E+01
    1.0950000E+01   -2.2778509E+01
    1.1050000E+01   -2.2768695E+01
    1.1150000E+01   -2.2758871E+01
    1.1250000E+01   -2.2749036E+01
    1.1350000E+01   -2.2739191E+01
    1.1450000E+01   -2.2729335E+01
    1.1550000E+01   -2.2719469E+01
    1.1650000E+01   -2.2709592E+01
    1.1750000E+01   -2.2699704E+01
    1.1850000E+01   -2.2689804E+01
    1.1950000E+01   -2.2679893E+01
    1.2050000E+01   -2.2669970E+01
    1.2150000E+01   -2.2660034E+01
    1.2250000E+01   -2.2650086E+01
    1.2350000E+01   -2.2640124E+01
    1.2450000E+01   -2.2630149E+01
    1.2550000E+01   -2.2620160E+01
    1.2650000E+01   -2.2610156E+01
    1.2750000E+01   -2.2600137E+01
    1.2850000E+01   -2.2590103E+01
    1.2950000E+01   -2.2580052E+01
    1.3050000E+01   -2.2569984E+01
    1.3150000E+01   -2.2559898E+01
    1.3250000E+01   -2.2549794E+01
    1.3350000E+01   -2.2539671E+01
    1.3450000E+01   -2.2529529E+01
    1.3550000E+01   -2.2519366E+01
    1.3650000E+01   -2.2509182E+01
    1.3750000E+01   -2.2498976E+01
    1.3850000E+01   -2.2488747E+01
    1.3950000E+01   -2.2478495E+01
    1.4050000E+01   -2.2468218E+01
    1.4150000E+01   -2.2457917E+01
    1.4250000E+01   -2.2447589E+01
    1.4350000E+01   -2.2437234E+01
    1.4450000E+01   -2.2426851E+01
    1.4550000E+01   -2.2416439E+01
    1.4650000E+01   -2.2405998E+01
    1.4750000E+01   -2.2395526E+01
    1.4850000E+01   -2.2385022E+01
    1.4950000E+01   -2.2374485E+01
    1.5050000E+01   -2.2363914E+01
    1.5150000E+01   -2.2353309E+01
    1.5250000E+01   -2.2342667E+01
    1.5350000E+01   -2.2331988E+01
    1.5450000E+01   -2.2321272E+01
    1.5550000E+01   -2.2310516E+01
    1.5650000E+01   -2.2299719E+01
    1.5750000E+01   -2.2288880E+01
    1.5850000E+01   -2.2277999E+01
    1.5950000E+01   -2.2267073E+01
    1.6050000E+01   -2.2256102E+01
    1.6150000E+01   -2.2245084E+01
    1.6250000E+01   -2.2234018E+01
    1.6350000E+01   -2.2222903E+01
    1.6450000E+01   -2.2211736E+01
    1.6550000E+01   -2.2200517E+01
    1.6650000E+01   -2.2189244E+01
    1.6750000E+01   -2.2177916E+01
    1.6850000E+01   -2.2166531E+01
    1.6950000E+01   -2.2155088E+01
    1.7050000E+01   -2.2143584E+01
    1.7150000E+01   -2.2132019E+01
    1.7250000E+01   -2.2120389E+01
    1.7350000E+01   -2.2108695E+01
    1.7450000E+01   -2.2096933E+01
    1.7550000E+01   -2.2085101E+01
    1.7650000E+01   -2.2073199E+01
    1.7750000E+01   -2.2061222E+01
    1.7850000E+01   -2.2049171E+01
    1.7950000E+01   -2.2037041E+01
    1.8050000E+01   -2.2024830E+01
    1.8150000E+01   -2.2012536E+01
    1.8250000E+01   -2.2000156E+01
    1.8350000E+01   -2.1987687E+01
    1.8450000E+01   -2.1975125E+01
    1.8550000E+01   -2.1962468E+01
    1.8650000E+01   -2.1949709E+01
    1.8750000E+01   -2.1936847E+01
    1.8850000E+01   -2.1923874E+01
    1.8950000E+01   -2.1910785E+01
    1.9050000E+01   -2.1897573E+01
    1.9150000E+01   -2.1884229E+01
    1.9250000E+01   -2.1870742E+01
    1.9350000E+01   -2.1857099E+01
    1.9450000E+01   -2.1843279E+01
    1.9550000E+01   -2.1829256E+01
    1.9650000E+01   -2.1814987E+01
    1.9750000E+01   -2.1800359E+01
    1.9850000E+01   -2.1783102E+01
    1.9950000E+01   -2.1723058E+01
