# Time          5.0000E-02
# Units: Mol/kgw
    Distance           H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-          
    5.0000000E-02   -6.0683944E-05    3.3421328E-05    8.9504270E-06    3.5335825E-05    1.5043748E-05    5.8281855E-08    1.0000031E-16    7.1873890E-08    3.7414036E-08    3.0036431E-09    2.2154896E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.5000000E-01   -6.1677379E-05    3.3749845E-05    9.1143259E-06    3.5372452E-05    1.5190775E-05    5.3719399E-08    1.0000031E-16    1.4538728E-07    3.7763333E-08    3.0273239E-09    2.3137227E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.5000000E-01   -6.2674381E-05    3.4079041E-05    9.2784470E-06    3.5409155E-05    1.5338169E-05    4.9624598E-08    1.0000031E-16    2.1908453E-07    3.8118322E-08    3.0518667E-09    2.4121832E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.5000000E-01   -6.3674764E-05    3.4408919E-05    9.4427908E-06    3.5445933E-05    1.5485932E-05    4.5934673E-08    1.0000031E-16    2.9296604E-07    3.8478629E-08    3.0771968E-09    2.5108653E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    4.5000000E-01   -6.4678386E-05    3.4739480E-05    9.6073577E-06    3.5482788E-05    1.5634064E-05    4.2600011E-08    1.0000031E-16    3.6703220E-07    3.8843962E-08    3.1032516E-09    2.6097644E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    5.5000000E-01   -6.5685121E-05    3.5070724E-05    9.7721481E-06    3.5519719E-05    1.5782567E-05    3.9578285E-08    1.0000031E-16    4.4128339E-07    3.9214075E-08    3.1299765E-09    2.7088765E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    6.5000000E-01   -6.6694866E-05    3.5402654E-05    9.9371623E-06    3.5556726E-05    1.5931440E-05    3.6833210E-08    1.0000031E-16    5.1571995E-07    3.9588758E-08    3.1573240E-09    2.8081983E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    7.5000000E-01   -6.7707529E-05    3.5735270E-05    1.0102401E-05    3.5593810E-05    1.6080684E-05    3.4333531E-08    1.0000031E-16    5.9034223E-07    3.9967832E-08    3.1852523E-09    2.9077269E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    8.5000000E-01   -6.8723034E-05    3.6068573E-05    1.0267864E-05    3.5630970E-05    1.6230301E-05    3.2052215E-08    1.0000031E-16    6.6515056E-07    4.0351143E-08    3.2137247E-09    3.0074600E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    9.5000000E-01   -6.9741313E-05    3.6402564E-05    1.0433551E-05    3.5668208E-05    1.6380290E-05    2.9965785E-08    1.0000031E-16    7.4014524E-07    4.0738559E-08    3.2427092E-09    3.1073954E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.0500000E+00   -7.0762307E-05    3.6737245E-05    1.0599464E-05    3.5705522E-05    1.6530653E-05    2.8053774E-08    1.0000031E-16    8.1532658E-07    4.1129966E-08    3.2721774E-09    3.2075314E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.1500000E+00   -7.1785967E-05    3.7072616E-05    1.0765602E-05    3.5742913E-05    1.6681390E-05    2.6298279E-08    1.0000031E-16    8.9069488E-07    4.1525264E-08    3.3021042E-09    3.3078664E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.2500000E+00   -7.2812247E-05    3.7408678E-05    1.0931966E-05    3.5780381E-05    1.6832501E-05    2.4683583E-08    1.0000031E-16    9.6625043E-07    4.1924367E-08    3.3324675E-09    3.4083990E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.3500000E+00   -7.3841110E-05    3.7745432E-05    1.1098555E-05    3.5817926E-05    1.6983987E-05    2.3195850E-08    1.0000031E-16    1.0419935E-06    4.2327201E-08    3.3632477E-09    3.5091281E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
