# Time          2.5000E+00
# Units: Mol/kgw
    Distance           H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-          
    5.0000000E-02   -2.1890407E-05    1.1885520E-05    3.1829095E-06    1.2566786E-05    5.3499609E-06    1.2385153E-07    3.5564118E-17    2.5461954E-08    1.4000131E-08    1.1255157E-09    7.9812163E-06    2.3852804E-04    1.1681448E-04    2.9449120E-05
    1.5000000E-01   -3.8521952E-05    2.1063032E-05    5.6675454E-06    2.2160158E-05    9.4806817E-06    8.0630531E-08    6.2676691E-17    7.0942013E-08    2.3880787E-08    1.9163041E-09    1.4277750E-05    4.2037169E-04    2.0586887E-04    5.1899878E-05
    2.5000000E-01   -5.1416107E-05    2.8073874E-05    7.5926124E-06    2.9377948E-05    1.2635923E-05    6.1602618E-08    8.3038084E-17    1.3164369E-07    3.1529379E-08    2.5273097E-09    1.9376020E-05    5.5693527E-04    2.7274823E-04    6.8760274E-05
    3.5000000E-01   -5.8681574E-05    3.1912211E-05    8.6835929E-06    3.3177647E-05    1.4363009E-05    5.2641792E-08    9.3704984E-17    2.0050515E-07    3.5735971E-08    2.8615910E-09    2.2544917E-05    6.2847801E-04    3.0778490E-04    7.7593075E-05
    4.5000000E-01   -6.2229818E-05    3.3666389E-05    9.2245754E-06    3.4740040E-05    1.5151926E-05    4.7417287E-08    9.8029048E-17    2.7282174E-07    3.7662318E-08    3.0127632E-09    2.4423057E-05    6.5747945E-04    3.2198780E-04    8.1173647E-05
    5.5000000E-01   -6.4081181E-05    3.4470604E-05    9.5144799E-06    3.5283981E-05    1.5513262E-05    4.3610905E-08    9.9466205E-17    3.4642208E-07    3.8548375E-08    3.0805861E-09    2.5709182E-05    6.6711844E-04    3.2670831E-04    8.2363696E-05
    6.5000000E-01   -6.5327334E-05    3.4935731E-05    9.7147075E-06    3.5464303E-05    1.5722016E-05    4.0418891E-08    9.9872615E-17    4.2052147E-07    3.9065054E-08    3.1189987E-09    2.6784157E-05    6.6984423E-04    3.2804321E-04    8.2700226E-05
    7.5000000E-01   -6.6395621E-05    3.5300583E-05    9.8884303E-06    3.5536698E-05    1.5885692E-05    3.7582190E-08    9.9972953E-17    4.9488447E-07    3.9475042E-08    3.1490972E-09    2.7797685E-05    6.7051719E-04    3.2837278E-04    8.2783312E-05
    8.5000000E-01   -6.7420527E-05    3.5640283E-05    1.0055534E-05    3.5581538E-05    1.6038108E-05    3.5013424E-08    9.9994995E-17    5.6945046E-07    3.9860954E-08    3.1774969E-09    2.8796992E-05    6.7066503E-04    3.2844518E-04    8.2801563E-05
    9.5000000E-01   -6.8437832E-05    3.5974837E-05    1.0221316E-05    3.5620220E-05    1.6188271E-05    3.2672800E-08    9.9999366E-17    6.4420587E-07    4.0244701E-08    3.2059345E-09    2.9794664E-05    6.7069434E-04    3.2845953E-04    8.2805183E-05
    1.0500000E+00   -6.9455808E-05    3.6308897E-05    1.0387010E-05    3.5657715E-05    1.6338273E-05    3.0533743E-08    1.0000016E-16    7.1914816E-07    4.0631280E-08    3.2347892E-09    3.0793619E-05    6.7069965E-04    3.2846214E-04    8.2805839E-05
    1.1500000E+00   -7.0476125E-05    3.6643428E-05    1.0552871E-05    3.5695054E-05    1.6488551E-05    2.8574639E-08    1.0000029E-16    7.9427713E-07    4.1021639E-08    3.2641172E-09    3.1794445E-05    6.7070054E-04    3.2846257E-04    8.2805948E-05
    1.2500000E+00   -7.1499054E-05    3.6978612E-05    1.0718948E-05    3.5732431E-05    1.6639185E-05    2.6776852E-08    1.0000031E-16    8.6959298E-07    4.1415873E-08    3.2939085E-09    3.2797242E-05    6.7070068E-04    3.2846264E-04    8.2805965E-05
    1.3500000E+00   -7.2524605E-05    3.7314481E-05    1.0885248E-05    3.5769878E-05    1.6790192E-05    2.5124079E-08    1.0000031E-16    9.4509599E-07    4.1813928E-08    3.3241428E-09    3.3802015E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.4500000E+00   -7.3552747E-05    3.7651041E-05    1.1051774E-05    3.5807402E-05    1.6941573E-05    2.3601981E-08    1.0000031E-16    1.0207864E-06    4.2215731E-08    3.3548000E-09    3.4808756E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.5500000E+00   -7.4583446E-05    3.7988294E-05    1.1218527E-05    3.5845003E-05    1.7093329E-05    2.2197907E-08    1.0000031E-16    1.0966646E-06    4.2621215E-08    3.3858623E-09    3.5817454E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.6500000E+00   -7.5616672E-05    3.8326240E-05    1.1385505E-05    3.5882681E-05    1.7245461E-05    2.0900660E-08    1.0000031E-16    1.1727307E-06    4.3030321E-08    3.4173135E-09    3.6828101E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.7500000E+00   -7.6652398E-05    3.8664880E-05    1.1552710E-05    3.5920436E-05    1.7397970E-05    1.9700305E-08    1.0000031E-16    1.2489851E-06    4.3442997E-08    3.4491395E-09    3.7840690E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.8500000E+00   -7.7690600E-05    3.9004216E-05    1.1720141E-05    3.5958269E-05    1.7550856E-05    1.8588002E-08    1.0000031E-16    1.3254280E-06    4.3859196E-08    3.4813275E-09    3.8855216E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.9500000E+00   -7.8731257E-05    3.9344247E-05    1.1887800E-05    3.5996180E-05    1.7704119E-05    1.7555870E-08    1.0000031E-16    1.4020596E-06    4.4278879E-08    3.5138661E-09    3.9871672E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.0500000E+00   -7.9774350E-05    3.9684975E-05    1.2055685E-05    3.6034168E-05    1.7857761E-05    1.6596860E-08    1.0000031E-16    1.4788803E-06    4.4702010E-08    3.5467455E-09    4.0890054E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.1500000E+00   -8.0819863E-05    4.0026401E-05    1.2223798E-05    3.6072234E-05    1.8011780E-05    1.5704661E-08    1.0000031E-16    1.5558902E-06    4.5128558E-08    3.5799565E-09    4.1910357E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.2500000E+00   -8.1867781E-05    4.0368524E-05    1.2392138E-05    3.6110378E-05    1.8166179E-05    1.4873603E-08    1.0000031E-16    1.6330896E-06    4.5558495E-08    3.6134913E-09    4.2932579E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.3500000E+00   -8.2918093E-05    4.0711347E-05    1.2560706E-05    3.6148600E-05    1.8320958E-05    1.4098586E-08    1.0000031E-16    1.7104788E-06    4.5991798E-08    3.6473425E-09    4.3956714E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.4500000E+00   -8.3970786E-05    4.1054870E-05    1.2729502E-05    3.6186900E-05    1.8476116E-05    1.3375014E-08    1.0000031E-16    1.7880580E-06    4.6428445E-08    3.6815039E-09    4.4982762E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.5500000E+00   -8.5025851E-05    4.1399093E-05    1.2898525E-05    3.6225278E-05    1.8631655E-05    1.2698736E-08    1.0000031E-16    1.8658274E-06    4.6868417E-08    3.7159698E-09    4.6010719E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.6500000E+00   -8.6083278E-05    4.1744018E-05    1.3067777E-05    3.6263734E-05    1.8787575E-05    1.2065994E-08    1.0000031E-16    1.9437873E-06    4.7311698E-08    3.7507349E-09    4.7040584E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.7500000E+00   -8.7143061E-05    4.2089644E-05    1.3237257E-05    3.6302268E-05    1.8943876E-05    1.1473385E-08    1.0000031E-16    2.0219379E-06    4.7758274E-08    3.7857949E-09    4.8072354E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.8500000E+00   -8.8205192E-05    4.2435973E-05    1.3406965E-05    3.6340881E-05    1.9100559E-05    1.0917819E-08    1.0000031E-16    2.1002795E-06    4.8208132E-08    3.8211455E-09    4.9106029E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.9500000E+00   -8.9269665E-05    4.2783006E-05    1.3576902E-05    3.6379572E-05    1.9257625E-05    1.0396485E-08    1.0000031E-16    2.1788123E-06    4.8661262E-08    3.8567832E-09    5.0141607E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.0500000E+00   -9.0336475E-05    4.3130742E-05    1.3747068E-05    3.6418342E-05    1.9415073E-05    9.9068249E-09    1.0000031E-16    2.2575365E-06    4.9117653E-08    3.8927048E-09    5.1179088E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.1500000E+00   -9.1405618E-05    4.3479184E-05    1.3917462E-05    3.6457190E-05    1.9572905E-05    9.4465057E-09    1.0000031E-16    2.3364523E-06    4.9577298E-08    3.9289072E-09    5.2218471E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.2500000E+00   -9.2477088E-05    4.3828331E-05    1.4088085E-05    3.6496117E-05    1.9731120E-05    9.0133960E-09    1.0000031E-16    2.4155601E-06    5.0040189E-08    3.9653880E-09    5.3259755E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.3500000E+00   -9.3550884E-05    4.4178185E-05    1.4258937E-05    3.6535123E-05    1.9889720E-05    8.6055470E-09    1.0000031E-16    2.4948600E-06    5.0506322E-08    4.0021448E-09    5.4302940E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.4500000E+00   -9.4627002E-05    4.4528746E-05    1.4430019E-05    3.6574207E-05    2.0048705E-05    8.2211739E-09    1.0000031E-16    2.5743523E-06    5.0975690E-08    4.0391755E-09    5.5348027E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.5500000E+00   -9.5705440E-05    4.4880014E-05    1.4601329E-05    3.6613370E-05    2.0208074E-05    7.8586403E-09    1.0000031E-16    2.6540371E-06    5.1448291E-08    4.0764785E-09    5.6395014E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.6500000E+00   -9.6786194E-05    4.5231991E-05    1.4772869E-05    3.6652613E-05    2.0367830E-05    7.5164439E-09    1.0000031E-16    2.7339149E-06    5.1924121E-08    4.1140519E-09    5.7443903E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.7500000E+00   -9.7869265E-05    4.5584677E-05    1.4944638E-05    3.6691934E-05    2.0527971E-05    7.1932039E-09    1.0000031E-16    2.8139856E-06    5.2403178E-08    4.1518945E-09    5.8494693E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.8500000E+00   -9.8954649E-05    4.5938073E-05    1.5116637E-05    3.6731335E-05    2.0688499E-05    6.8876496E-09    1.0000031E-16    2.8942497E-06    5.2885459E-08    4.1900050E-09    5.9547384E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.9500000E+00   -1.0004235E-04    4.6292180E-05    1.5288865E-05    3.6770815E-05    2.0849415E-05    6.5986103E-09    1.0000031E-16    2.9747074E-06    5.3370964E-08    4.2283822E-09    6.0601978E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    4.0500000E+00   -1.0113236E-04    4.6646998E-05    1.5461323E-05    3.6810374E-05    2.1010718E-05    6.3250063E-09    1.0000031E-16    3.0553588E-06    5.3859693E-08    4.2670252E-09    6.1658475E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    4.1500000E+00   -1.0222468E-04    4.7002528E-05    1.5634010E-05    3.6850013E-05    2.1172408E-05    6.0658408E-09    1.0000031E-16    3.1362042E-06    5.4351644E-08    4.3059332E-09    6.2716874E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    4.2500000E+00   -1.0331931E-04    4.7358771E-05    1.5806927E-05    3.6889731E-05    2.1334488E-05    5.8201927E-09    1.0000031E-16    3.2172438E-06    5.4846820E-08    4.3451054E-09    6.3777177E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    4.3500000E+00   -1.0441625E-04    4.7715728E-05    1.5980074E-05    3.6929528E-05    2.1496956E-05    5.5872095E-09    1.0000031E-16    3.2984780E-06    5.5345220E-08    4.3845413E-09    6.4839385E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    4.4500000E+00   -1.0551550E-04    4.8073399E-05    1.6153451E-05    3.6969405E-05    2.1659814E-05    5.3661022E-09    1.0000031E-16    3.3799068E-06    5.5846846E-08    4.4242403E-09    6.5903498E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    4.5500000E+00   -1.0661707E-04    4.8431784E-05    1.6327058E-05    3.7009362E-05    2.1823061E-05    5.1561391E-09    1.0000031E-16    3.4615306E-06    5.6351700E-08    4.4642019E-09    6.6969517E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    4.6500000E+00   -1.0772094E-04    4.8790886E-05    1.6500894E-05    3.7049399E-05    2.1986699E-05    4.9566415E-09    1.0000031E-16    3.5433495E-06    5.6859784E-08    4.5044259E-09    6.8037442E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    4.7500000E+00   -1.0882713E-04    4.9150703E-05    1.6674960E-05    3.7089516E-05    2.2150728E-05    4.7669793E-09    1.0000031E-16    3.6253639E-06    5.7371100E-08    4.5449120E-09    6.9107275E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    4.8500000E+00   -1.0993562E-04    4.9511238E-05    1.6849256E-05    3.7129712E-05    2.2315148E-05    4.5865667E-09    1.0000031E-16    3.7075739E-06    5.7885652E-08    4.5856599E-09    7.0179016E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    4.9500000E+00   -1.1104644E-04    4.9872491E-05    1.7023782E-05    3.7169989E-05    2.2479959E-05    4.4148587E-09    1.0000031E-16    3.7899797E-06    5.8403441E-08    4.6266696E-09    7.1252667E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    5.0500000E+00   -1.1215956E-04    5.0234462E-05    1.7198538E-05    3.7210345E-05    2.2645163E-05    4.2513483E-09    1.0000031E-16    3.8725817E-06    5.8924472E-08    4.6679408E-09    7.2328227E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    5.1500000E+00   -1.1327500E-04    5.0597152E-05    1.7373523E-05    3.7250782E-05    2.2810760E-05    4.0955627E-09    1.0000031E-16    3.9553800E-06    5.9448749E-08    4.7094736E-09    7.3405699E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    5.2500000E+00   -1.1439275E-04    5.0960562E-05    1.7548738E-05    3.7291299E-05    2.2976750E-05    3.9470614E-09    1.0000031E-16    4.0383749E-06    5.9976274E-08    4.7512680E-09    7.4485082E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    5.3500000E+00   -1.1551282E-04    5.1324693E-05    1.7724183E-05    3.7331897E-05    2.3143133E-05    3.8054330E-09    1.0000031E-16    4.1215666E-06    6.0507052E-08    4.7933241E-09    7.5566379E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    5.4500000E+00   -1.1663520E-04    5.1689545E-05    1.7899858E-05    3.7372575E-05    2.3309911E-05    3.6702935E-09    1.0000031E-16    4.2049554E-06    6.1041088E-08    4.8356419E-09    7.6649589E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
