# Time          5.0000E-02
# Units: Volume % (m^3 mineral/m^3 porous medium)
    Distance        Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02    2.9999987E+01    2.0269524E+01    1.6424416E+01    4.0754032E+00    8.6991396E+00    7.0903479E-01
    1.5000000E-01    2.9999989E+01    2.0282591E+01    1.6475464E+01    4.0907122E+00    8.6625588E+00    7.0601506E-01
    2.5000000E-01    2.9999990E+01    2.0295682E+01    1.6526672E+01    4.1060757E+00    8.6262787E+00    7.0302459E-01
    3.5000000E-01    2.9999992E+01    2.0308795E+01    1.6578035E+01    4.1214919E+00    8.5899216E+00    7.0003174E-01
    4.5000000E-01    2.9999993E+01    2.0321931E+01    1.6629547E+01    4.1369593E+00    8.5534875E+00    6.9703608E-01
    5.5000000E-01    2.9999994E+01    2.0335087E+01    1.6681204E+01    4.1524767E+00    8.5169766E+00    6.9403726E-01
    6.5000000E-01    2.9999995E+01    2.0348263E+01    1.6733001E+01    4.1680426E+00    8.4803896E+00    6.9103499E-01
    7.5000000E-01    2.9999996E+01    2.0361459E+01    1.6784935E+01    4.1836561E+00    8.4437269E+00    6.8802902E-01
    8.5000000E-01    2.9999997E+01    2.0374672E+01    1.6837002E+01    4.1993161E+00    8.4069890E+00    6.8501913E-01
    9.5000000E-01    2.9999998E+01    2.0387904E+01    1.6889199E+01    4.2150218E+00    8.3701766E+00    6.8200513E-01
    1.0500000E+00    2.9999998E+01    2.0401152E+01    1.6941523E+01    4.2307724E+00    8.3332902E+00    6.7898687E-01
    1.1500000E+00    2.9999999E+01    2.0414416E+01    1.6993972E+01    4.2465673E+00    8.2963302E+00    6.7596420E-01
    1.2500000E+00    2.9999999E+01    2.0427697E+01    1.7046544E+01    4.2624057E+00    8.2592971E+00    6.7293698E-01
    1.3500000E+00    3.0000000E+01    2.0440993E+01    1.7099237E+01    4.2782872E+00    8.2221913E+00    6.6990512E-01
    1.4500000E+00    3.0000000E+01    2.0454304E+01    1.7152049E+01    4.2942114E+00    8.1850131E+00    6.6686849E-01
    1.5500000E+00    3.0000000E+01    2.0467630E+01    1.7204979E+01    4.3101778E+00    8.1477629E+00    6.6382702E-01
    1.6500000E+00    3.0000000E+01    2.0480971E+01    1.7258026E+01    4.3261861E+00    8.1104409E+00    6.6078062E-01
    1.7500000E+00    3.0000000E+01    2.0494325E+01    1.7311189E+01    4.3422360E+00    8.0730472E+00    6.5772920E-01
    1.8500000E+00    3.0000000E+01    2.0507693E+01    1.7364467E+01    4.3583273E+00    8.0355821E+00    6.5467271E-01
    1.9500000E+00    3.0000000E+01    2.0521075E+01    1.7417859E+01    4.3744598E+00    7.9980456E+00    6.5161106E-01
    2.0500000E+00    3.0000000E+01    2.0534470E+01    1.7471365E+01    4.3906333E+00    7.9604378E+00    6.4854421E-01
    2.1500000E+00    3.0000000E+01    2.0547879E+01    1.7524983E+01    4.4068476E+00    7.9227588E+00    6.4547210E-01
    2.2500000E+00    3.0000000E+01    2.0561300E+01    1.7578714E+01    4.4231027E+00    7.8850086E+00    6.4239467E-01
    2.3500000E+00    3.0000000E+01    2.0574734E+01    1.7632557E+01    4.4393985E+00    7.8471872E+00    6.3931188E-01
    2.4500000E+00    3.0000000E+01    2.0588181E+01    1.7686512E+01    4.4557348E+00    7.8092946E+00    6.3622368E-01
    2.5500000E+00    3.0000000E+01    2.0601641E+01    1.7740579E+01    4.4721117E+00    7.7713308E+00    6.3313002E-01
    2.6500000E+00    3.0000000E+01    2.0615113E+01    1.7794757E+01    4.4885291E+00    7.7332956E+00    6.3003088E-01
    2.7500000E+00    3.0000000E+01    2.0628597E+01    1.7849047E+01    4.5049870E+00    7.6951890E+00    6.2692620E-01
    2.8500000E+00    3.0000000E+01    2.0642094E+01    1.7903448E+01    4.5214854E+00    7.6570111E+00    6.2381596E-01
    2.9500000E+00    3.0000000E+01    2.0655602E+01    1.7957961E+01    4.5380243E+00    7.6187615E+00    6.2070013E-01
    3.0500000E+00    3.0000000E+01    2.0669123E+01    1.8012584E+01    4.5546037E+00    7.5804404E+00    6.1757867E-01
    3.1500000E+00    3.0000000E+01    2.0682655E+01    1.8067319E+01    4.5712235E+00    7.5420476E+00    6.1445155E-01
    3.2500000E+00    3.0000000E+01    2.0696200E+01    1.8122165E+01    4.5878839E+00    7.5035829E+00    6.1131875E-01
    3.3500000E+00    3.0000000E+01    2.0709756E+01    1.8177122E+01    4.6045849E+00    7.4650464E+00    6.0818024E-01
    3.4500000E+00    3.0000000E+01    2.0723323E+01    1.8232190E+01    4.6213264E+00    7.4264379E+00    6.0503600E-01
    3.5500000E+00    3.0000000E+01    2.0736902E+01    1.8287370E+01    4.6381086E+00    7.3877574E+00    6.0188601E-01
    3.6500000E+00    3.0000000E+01    2.0750493E+01    1.8342662E+01    4.6549314E+00    7.3490046E+00    5.9873025E-01
    3.7500000E+00    3.0000000E+01    2.0764095E+01    1.8398065E+01    4.6717949E+00    7.3101797E+00    5.9556869E-01
    3.8500000E+00    3.0000000E+01    2.0777708E+01    1.8453579E+01    4.6886991E+00    7.2712823E+00    5.9240132E-01
    3.9500000E+00    3.0000000E+01    2.0791333E+01    1.8509205E+01    4.7056441E+00    7.2323126E+00    5.8922813E-01
    4.0500000E+00    3.0000000E+01    2.0804968E+01    1.8564943E+01    4.7226299E+00    7.1932703E+00    5.8604909E-01
    4.1500000E+00    3.0000000E+01    2.0818615E+01    1.8620793E+01    4.7396566E+00    7.1541554E+00    5.8286419E-01
    4.2500000E+00    3.0000000E+01    2.0832273E+01    1.8676755E+01    4.7567241E+00    7.1149678E+00    5.7967343E-01
    4.3500000E+00    3.0000000E+01    2.0845941E+01    1.8732829E+01    4.7738327E+00    7.0757075E+00    5.7647677E-01
    4.4500000E+00    3.0000000E+01    2.0859621E+01    1.8789015E+01    4.7909822E+00    7.0363743E+00    5.7327422E-01
    4.5500000E+00    3.0000000E+01    2.0873311E+01    1.8845313E+01    4.8081728E+00    6.9969682E+00    5.7006576E-01
    4.6500000E+00    3.0000000E+01    2.0887011E+01    1.8901724E+01    4.8254045E+00    6.9574891E+00    5.6685138E-01
    4.7500000E+00    3.0000000E+01    2.0900723E+01    1.8958247E+01    4.8426773E+00    6.9179370E+00    5.6363106E-01
