# Time series at grid cell: 144   1   1
  Time(day)                  Na+                    K+                     Ca++                   Mg++                   Al+++                  Fe+++                  Fe++                   SiO2(aq)               CO2(aq)                pH                     Li7+                   Li6+                  
  1.00000E-02                8.61840223047124E-05   3.39750600001161E-05   4.12184130650814E-05   3.93389986736528E-05   4.14926537694546E-10   1.00000313914710E-16   1.22194993369286E-05   1.78005544852265E-04   6.70700700808872E-04   6.18148774477100E+00   1.20729984334647E-07   9.57186845904463E-09
  2.00000E-02                8.61840328437909E-05   3.39750634479724E-05   4.12184142400982E-05   3.93390045203303E-05   4.14926358404824E-10   1.00000313914710E-16   1.22195022602674E-05   1.78005572903553E-04   6.70700700808873E-04   6.18148784260339E+00   1.20730032573907E-07   9.57187233659579E-09
  3.00000E-02                8.61840433828326E-05   3.39750668958123E-05   4.12184154151110E-05   3.93390103669837E-05   4.14926179117238E-10   1.00000313914710E-16   1.22195051835941E-05   1.78005600954735E-04   6.70700700808873E-04   6.18148794043537E+00   1.20730080812957E-07   9.57187621412187E-09
  4.00000E-02                8.61840539218373E-05   3.39750703436359E-05   4.12184165901196E-05   3.93390162136130E-05   4.14925999830471E-10   1.00000313914710E-16   1.22195081069087E-05   1.78005629005810E-04   6.70700700808872E-04   6.18148803826696E+00   1.20730129051796E-07   9.57188009162281E-09
  5.00000E-02                8.61840644608052E-05   3.39750737914431E-05   4.12184177651241E-05   3.93390220602182E-05   4.14925820544521E-10   1.00000313914710E-16   1.22195110302113E-05   1.78005657056778E-04   6.70700700808873E-04   6.18148813609815E+00   1.20730177290425E-07   9.57188396909867E-09
  5.00011E-02                8.61840644619829E-05   3.39750737918283E-05   4.12184177652553E-05   3.93390220608715E-05   4.14925820591057E-10   1.00000313914710E-16   1.22195110305380E-05   1.78005657059912E-04   6.70700700808872E-04   6.18148813559370E+00   1.20730177295815E-07   9.57188396953198E-09
  5.00034E-02                8.61840644643381E-05   3.39750737925988E-05   4.12184177655179E-05   3.93390220621781E-05   4.14925820674568E-10   1.00000313914710E-16   1.22195110311912E-05   1.78005657066181E-04   6.70700700808872E-04   6.18148813561560E+00   1.20730177306596E-07   9.57188397039856E-09
  5.00078E-02                8.61840644690484E-05   3.39750737941398E-05   4.12184177660431E-05   3.93390220647912E-05   4.14925820808448E-10   1.00000313914710E-16   1.22195110324978E-05   1.78005657078718E-04   6.70700700808872E-04   6.18148813565944E+00   1.20730177328158E-07   9.57188397213172E-09
  5.00168E-02                8.61840644784692E-05   3.39750737972218E-05   4.12184177670934E-05   3.93390220700174E-05   4.14925820974939E-10   1.00000313914710E-16   1.22195110351109E-05   1.78005657103793E-04   6.70700700808871E-04   6.18148813574712E+00   1.20730177371280E-07   9.57188397559793E-09
  5.00346E-02                8.61840644973106E-05   3.39750738033858E-05   4.12184177691941E-05   3.93390220804699E-05   4.14925821057626E-10   1.00000313914710E-16   1.22195110403372E-05   1.78005657153943E-04   6.70700700808871E-04   6.18148813592249E+00   1.20730177457523E-07   9.57188398253026E-09
  5.00704E-02                8.61840645349935E-05   3.39750738157136E-05   4.12184177733953E-05   3.93390221013749E-05   4.14925820775357E-10   1.00000313914710E-16   1.22195110507897E-05   1.78005657254241E-04   6.70700700808871E-04   6.18148813627321E+00   1.20730177630007E-07   9.57188399639467E-09
  5.01419E-02                8.61840646103592E-05   3.39750738403694E-05   4.12184177817980E-05   3.93390221431848E-05   4.14925819695297E-10   1.00000313914710E-16   1.22195110716946E-05   1.78005657454838E-04   6.70700700808871E-04   6.18148813697466E+00   1.20730177974970E-07   9.57188402412319E-09
  5.02849E-02                8.61840647610907E-05   3.39750738896809E-05   4.12184177986033E-05   3.93390222268047E-05   4.14925817188402E-10   1.00000313914710E-16   1.22195111135046E-05   1.78005657856032E-04   6.70700700808872E-04   6.18148813837756E+00   1.20730178664893E-07   9.57188407958004E-09
  5.05710E-02                8.61840650625536E-05   3.39750739883041E-05   4.12184178322138E-05   3.93390223940445E-05   4.14925812047280E-10   1.00000313914710E-16   1.22195111971244E-05   1.78005658658419E-04   6.70700700808871E-04   6.18148814118335E+00   1.20730180044740E-07   9.57188419049366E-09
  5.11431E-02                8.61840656654793E-05   3.39750741855503E-05   4.12184178994349E-05   3.93390227285239E-05   4.14925801740534E-10   1.00000313914710E-16   1.22195113643642E-05   1.78005660263191E-04   6.70700700808872E-04   6.18148814679494E+00   1.20730182804432E-07   9.57188441232076E-09
