# Time series at grid cell:   9   1   1
  Time(day)                  Na+                    K+                     Ca++                   Mg++                   Al+++                  Fe+++                  Fe++                   SiO2(aq)               CO2(aq)                pH                     Li7+                   Li6+                  
  1.00000E-02                3.19498945828024E-05   8.91181549843119E-06   3.23182311486171E-05   1.43783917068656E-05   4.23655433531551E-08   9.09728417064580E-17   4.11740421824422E-07   2.47840218720256E-05   6.10153571509119E-04   5.54482517095673E+00   3.57814425962218E-08   2.85587136574902E-09
  2.00000E-02                3.19410631451692E-05   8.90949825325694E-06   3.23086921263527E-05   1.43744166899821E-05   4.23691792434037E-08   9.09457790090660E-17   4.11769078009348E-07   2.47786834861073E-05   6.09972062377837E-04   5.54484773419097E+00   3.57717197411345E-08   2.85508947177395E-09
  3.00000E-02                3.19322173386019E-05   8.90717727374540E-06   3.22991374485240E-05   1.43704352037747E-05   4.23728194243123E-08   9.09186718518247E-17   4.11797811780630E-07   2.47733367539120E-05   6.09790255054971E-04   5.54487034942053E+00   3.57619810095298E-08   2.85430630162594E-09
  4.00000E-02                3.19233571761675E-05   8.90485256349795E-06   3.22895671285329E-05   1.43664472541235E-05   4.23764638299414E-08   9.08915202725240E-17   4.11826623263052E-07   2.47679816850395E-05   6.09608149793977E-04   5.54489301650865E+00   3.57522264154346E-08   2.85352185643512E-09
  5.00000E-02                3.19144826710422E-05   8.90252412614471E-06   3.22799811798984E-05   1.43624528469578E-05   4.23801124373469E-08   9.08643243092849E-17   4.11855512581282E-07   2.47626182892008E-05   6.09425746850531E-04   5.54491573550885E+00   3.57424559732857E-08   2.85273613736510E-09
  5.00011E-02                3.19144816794339E-05   8.90252386597270E-06   3.22799801087957E-05   1.43624524006357E-05   4.23801123090305E-08   9.08643212704963E-17   4.11855515809281E-07   2.47626176893744E-05   6.09425726469903E-04   5.54491657019384E+00   3.57424548779511E-08   2.85273604927470E-09
  5.00034E-02                3.19144796962164E-05   8.90252334562848E-06   3.22799779665895E-05   1.43624515079913E-05   4.23801120519262E-08   9.08643151929175E-17   4.11855522265282E-07   2.47626164897228E-05   6.09425685707181E-04   5.54491657535306E+00   3.57424526872917E-08   2.85273587309470E-09
  5.00078E-02                3.19144757297789E-05   8.90252230493932E-06   3.22799736821741E-05   1.43624497227011E-05   4.23801115461755E-08   9.08643030377502E-17   4.11855535177301E-07   2.47626140904251E-05   6.09425604182648E-04   5.54491658528835E+00   3.57424483060179E-08   2.85273552073839E-09
  5.00168E-02                3.19144677968928E-05   8.90252022355814E-06   3.22799651133312E-05   1.43624461521159E-05   4.23801105629733E-08   9.08642787273823E-17   4.11855561001402E-07   2.47626092918515E-05   6.09425441133354E-04   5.54491660515936E+00   3.57424395436486E-08   2.85273481604042E-09
  5.00346E-02                3.19144519310761E-05   8.90251606078421E-06   3.22799479755972E-05   1.43624390109254E-05   4.23801087083749E-08   9.08642301065099E-17   4.11855612649853E-07   2.47625996947905E-05   6.09425115033844E-04   5.54491664490342E+00   3.57424220196146E-08   2.85273340670234E-09
  5.00704E-02                3.19144201992655E-05   8.90250773519017E-06   3.22799136999361E-05   1.43624247284645E-05   4.23801054355541E-08   9.08641328642169E-17   4.11855715947755E-07   2.47625805010022E-05   6.09424462831150E-04   5.54491672439955E+00   3.57423869742908E-08   2.85273058825164E-09
  5.01419E-02                3.19143567349344E-05   8.90249108381735E-06   3.22798451478420E-05   1.43623961632231E-05   4.23801005527389E-08   9.08639383774392E-17   4.11855922547559E-07   2.47625421146776E-05   6.09423158411065E-04   5.54491688342248E+00   3.57423168940645E-08   2.85272495220637E-09
  5.02849E-02                3.19142298034329E-05   8.90245778033270E-06   3.22797080405662E-05   1.43623390314622E-05   4.23800968368425E-08   9.08635493951172E-17   4.11856335763168E-07   2.47624653464334E-05   6.09420549512100E-04   5.54491720158078E+00   3.57421767712412E-08   2.85271368320776E-09
  5.05710E-02                3.19139759290739E-05   8.90239117040744E-06   3.22794338136643E-05   1.43622247628273E-05   4.23801095899129E-08   9.08627713954075E-17   4.11857162258390E-07   2.47623118235410E-05   6.09415331478999E-04   5.54491783827895E+00   3.57418966490586E-08   2.85269115535904E-09
  5.11431E-02                3.19134681349343E-05   8.90225793873382E-06   3.22788853104628E-05   1.43619962051071E-05   4.23801928626306E-08   9.08612152557377E-17   4.11858815504872E-07   2.47620048091133E-05   6.09404894472184E-04   5.54491911281179E+00   3.57413367437148E-08   2.85264612755488E-09
  5.22873E-02                3.19124523649924E-05   8.90199142810067E-06   3.22777881064937E-05   1.43615390078762E-05   4.23804881259183E-08   9.08581024154639E-17   4.11862123022189E-07   2.47613908031033E-05   6.09384016696570E-04   5.54492166468676E+00   3.57402175993149E-08   2.85255612693635E-09
  5.45756E-02                3.19104200986489E-05   8.90145821774219E-06   3.22755929084922E-05   1.43606242863372E-05   4.23812775379789E-08   9.08518744917479E-17   4.11868742155764E-07   2.47601625658397E-05   6.09342246101199E-04   5.54492677431421E+00   3.57379798461625E-08   2.85237617097820E-09
  5.91524E-02                3.19063524023844E-05   8.90039097709598E-06   3.22711990547860E-05   1.43587934189384E-05   4.23830473879270E-08   9.08394088210560E-17   4.11881996617687E-07   2.47577044634452E-05   6.09258639020949E-04   5.54493700683617E+00   3.57335021296308E-08   2.85201608340091E-09
  6.83058E-02                3.18982051425309E-05   8.89825341056929E-06   3.22623984230010E-05   1.43551263410922E-05   4.23866946753432E-08   9.08144407781153E-17   4.11908571054467E-07   2.47527814621056E-05   6.09091178707651E-04   5.54495751385204E+00   3.57245342821073E-08   2.85129491161187E-09
  7.83058E-02                3.18892901067725E-05   8.89591444193398E-06   3.22527683055315E-05   1.43511136857911E-05   4.23904477971165E-08   9.07871193779868E-17   4.11937681323947E-07   2.47473946387526E-05   6.08907934460747E-04   5.54498031087831E+00   3.57147196797748E-08   2.85050564395725E-09
  8.83058E-02                3.18803607797671E-05   8.89357176035554E-06   3.22431226122443E-05   1.43470945961258E-05   4.23941240222743E-08   9.07597537428947E-17   4.11966869905750E-07   2.47419994450346E-05   6.08724393530563E-04   5.54500322940181E+00   3.57048887397692E-08   2.84971506218022E-09
  9.83058E-02                3.18714171752187E-05   8.89122536960366E-06   3.22334613572234E-05   1.43430690782630E-05   4.23977941580976E-08   9.07323439125609E-17   4.11996136923979E-07   2.47365959619959E-05   6.08540556183520E-04   5.54502619994328E+00   3.56950419544951E-08   2.84892320665028E-09
  1.08306E-01                3.18624593069402E-05   8.88887527347702E-06   3.22237845546702E-05   1.43390371384190E-05   4.24014671106337E-08   9.07048899270416E-17   4.12025482502613E-07   2.47311842086978E-05   6.08356422688261E-04   5.54504922268666E+00   3.56851793992745E-08   2.84813008352423E-09
  1.18306E-01                3.18534871888545E-05   8.88652147580309E-06   3.22140922189026E-05   1.43349987828591E-05   4.24051439854763E-08   9.06773918267224E-17   4.12054906765511E-07   2.47257641964504E-05   6.08171993315662E-04   5.54507229770347E+00   3.56753010969768E-08   2.84733569465608E-09
  1.28306E-01                3.18445008349929E-05   8.88416398043832E-06   3.22043843643563E-05   1.43309540178976E-05   4.24088249065172E-08   9.06498496523220E-17   4.12084409836409E-07   2.47203359356485E-05   6.07987268338819E-04   5.54509542504891E+00   3.56654070639757E-08   2.84654004136684E-09
  1.38306E-01                3.18355002594969E-05   8.88180279126807E-06   3.21946610055836E-05   1.43269028498984E-05   4.24125098740154E-08   9.06222634448912E-17   4.12113991838920E-07   2.47148994366314E-05   6.07802248033058E-04   5.54511860477608E+00   3.56554973159328E-08   2.84574312491893E-09
  1.48306E-01                3.18264854766169E-05   8.87943791220653E-06   3.21849221572542E-05   1.43228452852743E-05   4.24161988725893E-08   9.05946332458114E-17   4.12143652896534E-07   2.47094547097910E-05   6.07616932675931E-04   5.54514183693768E+00   3.56455718685252E-08   2.84494494657586E-09
  1.58306E-01                3.18174565007127E-05   8.87706934719693E-06   3.21751678341549E-05   1.43187813304878E-05   4.24198918848143E-08   9.05669590967987E-17   4.12173393132613E-07   2.47040017655861E-05   6.07431322547219E-04   5.54516512158631E+00   3.56356307375373E-08   2.84414550760975E-09
  1.68306E-01                3.18084133462537E-05   8.87469710021131E-06   3.21653980511897E-05   1.43147109920500E-05   4.24235888929335E-08   9.05392410398999E-17   4.12203212670396E-07   2.46985406145432E-05   6.07245417928928E-04   5.54518845877443E+00   3.56256739388726E-08   2.84334480930229E-09
  1.78306E-01                3.17993560278184E-05   8.87232117525069E-06   3.21556128233800E-05   1.43106342765219E-05   4.24272898790727E-08   9.05114791174938E-17   4.12233111632995E-07   2.46930712672575E-05   6.07059219105297E-04   5.54521184855443E+00   3.56157014885547E-08   2.84254285294484E-09
  1.88306E-01                3.17902845600951E-05   8.86994157634504E-06   3.21458121658641E-05   1.43065511905132E-05   4.24309948252683E-08   9.04836733722921E-17   4.12263090143390E-07   2.46875937343925E-05   6.06872726362789E-04   5.54523529097855E+00   3.56057134027279E-08   2.84173963983846E-09
  1.98306E-01                3.17811989578812E-05   8.86755830755317E-06   3.21359960938980E-05   1.43024617406834E-05   4.24347037134694E-08   9.04558238473375E-17   4.12293148324437E-07   2.46821080266801E-05   6.06685939990102E-04   5.54525878609897E+00   3.55957096976568E-08   2.84093517129394E-09
