# Time series at grid cell:  97   1   1
  Time(day)                  Na+                    K+                     Ca++                   Mg++                   Al+++                  Fe+++                  Fe++                   SiO2(aq)               CO2(aq)                pH                     Li7+                   Li6+                  
  1.00000E-02                6.68009379179102E-05   2.50737076213497E-05   3.90573654485725E-05   3.02716987185821E-05   1.11415660881573E-09   1.00000313914726E-16   7.68584935939202E-06   1.21313081952329E-04   6.70700700808995E-04   5.99399053190457E+00   8.50186279477306E-08   6.73732980614725E-09
  2.00000E-02                6.68009480053513E-05   2.50737109471458E-05   3.90573665732357E-05   3.02717042702617E-05   1.11415589704330E-09   1.00000313914726E-16   7.68585213523181E-06   1.21313108851968E-04   6.70700700808994E-04   5.99399064373799E+00   8.50186729936349E-08   6.73733342879930E-09
  3.00000E-02                6.68009580927555E-05   2.50737142729270E-05   3.90573676978947E-05   3.02717098219173E-05   1.11415518528357E-09   1.00000313914726E-16   7.68585491105957E-06   1.21313135751504E-04   6.70700700808995E-04   5.99399075557091E+00   8.50187180393206E-08   6.73733705142281E-09
  4.00000E-02                6.68009681801228E-05   2.50737175986936E-05   3.90573688225496E-05   3.02717153735487E-05   1.11415447352736E-09   1.00000313914726E-16   7.68585768687528E-06   1.21313162650937E-04   6.70700700808994E-04   5.99399086740335E+00   8.50187630847875E-08   6.73734067401775E-09
  5.00000E-02                6.68009782674532E-05   2.50737209244454E-05   3.90573699472004E-05   3.02717209251560E-05   1.11415376177466E-09   1.00000313914726E-16   7.68586046267893E-06   1.21313189550266E-04   6.70700700808996E-04   5.99399097923533E+00   8.50188081300358E-08   6.73734429658415E-09
  5.00011E-02                6.68009782685803E-05   2.50737209248170E-05   3.90573699473260E-05   3.02717209257764E-05   1.11415376183714E-09   1.00000313914726E-16   7.68586046298910E-06   1.21313189553272E-04   6.70700700808996E-04   5.99399097870575E+00   8.50188081350700E-08   6.73734429698900E-09
  5.00034E-02                6.68009782708345E-05   2.50737209255602E-05   3.90573699475774E-05   3.02717209270170E-05   1.11415376195080E-09   1.00000313914726E-16   7.68586046360942E-06   1.21313189559283E-04   6.70700700808996E-04   5.99399097873077E+00   8.50188081451381E-08   6.73734429779870E-09
  5.00078E-02                6.68009782753430E-05   2.50737209270466E-05   3.90573699480800E-05   3.02717209294983E-05   1.11415376213633E-09   1.00000313914726E-16   7.68586046485005E-06   1.21313189571306E-04   6.70700700808996E-04   5.99399097878088E+00   8.50188081652745E-08   6.73734429941808E-09
  5.00168E-02                6.68009782843600E-05   2.50737209300195E-05   3.90573699490853E-05   3.02717209344608E-05   1.11415376236390E-09   1.00000313914726E-16   7.68586046733133E-06   1.21313189595352E-04   6.70700700808995E-04   5.99399097888109E+00   8.50188082055458E-08   6.73734430265675E-09
  5.00346E-02                6.68009783023940E-05   2.50737209359652E-05   3.90573699510959E-05   3.02717209443859E-05   1.11415376238783E-09   1.00000313914726E-16   7.68586047229387E-06   1.21313189643444E-04   6.70700700808996E-04   5.99399097908151E+00   8.50188082860859E-08   6.73734430913384E-09
  5.00704E-02                6.68009783384620E-05   2.50737209478567E-05   3.90573699551172E-05   3.02717209642361E-05   1.11415376139790E-09   1.00000313914726E-16   7.68586048221896E-06   1.21313189739626E-04   6.70700700808996E-04   5.99399097948235E+00   8.50188084471591E-08   6.73734432208744E-09
  5.01419E-02                6.68009784105980E-05   2.50737209716397E-05   3.90573699631598E-05   3.02717210039365E-05   1.11415375763192E-09   1.00000313914726E-16   7.68586050206915E-06   1.21313189931989E-04   6.70700700808996E-04   5.99399098028403E+00   8.50188087692933E-08   6.73734434799367E-09
  5.02849E-02                6.68009785548701E-05   2.50737210192056E-05   3.90573699792449E-05   3.02717210833373E-05   1.11415374814162E-09   1.00000313914726E-16   7.68586054176952E-06   1.21313190316711E-04   6.70700700808996E-04   5.99399098188736E+00   8.50188094135485E-08   6.73734439980511E-09
  5.05710E-02                6.68009788434140E-05   2.50737211143374E-05   3.90573700114150E-05   3.02717212421388E-05   1.11415372791690E-09   1.00000313914726E-16   7.68586062117027E-06   1.21313191086156E-04   6.70700700808996E-04   5.99399098509403E+00   8.50188107020505E-08   6.73734450342721E-09
  5.11431E-02                6.68009794205019E-05   2.50737213046009E-05   3.90573700757554E-05   3.02717215597417E-05   1.11415368703823E-09   1.00000313914726E-16   7.68586077997171E-06   1.21313192625044E-04   6.70700700808996E-04   5.99399099150735E+00   8.50188132790508E-08   6.73734471067108E-09
  5.22873E-02                6.68009805746772E-05   2.50737216851277E-05   3.90573702044360E-05   3.02717221949471E-05   1.11415360520352E-09   1.00000313914726E-16   7.68586109757445E-06   1.21313195702820E-04   6.70700700808996E-04   5.99399100433398E+00   8.50188184330482E-08   6.73734512515841E-09
  5.45756E-02                6.68009828830260E-05   2.50737224461806E-05   3.90573704617971E-05   3.02717234653568E-05   1.11415344152713E-09   1.00000313914726E-16   7.68586173277928E-06   1.21313201858365E-04   6.70700700808996E-04   5.99399102998723E+00   8.50188287410321E-08   6.73734595413160E-09
  5.91524E-02                6.68009874997158E-05   2.50737239682834E-05   3.90573709765184E-05   3.02717260061710E-05   1.11415311417473E-09   1.00000313914726E-16   7.68586300318637E-06   1.21313214169434E-04   6.70700700808996E-04   5.99399108129364E+00   8.50188493569516E-08   6.73734761207187E-09
  6.83058E-02                6.68009967330645E-05   2.50737270124766E-05   3.90573720059576E-05   3.02717310877793E-05   1.11415245947271E-09   1.00000313914726E-16   7.68586554399051E-06   1.21313238791485E-04   6.70700700808996E-04   5.99399118390605E+00   8.50188905886093E-08   6.73735092792860E-09
  7.83058E-02                6.68010068202904E-05   2.50737303381867E-05   3.90573731305967E-05   3.02717366393184E-05   1.11415174712090E-09   1.00000313914726E-16   7.68586831976006E-06   1.21313265690520E-04   6.70700700808996E-04   5.99399129578259E+00   8.50189356332344E-08   6.73735455041386E-09
  8.83058E-02                6.68010169074795E-05   2.50737336638821E-05   3.90573742552317E-05   3.02717421908334E-05   1.11415103537826E-09   1.00000313914726E-16   7.68587109551757E-06   1.21313292589452E-04   6.70700700808996E-04   5.99399140761276E+00   8.50189806776449E-08   6.73735817287090E-09
  9.83058E-02                6.68010269946316E-05   2.50737369895628E-05   3.90573753798627E-05   3.02717477423243E-05   1.11415032364239E-09   1.00000313914726E-16   7.68587387126302E-06   1.21313319488281E-04   6.70700700808996E-04   5.99399151944245E+00   8.50190257218369E-08   6.73736179529943E-09
  1.08306E-01                6.68010370817469E-05   2.50737403152287E-05   3.90573765044895E-05   3.02717532937911E-05   1.11414961191004E-09   1.00000313914726E-16   7.68587664699642E-06   1.21313346387007E-04   6.70700700808995E-04   5.99399163127167E+00   8.50190707658101E-08   6.73736541769941E-09
  1.18306E-01                6.68010471688252E-05   2.50737436408800E-05   3.90573776291122E-05   3.02717588452338E-05   1.11414890018117E-09   1.00000313914726E-16   7.68587942271776E-06   1.21313373285628E-04   6.70700700808996E-04   5.99399174310042E+00   8.50191158095647E-08   6.73736904007086E-09
  1.28306E-01                6.68010572558667E-05   2.50737469665165E-05   3.90573787537308E-05   3.02717643966524E-05   1.11414818845581E-09   1.00000313914726E-16   7.68588219842703E-06   1.21313400184146E-04   6.70700700808995E-04   5.99399185492869E+00   8.50191608531002E-08   6.73737266241377E-09
  1.38306E-01                6.68010673428713E-05   2.50737502921382E-05   3.90573798783452E-05   3.02717699480469E-05   1.11414747673391E-09   1.00000313914726E-16   7.68588497412427E-06   1.21313427082561E-04   6.70700700808996E-04   5.99399196675650E+00   8.50192058964171E-08   6.73737628472816E-09
  1.48306E-01                6.68010774298389E-05   2.50737536177452E-05   3.90573810029556E-05   3.02717754994172E-05   1.11414676501553E-09   1.00000313914726E-16   7.68588774980946E-06   1.21313453980872E-04   6.70700700808996E-04   5.99399207858383E+00   8.50192509395154E-08   6.73737990701402E-09
  1.58306E-01                6.68010875167697E-05   2.50737569433376E-05   3.90573821275618E-05   3.02717810507635E-05   1.11414605330062E-09   1.00000313914726E-16   7.68589052548260E-06   1.21313480879079E-04   6.70700700808996E-04   5.99399219041069E+00   8.50192959823949E-08   6.73738352927134E-09
  1.68306E-01                6.68010976036635E-05   2.50737602689151E-05   3.90573832521640E-05   3.02717866020857E-05   1.11414534158921E-09   1.00000313914726E-16   7.68589330114369E-06   1.21313507777183E-04   6.70700700808995E-04   5.99399230223708E+00   8.50193410250557E-08   6.73738715150013E-09
  1.78306E-01                6.68011076905204E-05   2.50737635944780E-05   3.90573843767619E-05   3.02717921533838E-05   1.11414462988128E-09   1.00000313914726E-16   7.68589607679273E-06   1.21313534675184E-04   6.70700700808996E-04   5.99399241406300E+00   8.50193860674979E-08   6.73739077370040E-09
  1.88306E-01                6.68011177773405E-05   2.50737669200261E-05   3.90573855013559E-05   3.02717977046578E-05   1.11414391817684E-09   1.00000313914726E-16   7.68589885242972E-06   1.21313561573081E-04   6.70700700808996E-04   5.99399252588845E+00   8.50194311097211E-08   6.73739439587215E-09
  1.98306E-01                6.68011278641237E-05   2.50737702455595E-05   3.90573866259457E-05   3.02718032559077E-05   1.11414320647590E-09   1.00000313914726E-16   7.68590162805467E-06   1.21313588470874E-04   6.70700700808996E-04   5.99399263771342E+00   8.50194761517256E-08   6.73739801801537E-09
  2.08306E-01                6.68011379508699E-05   2.50737735710781E-05   3.90573877505313E-05   3.02718088071334E-05   1.11414249477845E-09   1.00000313914726E-16   7.68590440366756E-06   1.21313615368564E-04   6.70700700808995E-04   5.99399274953792E+00   8.50195211935114E-08   6.73740164013007E-09
  2.18306E-01                6.68011480375792E-05   2.50737768965820E-05   3.90573888751129E-05   3.02718143583351E-05   1.11414178308449E-09   1.00000313914726E-16   7.68590717926840E-06   1.21313642266150E-04   6.70700700808995E-04   5.99399286136195E+00   8.50195662350785E-08   6.73740526221627E-09
  2.28306E-01                6.68011581242517E-05   2.50737802220713E-05   3.90573899996903E-05   3.02718199095126E-05   1.11414107139402E-09   1.00000313914726E-16   7.68590995485719E-06   1.21313669163633E-04   6.70700700808995E-04   5.99399297318551E+00   8.50196112764270E-08   6.73740888427395E-09
  2.38306E-01                6.68011682108872E-05   2.50737835475457E-05   3.90573911242637E-05   3.02718254606661E-05   1.11414035970704E-09   1.00000313914726E-16   7.68591273043393E-06   1.21313696061012E-04   6.70700700808995E-04   5.99399308500859E+00   8.50196563175564E-08   6.73741250630310E-09
  2.48306E-01                6.68011782974859E-05   2.50737868730055E-05   3.90573922488329E-05   3.02718310117955E-05   1.11413964802354E-09   1.00000313914726E-16   7.68591550599861E-06   1.21313722958288E-04   6.70700700808996E-04   5.99399319683121E+00   8.50197013584672E-08   6.73741612830376E-09
  2.58306E-01                6.68011883840476E-05   2.50737901984505E-05   3.90573933733980E-05   3.02718365629008E-05   1.11413893634354E-09   1.00000313914726E-16   7.68591828155124E-06   1.21313749855460E-04   6.70700700808995E-04   5.99399330865335E+00   8.50197463991593E-08   6.73741975027589E-09
  2.68306E-01                6.68011984705724E-05   2.50737935238809E-05   3.90573944979590E-05   3.02718421139819E-05   1.11413822466703E-09   1.00000313914726E-16   7.68592105709182E-06   1.21313776752528E-04   6.70700700808996E-04   5.99399342047502E+00   8.50197914396327E-08   6.73742337221954E-09
  2.78306E-01                6.68012085570603E-05   2.50737968492964E-05   3.90573956225159E-05   3.02718476650390E-05   1.11413751299400E-09   1.00000313914726E-16   7.68592383262034E-06   1.21313803649493E-04   6.70700700808996E-04   5.99399353229622E+00   8.50198364798871E-08   6.73742699413467E-09
  2.88306E-01                6.68012186435113E-05   2.50738001746973E-05   3.90573967470686E-05   3.02718532160719E-05   1.11413680132448E-09   1.00000313914726E-16   7.68592660813682E-06   1.21313830546354E-04   6.70700700808995E-04   5.99399364411694E+00   8.50198815199229E-08   6.73743061602130E-09
