# Time          7.0000E+00
# Units: Mol/m**3 Porous Medium/s
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02   -2.9312571E-14   -4.0116139E-11   -1.6226741E-10   -3.2554253E-11    1.1860043E-10    9.7871417E-12
    1.5000000E-01   -3.6198748E-14   -4.0133781E-11   -1.6260342E-10   -3.2635719E-11    1.1888097E-10    9.7932644E-12
    2.5000000E-01   -3.9607431E-14   -4.0151159E-11   -1.6294015E-10   -3.2717373E-11    1.1971391E-10    9.8434983E-12
    3.5000000E-01   -3.9733970E-14   -4.0168454E-11   -1.6327754E-10   -3.2799205E-11    1.2033220E-10    9.8820220E-12
    4.5000000E-01   -3.8074805E-14   -4.0185724E-11   -1.6361556E-10   -3.2881206E-11    1.2026976E-10    9.8714079E-12
    5.5000000E-01   -3.5982708E-14   -4.0202989E-11   -1.6395418E-10   -3.2963370E-11    1.1991826E-10    9.8388944E-12
    6.5000000E-01   -3.4199954E-14   -4.0220272E-11   -1.6429337E-10   -3.3045688E-11    1.1964393E-10    9.8119056E-12
    7.5000000E-01   -3.2824529E-14   -4.0237584E-11   -1.6463310E-10   -3.3128154E-11    1.1952055E-10    9.7963195E-12
    8.5000000E-01   -3.1544200E-14   -4.0254912E-11   -1.6497335E-10   -3.3210763E-11    1.1950963E-10    9.7899037E-12
    9.5000000E-01   -2.9965712E-14   -4.0272227E-11   -1.6531410E-10   -3.3293510E-11    1.1955202E-10    9.7889387E-12
    1.0500000E+00   -2.7856805E-14   -4.0289501E-11   -1.6565533E-10   -3.3376391E-11    1.1960664E-10    9.7906098E-12
    1.1500000E+00   -2.5220768E-14   -4.0306708E-11   -1.6599702E-10   -3.3459401E-11    1.1966199E-10    9.7936556E-12
    1.2500000E+00   -2.2237004E-14   -4.0323835E-11   -1.6633916E-10   -3.3542536E-11    1.1972401E-10    9.7977962E-12
    1.3500000E+00   -1.9149852E-14   -4.0340890E-11   -1.6668173E-10   -3.3625795E-11    1.1980092E-10    9.8030281E-12
    1.4500000E+00   -1.6173823E-14   -4.0357895E-11   -1.6702472E-10   -3.3709174E-11    1.1989805E-10    9.8094192E-12
    1.5500000E+00   -1.3444749E-14   -4.0374880E-11   -1.6736813E-10   -3.3792670E-11    1.2001719E-10    9.8170219E-12
    1.6500000E+00   -1.1014254E-14   -4.0391873E-11   -1.6771195E-10   -3.3876282E-11    1.2015721E-10    9.8258118E-12
    1.7500000E+00   -8.8700651E-15   -4.0408889E-11   -1.6805616E-10   -3.3960009E-11    1.2031520E-10    9.8356960E-12
    1.8500000E+00   -6.9641267E-15   -4.0425930E-11   -1.6840076E-10   -3.4043847E-11    1.2048759E-10    9.8465498E-12
    1.9500000E+00   -5.2367704E-15   -4.0442992E-11   -1.6874574E-10   -3.4127796E-11    1.2067098E-10    9.8582455E-12
    2.0500000E+00   -3.6322940E-15   -4.0460067E-11   -1.6909111E-10   -3.4211855E-11    1.2086245E-10    9.8706679E-12
    2.1500000E+00   -2.1062130E-15   -4.0477143E-11   -1.6943685E-10   -3.4296023E-11    1.2105977E-10    9.8837190E-12
    2.2500000E+00   -6.2666066E-16   -4.0494213E-11   -1.6978296E-10   -3.4380299E-11    1.2126132E-10    9.8973174E-12
    2.3500000E+00    0.0000000E+00   -4.0511270E-11   -1.7012945E-10   -3.4464683E-11    1.2146597E-10    9.9113966E-12
    2.4500000E+00    0.0000000E+00   -4.0528307E-11   -1.7047630E-10   -3.4549173E-11    1.2167302E-10    9.9259015E-12
    2.5500000E+00    0.0000000E+00   -4.0545322E-11   -1.7082351E-10   -3.4633768E-11    1.2188196E-10    9.9407859E-12
    2.6500000E+00    0.0000000E+00   -4.0562310E-11   -1.7117109E-10   -3.4718470E-11    1.2209251E-10    9.9560104E-12
    2.7500000E+00    0.0000000E+00   -4.0579269E-11   -1.7151902E-10   -3.4803277E-11    1.2230444E-10    9.9715407E-12
    2.8500000E+00    0.0000000E+00   -4.0596197E-11   -1.7186732E-10   -3.4888189E-11    1.2251759E-10    9.9873470E-12
    2.9500000E+00    0.0000000E+00   -4.0613092E-11   -1.7221597E-10   -3.4973206E-11    1.2273187E-10    1.0003403E-11
    3.0500000E+00    0.0000000E+00   -4.0629951E-11   -1.7256499E-10   -3.5058327E-11    1.2294715E-10    1.0019684E-11
    3.1500000E+00    0.0000000E+00   -4.0646771E-11   -1.7291436E-10   -3.5143552E-11    1.2316337E-10    1.0036171E-11
    3.2500000E+00    0.0000000E+00   -4.0663552E-11   -1.7326408E-10   -3.5228882E-11    1.2338046E-10    1.0052844E-11
    3.3500000E+00    0.0000000E+00   -4.0680291E-11   -1.7361416E-10   -3.5314316E-11    1.2359835E-10    1.0069687E-11
    3.4500000E+00    0.0000000E+00   -4.0696984E-11   -1.7396460E-10   -3.5399854E-11    1.2381698E-10    1.0086685E-11
    3.5500000E+00    0.0000000E+00   -4.0713631E-11   -1.7431539E-10   -3.5485495E-11    1.2403631E-10    1.0103825E-11
    3.6500000E+00    0.0000000E+00   -4.0730228E-11   -1.7466654E-10   -3.5571241E-11    1.2425630E-10    1.0121094E-11
    3.7500000E+00    0.0000000E+00   -4.0746774E-11   -1.7501804E-10   -3.5657090E-11    1.2447690E-10    1.0138483E-11
