# Time          1.0000E-01
# Units: Log10 mol/kgw
    Distance      pH               H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-              Al(OH)2+         AlO2-            AlOH++           HCO3-            H2SiO4--         HAlO2(aq)        HCl(aq)          HSiO3-           KCl(aq)          KOH(aq)          NaAlO2(aq)       NaCl(aq)         NaHSiO3(aq)      NaOH(aq)         OH-              CO3--            NaCO3-           NaHCO3(aq)   
    5.0000000E-02    5.5067260E+00   -5.5000046E+00   -4.4740375E+00   -5.0461579E+00   -4.4497858E+00   -4.8206450E+00   -7.5659456E+00   -1.5998000E+01   -7.1414272E+00   -7.4281771E+00   -8.5236978E+00   -4.6525442E+00   -3.2148782E+00   -3.4815151E+00   -4.0799480E+00   -8.2914495E+00   -1.0515430E+01   -7.5951215E+00   -4.1932634E+00   -1.6571557E+01   -9.1482269E+00   -8.9174035E+00   -9.3556837E+00   -1.0791218E+01   -1.4006356E+01   -1.5833372E+01   -9.3897473E+00   -1.2020760E+01   -1.4370083E+01   -9.1324369E+00   -9.1877831E+00   -1.2962944E+01   -8.3724936E+00
    1.5000000E-01    5.5139215E+00   -5.5071950E+00   -4.4717457E+00   -5.0402164E+00   -4.4513089E+00   -4.8183770E+00   -7.6046665E+00   -1.5999975E+01   -6.8364472E+00   -7.4292756E+00   -8.5255495E+00   -4.6355869E+00   -3.2175433E+00   -3.4834901E+00   -4.0819229E+00   -8.3158204E+00   -1.0525410E+01   -7.6266718E+00   -4.1887276E+00   -1.6540187E+01   -9.1654076E+00   -8.9265793E+00   -9.3315255E+00   -1.0787262E+01   -1.3993224E+01   -1.5841071E+01   -9.3894412E+00   -1.1994321E+01   -1.4360601E+01   -9.1252360E+00   -9.1760358E+00   -1.2948926E+01   -8.3656768E+00
    2.5000000E-01    5.5209051E+00   -5.5141593E+00   -4.4675542E+00   -5.0324888E+00   -4.4508820E+00   -4.8142066E+00   -7.6436105E+00   -1.5999998E+01   -6.6587044E+00   -7.4284049E+00   -8.5253513E+00   -4.6175150E+00   -3.2182481E+00   -3.4835137E+00   -4.0819464E+00   -8.3409511E+00   -1.0536573E+01   -7.6587258E+00   -4.1824286E+00   -1.6508067E+01   -9.1835750E+00   -8.9336069E+00   -9.3064498E+00   -1.0779599E+01   -1.3978534E+01   -1.5848084E+01   -9.3853139E+00   -1.1965094E+01   -1.4349446E+01   -9.1182321E+00   -9.1626928E+00   -1.2931472E+01   -8.3552267E+00
    3.5000000E-01    5.5278284E+00   -5.5210631E+00   -4.4633717E+00   -5.0248644E+00   -4.4504314E+00   -4.8100432E+00   -7.6817063E+00   -1.5999998E+01   -6.5326695E+00   -7.4274562E+00   -8.5250049E+00   -4.6001073E+00   -3.2189336E+00   -3.4835140E+00   -4.0819466E+00   -8.3653556E+00   -1.0547131E+01   -7.6899927E+00   -4.1761702E+00   -1.6476731E+01   -9.2010768E+00   -8.9405511E+00   -9.2820982E+00   -1.0772016E+01   -1.3964007E+01   -1.5854500E+01   -9.3811726E+00   -1.1936601E+01   -1.4338361E+01   -9.1112883E+00   -9.1494502E+00   -1.2914128E+01   -8.3448268E+00
    4.5000000E-01    5.5346939E+00   -5.5279091E+00   -4.4592204E+00   -5.0173613E+00   -4.4499801E+00   -4.8059087E+00   -7.7189916E+00   -1.5999998E+01   -6.4348848E+00   -7.4264559E+00   -8.5245438E+00   -4.5833342E+00   -3.2196229E+00   -3.4835140E+00   -4.0819465E+00   -8.3890656E+00   -1.0557110E+01   -7.7205071E+00   -4.1699735E+00   -1.6446145E+01   -9.2179418E+00   -8.9474373E+00   -9.2584390E+00   -1.0764554E+01   -1.3949659E+01   -1.5860369E+01   -9.3770624E+00   -1.1908831E+01   -1.4327365E+01   -9.1044023E+00   -9.1363269E+00   -1.2896935E+01   -8.3345197E+00
    5.5000000E-01    5.5415020E+00   -5.5346977E+00   -4.4550999E+00   -5.0099756E+00   -4.4495283E+00   -4.8018031E+00   -7.7555131E+00   -1.5999998E+01   -6.3549395E+00   -7.4254077E+00   -8.5239781E+00   -4.5671507E+00   -3.2203163E+00   -3.4835140E+00   -4.0819464E+00   -8.4121266E+00   -1.0566555E+01   -7.7503152E+00   -4.1638381E+00   -1.6416263E+01   -9.2342153E+00   -8.9542661E+00   -9.2354269E+00   -1.0757210E+01   -1.3935486E+01   -1.5865734E+01   -9.3729831E+00   -1.1881740E+01   -1.4316457E+01   -9.0975736E+00   -9.1233223E+00   -1.2879892E+01   -8.3243049E+00
    6.5000000E-01    5.5482533E+00   -5.5414294E+00   -4.4510098E+00   -5.0027037E+00   -4.4490761E+00   -4.7977258E+00   -7.7913130E+00   -1.5999998E+01   -6.2872917E+00   -7.4243145E+00   -8.5233166E+00   -4.5515163E+00   -3.2210136E+00   -3.4835140E+00   -4.0819464E+00   -8.4345800E+00   -1.0575506E+01   -7.7794586E+00   -4.1577636E+00   -1.6387044E+01   -9.2499379E+00   -8.9610381E+00   -9.2130205E+00   -1.0749979E+01   -1.3921483E+01   -1.5870636E+01   -9.3689341E+00   -1.1855284E+01   -1.4305636E+01   -9.0908018E+00   -9.1104353E+00   -1.2862996E+01   -8.3141813E+00
    7.5000000E-01    5.5549484E+00   -5.5481049E+00   -4.4469495E+00   -4.9955419E+00   -4.4486233E+00   -4.7936765E+00   -7.8264299E+00   -1.5999998E+01   -6.2286383E+00   -7.4231787E+00   -8.5225669E+00   -4.5363943E+00   -3.2217149E+00   -3.4835140E+00   -4.0819463E+00   -8.4564629E+00   -1.0583998E+01   -7.8079754E+00   -4.1517491E+00   -1.6358450E+01   -9.2651464E+00   -8.9677539E+00   -9.1911829E+00   -1.0742859E+01   -1.3907647E+01   -1.5875109E+01   -9.3649151E+00   -1.1829427E+01   -1.4294901E+01   -9.0840861E+00   -9.0976645E+00   -1.2846247E+01   -8.3041477E+00
    8.5000000E-01    5.5615879E+00   -5.5547248E+00   -4.4429186E+00   -4.9884867E+00   -4.4481702E+00   -4.7896545E+00   -7.8608991E+00   -1.5999998E+01   -6.1768505E+00   -7.4220027E+00   -8.5217359E+00   -4.5217517E+00   -3.2224200E+00   -3.4835140E+00   -4.0819462E+00   -8.4778093E+00   -1.0592066E+01   -7.8359000E+00   -4.1457941E+00   -1.6330446E+01   -9.2798739E+00   -8.9744142E+00   -9.1698801E+00   -1.0735845E+01   -1.3893973E+01   -1.5879187E+01   -9.3609254E+00   -1.1804135E+01   -1.4284251E+01   -9.0774260E+00   -9.0850087E+00   -1.2829642E+01   -8.2942028E+00
    9.5000000E-01    5.5681727E+00   -5.5612899E+00   -4.4389165E+00   -4.9815350E+00   -4.4477165E+00   -4.7856596E+00   -7.8947529E+00   -1.5999998E+01   -6.1304762E+00   -7.4207882E+00   -8.5208299E+00   -4.5075584E+00   -3.2231289E+00   -3.4835140E+00   -4.0819462E+00   -8.4986500E+00   -1.0599737E+01   -7.8632641E+00   -4.1398976E+00   -1.6303001E+01   -9.2941505E+00   -8.9810197E+00   -9.1490814E+00   -1.0728935E+01   -1.3880458E+01   -1.5882897E+01   -9.3569646E+00   -1.1779375E+01   -1.4273685E+01   -9.0708206E+00   -9.0724661E+00   -1.2813179E+01   -8.2843455E+00
    1.0500000E+00    5.5747033E+00   -5.5678010E+00   -4.4349429E+00   -4.9746837E+00   -4.4472624E+00   -4.7816913E+00   -7.9280210E+00   -1.5999998E+01   -6.0884801E+00   -7.4195371E+00   -8.5198542E+00   -4.4937872E+00   -3.2238415E+00   -3.4835140E+00   -4.0819461E+00   -8.5190131E+00   -1.0607039E+01   -7.8900965E+00   -4.1340589E+00   -1.6276086E+01   -9.3080036E+00   -8.9875712E+00   -9.1287589E+00   -1.0722125E+01   -1.3867097E+01   -1.5886266E+01   -9.3530323E+00   -1.1755120E+01   -1.4263202E+01   -9.0642693E+00   -9.0600354E+00   -1.2796857E+01   -8.2745743E+00
    1.1500000E+00    5.5811808E+00   -5.5742588E+00   -4.4309972E+00   -4.9679296E+00   -4.4468079E+00   -4.7777492E+00   -7.9607307E+00   -1.5999998E+01   -6.0500982E+00   -7.4182507E+00   -8.5188139E+00   -4.4804131E+00   -3.2245579E+00   -3.4835140E+00   -4.0819461E+00   -8.5389244E+00   -1.0613995E+01   -7.9164238E+00   -4.1282772E+00   -1.6249674E+01   -9.3214581E+00   -8.9940694E+00   -9.1088867E+00   -1.0715413E+01   -1.3853886E+01   -1.5889318E+01   -9.3491280E+00   -1.1731344E+01   -1.4252799E+01   -9.0577712E+00   -9.0477148E+00   -1.2780672E+01   -8.2648882E+00
    1.2500000E+00    5.5876058E+00   -5.5806642E+00   -4.4270790E+00   -4.9612700E+00   -4.4463528E+00   -4.7738330E+00   -7.9929074E+00   -1.5999998E+01   -6.0147505E+00   -7.4169306E+00   -8.5177134E+00   -4.4674135E+00   -3.2252780E+00   -3.4835140E+00   -4.0819460E+00   -8.5584075E+00   -1.0620628E+01   -7.9422706E+00   -4.1225516E+00   -1.6223742E+01   -9.3345369E+00   -9.0005153E+00   -9.0894413E+00   -1.0708795E+01   -1.3840822E+01   -1.5892075E+01   -9.3452512E+00   -1.1708021E+01   -1.4242477E+01   -9.0513256E+00   -9.0355028E+00   -1.2764624E+01   -8.2552856E+00
    1.3500000E+00    5.5939793E+00   -5.5870180E+00   -4.4231879E+00   -4.9547022E+00   -4.4458974E+00   -4.7699421E+00   -8.0245746E+00   -1.5999998E+01   -5.9819864E+00   -7.4155778E+00   -8.5165565E+00   -4.4547674E+00   -3.2260018E+00   -3.4835140E+00   -4.0819460E+00   -8.5774843E+00   -1.0626958E+01   -7.9676593E+00   -4.1168813E+00   -1.6198266E+01   -9.3472609E+00   -9.0069096E+00   -9.0704011E+00   -1.0702268E+01   -1.3827902E+01   -1.5894555E+01   -9.3414015E+00   -1.1685131E+01   -1.4232233E+01   -9.0449314E+00   -9.0233975E+00   -1.2748710E+01   -8.2457654E+00
