# Time series at grid cell: 153   1   1
  Time(day)                  Na+                    K+                     Ca++                   Mg++                   Al+++                  Fe+++                  Fe++                   SiO2(aq)               CO2(aq)                pH                     Li7+                   Li6+                  
  1.00000E-02                9.16231564742354E-05   3.64017723767875E-05   4.18248298612897E-05   4.19077014825137E-05   3.39308604828070E-10   1.00000313914979E-16   1.35038507413393E-05   1.93754924402740E-04   6.70700697398341E-04   6.22895095214577E+00   8.32406762034824E-08   6.58255605385302E-09
  2.00000E-02                9.16232058433791E-05   3.64017942476270E-05   4.18248353655285E-05   4.19077248445002E-05   3.39307957469136E-10   1.00000313914979E-16   1.35038624223344E-05   1.93755067188338E-04   6.70700700810723E-04   6.22895137941226E+00   8.32407380204522E-08   6.58256095187324E-09
  3.00000E-02                9.16233031244172E-05   3.64018373439351E-05   4.18248462115264E-05   4.19077708788301E-05   3.39306736648016E-10   1.00000313914979E-16   1.35038854395045E-05   1.93755348544603E-04   6.70700700810935E-04   6.22895221912236E+00   8.32408598277162E-08   6.58257060317438E-09
  4.00000E-02                9.16234469030103E-05   3.64019010391127E-05   4.18248622416009E-05   4.19078389162186E-05   3.39304935117519E-10   1.00000313914979E-16   1.35039194582070E-05   1.93755764381257E-04   6.70700700811272E-04   6.22895345910043E+00   8.32410398541717E-08   6.58258486742362E-09
  5.00000E-02                9.16236358066212E-05   3.64019847251246E-05   4.18248833027259E-05   4.19079283071481E-05   3.39302570033635E-10   1.00000313914979E-16   1.35039641536828E-05   1.93756310728668E-04   6.70700700811724E-04   6.22895508753010E+00   8.32412763807486E-08   6.58260360841023E-09
  6.00000E-02                9.16238685032444E-05   3.64020878118836E-05   4.18249092463946E-05   4.19080384212834E-05   3.39299658049924E-10   1.00000313914979E-16   1.35040192107640E-05   1.93756983734410E-04   6.70700700812280E-04   6.22895709294363E+00   8.32415677392330E-08   6.58262669395309E-09
  7.00000E-02                9.16241436997935E-05   3.64022097265166E-05   4.18249399284737E-05   4.19081686467019E-05   3.39296215336372E-10   1.00000313914979E-16   1.35040843234333E-05   1.93757779658171E-04   6.70700700810648E-04   6.22895946421166E+00   8.32419123100456E-08   6.58265399572464E-09
  8.00000E-02                9.16244601424608E-05   3.64023499136011E-05   4.18249752091162E-05   4.19083183900880E-05   3.39292257577611E-10   1.00000313914979E-16   1.35041591951264E-05   1.93758694874400E-04   6.70700700810647E-04   6.22896219053322E+00   8.32423085234006E-08   6.58268538934289E-09
  9.00000E-02                9.16248166134934E-05   3.64025078336315E-05   4.18250149525781E-05   4.19084870751737E-05   3.39287800008606E-10   1.00000313914979E-16   1.35042435376693E-05   1.93759725860769E-04   6.70700700810648E-04   6.22896526142604E+00   8.32427548542704E-08   6.58272075397212E-09
  1.00000E-01                9.16252119313822E-05   3.64026829631687E-05   4.18250590271312E-05   4.19086741428484E-05   3.39282857414563E-10   1.00000313914979E-16   1.35043370715066E-05   1.93760869200074E-04   6.70700700810647E-04   6.22896866671714E+00   8.32432498232219E-08   6.58275997238939E-09
  1.00000E-01                9.16252119313823E-05   3.64026829631687E-05   4.18250590271312E-05   4.19086741428484E-05   3.39282857414570E-10   1.00000313914979E-16   1.35043370715066E-05   1.93760869200075E-04   6.70700700810649E-04   6.22896864902152E+00   8.32432498232219E-08   6.58275997238939E-09
  1.00000E-01                9.16252119313823E-05   3.64026829631687E-05   4.18250590271312E-05   4.19086741428484E-05   3.39282857412453E-10   1.00000313914979E-16   1.35043370715066E-05   1.93760869200075E-04   6.70700700811295E-04   6.22896864902092E+00   8.32432498232219E-08   6.58275997238939E-09
  1.00000E-01                9.16252119313823E-05   3.64026829631687E-05   4.18250590271312E-05   4.19086741428484E-05   3.39282857414564E-10   1.00000313914979E-16   1.35043370715066E-05   1.93760869200075E-04   6.70700700810648E-04   6.22896864902092E+00   8.32432498232219E-08   6.58275997238939E-09
  1.00000E-01                9.16252119313823E-05   3.64026829631687E-05   4.18250590271312E-05   4.19086741428484E-05   3.39282857414564E-10   1.00000313914979E-16   1.35043370715066E-05   1.93760869200075E-04   6.70700700810648E-04   6.22896864902092E+00   8.32432498232219E-08   6.58275997238939E-09
  1.00000E-01                9.16252119313823E-05   3.64026829631687E-05   4.18250590271312E-05   4.19086741428484E-05   3.39282857414564E-10   1.00000313914979E-16   1.35043370715066E-05   1.93760869200075E-04   6.70700700810648E-04   6.22896864902092E+00   8.32432498232219E-08   6.58275997238939E-09
  1.00000E-01                9.16252119313823E-05   3.64026829631687E-05   4.18250590271312E-05   4.19086741428484E-05   3.39282857414564E-10   1.00000313914979E-16   1.35043370715066E-05   1.93760869200075E-04   6.70700700810648E-04   6.22896864902092E+00   8.32432498232219E-08   6.58275997238939E-09
  1.00000E-01                9.16252119313823E-05   3.64026829631687E-05   4.18250590271312E-05   4.19086741428484E-05   3.39282857414564E-10   1.00000313914979E-16   1.35043370715066E-05   1.93760869200075E-04   6.70700700810648E-04   6.22896864902092E+00   8.32432498232219E-08   6.58275997238939E-09
