# Time          1.0000E-01
    Distance         pH
  5.0000E-02    5.5067E+00
  1.5000E-01    5.5139E+00
  2.5000E-01    5.5209E+00
  3.5000E-01    5.5278E+00
  4.5000E-01    5.5347E+00
  5.5000E-01    5.5415E+00
  6.5000E-01    5.5483E+00
  7.5000E-01    5.5549E+00
  8.5000E-01    5.5616E+00
  9.5000E-01    5.5682E+00
  1.0500E+00    5.5747E+00
  1.1500E+00    5.5812E+00
  1.2500E+00    5.5876E+00
  1.3500E+00    5.5940E+00
  1.4500E+00    5.6003E+00
  1.5500E+00    5.6066E+00
  1.6500E+00    5.6128E+00
  1.7500E+00    5.6190E+00
  1.8500E+00    5.6251E+00
  1.9500E+00    5.6312E+00
  2.0500E+00    5.6372E+00
  2.1500E+00    5.6432E+00
  2.2500E+00    5.6492E+00
  2.3500E+00    5.6551E+00
  2.4500E+00    5.6609E+00
  2.5500E+00    5.6667E+00
  2.6500E+00    5.6725E+00
  2.7500E+00    5.6783E+00
  2.8500E+00    5.6840E+00
  2.9500E+00    5.6896E+00
  3.0500E+00    5.6952E+00
  3.1500E+00    5.7008E+00
  3.2500E+00    5.7064E+00
  3.3500E+00    5.7119E+00
  3.4500E+00    5.7174E+00
  3.5500E+00    5.7228E+00
  3.6500E+00    5.7282E+00
  3.7500E+00    5.7336E+00
  3.8500E+00    5.7389E+00
  3.9500E+00    5.7443E+00
  4.0500E+00    5.7495E+00
  4.1500E+00    5.7548E+00
  4.2500E+00    5.7600E+00
  4.3500E+00    5.7652E+00
  4.4500E+00    5.7703E+00
  4.5500E+00    5.7755E+00
  4.6500E+00    5.7806E+00
  4.7500E+00    5.7856E+00
  4.8500E+00    5.7907E+00
  4.9500E+00    5.7957E+00
  5.0500E+00    5.8007E+00
  5.1500E+00    5.8057E+00
  5.2500E+00    5.8106E+00
  5.3500E+00    5.8155E+00
  5.4500E+00    5.8204E+00
  5.5500E+00    5.8253E+00
  5.6500E+00    5.8301E+00
  5.7500E+00    5.8350E+00
  5.8500E+00    5.8398E+00
  5.9500E+00    5.8445E+00
  6.0500E+00    5.8493E+00
  6.1500E+00    5.8540E+00
  6.2500E+00    5.8587E+00
  6.3500E+00    5.8634E+00
  6.4500E+00    5.8681E+00
  6.5500E+00    5.8727E+00
  6.6500E+00    5.8774E+00
  6.7500E+00    5.8820E+00
  6.8500E+00    5.8866E+00
  6.9500E+00    5.8911E+00
  7.0500E+00    5.8957E+00
  7.1500E+00    5.9002E+00
  7.2500E+00    5.9047E+00
  7.3500E+00    5.9092E+00
  7.4500E+00    5.9137E+00
  7.5500E+00    5.9182E+00
  7.6500E+00    5.9226E+00
  7.7500E+00    5.9271E+00
  7.8500E+00    5.9315E+00
  7.9500E+00    5.9359E+00
  8.0500E+00    5.9403E+00
  8.1500E+00    5.9446E+00
  8.2500E+00    5.9490E+00
  8.3500E+00    5.9533E+00
  8.4500E+00    5.9576E+00
  8.5500E+00    5.9620E+00
  8.6500E+00    5.9663E+00
  8.7500E+00    5.9705E+00
  8.8500E+00    5.9748E+00
  8.9500E+00    5.9791E+00
  9.0500E+00    5.9833E+00
  9.1500E+00    5.9875E+00
  9.2500E+00    5.9918E+00
  9.3500E+00    5.9960E+00
  9.4500E+00    6.0002E+00
  9.5500E+00    6.0043E+00
  9.6500E+00    6.0085E+00
  9.7500E+00    6.0127E+00
  9.8500E+00    6.0168E+00
  9.9500E+00    6.0209E+00
  1.0050E+01    6.0251E+00
  1.0150E+01    6.0292E+00
  1.0250E+01    6.0333E+00
  1.0350E+01    6.0374E+00
  1.0450E+01    6.0415E+00
  1.0550E+01    6.0455E+00
  1.0650E+01    6.0496E+00
  1.0750E+01    6.0537E+00
  1.0850E+01    6.0577E+00
  1.0950E+01    6.0617E+00
  1.1050E+01    6.0658E+00
  1.1150E+01    6.0698E+00
  1.1250E+01    6.0738E+00
  1.1350E+01    6.0778E+00
  1.1450E+01    6.0818E+00
  1.1550E+01    6.0858E+00
  1.1650E+01    6.0897E+00
  1.1750E+01    6.0937E+00
  1.1850E+01    6.0977E+00
  1.1950E+01    6.1016E+00
  1.2050E+01    6.1056E+00
  1.2150E+01    6.1095E+00
  1.2250E+01    6.1135E+00
  1.2350E+01    6.1174E+00
  1.2450E+01    6.1213E+00
  1.2550E+01    6.1252E+00
  1.2650E+01    6.1291E+00
  1.2750E+01    6.1330E+00
  1.2850E+01    6.1369E+00
  1.2950E+01    6.1408E+00
  1.3050E+01    6.1447E+00
  1.3150E+01    6.1486E+00
  1.3250E+01    6.1524E+00
  1.3350E+01    6.1563E+00
  1.3450E+01    6.1602E+00
  1.3550E+01    6.1640E+00
  1.3650E+01    6.1679E+00
  1.3750E+01    6.1717E+00
  1.3850E+01    6.1756E+00
  1.3950E+01    6.1794E+00
  1.4050E+01    6.1832E+00
  1.4150E+01    6.1871E+00
  1.4250E+01    6.1909E+00
  1.4350E+01    6.1947E+00
  1.4450E+01    6.1985E+00
  1.4550E+01    6.2024E+00
  1.4650E+01    6.2062E+00
  1.4750E+01    6.2100E+00
  1.4850E+01    6.2138E+00
  1.4950E+01    6.2176E+00
  1.5050E+01    6.2214E+00
  1.5150E+01    6.2252E+00
  1.5250E+01    6.2290E+00
  1.5350E+01    6.2328E+00
  1.5450E+01    6.2365E+00
  1.5550E+01    6.2403E+00
  1.5650E+01    6.2441E+00
  1.5750E+01    6.2479E+00
  1.5850E+01    6.2517E+00
  1.5950E+01    6.2555E+00
  1.6050E+01    6.2592E+00
  1.6150E+01    6.2630E+00
  1.6250E+01    6.2668E+00
  1.6350E+01    6.2705E+00
  1.6450E+01    6.2743E+00
  1.6550E+01    6.2781E+00
  1.6650E+01    6.2819E+00
  1.6750E+01    6.2856E+00
  1.6850E+01    6.2894E+00
  1.6950E+01    6.2932E+00
  1.7050E+01    6.2969E+00
  1.7150E+01    6.3007E+00
  1.7250E+01    6.3044E+00
  1.7350E+01    6.3082E+00
  1.7450E+01    6.3120E+00
  1.7550E+01    6.3157E+00
  1.7650E+01    6.3195E+00
  1.7750E+01    6.3233E+00
  1.7850E+01    6.3270E+00
  1.7950E+01    6.3308E+00
  1.8050E+01    6.3346E+00
  1.8150E+01    6.3383E+00
  1.8250E+01    6.3421E+00
  1.8350E+01    6.3459E+00
  1.8450E+01    6.3496E+00
  1.8550E+01    6.3534E+00
  1.8650E+01    6.3572E+00
  1.8750E+01    6.3609E+00
  1.8850E+01    6.3647E+00
  1.8950E+01    6.3685E+00
  1.9050E+01    6.3723E+00
  1.9150E+01    6.3761E+00
  1.9250E+01    6.3798E+00
  1.9350E+01    6.3836E+00
  1.9450E+01    6.3874E+00
  1.9550E+01    6.3912E+00
  1.9650E+01    6.3950E+00
  1.9750E+01    6.3988E+00
  1.9850E+01    6.4026E+00
  1.9950E+01    6.4063E+00
