# Time          1.0000E-01
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02   -2.2718499E-01   -4.4325992E+00   -8.6027068E+00   -3.1802489E+01    6.1330298E-03   -1.0957093E-02
    1.5000000E-01   -2.1022766E-01   -4.3857771E+00   -8.5626215E+00   -3.1402496E+01    5.8706798E-03   -1.1231193E-02
    2.5000000E-01   -1.9215567E-01   -4.3350386E+00   -8.5187363E+00   -3.1123368E+01    5.8966866E-03   -1.1215678E-02
    3.5000000E-01   -1.7474781E-01   -4.2857902E+00   -8.4761167E+00   -3.0897824E+01    5.9226959E-03   -1.1199064E-02
    4.5000000E-01   -1.5797459E-01   -4.2379882E+00   -8.4347286E+00   -3.0702393E+01    5.9493973E-03   -1.1180774E-02
    5.5000000E-01   -1.4179101E-01   -4.1915384E+00   -8.3944904E+00   -3.0526565E+01    5.9767352E-03   -1.1160963E-02
    6.5000000E-01   -1.2615645E-01   -4.1463554E+00   -8.3553279E+00   -3.0364707E+01    6.0046551E-03   -1.1139778E-02
    7.5000000E-01   -1.1103433E-01   -4.1023619E+00   -8.3171744E+00   -3.0213436E+01    6.0331124E-03   -1.1117343E-02
    8.5000000E-01   -9.6391570E-02   -4.0594878E+00   -8.2799693E+00   -3.0070546E+01    6.0620705E-03   -1.1093768E-02
    9.5000000E-01   -8.2198164E-02   -4.0176690E+00   -8.2436573E+00   -2.9934515E+01    6.0914994E-03   -1.1069151E-02
    1.0500000E+00   -6.8426822E-02   -3.9768473E+00   -8.2081882E+00   -2.9804244E+01    6.1213742E-03   -1.1043574E-02
    1.1500000E+00   -5.5052650E-02   -3.9369691E+00   -8.1735160E+00   -2.9678910E+01    6.1516747E-03   -1.1017111E-02
    1.2500000E+00   -4.2052879E-02   -3.8979852E+00   -8.1395984E+00   -2.9557877E+01    6.1823840E-03   -1.0989828E-02
    1.3500000E+00   -2.9406630E-02   -3.8598504E+00   -8.1063967E+00   -2.9440644E+01    6.2134885E-03   -1.0961780E-02
    1.4500000E+00   -1.7094716E-02   -3.8225229E+00   -8.0738750E+00   -2.9326804E+01    6.2449770E-03   -1.0933017E-02
    1.5500000E+00   -5.0994602E-03   -3.7859641E+00   -8.0420003E+00   -2.9216026E+01    6.2768407E-03   -1.0903584E-02
    1.6500000E+00    6.5954738E-03   -3.7501381E+00   -8.0107419E+00   -2.9108033E+01    6.3090722E-03   -1.0873517E-02
    1.7500000E+00    1.8005193E-02   -3.7150115E+00   -7.9800715E+00   -2.9002589E+01    6.3416661E-03   -1.0842852E-02
    1.8500000E+00    2.9143681E-02   -3.6805534E+00   -7.9499625E+00   -2.8899495E+01    6.3746181E-03   -1.0811615E-02
    1.9500000E+00    4.0023925E-02   -3.6467348E+00   -7.9203905E+00   -2.8798577E+01    6.4079249E-03   -1.0779834E-02
    2.0500000E+00    5.0658002E-02   -3.6135289E+00   -7.8913324E+00   -2.8699685E+01    6.4415845E-03   -1.0747531E-02
    2.1500000E+00    6.1057165E-02   -3.5809103E+00   -7.8627668E+00   -2.8602687E+01    6.4755956E-03   -1.0714723E-02
    2.2500000E+00    7.1231915E-02   -3.5488555E+00   -7.8346737E+00   -2.8507466E+01    6.5099577E-03   -1.0681429E-02
    2.3500000E+00    8.1192067E-02   -3.5173421E+00   -7.8070342E+00   -2.8413916E+01    6.5446710E-03   -1.0647661E-02
    2.4500000E+00    9.0946806E-02   -3.4863492E+00   -7.7798307E+00   -2.8321944E+01    6.5797361E-03   -1.0613433E-02
    2.5500000E+00    1.0050474E-01   -3.4558574E+00   -7.7530466E+00   -2.8231467E+01    6.6151545E-03   -1.0578754E-02
    2.6500000E+00    1.0987396E-01   -3.4258480E+00   -7.7266661E+00   -2.8142406E+01    6.6509278E-03   -1.0543633E-02
    2.7500000E+00    1.1906205E-01   -3.3963035E+00   -7.7006746E+00   -2.8054694E+01    6.6870582E-03   -1.0508077E-02
    2.8500000E+00    1.2807616E-01   -3.3672075E+00   -7.6750580E+00   -2.7968267E+01    6.7235482E-03   -1.0472092E-02
    2.9500000E+00    1.3692302E-01   -3.3385444E+00   -7.6498034E+00   -2.7883065E+01    6.7604009E-03   -1.0435682E-02
    3.0500000E+00    1.4560898E-01   -3.3102993E+00   -7.6248981E+00   -2.7799036E+01    6.7976194E-03   -1.0398850E-02
    3.1500000E+00    1.5414004E-01   -3.2824582E+00   -7.6003305E+00   -2.7716130E+01    6.8352073E-03   -1.0361599E-02
    3.2500000E+00    1.6252186E-01   -3.2550078E+00   -7.5760893E+00   -2.7634301E+01    6.8731685E-03   -1.0323930E-02
    3.3500000E+00    1.7075981E-01   -3.2279356E+00   -7.5521639E+00   -2.7553507E+01    6.9115069E-03   -1.0285844E-02
    3.4500000E+00    1.7885896E-01   -3.2012294E+00   -7.5285442E+00   -2.7473707E+01    6.9502271E-03   -1.0247340E-02
    3.5500000E+00    1.8682413E-01   -3.1748778E+00   -7.5052206E+00   -2.7394865E+01    6.9893335E-03   -1.0208418E-02
