# Time          7.0000E+00
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02    2.8965491E-01   -2.9141645E+00   -7.1920683E+00   -2.8889507E+01    6.5370289E-03   -1.0555142E-02
    1.5000000E-01   -1.3293068E-01   -4.1635144E+00   -8.3629515E+00   -3.0651994E+01    5.8489899E-03   -1.1274734E-02
    2.5000000E-01   -1.4846693E-01   -4.2106954E+00   -8.4108795E+00   -3.0605070E+01    5.8849653E-03   -1.1250149E-02
    3.5000000E-01   -1.3357733E-01   -4.1678703E+00   -8.3740011E+00   -3.0441208E+01    5.9129090E-03   -1.1229339E-02
    4.5000000E-01   -1.1823939E-01   -4.1233916E+00   -8.3354436E+00   -3.0285261E+01    5.9406467E-03   -1.1207862E-02
    5.5000000E-01   -1.0337077E-01   -4.0799900E+00   -8.2977916E+00   -3.0138548E+01    5.9688547E-03   -1.1185249E-02
    6.5000000E-01   -8.8964936E-02   -4.0376719E+00   -8.2610570E+00   -2.9999363E+01    5.9975242E-03   -1.1161579E-02
    7.5000000E-01   -7.4993950E-02   -3.9963783E+00   -8.2251889E+00   -2.9866427E+01    6.0266310E-03   -1.1136940E-02
    8.5000000E-01   -6.1431816E-02   -3.9560533E+00   -8.1901392E+00   -2.9738798E+01    6.0561541E-03   -1.1111407E-02
    9.5000000E-01   -4.8254775E-02   -3.9166457E+00   -8.1558641E+00   -2.9615758E+01    6.0860766E-03   -1.1085046E-02
    1.0500000E+00   -3.5441067E-02   -3.8781086E+00   -8.1223230E+00   -2.9496746E+01    6.1163844E-03   -1.1057917E-02
    1.1500000E+00   -2.2970716E-02   -3.8403984E+00   -8.0894788E+00   -2.9381313E+01    6.1470661E-03   -1.1030070E-02
    1.2500000E+00   -1.0825341E-02   -3.8034751E+00   -8.0572972E+00   -2.9269095E+01    6.1781123E-03   -1.1001552E-02
    1.3500000E+00    1.0120106E-03   -3.7673015E+00   -8.0257465E+00   -2.9159789E+01    6.2095155E-03   -1.0972401E-02
    1.4500000E+00    1.2557025E-02   -3.7318430E+00   -7.9947970E+00   -2.9053141E+01    6.2412697E-03   -1.0942653E-02
    1.5500000E+00    2.3824219E-02   -3.6970677E+00   -7.9644215E+00   -2.8948936E+01    6.2733704E-03   -1.0912338E-02
    1.6500000E+00    3.4827060E-02   -3.6629456E+00   -7.9345945E+00   -2.8846988E+01    6.3058141E-03   -1.0881483E-02
    1.7500000E+00    4.5578038E-02   -3.6294488E+00   -7.9052923E+00   -2.8747137E+01    6.3385983E-03   -1.0850111E-02
    1.8500000E+00    5.6088792E-02   -3.5965513E+00   -7.8764928E+00   -2.8649240E+01    6.3717215E-03   -1.0818242E-02
    1.9500000E+00    6.6370174E-02   -3.5642287E+00   -7.8481752E+00   -2.8553175E+01    6.4051827E-03   -1.0785893E-02
    2.0500000E+00    7.6432322E-02   -3.5324580E+00   -7.8203201E+00   -2.8458831E+01    6.4389818E-03   -1.0753080E-02
    2.1500000E+00    8.6284716E-02   -3.5012179E+00   -7.7929094E+00   -2.8366109E+01    6.4731194E-03   -1.0719815E-02
    2.2500000E+00    9.5936237E-02   -3.4704880E+00   -7.7659259E+00   -2.8274921E+01    6.5075962E-03   -1.0686110E-02
    2.3500000E+00    1.0539522E-01   -3.4402493E+00   -7.7393535E+00   -2.8185186E+01    6.5424137E-03   -1.0651974E-02
    2.4500000E+00    1.1466948E-01   -3.4104838E+00   -7.7131770E+00   -2.8096832E+01    6.5775739E-03   -1.0617414E-02
    2.5500000E+00    1.2376637E-01   -3.3811747E+00   -7.6873822E+00   -2.8009793E+01    6.6130789E-03   -1.0582437E-02
    2.6500000E+00    1.3269284E-01   -3.3523057E+00   -7.6619555E+00   -2.7924007E+01    6.6489313E-03   -1.0547047E-02
    2.7500000E+00    1.4145539E-01   -3.3238619E+00   -7.6368841E+00   -2.7839419E+01    6.6851341E-03   -1.0511250E-02
    2.8500000E+00    1.5006021E-01   -3.2958287E+00   -7.6121559E+00   -2.7755977E+01    6.7216904E-03   -1.0475047E-02
    2.9500000E+00    1.5851310E-01   -3.2681926E+00   -7.5877594E+00   -2.7673634E+01    6.7586038E-03   -1.0438440E-02
    3.0500000E+00    1.6681957E-01   -3.2409405E+00   -7.5636838E+00   -2.7592346E+01    6.7958780E-03   -1.0401431E-02
