 TITLE = "Isotope ratios" 
    Distance        Li7+            
    5.0000000E-02   -1.0684444E+01
    1.5000000E-01   -1.3925241E+01
    2.5000000E-01   -1.5379004E+01
    3.5000000E-01   -1.6569724E+01
    4.5000000E-01   -1.7630705E+01
    5.5000000E-01   -1.8578712E+01
    6.5000000E-01   -1.9425646E+01
    7.5000000E-01   -2.0182089E+01
    8.5000000E-01   -2.0857524E+01
    9.5000000E-01   -2.1460452E+01
    1.0500000E+00   -2.1998487E+01
    1.1500000E+00   -2.2478454E+01
    1.2500000E+00   -2.2906461E+01
    1.3500000E+00   -2.3287979E+01
    1.4500000E+00   -2.3627908E+01
    1.5500000E+00   -2.3930632E+01
    1.6500000E+00   -2.4200074E+01
    1.7500000E+00   -2.4439748E+01
    1.8500000E+00   -2.4652795E+01
    1.9500000E+00   -2.4842027E+01
    2.0500000E+00   -2.5009960E+01
    2.1500000E+00   -2.5158845E+01
    2.2500000E+00   -2.5290693E+01
    2.3500000E+00   -2.5407306E+01
    2.4500000E+00   -2.5510294E+01
    2.5500000E+00   -2.5601097E+01
    2.6500000E+00   -2.5681003E+01
    2.7500000E+00   -2.5751165E+01
    2.8500000E+00   -2.5812612E+01
    2.9500000E+00   -2.5866267E+01
    3.0500000E+00   -2.5912952E+01
    3.1500000E+00   -2.5953406E+01
    3.2500000E+00   -2.5988286E+01
    3.3500000E+00   -2.6018183E+01
    3.4500000E+00   -2.6043624E+01
    3.5500000E+00   -2.6065079E+01
    3.6500000E+00   -2.6082971E+01
    3.7500000E+00   -2.6097677E+01
    3.8500000E+00   -2.6109533E+01
    3.9500000E+00   -2.6118842E+01
    4.0500000E+00   -2.6125874E+01
    4.1500000E+00   -2.6130869E+01
    4.2500000E+00   -2.6134045E+01
    4.3500000E+00   -2.6135593E+01
    4.4500000E+00   -2.6135688E+01
    4.5500000E+00   -2.6134483E+01
    4.6500000E+00   -2.6132117E+01
    4.7500000E+00   -2.6128714E+01
    4.8500000E+00   -2.6124385E+01
    4.9500000E+00   -2.6119229E+01
    5.0500000E+00   -2.6113334E+01
    5.1500000E+00   -2.6106780E+01
    5.2500000E+00   -2.6099638E+01
    5.3500000E+00   -2.6091971E+01
    5.4500000E+00   -2.6083838E+01
    5.5500000E+00   -2.6075287E+01
    5.6500000E+00   -2.6066366E+01
    5.7500000E+00   -2.6057114E+01
    5.8500000E+00   -2.6047569E+01
    5.9500000E+00   -2.6037763E+01
    6.0500000E+00   -2.6027725E+01
    6.1500000E+00   -2.6017481E+01
    6.2500000E+00   -2.6007055E+01
    6.3500000E+00   -2.5996468E+01
    6.4500000E+00   -2.5985738E+01
    6.5500000E+00   -2.5974882E+01
    6.6500000E+00   -2.5963916E+01
    6.7500000E+00   -2.5952851E+01
    6.8500000E+00   -2.5941701E+01
    6.9500000E+00   -2.5930475E+01
    7.0500000E+00   -2.5919184E+01
    7.1500000E+00   -2.5907836E+01
    7.2500000E+00   -2.5896438E+01
    7.3500000E+00   -2.5884997E+01
    7.4500000E+00   -2.5873519E+01
    7.5500000E+00   -2.5862009E+01
    7.6500000E+00   -2.5850472E+01
    7.7500000E+00   -2.5838912E+01
    7.8500000E+00   -2.5827333E+01
    7.9500000E+00   -2.5815737E+01
    8.0500000E+00   -2.5804128E+01
    8.1500000E+00   -2.5792508E+01
    8.2500000E+00   -2.5780879E+01
    8.3500000E+00   -2.5769244E+01
    8.4500000E+00   -2.5757603E+01
