# Time          1.0000E-01
# Units: Mol/kgw
    Distance           H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-          
    5.0000000E-02   -6.0963214E-05    3.3575507E-05    8.9917200E-06    3.5498834E-05    1.5113147E-05    5.8423286E-08    1.0046163E-16    7.2205909E-08    3.7309790E-08    2.9943467E-09    2.2256883E-05    6.7379473E-04    3.2997789E-04    8.3187963E-05
    1.5000000E-01   -6.1685664E-05    3.3753198E-05    9.1155803E-06    3.5374561E-05    1.5192280E-05    5.4018701E-08    1.0000580E-16    1.4573125E-07    3.7215539E-08    2.9816070E-09    2.3143113E-05    6.7073752E-04    3.2848068E-04    8.2810513E-05
    2.5000000E-01   -6.2679094E-05    3.4080601E-05    9.2792283E-06    3.5409346E-05    1.5338868E-05    4.9906129E-08    1.0000037E-16    2.1942977E-07    3.7290223E-08    2.9829676E-09    2.4126471E-05    6.7070107E-04    3.2846283E-04    8.2806013E-05
    3.5000000E-01   -6.3679106E-05    3.4410465E-05    9.4435716E-06    3.5446106E-05    1.5486625E-05    4.6198174E-08    1.0000031E-16    2.9331240E-07    3.7371775E-08    2.9853483E-09    2.5113179E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    4.5000000E-01   -6.4682391E-05    3.4741029E-05    9.6081426E-06    3.5482961E-05    1.5634759E-05    4.2846986E-08    1.0000031E-16    3.6737965E-07    3.7457950E-08    2.9885195E-09    2.6102068E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    5.5000000E-01   -6.5688793E-05    3.5072278E-05    9.7729371E-06    3.5519892E-05    1.5783264E-05    3.9810098E-08    1.0000031E-16    4.4163189E-07    3.7548467E-08    2.9924146E-09    2.7093090E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    6.5000000E-01   -6.6698208E-05    3.5404211E-05    9.9379554E-06    3.5556900E-05    1.5932139E-05    3.7051080E-08    1.0000031E-16    5.1606949E-07    3.7643105E-08    2.9969764E-09    2.8086209E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    7.5000000E-01   -6.7710545E-05    3.5736831E-05    1.0103198E-05    3.5593984E-05    1.6081386E-05    3.4538556E-08    1.0000031E-16    5.9069278E-07    3.7741676E-08    3.0021544E-09    2.9081397E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    8.5000000E-01   -6.8725725E-05    3.6070138E-05    1.0268665E-05    3.5631145E-05    1.6231004E-05    3.2245386E-08    1.0000031E-16    6.6550209E-07    3.7844018E-08    3.0079040E-09    3.0078630E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    9.5000000E-01   -6.9743680E-05    3.6404133E-05    1.0434356E-05    3.5668382E-05    1.6380995E-05    3.0147996E-08    1.0000031E-16    7.4049775E-07    3.7949992E-08    3.0141857E-09    3.1077887E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.0500000E+00   -7.0764354E-05    3.6738817E-05    1.0600273E-05    3.5705697E-05    1.6531360E-05    2.8225836E-08    1.0000031E-16    8.1568005E-07    3.8059478E-08    3.0209646E-09    3.2079150E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.1500000E+00   -7.1787694E-05    3.7074191E-05    1.0766415E-05    3.5743088E-05    1.6682099E-05    2.6460927E-08    1.0000031E-16    8.9104930E-07    3.8172372E-08    3.0282097E-09    3.3082403E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.2500000E+00   -7.2813656E-05    3.7410257E-05    1.0932782E-05    3.5780557E-05    1.6833212E-05    2.4837487E-08    1.0000031E-16    9.6660578E-07    3.8288584E-08    3.0358933E-09    3.4087634E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.3500000E+00   -7.3842203E-05    3.7747015E-05    1.1099376E-05    3.5818102E-05    1.6984700E-05    2.3341619E-08    1.0000031E-16    1.0423498E-06    3.8408036E-08    3.0439910E-09    3.5094829E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.4500000E+00   -7.4873298E-05    3.8084465E-05    1.1266195E-05    3.5855725E-05    1.7136563E-05    2.1961049E-08    1.0000031E-16    1.1182816E-06    3.8530659E-08    3.0524808E-09    3.6103980E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
