# Time          7.0000E+00
# Units: Mol/kgw
    Distance           H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-          
    5.0000000E-02   -2.0023597E-04    1.1054945E-04    2.9610355E-05    1.1686309E-04    4.9760926E-05    2.1354782E-08    3.3071595E-16    2.4220243E-07    1.2159421E-07    9.7557553E-09    7.3157581E-05    2.2181072E-03    1.0862749E-03    2.7385168E-04
    1.5000000E-01   -6.9913646E-05    3.7764762E-05    1.0374140E-05    3.8861882E-05    1.6995932E-05    4.2411094E-08    1.0962336E-16    3.3105091E-07    4.0915315E-08    3.2674675E-09    2.7651385E-05    7.3524236E-04    3.6007067E-04    9.0774403E-05
    2.5000000E-01   -6.5381798E-05    3.5012023E-05    9.7204350E-06    3.5608129E-05    1.5756140E-05    4.1178349E-08    1.0030071E-16    4.0569020E-07    3.7604532E-08    2.9980260E-09    2.6679798E-05    6.7271548E-04    3.2944935E-04    8.3054716E-05
    3.5000000E-01   -6.6216117E-05    3.5246931E-05    9.8596805E-06    3.5541922E-05    1.5861308E-05    3.8341823E-08    1.0000841E-16    4.8005137E-07    3.7590512E-08    2.9937545E-09    2.7610370E-05    6.7075497E-04    3.2848922E-04    8.2812668E-05
    4.5000000E-01   -6.7222374E-05    3.5576612E-05    1.0024123E-05    3.5576185E-05    1.6009202E-05    3.5715643E-08    1.0000052E-16    5.5458580E-07    3.7684291E-08    2.9984509E-09    2.8602908E-05    6.7070206E-04    3.2846331E-04    8.2806136E-05
    5.5000000E-01   -6.8236082E-05    3.5909524E-05    1.0189465E-05    3.5613239E-05    1.6158612E-05    3.3320269E-08    1.0000032E-16    6.2930584E-07    3.7784729E-08    3.0039608E-09    2.9599123E-05    6.7070073E-04    3.2846266E-04    8.2805972E-05
    6.5000000E-01   -6.9252712E-05    3.6243188E-05    1.0355048E-05    3.5650439E-05    1.6308424E-05    3.1131572E-08    1.0000031E-16    7.0421211E-07    3.7888937E-08    3.0100233E-09    3.0597412E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    7.5000000E-01   -7.0272090E-05    3.6577543E-05    1.0520857E-05    3.5687716E-05    1.6458610E-05    2.9127631E-08    1.0000031E-16    7.7930492E-07    3.7996719E-08    3.0165962E-09    3.1597717E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    8.5000000E-01   -7.1294159E-05    3.6912587E-05    1.0686891E-05    3.5725071E-05    1.6609169E-05    2.7289285E-08    1.0000031E-16    8.5458457E-07    3.8107960E-08    3.0236466E-09    3.2600021E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    9.5000000E-01   -7.2318871E-05    3.7248322E-05    1.0853151E-05    3.5762502E-05    1.6760103E-05    2.5599737E-08    1.0000031E-16    9.3005134E-07    3.8222564E-08    3.0311458E-09    3.3604307E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
