# Time          1.0000E-01
# Units: Weight % Mineral
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02    3.7666445E+01    2.4568821E+01    2.0424361E+01    5.7682832E+00    1.0701185E+01    8.7090519E-01
    1.5000000E-01    3.7646755E+01    2.4571803E+01    2.0477130E+01    5.7869245E+00    1.0650650E+01    8.6673680E-01
    2.5000000E-01    3.7626831E+01    2.4574645E+01    2.0529904E+01    5.8055838E+00    1.0600434E+01    8.6260140E-01
    3.5000000E-01    3.7606854E+01    2.4577463E+01    2.0582774E+01    5.8242866E+00    1.0550156E+01    8.5846670E-01
    4.5000000E-01    3.7586827E+01    2.4580260E+01    2.0635734E+01    5.8430310E+00    1.0499816E+01    8.5433220E-01
    5.5000000E-01    3.7566756E+01    2.4583034E+01    2.0688781E+01    5.8618154E+00    1.0449416E+01    8.5019751E-01
    6.5000000E-01    3.7546642E+01    2.4585789E+01    2.0741910E+01    5.8806385E+00    1.0398959E+01    8.4606227E-01
    7.5000000E-01    3.7526489E+01    2.4588523E+01    2.0795117E+01    5.8994989E+00    1.0348445E+01    8.4192620E-01
    8.5000000E-01    3.7506299E+01    2.4591239E+01    2.0848400E+01    5.9183955E+00    1.0297877E+01    8.3778904E-01
    9.5000000E-01    3.7486075E+01    2.4593935E+01    2.0901755E+01    5.9373272E+00    1.0247257E+01    8.3365057E-01
    1.0500000E+00    3.7465817E+01    2.4596614E+01    2.0955180E+01    5.9562930E+00    1.0196585E+01    8.2951060E-01
    1.1500000E+00    3.7445529E+01    2.4599275E+01    2.1008672E+01    5.9752921E+00    1.0145863E+01    8.2536895E-01
    1.2500000E+00    3.7425211E+01    2.4601919E+01    2.1062228E+01    5.9943238E+00    1.0095093E+01    8.2122548E-01
    1.3500000E+00    3.7404864E+01    2.4604545E+01    2.1115848E+01    6.0133873E+00    1.0044275E+01    8.1708005E-01
    1.4500000E+00    3.7384491E+01    2.4607154E+01    2.1169529E+01    6.0324821E+00    9.9934112E+00    8.1293254E-01
    1.5500000E+00    3.7364092E+01    2.4609747E+01    2.1223270E+01    6.0516076E+00    9.9425014E+00    8.0878285E-01
