# Time          7.0000E+00
# Units: Weight % Component
    Distance           H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-          
    5.0000000E-02   -1.0998221E+00    1.5963650E+00    3.9533843E+00    3.1027337E-01    6.2476882E-01    7.4334830E+00    0.0000000E+00    7.1778367E-01    9.8937203E-03    8.0404435E-04    7.4770556E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.5000000E-01   -1.0998896E+00    1.6004894E+00    3.9554272E+00    3.1107500E-01    6.2678787E-01    7.4294072E+00    0.0000000E+00    7.2010332E-01    9.8887945E-03    8.0361666E-04    7.4769673E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    2.5000000E-01   -1.0999637E+00    1.6046143E+00    3.9574520E+00    3.1187671E-01    6.2880889E-01    7.4253928E+00    0.0000000E+00    7.2242523E-01    9.8840144E-03    8.0320379E-04    7.4768640E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    3.5000000E-01   -1.1000386E+00    1.6087465E+00    3.9594771E+00    3.1267987E-01    6.3083460E-01    7.4213765E+00    0.0000000E+00    7.2475252E-01    9.8792437E-03    8.0279410E-04    7.4767589E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    4.5000000E-01   -1.1001143E+00    1.6128859E+00    3.9615028E+00    3.1348441E-01    6.3286483E-01    7.4173580E+00    0.0000000E+00    7.2708500E-01    9.8744815E-03    8.0238728E-04    7.4766524E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    5.5000000E-01   -1.1001906E+00    1.6170320E+00    3.9635290E+00    3.1429026E-01    6.3489939E-01    7.4133370E+00    0.0000000E+00    7.2942247E-01    9.8697271E-03    8.0198305E-04    7.4765444E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    6.5000000E-01   -1.1002674E+00    1.6211846E+00    3.9655557E+00    3.1509736E-01    6.3693814E-01    7.4093133E+00    0.0000000E+00    7.3176475E-01    9.8649801E-03    8.0158115E-04    7.4764352E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    7.5000000E-01   -1.1003448E+00    1.6253433E+00    3.9675829E+00    3.1590565E-01    6.3898093E-01    7.4052870E+00    0.0000000E+00    7.3411167E-01    9.8602400E-03    8.0118138E-04    7.4763249E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    8.5000000E-01   -1.1004228E+00    1.6295079E+00    3.9696105E+00    3.1671509E-01    6.4102764E-01    7.4012579E+00    0.0000000E+00    7.3646309E-01    9.8555067E-03    8.0078355E-04    7.4762134E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    9.5000000E-01   -1.1005011E+00    1.6336781E+00    3.9716386E+00    3.1752562E-01    6.4307815E-01    7.3972259E+00    0.0000000E+00    7.3881888E-01    9.8507798E-03    8.0038748E-04    7.4761009E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
