# Time          2.5000E+00
# Units: M^2 mineral/m^3 porous medium
    Distance        Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02    4.9999986E+01    2.7577017E+02    6.8455934E+02    2.0412205E+02    2.3025299E+05    1.8722620E+04
    1.5000000E-01    4.9999988E+01    2.7588864E+02    6.8597689E+02    2.0463286E+02    2.2960763E+05    1.8669344E+04
    2.5000000E-01    4.9999989E+01    2.7600730E+02    6.8739743E+02    2.0514485E+02    2.2896622E+05    1.8616488E+04
    3.5000000E-01    4.9999991E+01    2.7612615E+02    6.8882078E+02    2.0565795E+02    2.2832254E+05    1.8563528E+04
    4.5000000E-01    4.9999992E+01    2.7624516E+02    6.9024680E+02    2.0617212E+02    2.2767657E+05    1.8510455E+04
    5.5000000E-01    4.9999993E+01    2.7636434E+02    6.9167534E+02    2.0668730E+02    2.2702832E+05    1.8457261E+04
    6.5000000E-01    4.9999994E+01    2.7648368E+02    6.9310628E+02    2.0720345E+02    2.2637777E+05    1.8403938E+04
    7.5000000E-01    4.9999996E+01    2.7660316E+02    6.9453951E+02    2.0772053E+02    2.2572493E+05    1.8350482E+04
    8.5000000E-01    4.9999996E+01    2.7672278E+02    6.9597492E+02    2.0823851E+02    2.2506979E+05    1.8296887E+04
    9.5000000E-01    4.9999997E+01    2.7684253E+02    6.9741244E+02    2.0875735E+02    2.2441237E+05    1.8243147E+04
    1.0500000E+00    4.9999998E+01    2.7696241E+02    6.9885198E+02    2.0927702E+02    2.2375264E+05    1.8189258E+04
    1.1500000E+00    4.9999999E+01    2.7708242E+02    7.0029347E+02    2.0979751E+02    2.2309062E+05    1.8135216E+04
    1.2500000E+00    4.9999999E+01    2.7720254E+02    7.0173685E+02    2.1031879E+02    2.2242630E+05    1.8081018E+04
    1.3500000E+00    5.0000000E+01    2.7732278E+02    7.0318206E+02    2.1084084E+02    2.2175967E+05    1.8026659E+04
    1.4500000E+00    5.0000000E+01    2.7744313E+02    7.0462906E+02    2.1136364E+02    2.2109073E+05    1.7972137E+04
    1.5500000E+00    5.0000000E+01    2.7756359E+02    7.0607780E+02    2.1188718E+02    2.2041948E+05    1.7917449E+04
    1.6500000E+00    5.0000000E+01    2.7768415E+02    7.0752825E+02    2.1241145E+02    2.1974590E+05    1.7862591E+04
    1.7500000E+00    5.0000000E+01    2.7780481E+02    7.0898038E+02    2.1293643E+02    2.1906999E+05    1.7807561E+04
    1.8500000E+00    5.0000000E+01    2.7792557E+02    7.1043415E+02    2.1346211E+02    2.1839174E+05    1.7752357E+04
    1.9500000E+00    5.0000000E+01    2.7804643E+02    7.1188955E+02    2.1398849E+02    2.1771114E+05    1.7696975E+04
    2.0500000E+00    5.0000000E+01    2.7816738E+02    7.1334654E+02    2.1451556E+02    2.1702817E+05    1.7641414E+04
    2.1500000E+00    5.0000000E+01    2.7828843E+02    7.1480513E+02    2.1504331E+02    2.1634283E+05    1.7585671E+04
    2.2500000E+00    5.0000000E+01    2.7840956E+02    7.1626528E+02    2.1557174E+02    2.1565511E+05    1.7529744E+04
    2.3500000E+00    5.0000000E+01    2.7853079E+02    7.1772699E+02    2.1610084E+02    2.1496498E+05    1.7473631E+04
    2.4500000E+00    5.0000000E+01    2.7865210E+02    7.1919025E+02    2.1663061E+02    2.1427244E+05    1.7417330E+04
    2.5500000E+00    5.0000000E+01    2.7877351E+02    7.2065504E+02    2.1716105E+02    2.1357747E+05    1.7360839E+04
    2.6500000E+00    5.0000000E+01    2.7889499E+02    7.2212137E+02    2.1769214E+02    2.1288006E+05    1.7304156E+04
    2.7500000E+00    5.0000000E+01    2.7901657E+02    7.2358921E+02    2.1822390E+02    2.1218020E+05    1.7247279E+04
    2.8500000E+00    5.0000000E+01    2.7913822E+02    7.2505857E+02    2.1875632E+02    2.1147786E+05    1.7190206E+04
    2.9500000E+00    5.0000000E+01    2.7925996E+02    7.2652945E+02    2.1928939E+02    2.1077303E+05    1.7132935E+04
    3.0500000E+00    5.0000000E+01    2.7938178E+02    7.2800183E+02    2.1982312E+02    2.1006570E+05    1.7075465E+04
    3.1500000E+00    5.0000000E+01    2.7950368E+02    7.2947572E+02    2.2035750E+02    2.0935585E+05    1.7017793E+04
    3.2500000E+00    5.0000000E+01    2.7962566E+02    7.3095111E+02    2.2089253E+02    2.0864347E+05    1.6959919E+04
