# Time          2.5000E+00
# Units: Log10 mol/kgw
    Distance      pH               H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-              Al(OH)2+         AlO2-            AlOH++           HCO3-            H2SiO4--         HAlO2(aq)        HCl(aq)          HSiO3-           KCl(aq)          KOH(aq)          NaAlO2(aq)       NaCl(aq)         NaHSiO3(aq)      NaOH(aq)         OH-              CO3--            NaCO3-           NaHCO3(aq)   
    5.0000000E-02    5.4941088E+00   -5.4853011E+00   -4.2268604E+00   -4.7988461E+00   -4.2026638E+00   -4.5734255E+00   -7.7596277E+00   -1.5750889E+01   -6.8830561E+00   -7.1842325E+00   -8.2798526E+00   -4.4056812E+00   -2.9667907E+00   -3.2344046E+00   -3.8328393E+00   -8.5269927E+00   -1.0776207E+01   -7.8114843E+00   -3.9555808E+00   -1.6341107E+01   -9.3985995E+00   -8.6599131E+00   -9.1192256E+00   -1.0301253E+01   -1.3773897E+01   -1.5851382E+01   -8.8998941E+00   -1.1541534E+01   -1.4137735E+01   -9.1428453E+00   -8.9561546E+00   -1.2492898E+01   -7.8920434E+00
    1.5000000E-01    5.4995826E+00   -5.4903905E+00   -4.1836198E+00   -4.7521258E+00   -4.1630394E+00   -4.5301973E+00   -7.8293827E+00   -1.5711694E+01   -6.5534385E+00   -7.1442469E+00   -8.2405158E+00   -4.3484693E+00   -2.9281477E+00   -3.1952099E+00   -3.7936449E+00   -8.5888615E+00   -1.0827129E+01   -7.8776084E+00   -3.9110525E+00   -1.6271308E+01   -9.4554061E+00   -8.6266090E+00   -9.0561284E+00   -1.0216169E+01   -1.3722119E+01   -1.5859883E+01   -8.8182839E+00   -1.1436016E+01   -1.4089433E+01   -9.1369608E+00   -8.9049340E+00   -1.2400064E+01   -7.8050942E+00
    2.5000000E-01    5.5168070E+00   -5.5087091E+00   -4.2973056E+00   -4.8599724E+00   -4.2830243E+00   -4.6439448E+00   -7.7993584E+00   -1.5832432E+01   -6.4056220E+00   -7.2622924E+00   -8.3595648E+00   -4.4390328E+00   -3.0504228E+00   -3.3159477E+00   -3.9143815E+00   -8.5156717E+00   -1.0719490E+01   -7.8251042E+00   -4.0172714E+00   -1.6332079E+01   -9.3638236E+00   -8.7633881E+00   -9.1306358E+00   -1.0442397E+01   -1.3811559E+01   -1.5863602E+01   -9.0503651E+00   -1.1621882E+01   -1.4184726E+01   -9.1209025E+00   -8.9973897E+00   -1.2601585E+01   -8.0226714E+00
    3.5000000E-01    5.5359856E+00   -5.5287211E+00   -4.3946144E+00   -4.9505381E+00   -4.3878189E+00   -4.7413099E+00   -7.7918517E+00   -1.5938139E+01   -6.3181664E+00   -7.3647827E+00   -8.4631504E+00   -4.5107425E+00   -3.1579454E+00   -3.4216544E+00   -4.0200873E+00   -8.4631664E+00   -1.0628628E+01   -7.7943976E+00   -4.1064986E+00   -1.6368953E+01   -9.2912566E+00   -8.8873803E+00   -9.1840500E+00   -1.0636890E+01   -1.3882054E+01   -1.5868288E+01   -9.2516104E+00   -1.1770845E+01   -1.4261973E+01   -9.1026056E+00   -9.0700584E+00   -1.2768065E+01   -8.2074472E+00
    4.5000000E-01    5.5494509E+00   -5.5425040E+00   -4.4338661E+00   -4.9845795E+00   -4.4330268E+00   -4.7805937E+00   -7.8145573E+00   -1.5984086E+01   -6.2529178E+00   -7.4084090E+00   -8.5075472E+00   -4.5309836E+00   -3.2052394E+00   -3.4676019E+00   -4.0660343E+00   -8.4564090E+00   -1.0594940E+01   -7.8021007E+00   -4.1406625E+00   -1.6363600E+01   -9.2706988E+00   -8.9464542E+00   -9.1911608E+00   -1.0716204E+01   -1.3902292E+01   -1.5873184E+01   -9.3361377E+00   -1.1816539E+01   -1.4287424E+01   -9.0894750E+00   -9.0917522E+00   -1.2827682E+01   -8.2801946E+00
    5.5000000E-01    5.5582444E+00   -5.5513675E+00   -4.4416789E+00   -4.9886531E+00   -4.4452180E+00   -4.7884222E+00   -7.8469963E+00   -1.5996829E+01   -6.1979143E+00   -7.4196107E+00   -8.5192248E+00   -4.5255291E+00   -3.2188968E+00   -3.4803445E+00   -4.0787768E+00   -8.4707032E+00   -1.0591647E+01   -7.8254073E+00   -4.1456001E+00   -1.6340853E+01   -9.2761258E+00   -8.9679158E+00   -9.1769866E+00   -1.0732871E+01   -1.3897498E+01   -1.5877557E+01   -9.3565452E+00   -1.1810031E+01   -1.4286370E+01   -9.0807551E+00   -9.0881152E+00   -1.2831566E+01   -8.2927980E+00
    6.5000000E-01    5.5653333E+00   -5.5584551E+00   -4.4400999E+00   -4.9839359E+00   -4.4473860E+00   -4.7868524E+00   -7.8808133E+00   -1.5999474E+01   -6.1493351E+00   -7.4209708E+00   -8.5209300E+00   -4.5130277E+00   -3.2222979E+00   -3.4829894E+00   -4.0814216E+00   -8.4903530E+00   -1.0597119E+01   -7.8521419E+00   -4.1419107E+00   -1.6314168E+01   -9.2886881E+00   -8.9776510E+00   -9.1573948E+00   -1.0730802E+01   -1.3885693E+01   -1.5881453E+01   -9.3576140E+00   -1.1788863E+01   -1.4277703E+01   -9.0736647E+00   -9.0773326E+00   -1.2819210E+01   -8.2875325E+00
    7.5000000E-01    5.5719741E+00   -5.5650794E+00   -4.4365245E+00   -4.9774244E+00   -4.4473772E+00   -4.7832832E+00   -7.9143002E+00   -1.5999923E+01   -6.1055992E+00   -7.4201685E+00   -8.5204167E+00   -4.4993929E+00   -3.2234676E+00   -3.4834390E+00   -4.0818712E+00   -8.5106903E+00   -1.0604174E+01   -7.8790682E+00   -4.1364222E+00   -1.6287182E+01   -9.3024020E+00   -8.9847590E+00   -9.1371017E+00   -1.0724775E+01   -1.3872558E+01   -1.5884968E+01   -9.3545231E+00   -1.1765029E+01   -1.4267504E+01   -9.0670065E+00   -9.0651516E+00   -1.2803523E+01   -8.2785034E+00
    8.5000000E-01    5.5784873E+00   -5.5715733E+00   -4.4326264E+00   -4.9706853E+00   -4.4469876E+00   -4.7793893E+00   -7.9472398E+00   -1.5999989E+01   -6.0657807E+00   -7.4189594E+00   -8.5194622E+00   -4.4859006E+00   -3.2242494E+00   -3.4835045E+00   -4.0819366E+00   -8.5307565E+00   -1.0611214E+01   -7.9055875E+00   -4.1306707E+00   -1.6260582E+01   -9.3159752E+00   -8.9913580E+00   -9.1170761E+00   -1.0718142E+01   -1.3859327E+01   -1.5888150E+01   -9.3507309E+00   -1.1741145E+01   -1.4257113E+01   -9.0604732E+00   -9.0528269E+00   -1.2787380E+01   -8.2688940E+00
    9.5000000E-01    5.5849360E+00   -5.5780025E+00   -4.4287043E+00   -4.9639941E+00   -4.4465411E+00   -4.7754697E+00   -7.9796361E+00   -1.5999997E+01   -6.0292223E+00   -7.4176610E+00   -8.5183904E+00   -4.4727538E+00   -3.2249766E+00   -3.4835129E+00   -4.0819450E+00   -8.5504114E+00   -1.0617972E+01   -7.9316299E+00   -4.1249285E+00   -1.6234456E+01   -9.3292021E+00   -8.9978358E+00   -9.0974600E+00   -1.0711501E+01   -1.3846207E+01   -1.5891026E+01   -9.3468584E+00   -1.1717648E+01   -1.4246763E+01   -9.0540039E+00   -9.0405748E+00   -1.2771288E+01   -8.2592709E+00
