# Time          1.0000E-01
# Units: Bars
    Distance        CO2(g)           O2(g)           
    5.0000000E-02    3.3465532E-02    6.0104926E-01
    1.5000000E-01    1.0922243E-02    1.9778119E-01
    2.5000000E-01    9.9448488E-03    1.8056064E-01
    3.5000000E-01    9.8985474E-03    1.8001551E-01
    4.5000000E-01    9.8817944E-03    1.8000076E-01
    5.5000000E-01    9.8657845E-03    1.8000044E-01
    6.5000000E-01    9.8497341E-03    1.8000048E-01
    7.5000000E-01    9.8336246E-03    1.8000053E-01
    8.5000000E-01    9.8174568E-03    1.8000058E-01
    9.5000000E-01    9.8012317E-03    1.8000063E-01
    1.0500000E+00    9.7849504E-03    1.8000068E-01
    1.1500000E+00    9.7686139E-03    1.8000074E-01
    1.2500000E+00    9.7522229E-03    1.8000079E-01
    1.3500000E+00    9.7357782E-03    1.8000084E-01
    1.4500000E+00    9.7192807E-03    1.8000089E-01
    1.5500000E+00    9.7027309E-03    1.8000095E-01
    1.6500000E+00    9.6861295E-03    1.8000100E-01
    1.7500000E+00    9.6694770E-03    1.8000105E-01
    1.8500000E+00    9.6527741E-03    1.8000111E-01
    1.9500000E+00    9.6360212E-03    1.8000116E-01
    2.0500000E+00    9.6192188E-03    1.8000121E-01
    2.1500000E+00    9.6023673E-03    1.8000127E-01
    2.2500000E+00    9.5854672E-03    1.8000132E-01
    2.3500000E+00    9.5685189E-03    1.8000137E-01
    2.4500000E+00    9.5515226E-03    1.8000143E-01
    2.5500000E+00    9.5344789E-03    1.8000148E-01
    2.6500000E+00    9.5173879E-03    1.8000154E-01
    2.7500000E+00    9.5002501E-03    1.8000159E-01
    2.8500000E+00    9.4830656E-03    1.8000165E-01
    2.9500000E+00    9.4658349E-03    1.8000170E-01
    3.0500000E+00    9.4485581E-03    1.8000176E-01
    3.1500000E+00    9.4312354E-03    1.8000181E-01
    3.2500000E+00    9.4138672E-03    1.8000187E-01
    3.3500000E+00    9.3964537E-03    1.8000192E-01
    3.4500000E+00    9.3789950E-03    1.8000198E-01
    3.5500000E+00    9.3614914E-03    1.8000203E-01
    3.6500000E+00    9.3439430E-03    1.8000209E-01
    3.7500000E+00    9.3263501E-03    1.8000214E-01
    3.8500000E+00    9.3087128E-03    1.8000220E-01
    3.9500000E+00    9.2910312E-03    1.8000226E-01
    4.0500000E+00    9.2733056E-03    1.8000231E-01
    4.1500000E+00    9.2555361E-03    1.8000237E-01
    4.2500000E+00    9.2377228E-03    1.8000243E-01
    4.3500000E+00    9.2198658E-03    1.8000248E-01
    4.4500000E+00    9.2019653E-03    1.8000254E-01
    4.5500000E+00    9.1840215E-03    1.8000260E-01
    4.6500000E+00    9.1660343E-03    1.8000265E-01
    4.7500000E+00    9.1480040E-03    1.8000271E-01
    4.8500000E+00    9.1299307E-03    1.8000277E-01
    4.9500000E+00    9.1118144E-03    1.8000283E-01
    5.0500000E+00    9.0936552E-03    1.8000289E-01
    5.1500000E+00    9.0754533E-03    1.8000294E-01
    5.2500000E+00    9.0572086E-03    1.8000300E-01
    5.3500000E+00    9.0389214E-03    1.8000306E-01
    5.4500000E+00    9.0205917E-03    1.8000312E-01
    5.5500000E+00    9.0022196E-03    1.8000318E-01
    5.6500000E+00    8.9838050E-03    1.8000323E-01
    5.7500000E+00    8.9653482E-03    1.8000329E-01
    5.8500000E+00    8.9468492E-03    1.8000335E-01
    5.9500000E+00    8.9283080E-03    1.8000341E-01
    6.0500000E+00    8.9097247E-03    1.8000347E-01
    6.1500000E+00    8.8910993E-03    1.8000353E-01
    6.2500000E+00    8.8724320E-03    1.8000359E-01
    6.3500000E+00    8.8537227E-03    1.8000365E-01
    6.4500000E+00    8.8349715E-03    1.8000371E-01
    6.5500000E+00    8.8161785E-03    1.8000377E-01
    6.6500000E+00    8.7973437E-03    1.8000383E-01
    6.7500000E+00    8.7784672E-03    1.8000389E-01
    6.8500000E+00    8.7595489E-03    1.8000395E-01
    6.9500000E+00    8.7405890E-03    1.8000401E-01
    7.0500000E+00    8.7215874E-03    1.8000407E-01
    7.1500000E+00    8.7025443E-03    1.8000413E-01
    7.2500000E+00    8.6834596E-03    1.8000419E-01
    7.3500000E+00    8.6643333E-03    1.8000425E-01
    7.4500000E+00    8.6451656E-03    1.8000431E-01
    7.5500000E+00    8.6259564E-03    1.8000437E-01
    7.6500000E+00    8.6067058E-03    1.8000444E-01
    7.7500000E+00    8.5874137E-03    1.8000450E-01
    7.8500000E+00    8.5680803E-03    1.8000456E-01
    7.9500000E+00    8.5487055E-03    1.8000462E-01
    8.0500000E+00    8.5292894E-03    1.8000468E-01
    8.1500000E+00    8.5098320E-03    1.8000474E-01
    8.2500000E+00    8.4903333E-03    1.8000481E-01
    8.3500000E+00    8.4707933E-03    1.8000487E-01
    8.4500000E+00    8.4512120E-03    1.8000493E-01
    8.5500000E+00    8.4315895E-03    1.8000499E-01
    8.6500000E+00    8.4119258E-03    1.8000506E-01
    8.7500000E+00    8.3922210E-03    1.8000512E-01
    8.8500000E+00    8.3724749E-03    1.8000518E-01
    8.9500000E+00    8.3526877E-03    1.8000524E-01
    9.0500000E+00    8.3328593E-03    1.8000531E-01
    9.1500000E+00    8.3129898E-03    1.8000537E-01
    9.2500000E+00    8.2930791E-03    1.8000543E-01
