# Time          3.5000E+00
# Units: Bars
    Distance        CO2(g)           O2(g)           
    5.0000000E-02    8.1122926E-03    1.4641955E-01
    1.5000000E-01    1.3555961E-02    2.4428198E-01
    2.5000000E-01    1.5678779E-02    2.8275380E-01
    3.5000000E-01    1.4488600E-02    2.6187346E-01
    4.5000000E-01    1.2455076E-02    2.2582596E-01
    5.5000000E-01    1.0999755E-02    2.0008326E-01
    6.5000000E-01    1.0268322E-02    1.8728141E-01
    7.5000000E-01    9.9717101E-03    1.8225975E-01
    8.5000000E-01    9.8637014E-03    1.8061476E-01
    9.5000000E-01    9.8215291E-03    1.8014944E-01
    1.0500000E+00    9.7987971E-03    1.8003323E-01
    1.1500000E+00    9.7810456E-03    1.8000721E-01
    1.2500000E+00    9.7643981E-03    1.8000195E-01
    1.3500000E+00    9.7479374E-03    1.8000101E-01
    1.4500000E+00    9.7314692E-03    1.8000089E-01
    1.5500000E+00    9.7149563E-03    1.8000091E-01
    1.6500000E+00    9.6983926E-03    1.8000096E-01
    1.7500000E+00    9.6817777E-03    1.8000101E-01
    1.8500000E+00    9.6651119E-03    1.8000107E-01
    1.9500000E+00    9.6483957E-03    1.8000112E-01
    2.0500000E+00    9.6316297E-03    1.8000117E-01
    2.1500000E+00    9.6148144E-03    1.8000123E-01
    2.2500000E+00    9.5979500E-03    1.8000128E-01
    2.3500000E+00    9.5810372E-03    1.8000133E-01
    2.4500000E+00    9.5640761E-03    1.8000139E-01
    2.5500000E+00    9.5470673E-03    1.8000144E-01
    2.6500000E+00    9.5300111E-03    1.8000150E-01
    2.7500000E+00    9.5129077E-03    1.8000155E-01
    2.8500000E+00    9.4957576E-03    1.8000161E-01
    2.9500000E+00    9.4785609E-03    1.8000166E-01
    3.0500000E+00    9.4613179E-03    1.8000172E-01
    3.1500000E+00    9.4440290E-03    1.8000177E-01
    3.2500000E+00    9.4266943E-03    1.8000183E-01
    3.3500000E+00    9.4093141E-03    1.8000188E-01
    3.4500000E+00    9.3918886E-03    1.8000194E-01
    3.5500000E+00    9.3744181E-03    1.8000199E-01
    3.6500000E+00    9.3569026E-03    1.8000205E-01
    3.7500000E+00    9.3393425E-03    1.8000210E-01
    3.8500000E+00    9.3217378E-03    1.8000216E-01
    3.9500000E+00    9.3040888E-03    1.8000222E-01
    4.0500000E+00    9.2863956E-03    1.8000227E-01
    4.1500000E+00    9.2686583E-03    1.8000233E-01
    4.2500000E+00    9.2508772E-03    1.8000239E-01
    4.3500000E+00    9.2330524E-03    1.8000244E-01
    4.4500000E+00    9.2151839E-03    1.8000250E-01
    4.5500000E+00    9.1972719E-03    1.8000256E-01
    4.6500000E+00    9.1793166E-03    1.8000261E-01
    4.7500000E+00    9.1613181E-03    1.8000267E-01
    4.8500000E+00    9.1432764E-03    1.8000273E-01
    4.9500000E+00    9.1251917E-03    1.8000279E-01
    5.0500000E+00    9.1070640E-03    1.8000284E-01
    5.1500000E+00    9.0888935E-03    1.8000290E-01
    5.2500000E+00    9.0706803E-03    1.8000296E-01
    5.3500000E+00    9.0524244E-03    1.8000302E-01
