# Time series at grid cell:  18   1   1
  Time(day)                  Na+                    K+                     Ca++                   Mg++                   Al+++                  Fe+++                  Fe++                   SiO2(aq)               CO2(aq)                pH                     Li7+                   Li6+                  
  1.00000E-02                3.99604652076951E-05   1.21920109448731E-05   3.60648830129193E-05   1.79816906459033E-05   1.59776579095035E-08   1.00000313914771E-16   1.54084532304944E-06   4.17126889506016E-05   6.70700700809260E-04   5.63434047634712E+00   3.92527699963856E-08   3.10477124535076E-09
  2.00000E-02                3.99617559014953E-05   1.21926476648441E-05   3.60650269142048E-05   1.79822722228235E-05   1.59743390962748E-08   1.00000313914771E-16   1.54113611150951E-06   4.17165480721791E-05   6.70700700809260E-04   5.63436327101483E+00   3.92532762620703E-08   3.10480881349759E-09
  3.00000E-02                3.99630465951943E-05   1.21932843847584E-05   3.60651708154790E-05   1.79828537996887E-05   1.59710212039551E-08   1.00000313914771E-16   1.54142689994212E-06   4.17204071943632E-05   6.70700700809260E-04   5.63438606484064E+00   3.92537825332627E-08   3.10484638313167E-09
  4.00000E-02                3.99643372887919E-05   1.21939211046160E-05   3.60653147167420E-05   1.79834353764990E-05   1.59677042293605E-08   1.00000313914771E-16   1.54171768834729E-06   4.17242663171508E-05   6.70700700809260E-04   5.63440885783705E+00   3.92542888099404E-08   3.10488395425071E-09
  5.00000E-02                3.99656279822883E-05   1.21945578244169E-05   3.60654586179936E-05   1.79840169532545E-05   1.59643881720209E-08   1.00000313914771E-16   1.54200847672502E-06   4.17281254405415E-05   6.70700700809260E-04   5.63443165000412E+00   3.92547950921003E-08   3.10492152685398E-09
  5.00010E-02                3.99656281111485E-05   1.21945578879856E-05   3.60654586323604E-05   1.79840170113179E-05   1.59643878782950E-08   1.00000313914771E-16   1.54200850575672E-06   4.17281258258657E-05   6.70700700809265E-04   5.63443157891632E+00   3.92547951429164E-08   3.10492153062713E-09
  5.00030E-02                3.99656283688687E-05   1.21945580151232E-05   3.60654586610940E-05   1.79840171274447E-05   1.59643872905766E-08   1.00000313914771E-16   1.54200856382012E-06   4.17281265965139E-05   6.70700700809261E-04   5.63443158346308E+00   3.92547952445468E-08   3.10492153817328E-09
  5.00070E-02                3.99656288843092E-05   1.21945582693983E-05   3.60654587185612E-05   1.79840173596983E-05   1.59643861140591E-08   1.00000313914771E-16   1.54200867994693E-06   4.17281281378092E-05   6.70700700809261E-04   5.63443159258154E+00   3.92547954478000E-08   3.10492155326493E-09
  5.00150E-02                3.99656299151903E-05   1.21945587779484E-05   3.60654588334955E-05   1.79840178242055E-05   1.59643837567457E-08   1.00000313914771E-16   1.54200891220056E-06   4.17281312203956E-05   6.70700700809261E-04   5.63443161081839E+00   3.92547958542753E-08   3.10492158344570E-09
  5.00309E-02                3.99656319769525E-05   1.21945597950487E-05   3.60654590633643E-05   1.79840187532200E-05   1.59643790254809E-08   1.00000313914771E-16   1.54200937670783E-06   4.17281373855518E-05   6.70700700809261E-04   5.63443164729188E+00   3.92547966671056E-08   3.10492164379748E-09
  5.00629E-02                3.99656361004767E-05   1.21945618292495E-05   3.60654595231019E-05   1.79840206112490E-05   1.59643695000011E-08   1.00000313914771E-16   1.54201030572249E-06   4.17281497158017E-05   6.70700700809262E-04   5.63443172023806E+00   3.92547982923110E-08   3.10492176446397E-09
  5.01268E-02                3.99656443475257E-05   1.21945658976512E-05   3.60654604425770E-05   1.79840243273071E-05   1.59643502230931E-08   1.00000313914771E-16   1.54201216375223E-06   4.17281743760776E-05   6.70700700809265E-04   5.63443186612751E+00   3.92548015410874E-08   3.10492200566402E-09
  5.02546E-02                3.99656608416250E-05   1.21945740344557E-05   3.60654622815273E-05   1.79840317594238E-05   1.59643109337933E-08   1.00000313914771E-16   1.54201587981338E-06   4.17282236959030E-05   6.70700700809277E-04   5.63443215789693E+00   3.92548080333217E-08   3.10492248763135E-09
  5.05102E-02                3.99656938298285E-05   1.21945903080686E-05   3.60654659594280E-05   1.79840466236595E-05   1.59642303370141E-08   1.00000313914771E-16   1.54202331194237E-06   4.17283223335738E-05   6.70700700809326E-04   5.63443274140964E+00   3.92548210031945E-08   3.10492345037872E-09
  5.10213E-02                3.99657598062558E-05   1.21946228553106E-05   3.60654733152296E-05   1.79840763521400E-05   1.59640649292842E-08   1.00000313914771E-16   1.54203817622715E-06   4.17285196048639E-05   6.70700700809523E-04   5.63443390837973E+00   3.92548469124624E-08   3.10492537339547E-09
  5.20437E-02                3.99658917591910E-05   1.21946879498593E-05   3.60654880268338E-05   1.79841358091374E-05   1.59637281628481E-08   1.00000313914771E-16   1.54206790490389E-06   4.17289141421722E-05   6.70700700810308E-04   5.63443624223761E+00   3.92548986879527E-08   3.10492921593613E-09
