# Time series at grid cell:   6   1   1
  Time(day)                  Na+                    K+                     Ca++                   Mg++                   Al+++                  Fe+++                  Fe++                   SiO2(aq)               CO2(aq)                pH                     Li7+                   Li6+                  
  1.00000E-02                3.59107835597305E-05   1.01900911336758E-05   3.56133797933187E-05   1.61591769167142E-05   3.33116207658383E-08   1.00000318789427E-16   6.29588095294147E-07   2.96028928742089E-05   6.70700733503519E-04   5.55841988538322E+00   3.77850907801375E-08   3.00398022539785E-09
  2.00000E-02                3.59120427574078E-05   1.01907175803039E-05   3.56135201903699E-05   1.61597414292425E-05   3.33029751377325E-08   1.00000318812563E-16   6.29870349834635E-07   2.96066629766470E-05   6.70700733658693E-04   5.55844495648021E+00   3.77854527481521E-08   3.00399961817923E-09
  3.00000E-02                3.59133019550200E-05   1.01913440268980E-05   3.56136605874469E-05   1.61603059417324E-05   3.32943325294727E-08   1.00000318835804E-16   6.30152604348211E-07   2.96104330818032E-05   6.70700733814566E-04   5.55847002657071E+00   3.77858147340559E-08   3.00401901643282E-09
  4.00000E-02                3.59145611525675E-05   1.01919704734579E-05   3.56138009845498E-05   1.61608704541842E-05   3.32856929334253E-08   1.00000318859149E-16   6.30434858834879E-07   2.96142031896700E-05   6.70700733971143E-04   5.55849509566970E+00   3.77861767377960E-08   3.00403842015244E-09
  5.00000E-02                3.59158203500503E-05   1.01925969199838E-05   3.56139413816788E-05   1.61614349665979E-05   3.32770563476211E-08   1.00000318882600E-16   6.30717113294634E-07   2.96179733002455E-05   6.70700734128426E-04   5.55852016377725E+00   3.77865387593596E-08   3.00405782933525E-09
  5.00010E-02                3.59158204757659E-05   1.01925969825269E-05   3.56139413956958E-05   1.61614350229576E-05   3.32770555259800E-08   1.00000318882602E-16   6.30717141474325E-07   2.96179736766861E-05   6.70700734128446E-04   5.55852009490632E+00   3.77865387957968E-08   3.00405783129704E-09
  5.00030E-02                3.59158207271972E-05   1.01925971076131E-05   3.56139414237297E-05   1.61614351356771E-05   3.32770538825525E-08   1.00000318882607E-16   6.30717197833712E-07   2.96179744295673E-05   6.70700734128473E-04   5.55852009990502E+00   3.77865388686699E-08   3.00405783522054E-09
  5.00070E-02                3.59158212300597E-05   1.01925973577855E-05   3.56139414797975E-05   1.61614353611160E-05   3.32770505950995E-08   1.00000318882616E-16   6.30717310552492E-07   2.96179759353290E-05   6.70700734128536E-04   5.55852010993248E+00   3.77865390144119E-08   3.00405784306718E-09
  5.00150E-02                3.59158222357848E-05   1.01925978581304E-05   3.56139415919331E-05   1.61614358119939E-05   3.32770440177901E-08   1.00000318882635E-16   6.30717535990067E-07   2.96179789468502E-05   6.70700734128662E-04   5.55852012998737E+00   3.77865393058785E-08   3.00405785875906E-09
  5.00309E-02                3.59158242472350E-05   1.01925988588201E-05   3.56139418162044E-05   1.61614367137497E-05   3.32770308536938E-08   1.00000318882672E-16   6.30717986865277E-07   2.96179849698832E-05   6.70700734128913E-04   5.55852017009701E+00   3.77865398887431E-08   3.00405789013721E-09
  5.00629E-02                3.59158282701354E-05   1.01926008601997E-05   3.56139422647469E-05   1.61614385172613E-05   3.32770044886401E-08   1.00000318882747E-16   6.30718888615938E-07   2.96179970159132E-05   6.70700734129416E-04   5.55852025031574E+00   3.77865410542056E-08   3.00405795287174E-09
  5.01268E-02                3.59158363159368E-05   1.01926048629591E-05   3.56139431618321E-05   1.61614421242846E-05   3.32769516190412E-08   1.00000318882897E-16   6.30720692118228E-07   2.96180211078370E-05   6.70700734130424E-04   5.55852041075105E+00   3.77865433841220E-08   3.00405807825846E-09
  5.02546E-02                3.59158524075408E-05   1.01926128684791E-05   3.56139449560023E-05   1.61614493383319E-05   3.32768453789808E-08   1.00000318883197E-16   6.30724299126670E-07   2.96180692911970E-05   6.70700734132448E-04   5.55852073161402E+00   3.77865480403333E-08   3.00405832873626E-09
  5.05102E-02                3.59158845907540E-05   1.01926288795239E-05   3.56139485443429E-05   1.61614637664288E-05   3.32766312674674E-08   1.00000318883797E-16   6.30731513159007E-07   2.96181656563398E-05   6.70700734136521E-04   5.55852137331491E+00   3.77865573409583E-08   3.00405882872936E-09
  5.10213E-02                3.59159489572020E-05   1.01926609016321E-05   3.56139557210245E-05   1.61614926226322E-05   3.32761985635238E-08   1.00000318884996E-16   6.30745941285494E-07   2.96183583823658E-05   6.70700734144771E-04   5.55852265664727E+00   3.77865759097996E-08   3.00405982607462E-09
  5.20437E-02                3.59160776901838E-05   1.01927249459237E-05   3.56139700743889E-05   1.61615503350774E-05   3.32753237894174E-08   1.00000318887395E-16   6.30774797785706E-07   2.96187438259598E-05   6.70700734161695E-04   5.55852522316309E+00   3.77866129797068E-08   3.00406181526214E-09
  5.40884E-02                3.59163351564909E-05   1.01928530348073E-05   3.56139987811231E-05   1.61616657601207E-05   3.32735610275175E-08   1.00000318892199E-16   6.30832511775049E-07   2.96195147036302E-05   6.70700734197232E-04   5.55853035596381E+00   3.77866870237309E-08   3.00406578596696E-09
  5.81777E-02                3.59168500867866E-05   1.01931092105568E-05   3.56140561945672E-05   1.61618966091704E-05   3.32700244129723E-08   1.00000318901825E-16   6.30947933148704E-07   2.96210564228408E-05   6.70700734257364E-04   5.55854062126920E+00   3.77868350316320E-08   3.00407372149779E-09
  6.63564E-02                3.59178799491811E-05   1.01936215636425E-05   3.56141710214960E-05   1.61623583080688E-05   3.32629471872280E-08   1.00000318921146E-16   6.31178781158471E-07   2.96241398770156E-05   6.70700734386951E-04   5.55856115130004E+00   3.77871310153646E-08   3.00408959260648E-09
  7.63564E-02                3.59191391464941E-05   1.01942480100788E-05   3.56143114186944E-05   1.61629228203822E-05   3.32543088752829E-08   1.00000318944876E-16   6.31461035547300E-07   2.96279099850452E-05   6.70700734546108E-04   5.55858622965731E+00   3.77874930140811E-08   3.00410901046819E-09
  8.63564E-02                3.59203983437429E-05   1.01948744564812E-05   3.56144518159195E-05   1.61634873326577E-05   3.32456822472847E-08   1.00000318968712E-16   6.31743289909216E-07   2.96316801044802E-05   6.70700734705982E-04   5.55861129414950E+00   3.77878550933298E-08   3.00412843891652E-09
  9.63564E-02                3.59216575409278E-05   1.01955009028496E-05   3.56145922131713E-05   1.61640518448954E-05   3.32370594999285E-08   1.00000318992657E-16   6.32025544244222E-07   2.96354502274968E-05   6.70700734866576E-04   5.55863635766047E+00   3.77882171967030E-08   3.00414787333508E-09
  1.00000E-01                3.59221163365304E-05   1.01957291521201E-05   3.56146433677070E-05   1.61642575281147E-05   3.32339406190543E-08   1.00000319001395E-16   6.32128385202868E-07   2.96368239160106E-05   6.70700734925185E-04   5.55864544440517E+00   3.77883492958884E-08   3.00415496838541E-09
  1.07287E-01                3.59230339277017E-05   1.01961856506430E-05   3.56147456767929E-05   1.61646688945333E-05   3.32276514234019E-08   1.00000319018929E-16   6.32334067105875E-07   2.96395712413061E-05   6.70700735042788E-04   5.55866373345314E+00   3.77886131203606E-08   3.00416913002007E-09
  1.17287E-01                3.59242931247531E-05   1.01968120969406E-05   3.56148860741012E-05   1.61652334066921E-05   3.32190228005364E-08   1.00000319043100E-16   6.32616321384557E-07   2.96433413577854E-05   6.70700735204898E-04   5.55868881407806E+00   3.77889751730427E-08   3.00418856865168E-09
  1.27287E-01                3.59255523217409E-05   1.01974385432044E-05   3.56150264714369E-05   1.61657979188132E-05   3.32104081976472E-08   1.00000319067379E-16   6.32898575636326E-07   2.96471114880124E-05   6.70700735367737E-04   5.55871387451133E+00   3.77893373231516E-08   3.00420801924452E-09
  1.37287E-01                3.59268115186653E-05   1.01980649894346E-05   3.56151668688000E-05   1.61663624308967E-05   3.32017977057709E-08   1.00000319091767E-16   6.33180829861183E-07   2.96508816220525E-05   6.70700735531308E-04   5.55873893396571E+00   3.77896994990577E-08   3.00422747593704E-09
  1.47287E-01                3.59280707155264E-05   1.01986914356310E-05   3.56153072661906E-05   1.61669269429427E-05   3.31931903231842E-08   1.00000319116265E-16   6.33463084059129E-07   2.96546517589014E-05   6.70700735695615E-04   5.55876399243087E+00   3.77900616935217E-08   3.00424693813520E-09
  1.57287E-01                3.59293299123245E-05   1.01993178817937E-05   3.56154476636090E-05   1.61674914549514E-05   3.31845859478108E-08   1.00000319140872E-16   6.33745338230164E-07   2.96584218984569E-05   6.70700735860659E-04   5.55878904990541E+00   3.77904239058073E-08   3.00426640577696E-09
  1.67287E-01                3.59305891090596E-05   1.01999443279229E-05   3.56155880610554E-05   1.61680559669227E-05   3.31759845681826E-08   1.00000319165591E-16   6.34027592374288E-07   2.96621920407075E-05   6.70700736026445E-04   5.55881410638926E+00   3.77907861358335E-08   3.00428587885391E-09
  1.77287E-01                3.59318483057320E-05   1.02005707740184E-05   3.56157284585298E-05   1.61686204788567E-05   3.31673861819559E-08   1.00000319190420E-16   6.34309846491501E-07   2.96659621856511E-05   6.70700736192975E-04   5.55883916188246E+00   3.77911483835854E-08   3.00430535736299E-09
  1.87287E-01                3.59331075023417E-05   1.02011972200804E-05   3.56158688560324E-05   1.61691849907534E-05   3.31587907877061E-08   1.00000319215361E-16   6.34592100581802E-07   2.96697323332862E-05   6.70700736360253E-04   5.55886421638507E+00   3.77915106490543E-08   3.00432484130171E-09
  1.97287E-01                3.59343666988889E-05   1.02018236661088E-05   3.56160092535635E-05   1.61697495026130E-05   3.31501983841028E-08   1.00000319240413E-16   6.34874354645191E-07   2.96735024836116E-05   6.70700736528281E-04   5.55888926989715E+00   3.77918729322325E-08   3.00434433066765E-09
  2.07287E-01                3.59356258953737E-05   1.02024501121038E-05   3.56161496511231E-05   1.61703140144356E-05   3.31416089698238E-08   1.00000319265579E-16   6.35156608681671E-07   2.96772726366261E-05   6.70700736697062E-04   5.55891432241878E+00   3.77922352331125E-08   3.00436382545836E-09
  2.17287E-01                3.59368850917964E-05   1.02030765580654E-05   3.56162900487114E-05   1.61708785262211E-05   3.31330225435506E-08   1.00000319290856E-16   6.35438862691239E-07   2.96810427923284E-05   6.70700736866600E-04   5.55893937395000E+00   3.77925975516864E-08   3.00438332567141E-09
  2.27287E-01                3.59381442881570E-05   1.02037030039935E-05   3.56164304463287E-05   1.61714430379696E-05   3.31244391039640E-08   1.00000319316248E-16   6.35721116673896E-07   2.96848129507174E-05   6.70700737036898E-04   5.55896442449088E+00   3.77929598879465E-08   3.00440283130438E-09
  2.37287E-01                3.59394034844558E-05   1.02043294498883E-05   3.56165708439749E-05   1.61720075496813E-05   3.31158586497462E-08   1.00000319341753E-16   6.36003370629642E-07   2.96885831117918E-05   6.70700737207959E-04   5.55898947404149E+00   3.77933222418854E-08   3.00442234235483E-09
  2.47287E-01                3.59406626806928E-05   1.02049558957497E-05   3.56167112416504E-05   1.61725720613562E-05   3.31072811795796E-08   1.00000319367371E-16   6.36285624558476E-07   2.96923532755503E-05   6.70700737379785E-04   5.55901452260188E+00   3.77936846134951E-08   3.00444185882034E-09
  2.57287E-01                3.59419218768683E-05   1.02055823415778E-05   3.56168516393553E-05   1.61731365729944E-05   3.30987066921482E-08   1.00000319393105E-16   6.36567878460400E-07   2.96961234419918E-05   6.70700737552381E-04   5.55903957017213E+00   3.77940470027682E-08   3.00446138069849E-09
  2.67287E-01                3.59431810729823E-05   1.02062087873727E-05   3.56169920370898E-05   1.61737010845959E-05   3.30901351861356E-08   1.00000319418954E-16   6.36850132335412E-07   2.96998936111149E-05   6.70700737725749E-04   5.55906461675228E+00   3.77944094096969E-08   3.00448090798686E-09
  2.77287E-01                3.59444402690351E-05   1.02068352331344E-05   3.56171324348539E-05   1.61742655961608E-05   3.30815666602273E-08   1.00000319444919E-16   6.37132386183513E-07   2.97036637829186E-05   6.70700737899892E-04   5.55908966234241E+00   3.77947718342734E-08   3.00450044068301E-09
  2.87287E-01                3.59456994650268E-05   1.02074616788629E-05   3.56172728326479E-05   1.61748301076891E-05   3.30730011131083E-08   1.00000319470999E-16   6.37414640004701E-07   2.97074339574015E-05   6.70700738074813E-04   5.55911470694257E+00   3.77951342764903E-08   3.00451997878453E-09
  2.97287E-01                3.59469586609576E-05   1.02080881245582E-05   3.56174132304720E-05   1.61753946191811E-05   3.30644385434653E-08   1.00000319497197E-16   6.37696893798978E-07   2.97112041345624E-05   6.70700738250517E-04   5.55913975055283E+00   3.77954967363400E-08   3.00453952228900E-09
  3.07287E-01                3.59482178568275E-05   1.02087145702205E-05   3.56175536283263E-05   1.61759591306366E-05   3.30558789499851E-08   1.00000319523511E-16   6.37979147566346E-07   2.97149743144002E-05   6.70700738427005E-04   5.55916479317325E+00   3.77958592138146E-08   3.00455907119400E-09
  3.17287E-01                3.59494770526368E-05   1.02093410158497E-05   3.56176940262110E-05   1.61765236420558E-05   3.30473223313550E-08   1.00000319549942E-16   6.38261401306801E-07   2.97187444969135E-05   6.70700738604282E-04   5.55918983480390E+00   3.77962217089067E-08   3.00457862549711E-09
  3.27287E-01                3.59507362483857E-05   1.02099674614459E-05   3.56178344241262E-05   1.61770881534388E-05   3.30387686862646E-08   1.00000319576492E-16   6.38543655020345E-07   2.97225146821012E-05   6.70700738782350E-04   5.55921487544482E+00   3.77965842216085E-08   3.00459818519591E-09
