# Time          3.5000E+00
# Units:           Transport Porosity  Mineral Porosity
    5.0000000E-02    9.9900000E-02    1.9820396E-01
    1.5000000E-01    9.9900000E-02    1.9780554E-01
    2.5000000E-01    9.9900000E-02    1.9740170E-01
    3.5000000E-01    9.9900000E-02    1.9699635E-01
    4.5000000E-01    9.9900000E-02    1.9658958E-01
    5.5000000E-01    9.9900000E-02    1.9618145E-01
    6.5000000E-01    9.9900000E-02    1.9577204E-01
    7.5000000E-01    9.9900000E-02    1.9536138E-01
    8.5000000E-01    9.9900000E-02    1.9494953E-01
    9.5000000E-01    9.9900000E-02    1.9453654E-01
    1.0500000E+00    9.9900000E-02    1.9412244E-01
    1.1500000E+00    9.9900000E-02    1.9370727E-01
    1.2500000E+00    9.9900000E-02    1.9329104E-01
    1.3500000E+00    9.9900000E-02    1.9287380E-01
    1.4500000E+00    9.9900000E-02    1.9245555E-01
    1.5500000E+00    9.9900000E-02    1.9203633E-01
    1.6500000E+00    9.9900000E-02    1.9161614E-01
    1.7500000E+00    9.9900000E-02    1.9119500E-01
    1.8500000E+00    9.9900000E-02    1.9077293E-01
    1.9500000E+00    9.9900000E-02    1.9034993E-01
    2.0500000E+00    9.9900000E-02    1.8992602E-01
    2.1500000E+00    9.9900000E-02    1.8950121E-01
    2.2500000E+00    9.9900000E-02    1.8907549E-01
    2.3500000E+00    9.9900000E-02    1.8864888E-01
    2.4500000E+00    9.9900000E-02    1.8822139E-01
    2.5500000E+00    9.9900000E-02    1.8779302E-01
    2.6500000E+00    9.9900000E-02    1.8736377E-01
    2.7500000E+00    9.9900000E-02    1.8693364E-01
    2.8500000E+00    9.9900000E-02    1.8650265E-01
    2.9500000E+00    9.9900000E-02    1.8607079E-01
    3.0500000E+00    9.9900000E-02    1.8563806E-01
    3.1500000E+00    9.9900000E-02    1.8520448E-01
    3.2500000E+00    9.9900000E-02    1.8477003E-01
    3.3500000E+00    9.9900000E-02    1.8433472E-01
    3.4500000E+00    9.9900000E-02    1.8389855E-01
    3.5500000E+00    9.9900000E-02    1.8346153E-01
    3.6500000E+00    9.9900000E-02    1.8302365E-01
    3.7500000E+00    9.9900000E-02    1.8258491E-01
    3.8500000E+00    9.9900000E-02    1.8214532E-01
