# Time          1.0000E-01
# Units: Mol/m**3 Porous Medium/s
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02    0.0000000E+00   -4.0067590E-11   -1.6226740E-10   -3.2554254E-11    1.3141560E-10    1.0849697E-11
    1.5000000E-01   -1.3780274E-14   -4.0132326E-11   -1.6260343E-10   -3.2635720E-11    1.1701607E-10    9.6156825E-12
    2.5000000E-01   -1.5217033E-14   -4.0149887E-11   -1.6294015E-10   -3.2717374E-11    1.1717340E-10    9.6123329E-12
    3.5000000E-01   -1.3912988E-14   -4.0166918E-11   -1.6327754E-10   -3.2799206E-11    1.1734945E-10    9.6166808E-12
    4.5000000E-01   -1.2518880E-14   -4.0183936E-11   -1.6361557E-10   -3.2881207E-11    1.1752538E-10    9.6222405E-12
    5.5000000E-01   -1.1119512E-14   -4.0200953E-11   -1.6395418E-10   -3.2963370E-11    1.1770618E-10    9.6291238E-12
    6.5000000E-01   -9.7172294E-15   -4.0217969E-11   -1.6429337E-10   -3.3045688E-11    1.1789135E-10    9.6371893E-12
    7.5000000E-01   -8.3121165E-15   -4.0234979E-11   -1.6463310E-10   -3.3128155E-11    1.1808036E-10    9.6463062E-12
    8.5000000E-01   -6.9041983E-15   -4.0251984E-11   -1.6497335E-10   -3.3210764E-11    1.1827274E-10    9.6563594E-12
    9.5000000E-01   -5.4934952E-15   -4.0268979E-11   -1.6531410E-10   -3.3293511E-11    1.1846808E-10    9.6672476E-12
    1.0500000E+00   -4.0800246E-15   -4.0285963E-11   -1.6565533E-10   -3.3376391E-11    1.1866606E-10    9.6788815E-12
    1.1500000E+00   -2.6638017E-15   -4.0302933E-11   -1.6599702E-10   -3.3459401E-11    1.1886638E-10    9.6911821E-12
    1.2500000E+00   -1.2448396E-15   -4.0319887E-11   -1.6633916E-10   -3.3542537E-11    1.1906878E-10    9.7040795E-12
    1.3500000E+00    0.0000000E+00   -4.0336824E-11   -1.6668173E-10   -3.3625795E-11    1.1927307E-10    9.7175117E-12
