# Time          3.0000E+00
# Units: Mol/m**3 Porous Medium/s
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02   -2.0458251E-14   -4.0116249E-11   -1.6226741E-10   -3.2554254E-11    7.8920579E-11    6.5174693E-12
    1.5000000E-01   -5.9067854E-16   -4.0128488E-11   -1.6260343E-10   -3.2635720E-11    1.2423844E-10    1.0247429E-11
    2.5000000E-01    0.0000000E+00   -4.0144904E-11   -1.6294015E-10   -3.2717374E-11    1.1702178E-10    9.6377039E-12
    3.5000000E-01   -4.0324393E-15   -4.0164303E-11   -1.6327754E-10   -3.2799206E-11    1.1573738E-10    9.5126889E-12
    4.5000000E-01   -8.6370389E-15   -4.0182987E-11   -1.6361556E-10   -3.2881207E-11    1.1614332E-10    9.5258152E-12
    5.5000000E-01   -1.0229279E-14   -4.0200737E-11   -1.6395418E-10   -3.2963370E-11    1.1705052E-10    9.5842125E-12
    6.5000000E-01   -9.9347631E-15   -4.0218024E-11   -1.6429337E-10   -3.3045688E-11    1.1772447E-10    9.6284489E-12
    7.5000000E-01   -8.8617338E-15   -4.0235127E-11   -1.6463310E-10   -3.3128155E-11    1.1810173E-10    9.6514511E-12
    8.5000000E-01   -7.5387179E-15   -4.0252165E-11   -1.6497335E-10   -3.3210764E-11    1.1834433E-10    9.6649729E-12
    9.5000000E-01   -6.1476935E-15   -4.0269179E-11   -1.6531410E-10   -3.3293511E-11    1.1854664E-10    9.6760658E-12
    1.0500000E+00   -4.7390984E-15   -4.0286178E-11   -1.6565533E-10   -3.3376391E-11    1.1874106E-10    9.6871331E-12
    1.1500000E+00   -3.3247862E-15   -4.0303163E-11   -1.6599702E-10   -3.3459401E-11    1.1893604E-10    9.6987614E-12
    1.2500000E+00   -1.9071984E-15   -4.0320133E-11   -1.6633916E-10   -3.3542537E-11    1.1913324E-10    9.7110242E-12
    1.3500000E+00   -4.8679050E-16   -4.0337086E-11   -1.6668173E-10   -3.3625795E-11    1.1933277E-10    9.7238809E-12
    1.4500000E+00    0.0000000E+00   -4.0354020E-11   -1.6702472E-10   -3.3709174E-11    1.1953444E-10    9.7372740E-12
    1.5500000E+00    0.0000000E+00   -4.0370932E-11   -1.6736813E-10   -3.3792670E-11    1.1973804E-10    9.7511491E-12
    1.6500000E+00    0.0000000E+00   -4.0387821E-11   -1.6771195E-10   -3.3876283E-11    1.1994339E-10    9.7654568E-12
    1.7500000E+00    0.0000000E+00   -4.0404684E-11   -1.6805616E-10   -3.3960009E-11    1.2015031E-10    9.7801537E-12
    1.8500000E+00    0.0000000E+00   -4.0421519E-11   -1.6840076E-10   -3.4043847E-11    1.2035867E-10    9.7952008E-12
    1.9500000E+00    0.0000000E+00   -4.0438324E-11   -1.6874574E-10   -3.4127796E-11    1.2056835E-10    9.8105636E-12
    2.0500000E+00    0.0000000E+00   -4.0455098E-11   -1.6909111E-10   -3.4211856E-11    1.2077922E-10    9.8262114E-12
    2.1500000E+00    0.0000000E+00   -4.0471836E-11   -1.6943685E-10   -3.4296024E-11    1.2099119E-10    9.8421166E-12
    2.2500000E+00    0.0000000E+00   -4.0488539E-11   -1.6978296E-10   -3.4380299E-11    1.2120419E-10    9.8582549E-12
    2.3500000E+00    0.0000000E+00   -4.0505202E-11   -1.7012945E-10   -3.4464683E-11    1.2141811E-10    9.8746043E-12
    2.4500000E+00    0.0000000E+00   -4.0521824E-11   -1.7047630E-10   -3.4549173E-11    1.2163291E-10    9.8911452E-12
    2.5500000E+00    0.0000000E+00   -4.0538403E-11   -1.7082351E-10   -3.4633769E-11    1.2184852E-10    9.9078603E-12
    2.6500000E+00    0.0000000E+00   -4.0554935E-11   -1.7117108E-10   -3.4718470E-11    1.2206489E-10    9.9247338E-12
    2.7500000E+00    0.0000000E+00   -4.0571419E-11   -1.7151902E-10   -3.4803277E-11    1.2228196E-10    9.9417517E-12
    2.8500000E+00    0.0000000E+00   -4.0587852E-11   -1.7186732E-10   -3.4888189E-11    1.2249970E-10    9.9589014E-12
    2.9500000E+00    0.0000000E+00   -4.0604231E-11   -1.7221597E-10   -3.4973206E-11    1.2271805E-10    9.9761716E-12
