# Time          2.5000E+00
# Units: Volume % (m^3 mineral/m^3 porous medium)
    Distance        Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02    2.9999987E+01    2.0270357E+01    1.6424417E+01    4.0754035E+00    8.7012938E+00    7.0814607E-01
    1.5000000E-01    2.9999989E+01    2.0283422E+01    1.6475465E+01    4.0907125E+00    8.6647330E+00    7.0512532E-01
    2.5000000E-01    2.9999990E+01    2.0296511E+01    1.6526673E+01    4.1060759E+00    8.6284476E+00    7.0213264E-01
    3.5000000E-01    2.9999992E+01    2.0309622E+01    1.6578036E+01    4.1214921E+00    8.5920845E+00    6.9913834E-01
    4.5000000E-01    2.9999993E+01    2.0322756E+01    1.6629548E+01    4.1369595E+00    8.5556438E+00    6.9614193E-01
    5.5000000E-01    2.9999994E+01    2.0335910E+01    1.6681205E+01    4.1524768E+00    8.5191258E+00    6.9314299E-01
    6.5000000E-01    2.9999995E+01    2.0349085E+01    1.6733002E+01    4.1680427E+00    8.4825312E+00    6.9014118E-01
    7.5000000E-01    2.9999996E+01    2.0362278E+01    1.6784935E+01    4.1836562E+00    8.4458604E+00    6.8713618E-01
    8.5000000E-01    2.9999997E+01    2.0375490E+01    1.6837002E+01    4.1993162E+00    8.4091141E+00    6.8412774E-01
    9.5000000E-01    2.9999998E+01    2.0388719E+01    1.6889199E+01    4.2150219E+00    8.3722928E+00    6.8111562E-01
    1.0500000E+00    2.9999998E+01    2.0401965E+01    1.6941523E+01    4.2307725E+00    8.3353972E+00    6.7809960E-01
    1.1500000E+00    2.9999999E+01    2.0415228E+01    1.6993972E+01    4.2465673E+00    8.2984277E+00    6.7507952E-01
    1.2500000E+00    2.9999999E+01    2.0428507E+01    1.7046544E+01    4.2624058E+00    8.2613849E+00    6.7205519E-01
    1.3500000E+00    3.0000000E+01    2.0441801E+01    1.7099237E+01    4.2782873E+00    8.2242691E+00    6.6902648E-01
    1.4500000E+00    3.0000000E+01    2.0455110E+01    1.7152049E+01    4.2942114E+00    8.1870807E+00    6.6599324E-01
    1.5500000E+00    3.0000000E+01    2.0468434E+01    1.7204979E+01    4.3101778E+00    8.1498201E+00    6.6295537E-01
    1.6500000E+00    3.0000000E+01    2.0481773E+01    1.7258027E+01    4.3261861E+00    8.1124875E+00    6.5991275E-01
    1.7500000E+00    3.0000000E+01    2.0495126E+01    1.7311190E+01    4.3422360E+00    8.0750831E+00    6.5686527E-01
    1.8500000E+00    3.0000000E+01    2.0508492E+01    1.7364467E+01    4.3583273E+00    8.0376071E+00    6.5381285E-01
    1.9500000E+00    3.0000000E+01    2.0521872E+01    1.7417859E+01    4.3744598E+00    8.0000597E+00    6.5075541E-01
    2.0500000E+00    3.0000000E+01    2.0535266E+01    1.7471365E+01    4.3906333E+00    7.9624408E+00    6.4769286E-01
    2.1500000E+00    3.0000000E+01    2.0548673E+01    1.7524983E+01    4.4068476E+00    7.9247507E+00    6.4462514E-01
    2.2500000E+00    3.0000000E+01    2.0562092E+01    1.7578714E+01    4.4231027E+00    7.8869893E+00    6.4155218E-01
    2.3500000E+00    3.0000000E+01    2.0575525E+01    1.7632557E+01    4.4393985E+00    7.8491566E+00    6.3847392E-01
    2.4500000E+00    3.0000000E+01    2.0588971E+01    1.7686512E+01    4.4557348E+00    7.8112527E+00    6.3539030E-01
    2.5500000E+00    3.0000000E+01    2.0602428E+01    1.7740579E+01    4.4721117E+00    7.7732774E+00    6.3230128E-01
    2.6500000E+00    3.0000000E+01    2.0615899E+01    1.7794758E+01    4.4885291E+00    7.7352308E+00    6.2920680E-01
    2.7500000E+00    3.0000000E+01    2.0629382E+01    1.7849047E+01    4.5049871E+00    7.6971127E+00    6.2610682E-01
    2.8500000E+00    3.0000000E+01    2.0642877E+01    1.7903448E+01    4.5214854E+00    7.6589232E+00    6.2300130E-01
    2.9500000E+00    3.0000000E+01    2.0656384E+01    1.7957961E+01    4.5380243E+00    7.6206621E+00    6.1989020E-01
    3.0500000E+00    3.0000000E+01    2.0669903E+01    1.8012584E+01    4.5546037E+00    7.5823294E+00    6.1677349E-01
    3.1500000E+00    3.0000000E+01    2.0683434E+01    1.8067319E+01    4.5712235E+00    7.5439250E+00    6.1365114E-01
    3.2500000E+00    3.0000000E+01    2.0696977E+01    1.8122165E+01    4.5878839E+00    7.5054488E+00    6.1052311E-01
    3.3500000E+00    3.0000000E+01    2.0710531E+01    1.8177122E+01    4.6045849E+00    7.4669006E+00    6.0738937E-01
    3.4500000E+00    3.0000000E+01    2.0724098E+01    1.8232191E+01    4.6213264E+00    7.4282805E+00    6.0424990E-01
    3.5500000E+00    3.0000000E+01    2.0737675E+01    1.8287370E+01    4.6381086E+00    7.3895883E+00    6.0110469E-01
    3.6500000E+00    3.0000000E+01    2.0751265E+01    1.8342662E+01    4.6549314E+00    7.3508239E+00    5.9795369E-01
    3.7500000E+00    3.0000000E+01    2.0764865E+01    1.8398065E+01    4.6717949E+00    7.3119872E+00    5.9479690E-01
    3.8500000E+00    3.0000000E+01    2.0778477E+01    1.8453579E+01    4.6886991E+00    7.2730782E+00    5.9163429E-01
    3.9500000E+00    3.0000000E+01    2.0792101E+01    1.8509205E+01    4.7056441E+00    7.2340967E+00    5.8846585E-01
    4.0500000E+00    3.0000000E+01    2.0805735E+01    1.8564943E+01    4.7226299E+00    7.1950428E+00    5.8529155E-01
    4.1500000E+00    3.0000000E+01    2.0819380E+01    1.8620793E+01    4.7396566E+00    7.1559162E+00    5.8211140E-01
    4.2500000E+00    3.0000000E+01    2.0833037E+01    1.8676755E+01    4.7567241E+00    7.1167169E+00    5.7892536E-01
    4.3500000E+00    3.0000000E+01    2.0846704E+01    1.8732829E+01    4.7738327E+00    7.0774448E+00    5.7573342E-01
    4.4500000E+00    3.0000000E+01    2.0860382E+01    1.8789015E+01    4.7909822E+00    7.0380999E+00    5.7253558E-01
    4.5500000E+00    3.0000000E+01    2.0874071E+01    1.8845313E+01    4.8081728E+00    6.9986821E+00    5.6933182E-01
    4.6500000E+00    3.0000000E+01    2.0887771E+01    1.8901724E+01    4.8254045E+00    6.9591912E+00    5.6612214E-01
    4.7500000E+00    3.0000000E+01    2.0901481E+01    1.8958248E+01    4.8426773E+00    6.9196273E+00    5.6290651E-01
    4.8500000E+00    3.0000000E+01    2.0915201E+01    1.9014883E+01    4.8599914E+00    6.8799903E+00    5.5968494E-01
    4.9500000E+00    3.0000000E+01    2.0928932E+01    1.9071632E+01    4.8773466E+00    6.8402801E+00    5.5645740E-01
    5.0500000E+00    3.0000000E+01    2.0942674E+01    1.9128494E+01    4.8947432E+00    6.8004966E+00    5.5322390E-01
    5.1500000E+00    3.0000000E+01    2.0956425E+01    1.9185468E+01    4.9121811E+00    6.7606398E+00    5.4998443E-01
    5.2500000E+00    3.0000000E+01    2.0970187E+01    1.9242556E+01    4.9296604E+00    6.7207096E+00    5.4673897E-01
    5.3500000E+00    3.0000000E+01    2.0983959E+01    1.9299757E+01    4.9471811E+00    6.6807060E+00    5.4348753E-01
