# Time          5.0000E-02
# Units: Mole component in mineral/m^3 porous medium
    Distance           H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-          
    5.0000000E-02   -2.3016338E+04    1.4646310E+03    2.1327620E+03    1.6329380E+02    5.4219430E+02    5.8110885E+03    0.0000000E+00    2.7109715E+02    3.0065526E+01    2.4433697E+00    2.6248279E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.5000000E-01   -2.3029789E+04    1.4691832E+03    2.1349802E+03    1.6380132E+02    5.4423102E+02    5.8109402E+03    0.0000000E+00    2.7211551E+02    3.0066276E+01    2.4433474E+00    2.6261698E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    2.5000000E-01   -2.3043539E+04    1.4737496E+03    2.1372043E+03    1.6431044E+02    5.4627498E+02    5.8108760E+03    0.0000000E+00    2.7313749E+02    3.0067657E+01    2.4433853E+00    2.6275243E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    3.5000000E-01   -2.3057352E+04    1.4783299E+03    2.1394340E+03    1.6482110E+02    5.4832596E+02    5.8108184E+03    0.0000000E+00    2.7416298E+02    3.0069110E+01    2.4434365E+00    2.6288832E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    4.5000000E-01   -2.3071224E+04    1.4829234E+03    2.1416691E+03    1.6533324E+02    5.5038376E+02    5.8107665E+03    0.0000000E+00    2.7519188E+02    3.0070630E+01    2.4434996E+00    2.6302465E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    5.5000000E-01   -2.3085152E+04    1.4875299E+03    2.1439094E+03    1.6584682E+02    5.5244819E+02    5.8107196E+03    0.0000000E+00    2.7622409E+02    3.0072211E+01    2.4435735E+00    2.6316140E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    6.5000000E-01   -2.3099133E+04    1.4921488E+03    2.1461548E+03    1.6636179E+02    5.5451909E+02    5.8106771E+03    0.0000000E+00    2.7725954E+02    3.0073851E+01    2.4436574E+00    2.6329853E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    7.5000000E-01   -2.3113165E+04    1.4967800E+03    2.1484051E+03    1.6687812E+02    5.5659632E+02    5.8106385E+03    0.0000000E+00    2.7829816E+02    3.0075544E+01    2.4437505E+00    2.6343605E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    8.5000000E-01   -2.3127245E+04    1.5014230E+03    2.1506602E+03    1.6739578E+02    5.5867973E+02    5.8106034E+03    0.0000000E+00    2.7933987E+02    3.0077290E+01    2.4438519E+00    2.6357394E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    9.5000000E-01   -2.3141372E+04    1.5060775E+03    2.1529200E+03    1.6791473E+02    5.6076923E+02    5.8105713E+03    0.0000000E+00    2.8038462E+02    3.0079084E+01    2.4439611E+00    2.6371218E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.0500000E+00   -2.3155543E+04    1.5107435E+03    2.1551843E+03    1.6843494E+02    5.6286470E+02    5.8105420E+03    0.0000000E+00    2.8143235E+02    3.0080926E+01    2.4440775E+00    2.6385077E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.1500000E+00   -2.3169757E+04    1.5154206E+03    2.1574530E+03    1.6895639E+02    5.6496605E+02    5.8105151E+03    0.0000000E+00    2.8248303E+02    3.0082813E+01    2.4442006E+00    2.6398970E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
