# Time          5.0000E-02
# Units: Log10 mol/kgw
    Distance      pH               H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-              Al(OH)2+         AlO2-            AlOH++           HCO3-            H2SiO4--         HAlO2(aq)        HCl(aq)          HSiO3-           KCl(aq)          KOH(aq)          NaAlO2(aq)       NaCl(aq)         NaHSiO3(aq)      NaOH(aq)         OH-              CO3--            NaCO3-           NaHCO3(aq)   
    5.0000000E-02    5.5068513E+00   -5.5001445E+00   -4.4760361E+00   -5.0481568E+00   -4.4517847E+00   -4.8226439E+00   -7.5645561E+00   -1.5999998E+01   -7.1434265E+00   -7.4301361E+00   -8.5256556E+00   -4.6545338E+00   -3.2168875E+00   -3.4835140E+00   -4.0819468E+00   -8.2896934E+00   -1.0513423E+01   -7.5935361E+00   -4.1951628E+00   -1.6573357E+01   -9.1463301E+00   -8.9195121E+00   -9.3575633E+00   -1.0795185E+01   -1.4008214E+01   -1.5833334E+01   -9.3937140E+00   -1.2024608E+01   -1.4371941E+01   -9.1323269E+00   -9.1896027E+00   -1.2966701E+01   -8.3763610E+00
    1.5000000E-01    5.5138910E+00   -5.5071648E+00   -4.4717888E+00   -5.0402758E+00   -4.4513348E+00   -4.8184200E+00   -7.6044680E+00   -1.5999998E+01   -6.8374714E+00   -7.4293029E+00   -8.5255733E+00   -4.6356947E+00   -3.2175642E+00   -3.4835140E+00   -4.0819467E+00   -8.3156807E+00   -1.0525331E+01   -7.6265025E+00   -4.1887793E+00   -1.6540357E+01   -9.1652981E+00   -8.9265724E+00   -9.3316641E+00   -1.0787345E+01   -1.3993314E+01   -1.5841035E+01   -9.3895076E+00   -1.1994502E+01   -1.4360674E+01   -9.1252667E+00   -9.1761187E+00   -1.2949051E+01   -8.3657710E+00
    2.5000000E-01    5.5208727E+00   -5.5141270E+00   -4.4675740E+00   -5.0325250E+00   -4.4508844E+00   -4.8142264E+00   -7.6434302E+00   -1.5999998E+01   -6.6593862E+00   -7.4284094E+00   -8.5253527E+00   -4.6175981E+00   -3.2182452E+00   -3.4835140E+00   -4.0819467E+00   -8.3408348E+00   -1.0536522E+01   -7.6585774E+00   -4.1824581E+00   -1.6508216E+01   -9.1834911E+00   -8.9335746E+00   -9.3065653E+00   -1.0779635E+01   -1.3978602E+01   -1.5848052E+01   -9.3853337E+00   -1.1965229E+01   -1.4349498E+01   -9.1182646E+00   -9.1627551E+00   -1.2931554E+01   -8.3552759E+00
    3.5000000E-01    5.5277962E+00   -5.5210310E+00   -4.4633912E+00   -5.0248997E+00   -4.4504335E+00   -4.8100625E+00   -7.6815300E+00   -1.5999998E+01   -6.5331808E+00   -7.4274607E+00   -8.5250066E+00   -4.6001870E+00   -3.2189304E+00   -3.4835140E+00   -4.0819466E+00   -8.3652429E+00   -1.0547083E+01   -7.6898481E+00   -4.1761993E+00   -1.6476876E+01   -9.2009962E+00   -8.9405188E+00   -9.2822102E+00   -1.0772051E+01   -1.3964074E+01   -1.5854471E+01   -9.3811919E+00   -1.1936732E+01   -1.4338413E+01   -9.1113206E+00   -9.1495117E+00   -1.2914209E+01   -8.3448751E+00
    4.5000000E-01    5.5346620E+00   -5.5278773E+00   -4.4592397E+00   -5.0173960E+00   -4.4499822E+00   -4.8059280E+00   -7.7188190E+00   -1.5999998E+01   -6.4352940E+00   -7.4264606E+00   -8.5245460E+00   -4.5834111E+00   -3.2196197E+00   -3.4835140E+00   -4.0819465E+00   -8.3889561E+00   -1.0557064E+01   -7.7203660E+00   -4.1700023E+00   -1.6446286E+01   -9.2178641E+00   -8.9474053E+00   -9.2585479E+00   -1.0764589E+01   -1.3949725E+01   -1.5860342E+01   -9.3770815E+00   -1.1908959E+01   -1.4327416E+01   -9.1044343E+00   -9.1363879E+00   -1.2897015E+01   -8.3345676E+00
    5.5000000E-01    5.5414704E+00   -5.5346661E+00   -4.4551191E+00   -5.0100098E+00   -4.4495304E+00   -4.8018222E+00   -7.7553439E+00   -1.5999998E+01   -6.3552807E+00   -7.4254126E+00   -8.5239808E+00   -4.5672250E+00   -3.2203130E+00   -3.4835140E+00   -4.0819464E+00   -8.4120201E+00   -1.0566512E+01   -7.7501773E+00   -4.1638666E+00   -1.6416401E+01   -9.2341402E+00   -8.9542344E+00   -9.2355328E+00   -1.0757244E+01   -1.3935551E+01   -1.5865710E+01   -9.3730020E+00   -1.1881865E+01   -1.4316507E+01   -9.0976054E+00   -9.1233827E+00   -1.2879971E+01   -8.3243524E+00
    6.5000000E-01    5.5482220E+00   -5.5413981E+00   -4.4510288E+00   -5.0027374E+00   -4.4490782E+00   -4.7977448E+00   -7.7911472E+00   -1.5999998E+01   -6.2875844E+00   -7.4243196E+00   -8.5233197E+00   -4.5515881E+00   -3.2210104E+00   -3.4835140E+00   -4.0819464E+00   -8.4344762E+00   -1.0575465E+01   -7.7793237E+00   -4.1577918E+00   -1.6387179E+01   -9.2498654E+00   -8.9610066E+00   -9.2131238E+00   -1.0750013E+01   -1.3921548E+01   -1.5870613E+01   -9.3689529E+00   -1.1855406E+01   -1.4305686E+01   -9.0908332E+00   -9.1104952E+00   -1.2863075E+01   -8.3142283E+00
    7.5000000E-01    5.5549173E+00   -5.5480739E+00   -4.4469684E+00   -4.9955750E+00   -4.4486255E+00   -4.7936953E+00   -7.8262672E+00   -1.5999998E+01   -6.2288946E+00   -7.4231841E+00   -8.5225704E+00   -4.5364637E+00   -3.2217116E+00   -3.4835140E+00   -4.0819463E+00   -8.4563617E+00   -1.0583959E+01   -7.8078433E+00   -4.1517771E+00   -1.6358582E+01   -9.2650762E+00   -8.9677227E+00   -9.1912835E+00   -1.0742892E+01   -1.3907711E+01   -1.5875089E+01   -9.3649337E+00   -1.1829547E+01   -1.4294951E+01   -9.0841173E+00   -9.0977239E+00   -1.2846325E+01   -8.3041943E+00
    8.5000000E-01    5.5615571E+00   -5.5546941E+00   -4.4429373E+00   -4.9885194E+00   -4.4481723E+00   -4.7896732E+00   -7.8607394E+00   -1.5999998E+01   -6.1770786E+00   -7.4220082E+00   -8.5217398E+00   -4.5218189E+00   -3.2224167E+00   -3.4835140E+00   -4.0819462E+00   -8.4777105E+00   -1.0592029E+01   -7.8357707E+00   -4.1458217E+00   -1.6330575E+01   -9.2798059E+00   -8.9743833E+00   -9.1699783E+00   -1.0735878E+01   -1.3894037E+01   -1.5879168E+01   -9.3609439E+00   -1.1804252E+01   -1.4284301E+01   -9.0774569E+00   -9.0850674E+00   -1.2829719E+01   -8.2942490E+00
    9.5000000E-01    5.5681421E+00   -5.5612594E+00   -4.4389351E+00   -4.9815673E+00   -4.4477186E+00   -4.7856782E+00   -7.8945960E+00   -1.5999998E+01   -6.1306817E+00   -7.4207939E+00   -8.5208341E+00   -4.5076236E+00   -3.2231256E+00   -3.4835140E+00   -4.0819462E+00   -8.4985535E+00   -1.0599702E+01   -7.8631373E+00   -4.1399250E+00   -1.6303127E+01   -9.2940845E+00   -8.9809890E+00   -9.1491774E+00   -1.0728967E+01   -1.3880521E+01   -1.5882880E+01   -9.3569831E+00   -1.1779490E+01   -1.4273734E+01   -9.0708513E+00   -9.0725244E+00   -1.2813256E+01   -8.2843913E+00
