# Time          5.0000E-02
# Units: Bars
    Distance        CO2(g)           O2(g)           
    5.0000000E-02    9.9850318E-03    1.8000005E-01
    1.5000000E-01    9.9694891E-03    1.8000010E-01
    2.5000000E-01    9.9538716E-03    1.8000015E-01
    3.5000000E-01    9.9381822E-03    1.8000020E-01
    4.5000000E-01    9.9224235E-03    1.8000025E-01
    5.5000000E-01    9.9065977E-03    1.8000030E-01
    6.5000000E-01    9.8907069E-03    1.8000035E-01
    7.5000000E-01    9.8747527E-03    1.8000040E-01
    8.5000000E-01    9.8587369E-03    1.8000045E-01
    9.5000000E-01    9.8426607E-03    1.8000050E-01
    1.0500000E+00    9.8265256E-03    1.8000055E-01
    1.1500000E+00    9.8103326E-03    1.8000060E-01
    1.2500000E+00    9.7940828E-03    1.8000066E-01
    1.3500000E+00    9.7777773E-03    1.8000071E-01
    1.4500000E+00    9.7614168E-03    1.8000076E-01
    1.5500000E+00    9.7450023E-03    1.8000081E-01
    1.6500000E+00    9.7285345E-03    1.8000086E-01
    1.7500000E+00    9.7120140E-03    1.8000092E-01
    1.8500000E+00    9.6954416E-03    1.8000097E-01
    1.9500000E+00    9.6788179E-03    1.8000102E-01
    2.0500000E+00    9.6621433E-03    1.8000108E-01
    2.1500000E+00    9.6454185E-03    1.8000113E-01
    2.2500000E+00    9.6286440E-03    1.8000118E-01
    2.3500000E+00    9.6118201E-03    1.8000124E-01
    2.4500000E+00    9.5949474E-03    1.8000129E-01
    2.5500000E+00    9.5780262E-03    1.8000134E-01
    2.6500000E+00    9.5610569E-03    1.8000140E-01
    2.7500000E+00    9.5440400E-03    1.8000145E-01
    2.8500000E+00    9.5269756E-03    1.8000151E-01
    2.9500000E+00    9.5098642E-03    1.8000156E-01
    3.0500000E+00    9.4927060E-03    1.8000162E-01
    3.1500000E+00    9.4755013E-03    1.8000167E-01
    3.2500000E+00    9.4582504E-03    1.8000172E-01
    3.3500000E+00    9.4409536E-03    1.8000178E-01
    3.4500000E+00    9.4236111E-03    1.8000184E-01
    3.5500000E+00    9.4062232E-03    1.8000189E-01
    3.6500000E+00    9.3887899E-03    1.8000195E-01
    3.7500000E+00    9.3713116E-03    1.8000200E-01
    3.8500000E+00    9.3537885E-03    1.8000206E-01
    3.9500000E+00    9.3362207E-03    1.8000211E-01
    4.0500000E+00    9.3186084E-03    1.8000217E-01
    4.1500000E+00    9.3009518E-03    1.8000223E-01
    4.2500000E+00    9.2832511E-03    1.8000228E-01
    4.3500000E+00    9.2655063E-03    1.8000234E-01
    4.4500000E+00    9.2477177E-03    1.8000239E-01
    4.5500000E+00    9.2298854E-03    1.8000245E-01
    4.6500000E+00    9.2120095E-03    1.8000251E-01
    4.7500000E+00    9.1940901E-03    1.8000257E-01
    4.8500000E+00    9.1761274E-03    1.8000262E-01
    4.9500000E+00    9.1581214E-03    1.8000268E-01
    5.0500000E+00    9.1400724E-03    1.8000274E-01
    5.1500000E+00    9.1219803E-03    1.8000280E-01
    5.2500000E+00    9.1038454E-03    1.8000285E-01
    5.3500000E+00    9.0856676E-03    1.8000291E-01
    5.4500000E+00    9.0674471E-03    1.8000297E-01
    5.5500000E+00    9.0491839E-03    1.8000303E-01
    5.6500000E+00    9.0308782E-03    1.8000309E-01
    5.7500000E+00    9.0125300E-03    1.8000314E-01
    5.8500000E+00    8.9941394E-03    1.8000320E-01
    5.9500000E+00    8.9757065E-03    1.8000326E-01
    6.0500000E+00    8.9572313E-03    1.8000332E-01
    6.1500000E+00    8.9387139E-03    1.8000338E-01
    6.2500000E+00    8.9201544E-03    1.8000344E-01
    6.3500000E+00    8.9015528E-03    1.8000350E-01
    6.4500000E+00    8.8829092E-03    1.8000356E-01
    6.5500000E+00    8.8642236E-03    1.8000362E-01
    6.6500000E+00    8.8454961E-03    1.8000368E-01
    6.7500000E+00    8.8267267E-03    1.8000373E-01
    6.8500000E+00    8.8079155E-03    1.8000379E-01
    6.9500000E+00    8.7890626E-03    1.8000385E-01
    7.0500000E+00    8.7701679E-03    1.8000391E-01
    7.1500000E+00    8.7512315E-03    1.8000398E-01
    7.2500000E+00    8.7322535E-03    1.8000404E-01
    7.3500000E+00    8.7132338E-03    1.8000410E-01
    7.4500000E+00    8.6941726E-03    1.8000416E-01
    7.5500000E+00    8.6750698E-03    1.8000422E-01
    7.6500000E+00    8.6559256E-03    1.8000428E-01
    7.7500000E+00    8.6367398E-03    1.8000434E-01
    7.8500000E+00    8.6175126E-03    1.8000440E-01
    7.9500000E+00    8.5982440E-03    1.8000446E-01
    8.0500000E+00    8.5789339E-03    1.8000452E-01
    8.1500000E+00    8.5595825E-03    1.8000459E-01
    8.2500000E+00    8.5401898E-03    1.8000465E-01
    8.3500000E+00    8.5207557E-03    1.8000471E-01
    8.4500000E+00    8.5012803E-03    1.8000477E-01
    8.5500000E+00    8.4817637E-03    1.8000483E-01
    8.6500000E+00    8.4622058E-03    1.8000490E-01
    8.7500000E+00    8.4426066E-03    1.8000496E-01
    8.8500000E+00    8.4229662E-03    1.8000502E-01
    8.9500000E+00    8.4032846E-03    1.8000508E-01
    9.0500000E+00    8.3835619E-03    1.8000515E-01
    9.1500000E+00    8.3637979E-03    1.8000521E-01
    9.2500000E+00    8.3439928E-03    1.8000527E-01
    9.3500000E+00    8.3241466E-03    1.8000534E-01
    9.4500000E+00    8.3042592E-03    1.8000540E-01
    9.5500000E+00    8.2843307E-03    1.8000546E-01
    9.6500000E+00    8.2643611E-03    1.8000553E-01
    9.7500000E+00    8.2443505E-03    1.8000559E-01
    9.8500000E+00    8.2242987E-03    1.8000565E-01
    9.9500000E+00    8.2042059E-03    1.8000572E-01
    1.0050000E+01    8.1840720E-03    1.8000578E-01
    1.0150000E+01    8.1638971E-03    1.8000585E-01
    1.0250000E+01    8.1436812E-03    1.8000591E-01
    1.0350000E+01    8.1234242E-03    1.8000597E-01
    1.0450000E+01    8.1031263E-03    1.8000604E-01
    1.0550000E+01    8.0827873E-03    1.8000610E-01
    1.0650000E+01    8.0624073E-03    1.8000617E-01
    1.0750000E+01    8.0419864E-03    1.8000623E-01
    1.0850000E+01    8.0215245E-03    1.8000630E-01
    1.0950000E+01    8.0010217E-03    1.8000636E-01
    1.1050000E+01    7.9804779E-03    1.8000643E-01
    1.1150000E+01    7.9598931E-03    1.8000650E-01
    1.1250000E+01    7.9392674E-03    1.8000656E-01
    1.1350000E+01    7.9186009E-03    1.8000663E-01
    1.1450000E+01    7.8978934E-03    1.8000669E-01
    1.1550000E+01    7.8771450E-03    1.8000676E-01
    1.1650000E+01    7.8563557E-03    1.8000683E-01
    1.1750000E+01    7.8355255E-03    1.8000689E-01
    1.1850000E+01    7.8146545E-03    1.8000696E-01
    1.1950000E+01    7.7937426E-03    1.8000703E-01
    1.2050000E+01    7.7727898E-03    1.8000709E-01
    1.2150000E+01    7.7517963E-03    1.8000716E-01
    1.2250000E+01    7.7307619E-03    1.8000723E-01
    1.2350000E+01    7.7096866E-03    1.8000729E-01
    1.2450000E+01    7.6885706E-03    1.8000736E-01
    1.2550000E+01    7.6674138E-03    1.8000743E-01
    1.2650000E+01    7.6462163E-03    1.8000750E-01
    1.2750000E+01    7.6249779E-03    1.8000756E-01
    1.2850000E+01    7.6036989E-03    1.8000763E-01
    1.2950000E+01    7.5823790E-03    1.8000770E-01
    1.3050000E+01    7.5610185E-03    1.8000777E-01
    1.3150000E+01    7.5396173E-03    1.8000784E-01
    1.3250000E+01    7.5181754E-03    1.8000790E-01
    1.3350000E+01    7.4966928E-03    1.8000797E-01
    1.3450000E+01    7.4751695E-03    1.8000804E-01
    1.3550000E+01    7.4536056E-03    1.8000811E-01
    1.3650000E+01    7.4320012E-03    1.8000818E-01
    1.3750000E+01    7.4103561E-03    1.8000825E-01
    1.3850000E+01    7.3886704E-03    1.8000832E-01
    1.3950000E+01    7.3669442E-03    1.8000839E-01
    1.4050000E+01    7.3451774E-03    1.8000846E-01
    1.4150000E+01    7.3233701E-03    1.8000853E-01
    1.4250000E+01    7.3015224E-03    1.8000860E-01
    1.4350000E+01    7.2796342E-03    1.8000866E-01
    1.4450000E+01    7.2577055E-03    1.8000873E-01
    1.4550000E+01    7.2357364E-03    1.8000881E-01
    1.4650000E+01    7.2137270E-03    1.8000888E-01
    1.4750000E+01    7.1916771E-03    1.8000895E-01
    1.4850000E+01    7.1695870E-03    1.8000902E-01
    1.4950000E+01    7.1474566E-03    1.8000909E-01
    1.5050000E+01    7.1252858E-03    1.8000916E-01
    1.5150000E+01    7.1030749E-03    1.8000923E-01
    1.5250000E+01    7.0808237E-03    1.8000930E-01
    1.5350000E+01    7.0585324E-03    1.8000937E-01
    1.5450000E+01    7.0362010E-03    1.8000944E-01
    1.5550000E+01    7.0138295E-03    1.8000951E-01
    1.5650000E+01    6.9914179E-03    1.8000959E-01
    1.5750000E+01    6.9689663E-03    1.8000966E-01
    1.5850000E+01    6.9464747E-03    1.8000973E-01
    1.5950000E+01    6.9239432E-03    1.8000980E-01
    1.6050000E+01    6.9013719E-03    1.8000987E-01
    1.6150000E+01    6.8787607E-03    1.8000995E-01
    1.6250000E+01    6.8561097E-03    1.8001002E-01
    1.6350000E+01    6.8334190E-03    1.8001009E-01
    1.6450000E+01    6.8106886E-03    1.8001016E-01
    1.6550000E+01    6.7879186E-03    1.8001024E-01
    1.6650000E+01    6.7651090E-03    1.8001031E-01
    1.6750000E+01    6.7422599E-03    1.8001038E-01
    1.6850000E+01    6.7193714E-03    1.8001045E-01
    1.6950000E+01    6.6964434E-03    1.8001053E-01
    1.7050000E+01    6.6734762E-03    1.8001060E-01
    1.7150000E+01    6.6504697E-03    1.8001067E-01
    1.7250000E+01    6.6274240E-03    1.8001075E-01
    1.7350000E+01    6.6043393E-03    1.8001082E-01
    1.7450000E+01    6.5812155E-03    1.8001090E-01
    1.7550000E+01    6.5580527E-03    1.8001097E-01
    1.7650000E+01    6.5348511E-03    1.8001104E-01
    1.7750000E+01    6.5116108E-03    1.8001112E-01
    1.7850000E+01    6.4883317E-03    1.8001119E-01
    1.7950000E+01    6.4650141E-03    1.8001127E-01
    1.8050000E+01    6.4416581E-03    1.8001134E-01
    1.8150000E+01    6.4182636E-03    1.8001142E-01
    1.8250000E+01    6.3948309E-03    1.8001149E-01
    1.8350000E+01    6.3713602E-03    1.8001157E-01
    1.8450000E+01    6.3478514E-03    1.8001164E-01
    1.8550000E+01    6.3243048E-03    1.8001172E-01
    1.8650000E+01    6.3007205E-03    1.8001179E-01
    1.8750000E+01    6.2770988E-03    1.8001187E-01
    1.8850000E+01    6.2534397E-03    1.8001194E-01
    1.8950000E+01    6.2297436E-03    1.8001202E-01
    1.9050000E+01    6.2060108E-03    1.8001210E-01
    1.9150000E+01    6.1822414E-03    1.8001217E-01
    1.9250000E+01    6.1584359E-03    1.8001225E-01
    1.9350000E+01    6.1345948E-03    1.8001233E-01
    1.9450000E+01    6.1107187E-03    1.8001240E-01
    1.9550000E+01    6.0868085E-03    1.8001248E-01
    1.9650000E+01    6.0628656E-03    1.8001256E-01
    1.9750000E+01    6.0388925E-03    1.8001263E-01
    1.9850000E+01    6.0149034E-03    1.8001271E-01
    1.9950000E+01    5.9913781E-03    1.8001278E-01
