# Time          2.5000E+00
# Units: Bars
    Distance        CO2(g)           O2(g)           
    5.0000000E-02    3.5187306E-03    6.4013402E-02
    1.5000000E-01    6.2336110E-03    1.1281589E-01
    2.5000000E-01    8.2674218E-03    1.4946706E-01
    3.5000000E-01    9.3250596E-03    1.6866812E-01
    4.5000000E-01    9.7443436E-03    1.7645177E-01
    5.5000000E-01    9.8731385E-03    1.7903880E-01
    6.5000000E-01    9.8981973E-03    1.7977042E-01
    7.5000000E-01    9.8924125E-03    1.7995108E-01
    8.5000000E-01    9.8786918E-03    1.7999081E-01
    9.5000000E-01    9.8631325E-03    1.7999873E-01
    1.0500000E+00    9.8471527E-03    1.8000021E-01
    1.1500000E+00    9.8310472E-03    1.8000050E-01
    1.2500000E+00    9.8148724E-03    1.8000058E-01
    1.3500000E+00    9.7986387E-03    1.8000064E-01
    1.4500000E+00    9.7823488E-03    1.8000069E-01
    1.5500000E+00    9.7660036E-03    1.8000075E-01
    1.6500000E+00    9.7496042E-03    1.8000080E-01
    1.7500000E+00    9.7331512E-03    1.8000085E-01
    1.8500000E+00    9.7166455E-03    1.8000090E-01
    1.9500000E+00    9.7000876E-03    1.8000096E-01
    2.0500000E+00    9.6834782E-03    1.8000101E-01
    2.1500000E+00    9.6668179E-03    1.8000106E-01
    2.2500000E+00    9.6501071E-03    1.8000112E-01
    2.3500000E+00    9.6333465E-03    1.8000117E-01
    2.4500000E+00    9.6165364E-03    1.8000122E-01
    2.5500000E+00    9.5996774E-03    1.8000128E-01
    2.6500000E+00    9.5827697E-03    1.8000133E-01
    2.7500000E+00    9.5658139E-03    1.8000138E-01
    2.8500000E+00    9.5488103E-03    1.8000144E-01
    2.9500000E+00    9.5317592E-03    1.8000149E-01
    3.0500000E+00    9.5146610E-03    1.8000155E-01
    3.1500000E+00    9.4975159E-03    1.8000160E-01
    3.2500000E+00    9.4803242E-03    1.8000166E-01
    3.3500000E+00    9.4630863E-03    1.8000171E-01
    3.4500000E+00    9.4458024E-03    1.8000177E-01
    3.5500000E+00    9.4284727E-03    1.8000182E-01
    3.6500000E+00    9.4110974E-03    1.8000188E-01
    3.7500000E+00    9.3936769E-03    1.8000193E-01
    3.8500000E+00    9.3762112E-03    1.8000199E-01
    3.9500000E+00    9.3587007E-03    1.8000204E-01
    4.0500000E+00    9.3411454E-03    1.8000210E-01
    4.1500000E+00    9.3235456E-03    1.8000215E-01
    4.2500000E+00    9.3059014E-03    1.8000221E-01
    4.3500000E+00    9.2882131E-03    1.8000227E-01
    4.4500000E+00    9.2704806E-03    1.8000232E-01
    4.5500000E+00    9.2527043E-03    1.8000238E-01
    4.6500000E+00    9.2348843E-03    1.8000244E-01
    4.7500000E+00    9.2170206E-03    1.8000249E-01
    4.8500000E+00    9.1991134E-03    1.8000255E-01
    4.9500000E+00    9.1811629E-03    1.8000261E-01
    5.0500000E+00    9.1631690E-03    1.8000267E-01
    5.1500000E+00    9.1451321E-03    1.8000272E-01
    5.2500000E+00    9.1270521E-03    1.8000278E-01
    5.3500000E+00    9.1089292E-03    1.8000284E-01
    5.4500000E+00    9.0907634E-03    1.8000290E-01
    5.5500000E+00    9.0725549E-03    1.8000295E-01
