# Time series at grid cell: 146   1   1
  Time(day)                  Na+                    K+                     Ca++                   Mg++                   Al+++                  Fe+++                  Fe++                   SiO2(aq)               CO2(aq)                pH                     Li7+                   Li6+                  
  1.00000E-02                8.85595879022380E-05   3.50395432223659E-05   4.14832682486773E-05   4.04593595466934E-05   3.80412976441271E-10   1.00000313914975E-16   1.27796797734294E-05   1.84884410451500E-04   6.70700697480571E-04   6.20233688962717E+00   7.94700139509520E-08   6.28380726359329E-09
  2.00000E-02                8.85595879022023E-05   3.50395432222577E-05   4.14832682486771E-05   4.04593595466925E-05   3.80412946143751E-10   1.00000313914975E-16   1.27796797734289E-05   1.84884410451528E-04   6.70700700810505E-04   6.20233688962697E+00   7.94700139515779E-08   6.28380726364416E-09
  3.00000E-02                8.85595879022004E-05   3.50395432221503E-05   4.14832682486768E-05   4.04593595466915E-05   3.80412946095544E-10   1.00000313914975E-16   1.27796797734285E-05   1.84884410451310E-04   6.70700700810626E-04   6.20233688962665E+00   7.94700139523326E-08   6.28380726370551E-09
  4.00000E-02                8.85595879021986E-05   3.50395432220430E-05   4.14832682486766E-05   4.04593595466906E-05   3.80412946096156E-10   1.00000313914975E-16   1.27796797734280E-05   1.84884410451092E-04   6.70700700810626E-04   6.20233688962634E+00   7.94700139530878E-08   6.28380726376690E-09
  5.00000E-02                8.85595879021969E-05   3.50395432219356E-05   4.14832682486764E-05   4.04593595466897E-05   3.80412946096900E-10   1.00000313914975E-16   1.27796797734275E-05   1.84884410450874E-04   6.70700700810626E-04   6.20233688962602E+00   7.94700139538431E-08   6.28380726382832E-09
  5.00000E-02                8.85595879021951E-05   3.50395432218282E-05   4.14832682486762E-05   4.04593595466887E-05   3.80412946097645E-10   1.00000313914975E-16   1.27796797734271E-05   1.84884410450656E-04   6.70700700810625E-04   6.20233688962602E+00   7.94700139545986E-08   6.28380726388973E-09
  5.00000E-02                8.85595879021951E-05   3.50395432218282E-05   4.14832682486762E-05   4.04593595466887E-05   3.80412946097640E-10   1.00000313914975E-16   1.27796797734271E-05   1.84884410450656E-04   6.70700700810627E-04   6.20233688962602E+00   7.94700139545986E-08   6.28380726388973E-09
  5.00000E-02                8.85595879021951E-05   3.50395432218282E-05   4.14832682486762E-05   4.04593595466887E-05   3.80412946097640E-10   1.00000313914975E-16   1.27796797734271E-05   1.84884410450656E-04   6.70700700810627E-04   6.20233688962602E+00   7.94700139545986E-08   6.28380726388973E-09
  5.00000E-02                8.85595879021951E-05   3.50395432218282E-05   4.14832682486762E-05   4.04593595466887E-05   3.80412946097640E-10   1.00000313914975E-16   1.27796797734271E-05   1.84884410450656E-04   6.70700700810627E-04   6.20233688962602E+00   7.94700139545986E-08   6.28380726388973E-09
  5.00000E-02                8.85595879021951E-05   3.50395432218282E-05   4.14832682486762E-05   4.04593595466887E-05   3.80412946097640E-10   1.00000313914975E-16   1.27796797734271E-05   1.84884410450656E-04   6.70700700810627E-04   6.20233688962602E+00   7.94700139545986E-08   6.28380726388973E-09
  5.00000E-02                8.85595879021951E-05   3.50395432218282E-05   4.14832682486762E-05   4.04593595466887E-05   3.80412946097640E-10   1.00000313914975E-16   1.27796797734271E-05   1.84884410450656E-04   6.70700700810627E-04   6.20233688962602E+00   7.94700139545986E-08   6.28380726388973E-09
  5.00000E-02                8.85595879021951E-05   3.50395432218282E-05   4.14832682486762E-05   4.04593595466887E-05   3.80412946097640E-10   1.00000313914975E-16   1.27796797734271E-05   1.84884410450656E-04   6.70700700810627E-04   6.20233688962602E+00   7.94700139545986E-08   6.28380726388973E-09
  5.00000E-02                8.85595879021951E-05   3.50395432218282E-05   4.14832682486762E-05   4.04593595466887E-05   3.80412946097640E-10   1.00000313914975E-16   1.27796797734271E-05   1.84884410450656E-04   6.70700700810627E-04   6.20233688962602E+00   7.94700139545986E-08   6.28380726388973E-09
  5.00000E-02                8.85595879021951E-05   3.50395432218282E-05   4.14832682486762E-05   4.04593595466887E-05   3.80412946097640E-10   1.00000313914975E-16   1.27796797734271E-05   1.84884410450656E-04   6.70700700810627E-04   6.20233688962602E+00   7.94700139545986E-08   6.28380726388973E-09
  5.00000E-02                8.85595879021951E-05   3.50395432218282E-05   4.14832682486762E-05   4.04593595466887E-05   3.80412946097640E-10   1.00000313914975E-16   1.27796797734271E-05   1.84884410450656E-04   6.70700700810627E-04   6.20233688962602E+00   7.94700139545986E-08   6.28380726388973E-09
  5.00000E-02                8.85595879021951E-05   3.50395432218282E-05   4.14832682486762E-05   4.04593595466887E-05   3.80412946097640E-10   1.00000313914975E-16   1.27796797734271E-05   1.84884410450656E-04   6.70700700810627E-04   6.20233688962602E+00   7.94700139545986E-08   6.28380726388973E-09
  5.00000E-02                8.85595879021951E-05   3.50395432218282E-05   4.14832682486762E-05   4.04593595466887E-05   3.80412946097640E-10   1.00000313914975E-16   1.27796797734271E-05   1.84884410450656E-04   6.70700700810627E-04   6.20233688962602E+00   7.94700139545986E-08   6.28380726388973E-09
  5.00000E-02                8.85595879021951E-05   3.50395432218282E-05   4.14832682486762E-05   4.04593595466887E-05   3.80412946097640E-10   1.00000313914975E-16   1.27796797734271E-05   1.84884410450656E-04   6.70700700810627E-04   6.20233688962602E+00   7.94700139545986E-08   6.28380726388973E-09
  5.00000E-02                8.85595879021951E-05   3.50395432218282E-05   4.14832682486762E-05   4.04593595466887E-05   3.80412946097640E-10   1.00000313914975E-16   1.27796797734271E-05   1.84884410450656E-04   6.70700700810627E-04   6.20233688962602E+00   7.94700139545986E-08   6.28380726388973E-09
